Año	Comarca código	Comarca nombre	Total viviendas	Viviendas nuevas	Viviendas de 2ª mano
2008	11	Bajo Cinca / Baix Cinca	354	233	121
2008	12	Tarazona y el Moncayo	206	117	89
2008	13	Campo de Borja	206	144	62
2008	14	Aranda	89	42	47
2008	15	Ribera Alta del Ebro	327	206	121
2008	16	Valdejalón	561	403	158
2008	17	Central	6866	4104	2762
2008	18	Ribera Baja del Ebro	101	37	64
2008	19	Bajo Aragón-Caspe / Baix Aragó-Casp	204	58	146
2008	20	Comunidad de Calatayud	594	344	250
2008	21	Campo de Cariñena	114	61	53
2008	22	Campo de Belchite	64	20	44
2008	23	Bajo Martín	95	6	89
2008	24	Campo de Daroca	55	6	49
2008	25	Jiloca	203	95	108
2008	26	Cuencas Mineras	119	23	96
2008	27	Andorra-Sierra de Arcos	138	58	80
2008	28	Bajo Aragón	419	218	201
2008	29	Comunidad de Teruel	700	492	208
2008	30	Maestrazgo	61	32	29
2008	31	Sierra de Albarracín	110	62	48
2008	32	Gúdar-Javalambre	408	329	79
2008	33	Matarraña / Matarranya	109	44	65
2007	01	La Jacetania	1060	722	338
2007	02	Alto Gállego	977	777	200
2007	03	Sobrarbe	303	240	63
2007	04	La Ribagorza	422	251	171
2007	05	Cinco Villas	581	276	305
2007	06	Hoya de Huesca / Plana de Uesca	1402	814	588
2007	07	Somontano de Barbastro	530	244	286
2007	08	Cinca Medio	436	144	292
2007	09	La Litera / La Llitera	270	103	167
2007	10	Los Monegros	227	75	152
2007	11	Bajo Cinca / Baix Cinca	415	212	203
2007	12	Tarazona y el Moncayo	354	131	223
2007	13	Campo de Borja	318	202	116
2007	14	Aranda	107	57	50
2007	15	Ribera Alta del Ebro	599	361	238
2007	16	Valdejalón	573	355	218
2007	17	Central	10331	5324	5007
2007	18	Ribera Baja del Ebro	119	16	103
2007	19	Bajo Aragón-Caspe / Baix Aragó-Casp	374	143	231
2007	20	Comunidad de Calatayud	925	448	477
2007	21	Campo de Cariñena	217	111	106
2007	22	Campo de Belchite	75	4	71
2007	23	Bajo Martín	136	10	126
2007	24	Campo de Daroca	155	46	109
2007	25	Jiloca	233	78	155
2007	26	Cuencas Mineras	168	53	115
2007	27	Andorra-Sierra de Arcos	197	54	143
2007	28	Bajo Aragón	479	189	290
2007	29	Comunidad de Teruel	647	317	330
2007	30	Maestrazgo	57	16	41
2007	31	Sierra de Albarracín	180	112	68
2007	32	Gúdar-Javalambre	334	203	131
2007	33	Matarraña / Matarranya	157	60	97
2006	01	La Jacetania	1310	812	498
2006	02	Alto Gállego	842	572	270
2006	03	Sobrarbe	152	78	74
2006	04	La Ribagorza	407	223	184
2006	05	Cinco Villas	313	138	175
2006	06	Hoya de Huesca / Plana de Uesca	1497	910	587
2006	07	Somontano de Barbastro	573	277	296
2006	08	Cinca Medio	348	49	299
2006	09	La Litera / La Llitera	297	81	216
2006	10	Los Monegros	179	58	121
2006	11	Bajo Cinca / Baix Cinca	369	142	227
2006	12	Tarazona y el Moncayo	336	52	284
2006	13	Campo de Borja	325	114	211
2006	14	Aranda	83	32	51
2006	15	Ribera Alta del Ebro	668	260	408
2006	16	Valdejalón	542	215	327
2006	17	Central	11542	4293	7249
2006	18	Ribera Baja del Ebro	139	28	111
2006	19	Bajo Aragón-Caspe / Baix Aragó-Casp	306	251	55
2006	20	Comunidad de Calatayud	1098	437	661
2006	21	Campo de Cariñena	211	111	100
2006	22	Campo de Belchite	86	7	79
2006	23	Bajo Martín	124	3	121
2006	24	Campo de Daroca	133	35	98
2006	25	Jiloca	257	89	168
2006	26	Cuencas Mineras	161	35	126
2006	27	Andorra-Sierra de Arcos	191	30	161
2006	28	Bajo Aragón	574	317	257
2006	29	Comunidad de Teruel	448	99	349
2006	30	Maestrazgo	58	17	41
2006	31	Sierra de Albarracín	96	31	65
2006	32	Gúdar-Javalambre	290	135	155
2006	33	Matarraña / Matarranya	203	44	159
2005	01	La Jacetania	1121	345	776
2005	02	Alto Gállego	930	560	370
2005	03	Sobrarbe	84	18	66
2005	04	La Ribagorza	440	130	310
2005	05	Cinco Villas	176	53	123
2005	06	Hoya de Huesca / Plana de Uesca	1329	753	576
2005	07	Somontano de Barbastro	647	238	409
2005	08	Cinca Medio	409	124	285
2005	09	La Litera / La Llitera	295	87	208
2005	10	Los Monegros	181	50	131
2005	11	Bajo Cinca / Baix Cinca	319	111	208
2005	12	Tarazona y el Moncayo	324	71	253
2005	13	Campo de Borja	279	102	177
2005	14	Aranda	55	9	46
2005	15	Ribera Alta del Ebro	696	280	416
2005	16	Valdejalón	448	86	362
2005	17	Central	14225	5490	8735
2005	18	Ribera Baja del Ebro	166	75	91
2005	19	Bajo Aragón-Caspe / Baix Aragó-Casp	246	203	43
2005	20	Comunidad de Calatayud	994	373	621
2005	21	Campo de Cariñena	150	27	123
2005	22	Campo de Belchite	86	1	85
2005	23	Bajo Martín	122	9	113
2005	24	Campo de Daroca	90	3	87
2005	25	Jiloca	230	104	126
2005	26	Cuencas Mineras	49	5	44
2005	27	Andorra-Sierra de Arcos	197	10	187
2005	28	Bajo Aragón	526	127	399
2005	29	Comunidad de Teruel	391	32	359
2005	30	Maestrazgo	47	11	36
2005	31	Sierra de Albarracín	42	5	37
2005	32	Gúdar-Javalambre	264	89	175
2005	33	Matarraña / Matarranya	127	6	121
2004	01	La Jacetania	1315	254	1061
2004	02	Alto Gállego	635	173	462
2004	03	Sobrarbe	121	36	85
2004	04	La Ribagorza	332	59	273
2004	05	Cinco Villas	221	88	133
2004	06	Hoya de Huesca / Plana de Uesca	816	370	446
2004	07	Somontano de Barbastro	351	43	308
2004	08	Cinca Medio	195	72	123
2004	09	La Litera / La Llitera	248	13	235
2004	10	Los Monegros	137	28	109
2004	11	Bajo Cinca / Baix Cinca	391	222	169
2004	12	Tarazona y el Moncayo	312	52	260
2004	13	Campo de Borja	239	59	180
2004	14	Aranda	45	14	31
2004	15	Ribera Alta del Ebro	513	192	321
2004	16	Valdejalón	330	62	268
2004	17	Central	13324	4360	8964
2004	18	Ribera Baja del Ebro	104	22	82
2004	19	Bajo Aragón-Caspe / Baix Aragó-Casp	195	175	20
2004	20	Comunidad de Calatayud	702	245	457
2004	21	Campo de Cariñena	121	15	106
2004	22	Campo de Belchite	41	1	40
2004	23	Bajo Martín	91	0	91
2004	24	Campo de Daroca	79	6	73
2004	25	Jiloca	169	19	150
2004	26	Cuencas Mineras	47	9	38
2004	27	Andorra-Sierra de Arcos	196	21	175
2004	28	Bajo Aragón	703	60	643
2004	29	Comunidad de Teruel	411	35	376
2004	30	Maestrazgo	32	5	27
2004	31	Sierra de Albarracín	40	5	35
2004	32	Gúdar-Javalambre	267	85	182
2004	33	Matarraña / Matarranya	141	2	139
