Municipio código	Municipio nombre	Estructura hogar	Número hogares
22009	Albelda	Otro hogar de cuatro adultos, con o sin menores	27
22009	Albelda	Cinco o más adultos, con o sin menores	25
22011	Albero Alto	Una mujer de 16 a 64 años	2
22011	Albero Alto	Un hombre de 16 a 64 años	3
22011	Albero Alto	Una mujer de 65 o más años	1
22011	Albero Alto	Un hombre de 65 o más años	1
22011	Albero Alto	Dos adultos de 16 a 64 años, sin menores	2
22011	Albero Alto	Dos adultos, uno al menos de 65 años o más, sin menores	10
22011	Albero Alto	Dos adultos y dos menores	1
22011	Albero Alto	Dos adultos y tres o más menores	1
22011	Albero Alto	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	2
22011	Albero Alto	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	1
22011	Albero Alto	Otro hogar de tres adultos, con o sin menores	5
22011	Albero Alto	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	1
22011	Albero Alto	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	1
22011	Albero Alto	Otro hogar de cuatro adultos, con o sin menores	5
22011	Albero Alto	Cinco o más adultos, con o sin menores	1
22012	Albero Bajo	Una mujer de 16 a 64 años	2
22012	Albero Bajo	Un hombre de 16 a 64 años	4
22012	Albero Bajo	Una mujer de 65 o más años	2
22012	Albero Bajo	Un hombre de 65 o más años	1
22012	Albero Bajo	Dos adultos de 16 a 64 años, sin menores	6
22012	Albero Bajo	Dos adultos, uno al menos de 65 años o más, sin menores	7
22012	Albero Bajo	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	2
22012	Albero Bajo	Otro hogar de tres adultos, con o sin menores	7
22012	Albero Bajo	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	2
22012	Albero Bajo	Otro hogar de cuatro adultos, con o sin menores	4
22012	Albero Bajo	Cinco o más adultos, con o sin menores	3
22013	Alberuela de Tubo	Un hombre de 16 a 64 años	9
22013	Alberuela de Tubo	Una mujer de 65 o más años	8
22013	Alberuela de Tubo	Un hombre de 65 o más años	6
22013	Alberuela de Tubo	Dos adultos de 16 a 64 años, sin menores	7
22013	Alberuela de Tubo	Dos adultos, uno al menos de 65 años o más, sin menores	15
22013	Alberuela de Tubo	Dos adultos y dos menores	5
22013	Alberuela de Tubo	Dos adultos y tres o más menores	1
22013	Alberuela de Tubo	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	9
22013	Alberuela de Tubo	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	2
22013	Alberuela de Tubo	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	1
22013	Alberuela de Tubo	Otro hogar de tres adultos, con o sin menores	14
22013	Alberuela de Tubo	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	10
22013	Alberuela de Tubo	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	1
22013	Alberuela de Tubo	Otro hogar de cuatro adultos, con o sin menores	11
22013	Alberuela de Tubo	Cinco o más adultos, con o sin menores	14
22014	Alcalá de Gurrea	Una mujer de 16 a 64 años	2
22014	Alcalá de Gurrea	Un hombre de 16 a 64 años	16
22014	Alcalá de Gurrea	Una mujer de 65 o más años	20
22014	Alcalá de Gurrea	Un hombre de 65 o más años	14
22014	Alcalá de Gurrea	Un hombre adulto con  uno o más menores	1
22014	Alcalá de Gurrea	Dos adultos de 16 a 64 años, sin menores	6
22014	Alcalá de Gurrea	Dos adultos, uno al menos de 65 años o más, sin menores	23
22014	Alcalá de Gurrea	Dos adultos y un menor	2
22014	Alcalá de Gurrea	Dos adultos y dos menores	2
22014	Alcalá de Gurrea	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	9
22014	Alcalá de Gurrea	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	3
22014	Alcalá de Gurrea	Otro hogar de tres adultos, con o sin menores	10
22014	Alcalá de Gurrea	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	9
22014	Alcalá de Gurrea	Otro hogar de cuatro adultos, con o sin menores	3
22014	Alcalá de Gurrea	Cinco o más adultos, con o sin menores	12
22015	Alcalá del Obispo	Una mujer de 16 a 64 años	6
22015	Alcalá del Obispo	Un hombre de 16 a 64 años	11
22015	Alcalá del Obispo	Una mujer de 65 o más años	20
22015	Alcalá del Obispo	Un hombre de 65 o más años	10
22015	Alcalá del Obispo	Una mujer adulta con uno o más menores	1
22015	Alcalá del Obispo	Un hombre adulto con  uno o más menores	1
22015	Alcalá del Obispo	Dos adultos de 16 a 64 años, sin menores	12
22015	Alcalá del Obispo	Dos adultos, uno al menos de 65 años o más, sin menores	28
22015	Alcalá del Obispo	Dos adultos y un menor	4
22015	Alcalá del Obispo	Dos adultos y dos menores	1
22015	Alcalá del Obispo	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	6
22015	Alcalá del Obispo	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	4
22015	Alcalá del Obispo	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	2
22015	Alcalá del Obispo	Otro hogar de tres adultos, con o sin menores	9
22015	Alcalá del Obispo	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	4
22015	Alcalá del Obispo	Otro hogar de cuatro adultos, con o sin menores	10
22015	Alcalá del Obispo	Cinco o más adultos, con o sin menores	16
22016	Alcampell	Una mujer de 16 a 64 años	7
22016	Alcampell	Un hombre de 16 a 64 años	22
22016	Alcampell	Una mujer de 65 o más años	44
22016	Alcampell	Un hombre de 65 o más años	24
22016	Alcampell	Dos adultos de 16 a 64 años, sin menores	25
22016	Alcampell	Dos adultos, uno al menos de 65 años o más, sin menores	64
22016	Alcampell	Dos adultos y un menor	4
22016	Alcampell	Dos adultos y dos menores	11
22016	Alcampell	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	19
22016	Alcampell	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	3
22016	Alcampell	Otro hogar de tres adultos, con o sin menores	30
22016	Alcampell	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	13
22016	Alcampell	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	1
22016	Alcampell	Otro hogar de cuatro adultos, con o sin menores	29
22016	Alcampell	Cinco o más adultos, con o sin menores	34
22017	Alcolea de Cinca	Una mujer de 16 a 64 años	11
22017	Alcolea de Cinca	Un hombre de 16 a 64 años	27
22017	Alcolea de Cinca	Una mujer de 65 o más años	30
22017	Alcolea de Cinca	Un hombre de 65 o más años	20
22017	Alcolea de Cinca	Una mujer adulta con uno o más menores	3
22017	Alcolea de Cinca	Un hombre adulto con  uno o más menores	4
22017	Alcolea de Cinca	Dos adultos de 16 a 64 años, sin menores	23
22017	Alcolea de Cinca	Dos adultos, uno al menos de 65 años o más, sin menores	66
22017	Alcolea de Cinca	Dos adultos y un menor	28
22017	Alcolea de Cinca	Dos adultos y dos menores	31
22017	Alcolea de Cinca	Dos adultos y tres o más menores	1
22017	Alcolea de Cinca	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	25
22017	Alcolea de Cinca	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	13
22017	Alcolea de Cinca	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	6
22017	Alcolea de Cinca	Otro hogar de tres adultos, con o sin menores	37
22017	Alcolea de Cinca	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	24
22017	Alcolea de Cinca	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	2
22017	Alcolea de Cinca	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	2
22017	Alcolea de Cinca	Otro hogar de cuatro adultos, con o sin menores	17
22017	Alcolea de Cinca	Cinco o más adultos, con o sin menores	43
22018	Alcubierre	Una mujer de 16 a 64 años	5
22018	Alcubierre	Un hombre de 16 a 64 años	18
22018	Alcubierre	Una mujer de 65 o más años	16
22018	Alcubierre	Un hombre de 65 o más años	9
22018	Alcubierre	Una mujer adulta con uno o más menores	2
22018	Alcubierre	Dos adultos de 16 a 64 años, sin menores	10
22018	Alcubierre	Dos adultos, uno al menos de 65 años o más, sin menores	35
22018	Alcubierre	Dos adultos y un menor	4
22018	Alcubierre	Dos adultos y dos menores	7
22018	Alcubierre	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	14
22018	Alcubierre	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	7
22018	Alcubierre	Otro hogar de tres adultos, con o sin menores	17
22018	Alcubierre	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	7
22018	Alcubierre	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	3
22018	Alcubierre	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	1
22018	Alcubierre	Otro hogar de cuatro adultos, con o sin menores	6
22018	Alcubierre	Cinco o más adultos, con o sin menores	13
22019	Alerre	Una mujer de 16 a 64 años	1
22019	Alerre	Un hombre de 16 a 64 años	6
22019	Alerre	Una mujer de 65 o más años	4
22019	Alerre	Un hombre de 65 o más años	1
22019	Alerre	Dos adultos de 16 a 64 años, sin menores	5
22019	Alerre	Dos adultos, uno al menos de 65 años o más, sin menores	7
22019	Alerre	Dos adultos y un menor	2
22019	Alerre	Dos adultos y dos menores	5
22019	Alerre	Dos adultos y tres o más menores	2
22019	Alerre	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	8
22019	Alerre	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	3
22019	Alerre	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	1
22019	Alerre	Otro hogar de tres adultos, con o sin menores	5
22019	Alerre	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	6
22019	Alerre	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	3
22019	Alerre	Otro hogar de cuatro adultos, con o sin menores	2
22019	Alerre	Cinco o más adultos, con o sin menores	5
22020	Alfántega	Un hombre de 16 a 64 años	3
22020	Alfántega	Una mujer de 65 o más años	4
22020	Alfántega	Un hombre de 65 o más años	2
22020	Alfántega	Dos adultos de 16 a 64 años, sin menores	3
22020	Alfántega	Dos adultos, uno al menos de 65 años o más, sin menores	9
22020	Alfántega	Dos adultos y un menor	2
22020	Alfántega	Dos adultos y dos menores	2
22020	Alfántega	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	3
22020	Alfántega	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	1
22020	Alfántega	Otro hogar de tres adultos, con o sin menores	3
22020	Alfántega	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	2
22020	Alfántega	Otro hogar de cuatro adultos, con o sin menores	3
22020	Alfántega	Cinco o más adultos, con o sin menores	4
22021	Almudévar	Una mujer de 16 a 64 años	23
22021	Almudévar	Un hombre de 16 a 64 años	45
22021	Almudévar	Una mujer de 65 o más años	73
22021	Almudévar	Un hombre de 65 o más años	43
22021	Almudévar	Una mujer adulta con uno o más menores	5
22021	Almudévar	Un hombre adulto con  uno o más menores	3
22021	Almudévar	Dos adultos de 16 a 64 años, sin menores	68
22021	Almudévar	Dos adultos, uno al menos de 65 años o más, sin menores	154
22021	Almudévar	Dos adultos y un menor	36
22021	Almudévar	Dos adultos y dos menores	38
22021	Almudévar	Dos adultos y tres o más menores	9
22021	Almudévar	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	65
22021	Almudévar	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	25
22021	Almudévar	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	5
22021	Almudévar	Otro hogar de tres adultos, con o sin menores	72
22021	Almudévar	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	45
22021	Almudévar	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	3
22021	Almudévar	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	3
22021	Almudévar	Otro hogar de cuatro adultos, con o sin menores	44
22021	Almudévar	Cinco o más adultos, con o sin menores	61
22022	Almunia de San Juan	Una mujer de 16 a 64 años	6
22022	Almunia de San Juan	Un hombre de 16 a 64 años	11
22022	Almunia de San Juan	Una mujer de 65 o más años	26
22022	Almunia de San Juan	Un hombre de 65 o más años	8
22022	Almunia de San Juan	Una mujer adulta con uno o más menores	2
22022	Almunia de San Juan	Un hombre adulto con  uno o más menores	1
22022	Almunia de San Juan	Dos adultos de 16 a 64 años, sin menores	9
22022	Almunia de San Juan	Dos adultos, uno al menos de 65 años o más, sin menores	47
22022	Almunia de San Juan	Dos adultos y un menor	12
22022	Almunia de San Juan	Dos adultos y dos menores	6
22022	Almunia de San Juan	Dos adultos y tres o más menores	3
22022	Almunia de San Juan	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	16
22022	Almunia de San Juan	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	5
22022	Almunia de San Juan	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	1
22022	Almunia de San Juan	Otro hogar de tres adultos, con o sin menores	23
22022	Almunia de San Juan	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	12
22022	Almunia de San Juan	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	4
22022	Almunia de San Juan	Otro hogar de cuatro adultos, con o sin menores	25
22022	Almunia de San Juan	Cinco o más adultos, con o sin menores	20
22023	Almuniente	Una mujer de 16 a 64 años	4
22023	Almuniente	Un hombre de 16 a 64 años	19
22023	Almuniente	Una mujer de 65 o más años	15
22023	Almuniente	Un hombre de 65 o más años	10
22023	Almuniente	Una mujer adulta con uno o más menores	2
22023	Almuniente	Un hombre adulto con  uno o más menores	2
22023	Almuniente	Dos adultos de 16 a 64 años, sin menores	7
22023	Almuniente	Dos adultos, uno al menos de 65 años o más, sin menores	34
22023	Almuniente	Dos adultos y un menor	8
22023	Almuniente	Dos adultos y dos menores	6
22023	Almuniente	Dos adultos y tres o más menores	1
22023	Almuniente	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	18
22023	Almuniente	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	8
22023	Almuniente	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	2
22023	Almuniente	Otro hogar de tres adultos, con o sin menores	14
22023	Almuniente	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	22
22023	Almuniente	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	3
22023	Almuniente	Otro hogar de cuatro adultos, con o sin menores	7
22023	Almuniente	Cinco o más adultos, con o sin menores	22
22024	Alquézar	Una mujer de 16 a 64 años	4
22024	Alquézar	Un hombre de 16 a 64 años	14
22024	Alquézar	Una mujer de 65 o más años	6
22024	Alquézar	Un hombre de 65 o más años	8
22024	Alquézar	Una mujer adulta con uno o más menores	2
22024	Alquézar	Dos adultos de 16 a 64 años, sin menores	16
22024	Alquézar	Dos adultos, uno al menos de 65 años o más, sin menores	21
22024	Alquézar	Dos adultos y un menor	5
22024	Alquézar	Dos adultos y dos menores	3
22024	Alquézar	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	4
22024	Alquézar	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	1
22024	Alquézar	Otro hogar de tres adultos, con o sin menores	14
22024	Alquézar	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	7
22024	Alquézar	Otro hogar de cuatro adultos, con o sin menores	9
22024	Alquézar	Cinco o más adultos, con o sin menores	4
22025	Altorricón	Una mujer de 16 a 64 años	12
22025	Altorricón	Un hombre de 16 a 64 años	24
22025	Altorricón	Una mujer de 65 o más años	50
22025	Altorricón	Un hombre de 65 o más años	22
22025	Altorricón	Una mujer adulta con uno o más menores	1
22025	Altorricón	Un hombre adulto con  uno o más menores	2
22025	Altorricón	Dos adultos de 16 a 64 años, sin menores	38
22025	Altorricón	Dos adultos, uno al menos de 65 años o más, sin menores	83
22025	Altorricón	Dos adultos y un menor	28
22025	Altorricón	Dos adultos y dos menores	27
22025	Altorricón	Dos adultos y tres o más menores	3
22025	Altorricón	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	40
22025	Altorricón	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	6
22025	Altorricón	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	2
22025	Altorricón	Otro hogar de tres adultos, con o sin menores	48
22025	Altorricón	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	36
22025	Altorricón	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	2
22025	Altorricón	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	1
22025	Altorricón	Otro hogar de cuatro adultos, con o sin menores	35
22025	Altorricón	Cinco o más adultos, con o sin menores	38
22027	Angüés	Una mujer de 16 a 64 años	4
22027	Angüés	Un hombre de 16 a 64 años	15
22027	Angüés	Una mujer de 65 o más años	11
22027	Angüés	Un hombre de 65 o más años	16
22027	Angüés	Una mujer adulta con uno o más menores	1
22027	Angüés	Dos adultos de 16 a 64 años, sin menores	20
22027	Angüés	Dos adultos, uno al menos de 65 años o más, sin menores	36
22027	Angüés	Dos adultos y un menor	10
22027	Angüés	Dos adultos y dos menores	5
22027	Angüés	Dos adultos y tres o más menores	1
22027	Angüés	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	14
22027	Angüés	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	4
22027	Angüés	Dos adultos de 35 años o más, uno de 16 a 34 años y dos o más menores	2
22027	Angüés	Otro hogar de tres adultos, con o sin menores	14
22027	Angüés	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	7
22027	Angüés	Otro hogar de cuatro adultos, con o sin menores	6
22027	Angüés	Cinco o más adultos, con o sin menores	6
22028	Ansó	Una mujer de 16 a 64 años	12
22028	Ansó	Un hombre de 16 a 64 años	26
22028	Ansó	Una mujer de 65 o más años	29
22028	Ansó	Un hombre de 65 o más años	16
22028	Ansó	Una mujer adulta con uno o más menores	1
22028	Ansó	Dos adultos de 16 a 64 años, sin menores	22
22028	Ansó	Dos adultos, uno al menos de 65 años o más, sin menores	21
22028	Ansó	Dos adultos y un menor	6
22028	Ansó	Dos adultos y dos menores	6
22028	Ansó	Dos adultos y tres o más menores	6
22028	Ansó	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	14
22028	Ansó	Dos adultos de 35 años o más, uno de 16 a 34 años y un menor	2
22028	Ansó	Otro hogar de tres adultos, con o sin menores	6
22028	Ansó	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	10
22028	Ansó	Dos adultos de 35 años o más, dos de 16 a 34 años y un menor	1
22028	Ansó	Otro hogar de cuatro adultos, con o sin menores	11
22028	Ansó	Cinco o más adultos, con o sin menores	15
22029	Antillón	Una mujer de 16 a 64 años	2
22029	Antillón	Un hombre de 16 a 64 años	4
22029	Antillón	Una mujer de 65 o más años	2
22029	Antillón	Un hombre de 65 o más años	2
22029	Antillón	Dos adultos de 16 a 64 años, sin menores	2
22029	Antillón	Dos adultos, uno al menos de 65 años o más, sin menores	5
22029	Antillón	Dos adultos de 35 años o más, uno de 16 a 34 años, sin menores	5
22029	Antillón	Otro hogar de tres adultos, con o sin menores	9
22029	Antillón	Dos adultos de 35 años o más, dos de 16 a 34 años, sin menores	2
22029	Antillón	Dos adultos de 35 años o más, dos de 16 a 34 años y dos o más menores	1
22029	Antillón	Otro hogar de cuatro adultos, con o sin menores	7
22029	Antillón	Cinco o más adultos, con o sin menores	7
22032	Aragüés del Puerto	Una mujer de 16 a 64 años	6
