Mes y año	Mes (código)	Mes nombre	Año	Provincia código	Provincia nombre	Sexo	Temporalidad	Modalidad	orden_modalidad	Grupo de tipo de contrato	Grupo de tipo de contrato	Días duración contrato	Número de contratos	Duración contrato	Duración contrato * 1.00 / Número de contratos
Agosto 2016	201608	Agosto	2016	22	Huesca	Mujeres	Temporal	Otros	8	Temp. Inserción	Temp. Inserción	1	1	360	360
Agosto 2016	201608	Agosto	2016	44	Teruel	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	509	0	0
Agosto 2016	201608	Agosto	2016	44	Teruel	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	81	2384	29,43209876543209876543209876543209876543
Agosto 2016	201608	Agosto	2016	44	Teruel	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	319	0	0
Agosto 2016	201608	Agosto	2016	44	Teruel	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	57	2349	41,21052631578947368421052631578947368421
Agosto 2016	201608	Agosto	2016	44	Teruel	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	1125	30419	27,03911111111111111111111111111111111111
Agosto 2016	201608	Agosto	2016	44	Teruel	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	871	26019	29,87256027554535017221584385763490241102
Agosto 2016	201608	Agosto	2016	44	Teruel	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	48	0	0
Agosto 2016	201608	Agosto	2016	44	Teruel	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	21	388	18,47619047619047619047619047619047619048
Agosto 2016	201608	Agosto	2016	44	Teruel	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	151	0	0
Agosto 2016	201608	Agosto	2016	44	Teruel	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	82	4198	51,19512195121951219512195121951219512195
Agosto 2016	201608	Agosto	2016	44	Teruel	Hombres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	1	360	360
Agosto 2016	201608	Agosto	2016	44	Teruel	Mujeres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	2	721	360,5
Agosto 2016	201608	Agosto	2016	44	Teruel	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	1	0	0
Agosto 2016	201608	Agosto	2016	44	Teruel	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	4	4497	1124,25
Agosto 2016	201608	Agosto	2016	44	Teruel	Hombres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	2	1747	873,5
Agosto 2016	201608	Agosto	2016	44	Teruel	Mujeres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	1	1080	1080
Agosto 2016	201608	Agosto	2016	44	Teruel	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	3	900	300
Agosto 2016	201608	Agosto	2016	44	Teruel	Hombres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	6	1080	180
Agosto 2016	201608	Agosto	2016	44	Teruel	Mujeres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	1	180	180
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	6175	0	0
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	1845	39223	21,25907859078590785907859078590785907859
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	3153	0	0
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	1218	26710	21,92939244663382594417077175697865353038
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	3	0	0
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	9795	266651	27,2231750893312914752424706482899438489
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	3	0	0
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	6745	202185	29,97553743513713862120088954781319495923
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	413	0	0
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	331	11218	33,89123867069486404833836858006042296073
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	1356	0	0
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	1103	34854	31,59927470534904805077062556663644605621
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Hombres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	16	5760	360
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Mujeres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	9	3240	360
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	30	0	0
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	43	60051	1396,534883720930232558139534883720930233
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Hombres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	11	14473	1315,727272727272727272727272727272727273
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Hombres	Temporal	Ligados a la jubilación	6	Sust. Jubilación	Sust. Jubilación	1	1	360	360
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	6	0	0
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	22	27310	1241,363636363636363636363636363636363636
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Mujeres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	15	18711	1247,4
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	9	3240	360
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Hombres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	68	14404	211,823529411764705882352941176470588235
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Mujeres	Temporal	Ligados a la formación	7	Formación	Formación	1	7	1980	282,857142857142857142857142857142857143
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Mujeres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	60	13085	218,083333333333333333333333333333333333
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Hombres	Temporal	Otros	8	Otros	Otros	0	4	0	0
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Hombres	Temporal	Otros	8	Otros	Otros	1	11	1478	134,363636363636363636363636363636363636
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Hombres	Temporal	Otros	8	Temp. Inserción	Temp. Inserción	1	7	1260	180
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Mujeres	Temporal	Otros	8	Otros	Otros	0	1	0	0
Agosto 2016	201608	Agosto	2016	50	Zaragoza	Mujeres	Temporal	Otros	8	Otros	Otros	1	3	540	180
Julio 2016	201607	Julio	2016	22	Huesca	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	3358	0	0
Julio 2016	201607	Julio	2016	22	Huesca	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	252	5948	23,6031746031746031746031746031746031746
Julio 2016	201607	Julio	2016	22	Huesca	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	1802	0	0
Julio 2016	201607	Julio	2016	22	Huesca	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	172	4306	25,03488372093023255813953488372093023256
Julio 2016	201607	Julio	2016	22	Huesca	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	5	0	0
Julio 2016	201607	Julio	2016	22	Huesca	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	2138	77524	36,26005612722170252572497661365762394761
Julio 2016	201607	Julio	2016	22	Huesca	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	5	0	0
Julio 2016	201607	Julio	2016	22	Huesca	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	1929	76548	39,68273716951788491446345256609642301711
Julio 2016	201607	Julio	2016	22	Huesca	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	99	0	0
Julio 2016	201607	Julio	2016	22	Huesca	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	29	1210	41,7241379310344827586206896551724137931
Julio 2016	201607	Julio	2016	22	Huesca	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	268	0	0
Julio 2016	201607	Julio	2016	22	Huesca	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	175	6317	36,09714285714285714285714285714285714286
Julio 2016	201607	Julio	2016	22	Huesca	Hombres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	6	2160	360
Julio 2016	201607	Julio	2016	22	Huesca	Mujeres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	3	1080	360
Julio 2016	201607	Julio	2016	22	Huesca	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	1	0	0
Julio 2016	201607	Julio	2016	22	Huesca	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	18	21210	1178,333333333333333333333333333333333333
Julio 2016	201607	Julio	2016	22	Huesca	Hombres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	7	8849	1264,142857142857142857142857142857142857
Julio 2016	201607	Julio	2016	22	Huesca	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	3	3925	1308,333333333333333333333333333333333333
Julio 2016	201607	Julio	2016	22	Huesca	Mujeres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	6	6752	1125,333333333333333333333333333333333333
Julio 2016	201607	Julio	2016	22	Huesca	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	10	3060	306
Julio 2016	201607	Julio	2016	22	Huesca	Hombres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	26	5670	218,076923076923076923076923076923076923
Julio 2016	201607	Julio	2016	22	Huesca	Mujeres	Temporal	Ligados a la formación	7	Formación	Formación	1	4	1260	315
Julio 2016	201607	Julio	2016	22	Huesca	Mujeres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	19	3960	208,421052631578947368421052631578947368
Julio 2016	201607	Julio	2016	22	Huesca	Hombres	Temporal	Otros	8	Otros	Otros	0	1	0	0
Julio 2016	201607	Julio	2016	22	Huesca	Hombres	Temporal	Otros	8	Otros	Otros	1	2	2162	1081
Julio 2016	201607	Julio	2016	22	Huesca	Mujeres	Temporal	Otros	8	Otros	Otros	0	1	0	0
Julio 2016	201607	Julio	2016	22	Huesca	Mujeres	Temporal	Otros	8	Temp. Inserción	Temp. Inserción	1	1	360	360
Julio 2016	201607	Julio	2016	44	Teruel	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	779	0	0
Julio 2016	201607	Julio	2016	44	Teruel	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	97	2901	29,90721649484536082474226804123711340206
Julio 2016	201607	Julio	2016	44	Teruel	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	423	0	0
Julio 2016	201607	Julio	2016	44	Teruel	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	67	1854	27,67164179104477611940298507462686567164
Julio 2016	201607	Julio	2016	44	Teruel	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	1	0	0
Julio 2016	201607	Julio	2016	44	Teruel	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	1346	43778	32,52451708766716196136701337295690936107
Julio 2016	201607	Julio	2016	44	Teruel	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	1	0	0
Julio 2016	201607	Julio	2016	44	Teruel	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	1086	39942	36,77900552486187845303867403314917127072
Julio 2016	201607	Julio	2016	44	Teruel	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	43	0	0
Julio 2016	201607	Julio	2016	44	Teruel	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	35	1388	39,65714285714285714285714285714285714286
Julio 2016	201607	Julio	2016	44	Teruel	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	149	0	0
Julio 2016	201607	Julio	2016	44	Teruel	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	95	4163	43,82105263157894736842105263157894736842
Julio 2016	201607	Julio	2016	44	Teruel	Mujeres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	6	2161	360,166666666666666666666666666666666667
Julio 2016	201607	Julio	2016	44	Teruel	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	2	0	0
Julio 2016	201607	Julio	2016	44	Teruel	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	3	4320	1440
Julio 2016	201607	Julio	2016	44	Teruel	Hombres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	2	2880	1440
Julio 2016	201607	Julio	2016	44	Teruel	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	1	1440	1440
Julio 2016	201607	Julio	2016	44	Teruel	Mujeres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	3	1988	662,666666666666666666666666666666666667
Julio 2016	201607	Julio	2016	44	Teruel	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	4	1441	360,25
Julio 2016	201607	Julio	2016	44	Teruel	Hombres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	16	2838	177,375
Julio 2016	201607	Julio	2016	44	Teruel	Mujeres	Temporal	Ligados a la formación	7	Formación	Formación	1	3	1020	340
Julio 2016	201607	Julio	2016	44	Teruel	Mujeres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	10	2340	234
Julio 2016	201607	Julio	2016	44	Teruel	Mujeres	Temporal	Otros	8	Otros	Otros	0	1	0	0
Julio 2016	201607	Julio	2016	50	Zaragoza	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	7128	0	0
Julio 2016	201607	Julio	2016	50	Zaragoza	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	1606	38548	24,00249066002490660024906600249066002491
Julio 2016	201607	Julio	2016	50	Zaragoza	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	3906	0	0
Julio 2016	201607	Julio	2016	50	Zaragoza	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	1146	26998	23,55846422338568935427574171029668411867
Julio 2016	201607	Julio	2016	50	Zaragoza	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	6	0	0
Julio 2016	201607	Julio	2016	50	Zaragoza	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	10506	320455	30,5020940415000951837045497810774795355
Julio 2016	201607	Julio	2016	50	Zaragoza	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	3	0	0
Julio 2016	201607	Julio	2016	50	Zaragoza	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	8126	281835	34,68311592419394536057100664533595865124
Julio 2016	201607	Julio	2016	50	Zaragoza	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	565	0	0
Julio 2016	201607	Julio	2016	50	Zaragoza	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	379	13571	35,8073878627968337730870712401055408971
Julio 2016	201607	Julio	2016	50	Zaragoza	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	1257	0	0
Julio 2016	201607	Julio	2016	50	Zaragoza	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	1168	32103	27,48544520547945205479452054794520547945
Julio 2016	201607	Julio	2016	50	Zaragoza	Hombres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	22	7920	360
Julio 2016	201607	Julio	2016	50	Zaragoza	Mujeres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	8	2876	359,5
Julio 2016	201607	Julio	2016	50	Zaragoza	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	23	0	0
Julio 2016	201607	Julio	2016	50	Zaragoza	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	40	49443	1236,075
Julio 2016	201607	Julio	2016	50	Zaragoza	Hombres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	13	13970	1074,615384615384615384615384615384615385
Julio 2016	201607	Julio	2016	50	Zaragoza	Hombres	Temporal	Ligados a la jubilación	6	Sust. Jubilación	Sust. Jubilación	1	2	720	360
Julio 2016	201607	Julio	2016	50	Zaragoza	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	6	0	0
Julio 2016	201607	Julio	2016	50	Zaragoza	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	17	21210	1247,647058823529411764705882352941176471
Julio 2016	201607	Julio	2016	50	Zaragoza	Mujeres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	14	16373	1169,5
Julio 2016	201607	Julio	2016	50	Zaragoza	Mujeres	Temporal	Ligados a la jubilación	6	Sust. Jubilación	Sust. Jubilación	1	1	360	360
Julio 2016	201607	Julio	2016	50	Zaragoza	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	23	7500	326,086956521739130434782608695652173913
Julio 2016	201607	Julio	2016	50	Zaragoza	Hombres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	120	26233	218,608333333333333333333333333333333333
Julio 2016	201607	Julio	2016	50	Zaragoza	Mujeres	Temporal	Ligados a la formación	7	Formación	Formación	1	20	5940	297
Julio 2016	201607	Julio	2016	50	Zaragoza	Mujeres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	91	22354	245,648351648351648351648351648351648352
Julio 2016	201607	Julio	2016	50	Zaragoza	Hombres	Temporal	Otros	8	Otros	Otros	0	8	0	0
Julio 2016	201607	Julio	2016	50	Zaragoza	Hombres	Temporal	Otros	8	Otros	Otros	1	16	2495	155,9375
Julio 2016	201607	Julio	2016	50	Zaragoza	Hombres	Temporal	Otros	8	Temp. Inserción	Temp. Inserción	1	35	6300	180
Julio 2016	201607	Julio	2016	50	Zaragoza	Mujeres	Temporal	Otros	8	Otros	Otros	0	6	0	0
Julio 2016	201607	Julio	2016	50	Zaragoza	Mujeres	Temporal	Otros	8	Otros	Otros	1	9	1530	170
Julio 2016	201607	Julio	2016	50	Zaragoza	Mujeres	Temporal	Otros	8	Temp. Inserción	Temp. Inserción	1	8	1440	180
Junio 2016	201606	Junio	2016	22	Huesca	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	3429	0	0
Junio 2016	201606	Junio	2016	22	Huesca	Hombres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	233	8084	34,69527896995708154506437768240343347639
Junio 2016	201606	Junio	2016	22	Huesca	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	0	1911	0	0
Junio 2016	201606	Junio	2016	22	Huesca	Mujeres	Temporal	Obra o servicio	1	Obra o servicio	Obra o servicio	1	160	4450	27,8125
Junio 2016	201606	Junio	2016	22	Huesca	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	3	0	0
Junio 2016	201606	Junio	2016	22	Huesca	Hombres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	2043	84419	41,32109642682329906999510523739598629466
Junio 2016	201606	Junio	2016	22	Huesca	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	0	5	0	0
Junio 2016	201606	Junio	2016	22	Huesca	Mujeres	Temporal	Eventual por circunstancias de la producción	2	Eventual producción	Eventual producción	1	1905	71714	37,64514435695538057742782152230971128609
Junio 2016	201606	Junio	2016	22	Huesca	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	0	75	0	0
Junio 2016	201606	Junio	2016	22	Huesca	Hombres	Temporal	Interinidad	3	Interinidad	Interinidad	1	23	832	36,17391304347826086956521739130434782609
Junio 2016	201606	Junio	2016	22	Huesca	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	0	268	0	0
Junio 2016	201606	Junio	2016	22	Huesca	Mujeres	Temporal	Interinidad	3	Interinidad	Interinidad	1	196	5521	28,16836734693877551020408163265306122449
Junio 2016	201606	Junio	2016	22	Huesca	Hombres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	3	751	250,333333333333333333333333333333333333
Junio 2016	201606	Junio	2016	22	Huesca	Mujeres	Temporal	Discapacitados	4	Temp. Minusv	Temp. Minusv	1	8	2880	360
Junio 2016	201606	Junio	2016	22	Huesca	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	0	1	0	0
Junio 2016	201606	Junio	2016	22	Huesca	Hombres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	5	5519	1103,8
Junio 2016	201606	Junio	2016	22	Huesca	Hombres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	6	5839	973,166666666666666666666666666666666667
Junio 2016	201606	Junio	2016	22	Huesca	Mujeres	Temporal	Ligados a la jubilación	6	Jubilación parcial	Jubilación parcial	1	3	4099	1366,333333333333333333333333333333333333
Junio 2016	201606	Junio	2016	22	Huesca	Mujeres	Temporal	Ligados a la jubilación	6	Relevo	Relevo	1	4	5127	1281,75
Junio 2016	201606	Junio	2016	22	Huesca	Hombres	Temporal	Ligados a la formación	7	Formación	Formación	1	1	360	360
Junio 2016	201606	Junio	2016	22	Huesca	Hombres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	29	6482	223,517241379310344827586206896551724138
Junio 2016	201606	Junio	2016	22	Huesca	Mujeres	Temporal	Ligados a la formación	7	Formación	Formación	1	1	360	360
Junio 2016	201606	Junio	2016	22	Huesca	Mujeres	Temporal	Ligados a la formación	7	Prácticas	Prácticas	1	15	4260	284
Junio 2016	201606	Junio	2016	22	Huesca	Hombres	Temporal	Otros	8	Otros	Otros	0	3	0	0
Junio 2016	201606	Junio	2016	22	Huesca	Hombres	Temporal	Otros	8	Otros	Otros	1	1	2	2
Junio 2016	201606	Junio	2016	22	Huesca	Hombres	Temporal	Otros	8	Temp. Inserción	Temp. Inserción	1	1	360	360
