Mes (código)	Mes y año	Dirección provincial (código)	Dirección provincial nombre	Temporalidad	Sexo	Afiliaciones en alta
201503	Marzo 2015	22	Huesca	Indefinido	Mujeres	17984
201503	Marzo 2015	44	Teruel	Indefinido	Hombres	11926
201503	Marzo 2015	44	Teruel	Indefinido	Mujeres	9081
201503	Marzo 2015	50	Zaragoza	Indefinido	Hombres	102194
201503	Marzo 2015	50	Zaragoza	Indefinido	Mujeres	94280
201506	Junio 2015	22	Huesca	Indefinido	Hombres	20942
201506	Junio 2015	22	Huesca	Indefinido	Mujeres	17684
201506	Junio 2015	44	Teruel	Indefinido	Hombres	12053
201506	Junio 2015	44	Teruel	Indefinido	Mujeres	8937
201506	Junio 2015	50	Zaragoza	Indefinido	Hombres	103069
201506	Junio 2015	50	Zaragoza	Indefinido	Mujeres	92204
201509	Septiembre 2015	22	Huesca	Indefinido	Hombres	20645
201509	Septiembre 2015	22	Huesca	Indefinido	Mujeres	17766
201509	Septiembre 2015	44	Teruel	Indefinido	Hombres	12111
201509	Septiembre 2015	44	Teruel	Indefinido	Mujeres	8994
201509	Septiembre 2015	50	Zaragoza	Indefinido	Hombres	103456
201509	Septiembre 2015	50	Zaragoza	Indefinido	Mujeres	94012
201512	Diciembre 2015	22	Huesca	Indefinido	Hombres	20941
201512	Diciembre 2015	22	Huesca	Indefinido	Mujeres	17965
201512	Diciembre 2015	44	Teruel	Indefinido	Hombres	12008
201512	Diciembre 2015	44	Teruel	Indefinido	Mujeres	9031
201512	Diciembre 2015	50	Zaragoza	Indefinido	Hombres	103909
201512	Diciembre 2015	50	Zaragoza	Indefinido	Mujeres	94960
201603	Marzo 2016	22	Huesca	Indefinido	Hombres	21249
201603	Marzo 2016	22	Huesca	Indefinido	Mujeres	18167
201603	Marzo 2016	44	Teruel	Indefinido	Hombres	12207
201603	Marzo 2016	44	Teruel	Indefinido	Mujeres	9127
201603	Marzo 2016	50	Zaragoza	Indefinido	Hombres	104991
201603	Marzo 2016	50	Zaragoza	Indefinido	Mujeres	95656
201606	Junio 2016	22	Huesca	Indefinido	Hombres	21871
201606	Junio 2016	22	Huesca	Indefinido	Mujeres	17971
201606	Junio 2016	44	Teruel	Indefinido	Hombres	12320
201606	Junio 2016	44	Teruel	Indefinido	Mujeres	9006
201606	Junio 2016	50	Zaragoza	Indefinido	Hombres	106222
201606	Junio 2016	50	Zaragoza	Indefinido	Mujeres	93114
201609	Septiembre 2016	22	Huesca	Indefinido	Hombres	21529
201609	Septiembre 2016	22	Huesca	Indefinido	Mujeres	18090
201609	Septiembre 2016	44	Teruel	Indefinido	Hombres	12467
201609	Septiembre 2016	44	Teruel	Indefinido	Mujeres	9112
201609	Septiembre 2016	50	Zaragoza	Indefinido	Hombres	106682
201609	Septiembre 2016	50	Zaragoza	Indefinido	Mujeres	96070
201612	Diciembre 2016	22	Huesca	Indefinido	Hombres	21944
201612	Diciembre 2016	22	Huesca	Indefinido	Mujeres	18429
201612	Diciembre 2016	44	Teruel	Indefinido	Hombres	12364
201612	Diciembre 2016	44	Teruel	Indefinido	Mujeres	9156
201612	Diciembre 2016	50	Zaragoza	Indefinido	Hombres	107528
201612	Diciembre 2016	50	Zaragoza	Indefinido	Mujeres	97285
201003	Marzo 2010	22	Huesca	Temporal	Hombres	9967
201003	Marzo 2010	22	Huesca	Temporal	Mujeres	8587
201003	Marzo 2010	44	Teruel	Temporal	Hombres	5843
201003	Marzo 2010	44	Teruel	Temporal	Mujeres	5068
201003	Marzo 2010	50	Zaragoza	Temporal	Hombres	40886
201003	Marzo 2010	50	Zaragoza	Temporal	Mujeres	38006
201006	Junio 2010	22	Huesca	Temporal	Hombres	10583
201006	Junio 2010	22	Huesca	Temporal	Mujeres	8813
201006	Junio 2010	44	Teruel	Temporal	Hombres	6283
201006	Junio 2010	44	Teruel	Temporal	Mujeres	5102
201006	Junio 2010	50	Zaragoza	Temporal	Hombres	44622
201006	Junio 2010	50	Zaragoza	Temporal	Mujeres	39138
201009	Septiembre 2010	22	Huesca	Temporal	Hombres	9682
201009	Septiembre 2010	22	Huesca	Temporal	Mujeres	8487
201009	Septiembre 2010	44	Teruel	Temporal	Hombres	6367
201009	Septiembre 2010	44	Teruel	Temporal	Mujeres	5246
201009	Septiembre 2010	50	Zaragoza	Temporal	Hombres	43806
201009	Septiembre 2010	50	Zaragoza	Temporal	Mujeres	38648
201012	Diciembre 2010	22	Huesca	Temporal	Hombres	9243
201012	Diciembre 2010	22	Huesca	Temporal	Mujeres	8611
201012	Diciembre 2010	44	Teruel	Temporal	Hombres	5814
201012	Diciembre 2010	44	Teruel	Temporal	Mujeres	4939
201012	Diciembre 2010	50	Zaragoza	Temporal	Hombres	40364
201012	Diciembre 2010	50	Zaragoza	Temporal	Mujeres	39279
201103	Marzo 2011	22	Huesca	Temporal	Hombres	8930
201103	Marzo 2011	22	Huesca	Temporal	Mujeres	7801
201103	Marzo 2011	44	Teruel	Temporal	Hombres	5486
201103	Marzo 2011	44	Teruel	Temporal	Mujeres	4507
201103	Marzo 2011	50	Zaragoza	Temporal	Hombres	41221
201103	Marzo 2011	50	Zaragoza	Temporal	Mujeres	36555
201106	Junio 2011	22	Huesca	Temporal	Hombres	9642
201106	Junio 2011	22	Huesca	Temporal	Mujeres	8469
201106	Junio 2011	44	Teruel	Temporal	Hombres	5753
201106	Junio 2011	44	Teruel	Temporal	Mujeres	4742
201106	Junio 2011	50	Zaragoza	Temporal	Hombres	42114
201106	Junio 2011	50	Zaragoza	Temporal	Mujeres	36885
201109	Septiembre 2011	22	Huesca	Temporal	Hombres	8814
201109	Septiembre 2011	22	Huesca	Temporal	Mujeres	7756
201109	Septiembre 2011	44	Teruel	Temporal	Hombres	5548
201109	Septiembre 2011	44	Teruel	Temporal	Mujeres	4808
201109	Septiembre 2011	50	Zaragoza	Temporal	Hombres	41906
201109	Septiembre 2011	50	Zaragoza	Temporal	Mujeres	37655
201112	Diciembre 2011	22	Huesca	Temporal	Hombres	8338
201112	Diciembre 2011	22	Huesca	Temporal	Mujeres	7955
201112	Diciembre 2011	44	Teruel	Temporal	Hombres	4992
201112	Diciembre 2011	44	Teruel	Temporal	Mujeres	4542
201112	Diciembre 2011	50	Zaragoza	Temporal	Hombres	37330
201112	Diciembre 2011	50	Zaragoza	Temporal	Mujeres	36375
201203	Marzo 2012	22	Huesca	Temporal	Hombres	9085
201203	Marzo 2012	22	Huesca	Temporal	Mujeres	7719
201203	Marzo 2012	44	Teruel	Temporal	Hombres	4955
201203	Marzo 2012	44	Teruel	Temporal	Mujeres	4368
201203	Marzo 2012	50	Zaragoza	Temporal	Hombres	38791
201203	Marzo 2012	50	Zaragoza	Temporal	Mujeres	35237
201206	Junio 2012	22	Huesca	Temporal	Hombres	12071
201206	Junio 2012	22	Huesca	Temporal	Mujeres	9794
201206	Junio 2012	44	Teruel	Temporal	Hombres	5420
201206	Junio 2012	44	Teruel	Temporal	Mujeres	5041
201206	Junio 2012	50	Zaragoza	Temporal	Hombres	45070
201206	Junio 2012	50	Zaragoza	Temporal	Mujeres	38504
201209	Septiembre 2012	22	Huesca	Temporal	Hombres	9340
201209	Septiembre 2012	22	Huesca	Temporal	Mujeres	8292
201209	Septiembre 2012	44	Teruel	Temporal	Hombres	5399
201209	Septiembre 2012	44	Teruel	Temporal	Mujeres	5333
201209	Septiembre 2012	50	Zaragoza	Temporal	Hombres	42638
201209	Septiembre 2012	50	Zaragoza	Temporal	Mujeres	39353
201212	Diciembre 2012	22	Huesca	Temporal	Hombres	8632
201212	Diciembre 2012	22	Huesca	Temporal	Mujeres	8110
201212	Diciembre 2012	44	Teruel	Temporal	Hombres	4573
201212	Diciembre 2012	44	Teruel	Temporal	Mujeres	4593
201212	Diciembre 2012	50	Zaragoza	Temporal	Hombres	36283
201212	Diciembre 2012	50	Zaragoza	Temporal	Mujeres	38170
201303	Marzo 2013	22	Huesca	Temporal	Hombres	8681
201303	Marzo 2013	22	Huesca	Temporal	Mujeres	7902
201303	Marzo 2013	44	Teruel	Temporal	Hombres	4411
201303	Marzo 2013	44	Teruel	Temporal	Mujeres	4423
201303	Marzo 2013	50	Zaragoza	Temporal	Hombres	35000
201303	Marzo 2013	50	Zaragoza	Temporal	Mujeres	35610
201306	Junio 2013	22	Huesca	Temporal	Hombres	12395
201306	Junio 2013	22	Huesca	Temporal	Mujeres	9738
201306	Junio 2013	44	Teruel	Temporal	Hombres	5262
201306	Junio 2013	44	Teruel	Temporal	Mujeres	5088
201306	Junio 2013	50	Zaragoza	Temporal	Hombres	42903
201306	Junio 2013	50	Zaragoza	Temporal	Mujeres	39478
201309	Septiembre 2013	22	Huesca	Temporal	Hombres	9454
201309	Septiembre 2013	22	Huesca	Temporal	Mujeres	8336
201309	Septiembre 2013	44	Teruel	Temporal	Hombres	5429
201309	Septiembre 2013	44	Teruel	Temporal	Mujeres	5102
201309	Septiembre 2013	50	Zaragoza	Temporal	Hombres	40476
201309	Septiembre 2013	50	Zaragoza	Temporal	Mujeres	38154
201312	Diciembre 2013	22	Huesca	Temporal	Hombres	9071
201312	Diciembre 2013	22	Huesca	Temporal	Mujeres	8426
201312	Diciembre 2013	44	Teruel	Temporal	Hombres	4860
201312	Diciembre 2013	44	Teruel	Temporal	Mujeres	4614
201312	Diciembre 2013	50	Zaragoza	Temporal	Hombres	35959
201312	Diciembre 2013	50	Zaragoza	Temporal	Mujeres	38527
201403	Marzo 2014	22	Huesca	Temporal	Hombres	9145
201403	Marzo 2014	22	Huesca	Temporal	Mujeres	8098
201403	Marzo 2014	44	Teruel	Temporal	Hombres	4840
201403	Marzo 2014	44	Teruel	Temporal	Mujeres	4422
201403	Marzo 2014	50	Zaragoza	Temporal	Hombres	37801
201403	Marzo 2014	50	Zaragoza	Temporal	Mujeres	37958
201406	Junio 2014	22	Huesca	Temporal	Hombres	13323
201406	Junio 2014	22	Huesca	Temporal	Mujeres	10496
201406	Junio 2014	44	Teruel	Temporal	Hombres	5726
201406	Junio 2014	44	Teruel	Temporal	Mujeres	5124
201406	Junio 2014	50	Zaragoza	Temporal	Hombres	46550
201406	Junio 2014	50	Zaragoza	Temporal	Mujeres	41844
201409	Septiembre 2014	22	Huesca	Temporal	Hombres	9287
201409	Septiembre 2014	22	Huesca	Temporal	Mujeres	8554
201409	Septiembre 2014	44	Teruel	Temporal	Hombres	5559
201409	Septiembre 2014	44	Teruel	Temporal	Mujeres	5106
201409	Septiembre 2014	50	Zaragoza	Temporal	Hombres	42517
201409	Septiembre 2014	50	Zaragoza	Temporal	Mujeres	40013
201412	Diciembre 2014	22	Huesca	Temporal	Hombres	9190
201412	Diciembre 2014	22	Huesca	Temporal	Mujeres	8904
201412	Diciembre 2014	44	Teruel	Temporal	Hombres	4926
201412	Diciembre 2014	44	Teruel	Temporal	Mujeres	4695
201412	Diciembre 2014	50	Zaragoza	Temporal	Hombres	38178
201412	Diciembre 2014	50	Zaragoza	Temporal	Mujeres	40924
201503	Marzo 2015	22	Huesca	Temporal	Hombres	9706
201503	Marzo 2015	22	Huesca	Temporal	Mujeres	8966
201503	Marzo 2015	44	Teruel	Temporal	Hombres	5215
201503	Marzo 2015	44	Teruel	Temporal	Mujeres	4727
201503	Marzo 2015	50	Zaragoza	Temporal	Hombres	40394
201503	Marzo 2015	50	Zaragoza	Temporal	Mujeres	39756
201506	Junio 2015	22	Huesca	Temporal	Hombres	14463
201506	Junio 2015	22	Huesca	Temporal	Mujeres	11038
201506	Junio 2015	44	Teruel	Temporal	Hombres	6051
201506	Junio 2015	44	Teruel	Temporal	Mujeres	5393
201506	Junio 2015	50	Zaragoza	Temporal	Hombres	48444
201506	Junio 2015	50	Zaragoza	Temporal	Mujeres	43581
201509	Septiembre 2015	22	Huesca	Temporal	Hombres	10377
201509	Septiembre 2015	22	Huesca	Temporal	Mujeres	9035
201509	Septiembre 2015	44	Teruel	Temporal	Hombres	6056
201509	Septiembre 2015	44	Teruel	Temporal	Mujeres	5329
201509	Septiembre 2015	50	Zaragoza	Temporal	Hombres	45498
201509	Septiembre 2015	50	Zaragoza	Temporal	Mujeres	42279
201512	Diciembre 2015	22	Huesca	Temporal	Hombres	10361
201512	Diciembre 2015	22	Huesca	Temporal	Mujeres	9459
201512	Diciembre 2015	44	Teruel	Temporal	Hombres	5493
201512	Diciembre 2015	44	Teruel	Temporal	Mujeres	5145
201512	Diciembre 2015	50	Zaragoza	Temporal	Hombres	41153
201512	Diciembre 2015	50	Zaragoza	Temporal	Mujeres	43580
201603	Marzo 2016	22	Huesca	Temporal	Hombres	10278
201603	Marzo 2016	22	Huesca	Temporal	Mujeres	9142
201603	Marzo 2016	44	Teruel	Temporal	Hombres	5640
201603	Marzo 2016	44	Teruel	Temporal	Mujeres	5149
201603	Marzo 2016	50	Zaragoza	Temporal	Hombres	42393
201603	Marzo 2016	50	Zaragoza	Temporal	Mujeres	42815
201606	Junio 2016	22	Huesca	Temporal	Hombres	14533
201606	Junio 2016	22	Huesca	Temporal	Mujeres	11336
201606	Junio 2016	44	Teruel	Temporal	Hombres	6499
201606	Junio 2016	44	Teruel	Temporal	Mujeres	5772
201606	Junio 2016	50	Zaragoza	Temporal	Hombres	52090
201606	Junio 2016	50	Zaragoza	Temporal	Mujeres	46524
201609	Septiembre 2016	22	Huesca	Temporal	Hombres	10959
201609	Septiembre 2016	22	Huesca	Temporal	Mujeres	9767
201609	Septiembre 2016	44	Teruel	Temporal	Hombres	6082
201609	Septiembre 2016	44	Teruel	Temporal	Mujeres	5596
201609	Septiembre 2016	50	Zaragoza	Temporal	Hombres	47395
201609	Septiembre 2016	50	Zaragoza	Temporal	Mujeres	44866
201612	Diciembre 2016	22	Huesca	Temporal	Hombres	11046
201612	Diciembre 2016	22	Huesca	Temporal	Mujeres	10122
201612	Diciembre 2016	44	Teruel	Temporal	Hombres	5668
201612	Diciembre 2016	44	Teruel	Temporal	Mujeres	5458
201612	Diciembre 2016	50	Zaragoza	Temporal	Hombres	43091
201612	Diciembre 2016	50	Zaragoza	Temporal	Mujeres	45580
201003	Marzo 2010	22	Huesca	Sin clasificar	Hombres	2446
201003	Marzo 2010	22	Huesca	Sin clasificar	Mujeres	3503
201003	Marzo 2010	44	Teruel	Sin clasificar	Hombres	1735
201003	Marzo 2010	44	Teruel	Sin clasificar	Mujeres	2415
201003	Marzo 2010	50	Zaragoza	Sin clasificar	Hombres	10421
201003	Marzo 2010	50	Zaragoza	Sin clasificar	Mujeres	14709
201006	Junio 2010	22	Huesca	Sin clasificar	Hombres	2450
201006	Junio 2010	22	Huesca	Sin clasificar	Mujeres	3435
201006	Junio 2010	44	Teruel	Sin clasificar	Hombres	1728
201006	Junio 2010	44	Teruel	Sin clasificar	Mujeres	2402
201006	Junio 2010	50	Zaragoza	Sin clasificar	Hombres	10374
201006	Junio 2010	50	Zaragoza	Sin clasificar	Mujeres	14673
201009	Septiembre 2010	22	Huesca	Sin clasificar	Hombres	2466
201009	Septiembre 2010	22	Huesca	Sin clasificar	Mujeres	3476
201009	Septiembre 2010	44	Teruel	Sin clasificar	Hombres	1716
201009	Septiembre 2010	44	Teruel	Sin clasificar	Mujeres	2492
201009	Septiembre 2010	50	Zaragoza	Sin clasificar	Hombres	10371
201009	Septiembre 2010	50	Zaragoza	Sin clasificar	Mujeres	14698
201012	Diciembre 2010	22	Huesca	Sin clasificar	Hombres	2482
201012	Diciembre 2010	22	Huesca	Sin clasificar	Mujeres	3616
201012	Diciembre 2010	44	Teruel	Sin clasificar	Hombres	1706
201012	Diciembre 2010	44	Teruel	Sin clasificar	Mujeres	2577
201012	Diciembre 2010	50	Zaragoza	Sin clasificar	Hombres	10610
201012	Diciembre 2010	50	Zaragoza	Sin clasificar	Mujeres	15305
201103	Marzo 2011	22	Huesca	Sin clasificar	Hombres	2496
201103	Marzo 2011	22	Huesca	Sin clasificar	Mujeres	3738
201103	Marzo 2011	44	Teruel	Sin clasificar	Hombres	1726
201103	Marzo 2011	44	Teruel	Sin clasificar	Mujeres	2698
201103	Marzo 2011	50	Zaragoza	Sin clasificar	Hombres	10659
201103	Marzo 2011	50	Zaragoza	Sin clasificar	Mujeres	15988
201106	Junio 2011	22	Huesca	Sin clasificar	Hombres	2460
201106	Junio 2011	22	Huesca	Sin clasificar	Mujeres	3663
201106	Junio 2011	44	Teruel	Sin clasificar	Hombres	1693
201106	Junio 2011	44	Teruel	Sin clasificar	Mujeres	2656
201106	Junio 2011	50	Zaragoza	Sin clasificar	Hombres	10689
201106	Junio 2011	50	Zaragoza	Sin clasificar	Mujeres	15709
201109	Septiembre 2011	22	Huesca	Sin clasificar	Hombres	2328
201109	Septiembre 2011	22	Huesca	Sin clasificar	Mujeres	3758
201109	Septiembre 2011	44	Teruel	Sin clasificar	Hombres	1699
201109	Septiembre 2011	44	Teruel	Sin clasificar	Mujeres	2722
201109	Septiembre 2011	50	Zaragoza	Sin clasificar	Hombres	10472
201109	Septiembre 2011	50	Zaragoza	Sin clasificar	Mujeres	16067
201112	Diciembre 2011	22	Huesca	Sin clasificar	Hombres	2346
201112	Diciembre 2011	22	Huesca	Sin clasificar	Mujeres	3829
201112	Diciembre 2011	44	Teruel	Sin clasificar	Hombres	1709
201112	Diciembre 2011	44	Teruel	Sin clasificar	Mujeres	2722
201112	Diciembre 2011	50	Zaragoza	Sin clasificar	Hombres	11013
201112	Diciembre 2011	50	Zaragoza	Sin clasificar	Mujeres	16680
201203	Marzo 2012	22	Huesca	Sin clasificar	Hombres	3764
201203	Marzo 2012	22	Huesca	Sin clasificar	Mujeres	4115
201203	Marzo 2012	44	Teruel	Sin clasificar	Hombres	2486
201203	Marzo 2012	44	Teruel	Sin clasificar	Mujeres	2947
201203	Marzo 2012	50	Zaragoza	Sin clasificar	Hombres	14905
201203	Marzo 2012	50	Zaragoza	Sin clasificar	Mujeres	17717
201206	Junio 2012	22	Huesca	Sin clasificar	Hombres	4073
201206	Junio 2012	22	Huesca	Sin clasificar	Mujeres	4174
201206	Junio 2012	44	Teruel	Sin clasificar	Hombres	2491
201206	Junio 2012	44	Teruel	Sin clasificar	Mujeres	2968
201206	Junio 2012	50	Zaragoza	Sin clasificar	Hombres	14347
201206	Junio 2012	50	Zaragoza	Sin clasificar	Mujeres	17364
201209	Septiembre 2012	22	Huesca	Sin clasificar	Hombres	3916
201209	Septiembre 2012	22	Huesca	Sin clasificar	Mujeres	4176
201209	Septiembre 2012	44	Teruel	Sin clasificar	Hombres	2524
201209	Septiembre 2012	44	Teruel	Sin clasificar	Mujeres	3037
201209	Septiembre 2012	50	Zaragoza	Sin clasificar	Hombres	14338
201209	Septiembre 2012	50	Zaragoza	Sin clasificar	Mujeres	17292
201212	Diciembre 2012	22	Huesca	Sin clasificar	Hombres	3637
201212	Diciembre 2012	22	Huesca	Sin clasificar	Mujeres	4052
201212	Diciembre 2012	44	Teruel	Sin clasificar	Hombres	2335
201212	Diciembre 2012	44	Teruel	Sin clasificar	Mujeres	2851
201212	Diciembre 2012	50	Zaragoza	Sin clasificar	Hombres	13438
201212	Diciembre 2012	50	Zaragoza	Sin clasificar	Mujeres	16919
201303	Marzo 2013	22	Huesca	Sin clasificar	Hombres	3411
201303	Marzo 2013	22	Huesca	Sin clasificar	Mujeres	3926
201303	Marzo 2013	44	Teruel	Sin clasificar	Hombres	2246
201303	Marzo 2013	44	Teruel	Sin clasificar	Mujeres	2812
201303	Marzo 2013	50	Zaragoza	Sin clasificar	Hombres	12689
201303	Marzo 2013	50	Zaragoza	Sin clasificar	Mujeres	16645
201306	Junio 2013	22	Huesca	Sin clasificar	Hombres	3325
