Mes y año	Mes (código)	Sexo	Número de contratos	Año	CCAA nombre
Agosto 2008	200808	Hombres	16950	2008	Aragón
Julio 2008	200807	Hombres	25586	2008	Aragón
Junio 2008	200806	Hombres	25241	2008	Aragón
Mayo 2008	200805	Hombres	25284	2008	Aragón
Abril 2008	200804	Hombres	22564	2008	Aragón
Marzo 2008	200803	Hombres	18947	2008	Aragón
Febrero 2008	200802	Hombres	22098	2008	Aragón
Enero 2008	200801	Hombres	22374	2008	Aragón
Diciembre 2007	200712	Hombres	15564	2007	Aragón
Noviembre 2007	200711	Hombres	21202	2007	Aragón
Octubre 2007	200710	Hombres	27329	2007	Aragón
Septiembre 2007	200709	Hombres	24190	2007	Aragón
Agosto 2007	200708	Hombres	20212	2007	Aragón
Julio 2007	200707	Hombres	26682	2007	Aragón
Junio 2007	200706	Hombres	25674	2007	Aragón
Mayo 2007	200705	Hombres	26751	2007	Aragón
Abril 2007	200704	Hombres	19432	2007	Aragón
Marzo 2007	200703	Hombres	21533	2007	Aragón
Febrero 2007	200702	Hombres	20437	2007	Aragón
Enero 2007	200701	Hombres	22993	2007	Aragón
Diciembre 2006	200612	Hombres	18427	2006	Aragón
Noviembre 2006	200611	Hombres	23018	2006	Aragón
Octubre 2006	200610	Hombres	24985	2006	Aragón
Septiembre 2006	200609	Hombres	24090	2006	Aragón
Agosto 2006	200608	Hombres	21011	2006	Aragón
Julio 2006	200607	Hombres	26598	2006	Aragón
Junio 2006	200606	Hombres	26410	2006	Aragón
Mayo 2006	200605	Hombres	27244	2006	Aragón
Abril 2006	200604	Hombres	17838	2006	Aragón
Marzo 2006	200603	Hombres	21329	2006	Aragón
Febrero 2006	200602	Hombres	19737	2006	Aragón
Enero 2006	200601	Hombres	19907	2006	Aragón
Diciembre 2005	200512	Hombres	15672	2005	Aragón
Noviembre 2005	200511	Hombres	20114	2005	Aragón
Octubre 2005	200510	Hombres	20265	2005	Aragón
Septiembre 2005	200509	Hombres	23657	2005	Aragón
Agosto 2005	200508	Hombres	19962	2005	Aragón
Julio 2005	200507	Hombres	24343	2005	Aragón
Junio 2005	200506	Hombres	26298	2005	Aragón
Mayo 2005	200505	Hombres	23853	2005	Aragón
Enero 2021	202101	Mujeres	14757	2021	Aragón
Diciembre 2020	202012	Mujeres	14594	2020	Aragón
Noviembre 2020	202011	Mujeres	16887	2020	Aragón
Octubre 2020	202010	Mujeres	20310	2020	Aragón
Septiembre 2020	202009	Mujeres	21736	2020	Aragón
Agosto 2020	202008	Mujeres	15740	2020	Aragón
Julio 2020	202007	Mujeres	20383	2020	Aragón
Junio 2020	202006	Mujeres	15704	2020	Aragón
Mayo 2020	202005	Mujeres	11136	2020	Aragón
Abril 2020	202004	Mujeres	7382	2020	Aragón
Marzo 2020	202003	Mujeres	15455	2020	Aragón
Febrero 2020	202002	Mujeres	20631	2020	Aragón
Enero 2020	202001	Mujeres	21502	2020	Aragón
Diciembre 2019	201912	Mujeres	21124	2019	Aragón
Noviembre 2019	201911	Mujeres	22095	2019	Aragón
Octubre 2019	201910	Mujeres	29099	2019	Aragón
Septiembre 2019	201909	Mujeres	28031	2019	Aragón
Agosto 2019	201908	Mujeres	20309	2019	Aragón
Julio 2019	201907	Mujeres	28811	2019	Aragón
Junio 2019	201906	Mujeres	27592	2019	Aragón
Mayo 2019	201905	Mujeres	28134	2019	Aragón
Abril 2019	201904	Mujeres	21007	2019	Aragón
Marzo 2019	201903	Mujeres	20820	2019	Aragón
Febrero 2019	201902	Mujeres	19236	2019	Aragón
Enero 2019	201901	Mujeres	22038	2019	Aragón
Diciembre 2018	201812	Mujeres	20439	2018	Aragón
Noviembre 2018	201811	Mujeres	22794	2018	Aragón
Octubre 2018	201810	Mujeres	29973	2018	Aragón
Septiembre 2018	201809	Mujeres	27202	2018	Aragón
Agosto 2018	201808	Mujeres	22535	2018	Aragón
Julio 2018	201807	Mujeres	28072	2018	Aragón
Junio 2018	201806	Mujeres	28663	2018	Aragón
Mayo 2018	201805	Mujeres	27864	2018	Aragón
Abril 2018	201804	Mujeres	21947	2018	Aragón
Marzo 2018	201803	Mujeres	20658	2018	Aragón
Febrero 2018	201802	Mujeres	19900	2018	Aragón
Enero 2018	201801	Mujeres	20842	2018	Aragón
Diciembre 2017	201712	Mujeres	20151	2017	Aragón
Noviembre 2017	201711	Mujeres	22593	2017	Aragón
Octubre 2017	201710	Mujeres	27523	2017	Aragón
Septiembre 2017	201709	Mujeres	27764	2017	Aragón
Agosto 2017	201708	Mujeres	21524	2017	Aragón
Julio 2017	201707	Mujeres	25008	2017	Aragón
Junio 2017	201706	Mujeres	28289	2017	Aragón
Mayo 2017	201705	Mujeres	28582	2017	Aragón
Abril 2017	201704	Mujeres	20675	2017	Aragón
Marzo 2017	201703	Mujeres	20841	2017	Aragón
Febrero 2017	201702	Mujeres	17725	2017	Aragón
Enero 2017	201701	Mujeres	19111	2017	Aragón
Diciembre 2016	201612	Mujeres	19728	2016	Aragón
Noviembre 2016	201611	Mujeres	21980	2016	Aragón
Octubre 2016	201610	Mujeres	23929	2016	Aragón
Septiembre 2016	201609	Mujeres	24409	2016	Aragón
Agosto 2016	201608	Mujeres	19549	2016	Aragón
Julio 2016	201607	Mujeres	23556	2016	Aragón
Junio 2016	201606	Mujeres	25356	2016	Aragón
Mayo 2016	201605	Mujeres	24025	2016	Aragón
Abril 2016	201604	Mujeres	17979	2016	Aragón
Marzo 2016	201603	Mujeres	18726	2016	Aragón
Febrero 2016	201602	Mujeres	16768	2016	Aragón
Enero 2016	201601	Mujeres	16207	2016	Aragón
Diciembre 2015	201512	Mujeres	18278	2015	Aragón
Noviembre 2015	201511	Mujeres	17436	2015	Aragón
Octubre 2015	201510	Mujeres	21640	2015	Aragón
Septiembre 2015	201509	Mujeres	21945	2015	Aragón
Agosto 2015	201508	Mujeres	16225	2015	Aragón
Julio 2015	201507	Mujeres	23011	2015	Aragón
Junio 2015	201506	Mujeres	22401	2015	Aragón
Mayo 2015	201505	Mujeres	20640	2015	Aragón
Abril 2015	201504	Mujeres	16140	2015	Aragón
Marzo 2015	201503	Mujeres	16556	2015	Aragón
Febrero 2015	201502	Mujeres	14061	2015	Aragón
Enero 2015	201501	Mujeres	16032	2015	Aragón
Diciembre 2014	201412	Mujeres	15766	2014	Aragón
Noviembre 2014	201411	Mujeres	15569	2014	Aragón
Octubre 2014	201410	Mujeres	20213	2014	Aragón
Septiembre 2014	201409	Mujeres	20447	2014	Aragón
Agosto 2014	201408	Mujeres	15339	2014	Aragón
Julio 2014	201407	Mujeres	21648	2014	Aragón
Junio 2014	201406	Mujeres	20618	2014	Aragón
Mayo 2014	201405	Mujeres	20043	2014	Aragón
Abril 2014	201404	Mujeres	15425	2014	Aragón
Marzo 2014	201403	Mujeres	13249	2014	Aragón
Febrero 2014	201402	Mujeres	12621	2014	Aragón
Enero 2014	201401	Mujeres	13581	2014	Aragón
Diciembre 2013	201312	Mujeres	14325	2013	Aragón
Noviembre 2013	201311	Mujeres	13742	2013	Aragón
Octubre 2013	201310	Mujeres	18776	2013	Aragón
Septiembre 2013	201309	Mujeres	17664	2013	Aragón
Agosto 2013	201308	Mujeres	13532	2013	Aragón
Julio 2013	201307	Mujeres	19467	2013	Aragón
Junio 2013	201306	Mujeres	16744	2013	Aragón
Mayo 2013	201305	Mujeres	16349	2013	Aragón
Abril 2013	201304	Mujeres	12670	2013	Aragón
Marzo 2013	201303	Mujeres	11206	2013	Aragón
Febrero 2013	201302	Mujeres	10194	2013	Aragón
Enero 2013	201301	Mujeres	12493	2013	Aragón
Diciembre 2012	201212	Mujeres	11990	2012	Aragón
Noviembre 2012	201211	Mujeres	13631	2012	Aragón
Octubre 2012	201210	Mujeres	18572	2012	Aragón
Septiembre 2012	201209	Mujeres	17635	2012	Aragón
Agosto 2012	201208	Mujeres	14388	2012	Aragón
Julio 2012	201207	Mujeres	21866	2012	Aragón
Junio 2012	201206	Mujeres	20460	2012	Aragón
Mayo 2012	201205	Mujeres	17603	2012	Aragón
Abril 2012	201204	Mujeres	12486	2012	Aragón
Marzo 2012	201203	Mujeres	13350	2012	Aragón
Febrero 2012	201202	Mujeres	12650	2012	Aragón
Enero 2012	201201	Mujeres	12214	2012	Aragón
Diciembre 2011	201112	Mujeres	12163	2011	Aragón
Noviembre 2011	201111	Mujeres	13568	2011	Aragón
Octubre 2011	201110	Mujeres	16390	2011	Aragón
Septiembre 2011	201109	Mujeres	17833	2011	Aragón
Agosto 2011	201108	Mujeres	13669	2011	Aragón
Julio 2011	201107	Mujeres	17593	2011	Aragón
Junio 2011	201106	Mujeres	18867	2011	Aragón
Mayo 2011	201105	Mujeres	18290	2011	Aragón
Abril 2011	201104	Mujeres	13243	2011	Aragón
Marzo 2011	201103	Mujeres	13166	2011	Aragón
Febrero 2011	201102	Mujeres	11294	2011	Aragón
Enero 2011	201101	Mujeres	12137	2011	Aragón
Diciembre 2010	201012	Mujeres	13359	2010	Aragón
Noviembre 2010	201011	Mujeres	14607	2010	Aragón
Octubre 2010	201010	Mujeres	16422	2010	Aragón
Septiembre 2010	201009	Mujeres	18760	2010	Aragón
Agosto 2010	201008	Mujeres	13257	2010	Aragón
Julio 2010	201007	Mujeres	18157	2010	Aragón
Junio 2010	201006	Mujeres	18391	2010	Aragón
Mayo 2010	201005	Mujeres	16041	2010	Aragón
Abril 2010	201004	Mujeres	12073	2010	Aragón
Marzo 2010	201003	Mujeres	13180	2010	Aragón
Febrero 2010	201002	Mujeres	11212	2010	Aragón
Enero 2010	201001	Mujeres	11615	2010	Aragón
Diciembre 2009	200912	Mujeres	12883	2009	Aragón
Noviembre 2009	200911	Mujeres	14110	2009	Aragón
Octubre 2009	200910	Mujeres	17507	2009	Aragón
Septiembre 2009	200909	Mujeres	18392	2009	Aragón
Agosto 2009	200908	Mujeres	12002	2009	Aragón
Julio 2009	200907	Mujeres	17872	2009	Aragón
Junio 2009	200906	Mujeres	17944	2009	Aragón
Mayo 2009	200905	Mujeres	14262	2009	Aragón
Abril 2009	200904	Mujeres	11942	2009	Aragón
Marzo 2009	200903	Mujeres	12127	2009	Aragón
Febrero 2009	200902	Mujeres	11249	2009	Aragón
Enero 2009	200901	Mujeres	12824	2009	Aragón
Diciembre 2008	200812	Mujeres	13323	2008	Aragón
Noviembre 2008	200811	Mujeres	14654	2008	Aragón
Octubre 2008	200810	Mujeres	20005	2008	Aragón
Septiembre 2008	200809	Mujeres	21379	2008	Aragón
Agosto 2008	200808	Mujeres	14274	2008	Aragón
Julio 2008	200807	Mujeres	22872	2008	Aragón
Junio 2008	200806	Mujeres	22732	2008	Aragón
Mayo 2008	200805	Mujeres	20927	2008	Aragón
Abril 2008	200804	Mujeres	17840	2008	Aragón
Marzo 2008	200803	Mujeres	15538	2008	Aragón
Febrero 2008	200802	Mujeres	16525	2008	Aragón
Enero 2008	200801	Mujeres	18519	2008	Aragón
Diciembre 2007	200712	Mujeres	14989	2007	Aragón
Noviembre 2007	200711	Mujeres	18903	2007	Aragón
Octubre 2007	200710	Mujeres	24760	2007	Aragón
Septiembre 2007	200709	Mujeres	20651	2007	Aragón
Agosto 2007	200708	Mujeres	15467	2007	Aragón
Julio 2007	200707	Mujeres	22789	2007	Aragón
Junio 2007	200706	Mujeres	20454	2007	Aragón
Mayo 2007	200705	Mujeres	21015	2007	Aragón
Abril 2007	200704	Mujeres	15687	2007	Aragón
Marzo 2007	200703	Mujeres	16925	2007	Aragón
Febrero 2007	200702	Mujeres	15880	2007	Aragón
Enero 2007	200701	Mujeres	19184	2007	Aragón
Diciembre 2006	200612	Mujeres	17109	2006	Aragón
Noviembre 2006	200611	Mujeres	20401	2006	Aragón
Octubre 2006	200610	Mujeres	22672	2006	Aragón
Septiembre 2006	200609	Mujeres	21046	2006	Aragón
Agosto 2006	200608	Mujeres	16011	2006	Aragón
Julio 2006	200607	Mujeres	21514	2006	Aragón
Junio 2006	200606	Mujeres	20492	2006	Aragón
Mayo 2006	200605	Mujeres	19758	2006	Aragón
Abril 2006	200604	Mujeres	14487	2006	Aragón
Marzo 2006	200603	Mujeres	16586	2006	Aragón
Febrero 2006	200602	Mujeres	15542	2006	Aragón
Enero 2006	200601	Mujeres	15826	2006	Aragón
Diciembre 2005	200512	Mujeres	15158	2005	Aragón
Noviembre 2005	200511	Mujeres	16993	2005	Aragón
Octubre 2005	200510	Mujeres	18847	2005	Aragón
Septiembre 2005	200509	Mujeres	20460	2005	Aragón
Agosto 2005	200508	Mujeres	14844	2005	Aragón
Julio 2005	200507	Mujeres	19536	2005	Aragón
Junio 2005	200506	Mujeres	19503	2005	Aragón
Mayo 2005	200505	Mujeres	17492	2005	Aragón
