Mes (código)	Mes y año	Comarca código	Comarca nombre	Sexo	Afiliaciones en alta
201709	Septiembre 2017	11	Bajo Cinca / Baix Cinca	Hombres	360
201709	Septiembre 2017	12	Tarazona y el Moncayo	Hombres	141
201709	Septiembre 2017	13	Campo de Borja	Hombres	146
201709	Septiembre 2017	14	Aranda	Hombres	24
201709	Septiembre 2017	15	Ribera Alta del Ebro	Hombres	660
201709	Septiembre 2017	16	Valdejalón	Hombres	354
201709	Septiembre 2017	17	D.C. Zaragoza	Hombres	7900
201709	Septiembre 2017	18	Ribera Baja del Ebro	Hombres	71
201709	Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	201
201709	Septiembre 2017	20	Comunidad de Calatayud	Hombres	268
201709	Septiembre 2017	21	Campo de Cariñena	Hombres	184
201709	Septiembre 2017	22	Campo de Belchite	Hombres	24
201709	Septiembre 2017	23	Bajo Martín	Hombres	81
201709	Septiembre 2017	24	Campo de Daroca	Hombres	46
201709	Septiembre 2017	25	Jiloca	Hombres	85
201709	Septiembre 2017	26	Cuencas Mineras	Hombres	66
201709	Septiembre 2017	27	Andorra-Sierra de Arcos	Hombres	45
201709	Septiembre 2017	28	Bajo Aragón	Hombres	252
201709	Septiembre 2017	29	Comunidad de Teruel	Hombres	551
201709	Septiembre 2017	30	Maestrazgo	Hombres	29
201709	Septiembre 2017	31	Sierra de Albarracín	Hombres	28
201709	Septiembre 2017	32	Gúdar-Javalambre	Hombres	103
201709	Septiembre 2017	33	Matarraña / Matarranya	Hombres	90
201709	Septiembre 2017	01	La Jacetania	Mujeres	83
201709	Septiembre 2017	02	Alto Gállego	Mujeres	45
201709	Septiembre 2017	03	Sobrarbe	Mujeres	51
201709	Septiembre 2017	04	La Ribagorza	Mujeres	65
201709	Septiembre 2017	05	Cinco Villas	Mujeres	153
201709	Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	Mujeres	602
201709	Septiembre 2017	07	Somontano de Barbastro	Mujeres	146
201709	Septiembre 2017	08	Cinca Medio	Mujeres	148
201709	Septiembre 2017	09	La Litera / La Llitera	Mujeres	84
201709	Septiembre 2017	10	Los Monegros	Mujeres	50
201709	Septiembre 2017	11	Bajo Cinca / Baix Cinca	Mujeres	176
201709	Septiembre 2017	12	Tarazona y el Moncayo	Mujeres	64
201709	Septiembre 2017	13	Campo de Borja	Mujeres	57
201709	Septiembre 2017	14	Aranda	Mujeres	28
201709	Septiembre 2017	15	Ribera Alta del Ebro	Mujeres	176
201709	Septiembre 2017	16	Valdejalón	Mujeres	197
201709	Septiembre 2017	17	D.C. Zaragoza	Mujeres	7294
201709	Septiembre 2017	18	Ribera Baja del Ebro	Mujeres	32
201709	Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	116
201709	Septiembre 2017	20	Comunidad de Calatayud	Mujeres	187
201709	Septiembre 2017	21	Campo de Cariñena	Mujeres	60
201709	Septiembre 2017	22	Campo de Belchite	Mujeres	13
201709	Septiembre 2017	23	Bajo Martín	Mujeres	35
201709	Septiembre 2017	24	Campo de Daroca	Mujeres	20
201709	Septiembre 2017	25	Jiloca	Mujeres	47
201709	Septiembre 2017	26	Cuencas Mineras	Mujeres	41
201709	Septiembre 2017	27	Andorra-Sierra de Arcos	Mujeres	34
201709	Septiembre 2017	28	Bajo Aragón	Mujeres	159
201709	Septiembre 2017	29	Comunidad de Teruel	Mujeres	382
201709	Septiembre 2017	30	Maestrazgo	Mujeres	8
201709	Septiembre 2017	31	Sierra de Albarracín	Mujeres	21
201709	Septiembre 2017	32	Gúdar-Javalambre	Mujeres	61
201709	Septiembre 2017	33	Matarraña / Matarranya	Mujeres	37
201709	Septiembre 2017	01	La Jacetania	Hombres	179
201709	Septiembre 2017	02	Alto Gállego	Hombres	175
201709	Septiembre 2017	03	Sobrarbe	Hombres	122
201709	Septiembre 2017	04	La Ribagorza	Hombres	175
201709	Septiembre 2017	05	Cinco Villas	Hombres	503
201709	Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	Hombres	1336
201709	Septiembre 2017	07	Somontano de Barbastro	Hombres	402
201709	Septiembre 2017	08	Cinca Medio	Hombres	457
201709	Septiembre 2017	09	La Litera / La Llitera	Hombres	366
201709	Septiembre 2017	10	Los Monegros	Hombres	305
201709	Septiembre 2017	11	Bajo Cinca / Baix Cinca	Hombres	555
201709	Septiembre 2017	12	Tarazona y el Moncayo	Hombres	197
201709	Septiembre 2017	13	Campo de Borja	Hombres	200
201709	Septiembre 2017	14	Aranda	Hombres	56
201709	Septiembre 2017	15	Ribera Alta del Ebro	Hombres	1144
201709	Septiembre 2017	16	Valdejalón	Hombres	726
201709	Septiembre 2017	17	D.C. Zaragoza	Hombres	13360
201709	Septiembre 2017	18	Ribera Baja del Ebro	Hombres	142
201709	Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	277
201709	Septiembre 2017	20	Comunidad de Calatayud	Hombres	462
201709	Septiembre 2017	21	Campo de Cariñena	Hombres	269
201709	Septiembre 2017	22	Campo de Belchite	Hombres	45
201709	Septiembre 2017	23	Bajo Martín	Hombres	147
201709	Septiembre 2017	24	Campo de Daroca	Hombres	106
201709	Septiembre 2017	25	Jiloca	Hombres	148
201709	Septiembre 2017	26	Cuencas Mineras	Hombres	128
201709	Septiembre 2017	27	Andorra-Sierra de Arcos	Hombres	97
201709	Septiembre 2017	28	Bajo Aragón	Hombres	416
201709	Septiembre 2017	29	Comunidad de Teruel	Hombres	1045
201709	Septiembre 2017	30	Maestrazgo	Hombres	48
201709	Septiembre 2017	31	Sierra de Albarracín	Hombres	50
201709	Septiembre 2017	32	Gúdar-Javalambre	Hombres	157
201709	Septiembre 2017	33	Matarraña / Matarranya	Hombres	156
201709	Septiembre 2017	01	La Jacetania	Mujeres	148
201709	Septiembre 2017	02	Alto Gállego	Mujeres	110
201709	Septiembre 2017	03	Sobrarbe	Mujeres	99
201709	Septiembre 2017	04	La Ribagorza	Mujeres	125
201709	Septiembre 2017	05	Cinco Villas	Mujeres	322
201709	Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	Mujeres	1323
201709	Septiembre 2017	07	Somontano de Barbastro	Mujeres	336
201709	Septiembre 2017	08	Cinca Medio	Mujeres	316
201709	Septiembre 2017	09	La Litera / La Llitera	Mujeres	182
201709	Septiembre 2017	10	Los Monegros	Mujeres	155
201709	Septiembre 2017	11	Bajo Cinca / Baix Cinca	Mujeres	368
201709	Septiembre 2017	12	Tarazona y el Moncayo	Mujeres	110
201709	Septiembre 2017	13	Campo de Borja	Mujeres	126
201709	Septiembre 2017	14	Aranda	Mujeres	44
201709	Septiembre 2017	15	Ribera Alta del Ebro	Mujeres	446
201709	Septiembre 2017	16	Valdejalón	Mujeres	402
201709	Septiembre 2017	17	D.C. Zaragoza	Mujeres	14376
201709	Septiembre 2017	18	Ribera Baja del Ebro	Mujeres	60
201709	Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	204
201709	Septiembre 2017	20	Comunidad de Calatayud	Mujeres	403
201709	Septiembre 2017	21	Campo de Cariñena	Mujeres	130
201709	Septiembre 2017	22	Campo de Belchite	Mujeres	18
201709	Septiembre 2017	23	Bajo Martín	Mujeres	47
201709	Septiembre 2017	24	Campo de Daroca	Mujeres	48
201709	Septiembre 2017	25	Jiloca	Mujeres	97
201709	Septiembre 2017	26	Cuencas Mineras	Mujeres	101
201709	Septiembre 2017	27	Andorra-Sierra de Arcos	Mujeres	76
201709	Septiembre 2017	28	Bajo Aragón	Mujeres	389
201709	Septiembre 2017	29	Comunidad de Teruel	Mujeres	914
201709	Septiembre 2017	30	Maestrazgo	Mujeres	26
201709	Septiembre 2017	31	Sierra de Albarracín	Mujeres	38
201709	Septiembre 2017	32	Gúdar-Javalambre	Mujeres	100
201709	Septiembre 2017	33	Matarraña / Matarranya	Mujeres	85
201709	Septiembre 2017	01	La Jacetania	Hombres	235
201709	Septiembre 2017	02	Alto Gállego	Hombres	249
201709	Septiembre 2017	03	Sobrarbe	Hombres	156
201709	Septiembre 2017	04	La Ribagorza	Hombres	244
201709	Septiembre 2017	05	Cinco Villas	Hombres	662
201709	Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	Hombres	1625
201709	Septiembre 2017	07	Somontano de Barbastro	Hombres	528
201709	Septiembre 2017	08	Cinca Medio	Hombres	596
201709	Septiembre 2017	09	La Litera / La Llitera	Hombres	469
201709	Septiembre 2017	10	Los Monegros	Hombres	420
201709	Septiembre 2017	11	Bajo Cinca / Baix Cinca	Hombres	726
201709	Septiembre 2017	12	Tarazona y el Moncayo	Hombres	237
201709	Septiembre 2017	13	Campo de Borja	Hombres	270
201709	Septiembre 2017	14	Aranda	Hombres	81
201709	Septiembre 2017	15	Ribera Alta del Ebro	Hombres	1379
201709	Septiembre 2017	16	Valdejalón	Hombres	1003
201709	Septiembre 2017	17	D.C. Zaragoza	Hombres	17126
201709	Septiembre 2017	18	Ribera Baja del Ebro	Hombres	175
201709	Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	356
201709	Septiembre 2017	20	Comunidad de Calatayud	Hombres	570
201709	Septiembre 2017	21	Campo de Cariñena	Hombres	414
201709	Septiembre 2017	22	Campo de Belchite	Hombres	62
201709	Septiembre 2017	23	Bajo Martín	Hombres	221
201709	Septiembre 2017	24	Campo de Daroca	Hombres	119
201709	Septiembre 2017	25	Jiloca	Hombres	201
201709	Septiembre 2017	26	Cuencas Mineras	Hombres	172
201709	Septiembre 2017	27	Andorra-Sierra de Arcos	Hombres	187
201709	Septiembre 2017	28	Bajo Aragón	Hombres	626
201709	Septiembre 2017	29	Comunidad de Teruel	Hombres	1350
201709	Septiembre 2017	30	Maestrazgo	Hombres	54
201709	Septiembre 2017	31	Sierra de Albarracín	Hombres	76
201709	Septiembre 2017	32	Gúdar-Javalambre	Hombres	177
201709	Septiembre 2017	33	Matarraña / Matarranya	Hombres	194
201709	Septiembre 2017	01	La Jacetania	Mujeres	228
201709	Septiembre 2017	02	Alto Gállego	Mujeres	190
201709	Septiembre 2017	03	Sobrarbe	Mujeres	141
201709	Septiembre 2017	04	La Ribagorza	Mujeres	202
201709	Septiembre 2017	05	Cinco Villas	Mujeres	429
201709	Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	Mujeres	1833
201709	Septiembre 2017	07	Somontano de Barbastro	Mujeres	456
201709	Septiembre 2017	08	Cinca Medio	Mujeres	319
201709	Septiembre 2017	09	La Litera / La Llitera	Mujeres	252
201709	Septiembre 2017	10	Los Monegros	Mujeres	174
201709	Septiembre 2017	11	Bajo Cinca / Baix Cinca	Mujeres	500
201709	Septiembre 2017	12	Tarazona y el Moncayo	Mujeres	146
201709	Septiembre 2017	13	Campo de Borja	Mujeres	206
201709	Septiembre 2017	14	Aranda	Mujeres	44
201709	Septiembre 2017	15	Ribera Alta del Ebro	Mujeres	592
201709	Septiembre 2017	16	Valdejalón	Mujeres	552
201709	Septiembre 2017	17	D.C. Zaragoza	Mujeres	17686
201709	Septiembre 2017	18	Ribera Baja del Ebro	Mujeres	105
201709	Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	256
201709	Septiembre 2017	20	Comunidad de Calatayud	Mujeres	519
201709	Septiembre 2017	21	Campo de Cariñena	Mujeres	236
201709	Septiembre 2017	22	Campo de Belchite	Mujeres	33
201709	Septiembre 2017	23	Bajo Martín	Mujeres	73
201709	Septiembre 2017	24	Campo de Daroca	Mujeres	72
201709	Septiembre 2017	25	Jiloca	Mujeres	127
201709	Septiembre 2017	26	Cuencas Mineras	Mujeres	116
201709	Septiembre 2017	27	Andorra-Sierra de Arcos	Mujeres	115
201709	Septiembre 2017	28	Bajo Aragón	Mujeres	492
201709	Septiembre 2017	29	Comunidad de Teruel	Mujeres	1314
201709	Septiembre 2017	30	Maestrazgo	Mujeres	35
201709	Septiembre 2017	31	Sierra de Albarracín	Mujeres	45
201709	Septiembre 2017	32	Gúdar-Javalambre	Mujeres	111
201709	Septiembre 2017	33	Matarraña / Matarranya	Mujeres	122
201709	Septiembre 2017	01	La Jacetania	Hombres	368
201709	Septiembre 2017	02	Alto Gállego	Hombres	401
201709	Septiembre 2017	03	Sobrarbe	Hombres	206
201709	Septiembre 2017	04	La Ribagorza	Hombres	329
201709	Septiembre 2017	05	Cinco Villas	Hombres	926
201709	Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	Hombres	2278
201709	Septiembre 2017	07	Somontano de Barbastro	Hombres	710
201709	Septiembre 2017	08	Cinca Medio	Hombres	783
201709	Septiembre 2017	09	La Litera / La Llitera	Hombres	704
201709	Septiembre 2017	10	Los Monegros	Hombres	578
201709	Septiembre 2017	11	Bajo Cinca / Baix Cinca	Hombres	1022
201709	Septiembre 2017	12	Tarazona y el Moncayo	Hombres	311
201709	Septiembre 2017	13	Campo de Borja	Hombres	337
201709	Septiembre 2017	14	Aranda	Hombres	137
201709	Septiembre 2017	15	Ribera Alta del Ebro	Hombres	1577
201709	Septiembre 2017	16	Valdejalón	Hombres	1442
201709	Septiembre 2017	17	D.C. Zaragoza	Hombres	22799
201709	Septiembre 2017	18	Ribera Baja del Ebro	Hombres	282
201709	Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	575
201709	Septiembre 2017	20	Comunidad de Calatayud	Hombres	740
201709	Septiembre 2017	21	Campo de Cariñena	Hombres	577
201709	Septiembre 2017	22	Campo de Belchite	Hombres	69
201709	Septiembre 2017	23	Bajo Martín	Hombres	237
201709	Septiembre 2017	24	Campo de Daroca	Hombres	164
201709	Septiembre 2017	25	Jiloca	Hombres	306
201709	Septiembre 2017	26	Cuencas Mineras	Hombres	200
201709	Septiembre 2017	27	Andorra-Sierra de Arcos	Hombres	237
201709	Septiembre 2017	28	Bajo Aragón	Hombres	770
201709	Septiembre 2017	29	Comunidad de Teruel	Hombres	1758
201709	Septiembre 2017	30	Maestrazgo	Hombres	73
201709	Septiembre 2017	31	Sierra de Albarracín	Hombres	65
201709	Septiembre 2017	32	Gúdar-Javalambre	Hombres	221
201709	Septiembre 2017	33	Matarraña / Matarranya	Hombres	246
201709	Septiembre 2017	01	La Jacetania	Mujeres	350
201709	Septiembre 2017	02	Alto Gállego	Mujeres	250
201709	Septiembre 2017	03	Sobrarbe	Mujeres	189
201709	Septiembre 2017	04	La Ribagorza	Mujeres	284
201709	Septiembre 2017	05	Cinco Villas	Mujeres	619
201709	Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	Mujeres	2293
201709	Septiembre 2017	07	Somontano de Barbastro	Mujeres	579
201709	Septiembre 2017	08	Cinca Medio	Mujeres	438
201709	Septiembre 2017	09	La Litera / La Llitera	Mujeres	330
201709	Septiembre 2017	10	Los Monegros	Mujeres	271
201709	Septiembre 2017	11	Bajo Cinca / Baix Cinca	Mujeres	634
201709	Septiembre 2017	12	Tarazona y el Moncayo	Mujeres	230
201709	Septiembre 2017	13	Campo de Borja	Mujeres	274
201709	Septiembre 2017	14	Aranda	Mujeres	91
201709	Septiembre 2017	15	Ribera Alta del Ebro	Mujeres	765
201709	Septiembre 2017	16	Valdejalón	Mujeres	815
201709	Septiembre 2017	17	D.C. Zaragoza	Mujeres	22319
201709	Septiembre 2017	18	Ribera Baja del Ebro	Mujeres	178
201709	Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	330
201709	Septiembre 2017	20	Comunidad de Calatayud	Mujeres	603
201709	Septiembre 2017	21	Campo de Cariñena	Mujeres	237
201709	Septiembre 2017	22	Campo de Belchite	Mujeres	61
201709	Septiembre 2017	23	Bajo Martín	Mujeres	103
201709	Septiembre 2017	24	Campo de Daroca	Mujeres	64
201709	Septiembre 2017	25	Jiloca	Mujeres	195
201709	Septiembre 2017	26	Cuencas Mineras	Mujeres	134
201709	Septiembre 2017	27	Andorra-Sierra de Arcos	Mujeres	129
201709	Septiembre 2017	28	Bajo Aragón	Mujeres	710
201709	Septiembre 2017	29	Comunidad de Teruel	Mujeres	1427
201709	Septiembre 2017	30	Maestrazgo	Mujeres	36
201709	Septiembre 2017	31	Sierra de Albarracín	Mujeres	49
201709	Septiembre 2017	32	Gúdar-Javalambre	Mujeres	131
201709	Septiembre 2017	33	Matarraña / Matarranya	Mujeres	153
201709	Septiembre 2017	01	La Jacetania	Hombres	403
201709	Septiembre 2017	02	Alto Gállego	Hombres	422
201709	Septiembre 2017	03	Sobrarbe	Hombres	240
201709	Septiembre 2017	04	La Ribagorza	Hombres	372
201709	Septiembre 2017	05	Cinco Villas	Hombres	1064
201709	Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	Hombres	2475
201709	Septiembre 2017	07	Somontano de Barbastro	Hombres	784
201709	Septiembre 2017	08	Cinca Medio	Hombres	832
201709	Septiembre 2017	09	La Litera / La Llitera	Hombres	799
201709	Septiembre 2017	10	Los Monegros	Hombres	598
201709	Septiembre 2017	11	Bajo Cinca / Baix Cinca	Hombres	1125
201709	Septiembre 2017	12	Tarazona y el Moncayo	Hombres	401
201709	Septiembre 2017	13	Campo de Borja	Hombres	390
201709	Septiembre 2017	14	Aranda	Hombres	179
201709	Septiembre 2017	15	Ribera Alta del Ebro	Hombres	1825
201709	Septiembre 2017	16	Valdejalón	Hombres	1730
201709	Septiembre 2017	17	D.C. Zaragoza	Hombres	27073
201709	Septiembre 2017	18	Ribera Baja del Ebro	Hombres	338
201709	Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	524
201709	Septiembre 2017	20	Comunidad de Calatayud	Hombres	901
201709	Septiembre 2017	21	Campo de Cariñena	Hombres	631
201709	Septiembre 2017	22	Campo de Belchite	Hombres	100
201709	Septiembre 2017	23	Bajo Martín	Hombres	313
201709	Septiembre 2017	24	Campo de Daroca	Hombres	182
201709	Septiembre 2017	25	Jiloca	Hombres	339
201709	Septiembre 2017	26	Cuencas Mineras	Hombres	192
201709	Septiembre 2017	27	Andorra-Sierra de Arcos	Hombres	237
201709	Septiembre 2017	28	Bajo Aragón	Hombres	903
201709	Septiembre 2017	29	Comunidad de Teruel	Hombres	1805
201709	Septiembre 2017	30	Maestrazgo	Hombres	73
201709	Septiembre 2017	31	Sierra de Albarracín	Hombres	79
201709	Septiembre 2017	32	Gúdar-Javalambre	Hombres	248
201709	Septiembre 2017	33	Matarraña / Matarranya	Hombres	253
201709	Septiembre 2017	01	La Jacetania	Mujeres	451
201709	Septiembre 2017	02	Alto Gállego	Mujeres	283
201709	Septiembre 2017	03	Sobrarbe	Mujeres	197
201709	Septiembre 2017	04	La Ribagorza	Mujeres	309
201709	Septiembre 2017	05	Cinco Villas	Mujeres	635
201709	Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	Mujeres	2589
201709	Septiembre 2017	07	Somontano de Barbastro	Mujeres	678
201709	Septiembre 2017	08	Cinca Medio	Mujeres	557
201709	Septiembre 2017	09	La Litera / La Llitera	Mujeres	386
201709	Septiembre 2017	10	Los Monegros	Mujeres	268
201709	Septiembre 2017	11	Bajo Cinca / Baix Cinca	Mujeres	753
201709	Septiembre 2017	12	Tarazona y el Moncayo	Mujeres	307
201709	Septiembre 2017	13	Campo de Borja	Mujeres	330
201709	Septiembre 2017	14	Aranda	Mujeres	99
201709	Septiembre 2017	15	Ribera Alta del Ebro	Mujeres	869
201709	Septiembre 2017	16	Valdejalón	Mujeres	921
201709	Septiembre 2017	17	D.C. Zaragoza	Mujeres	25103
201709	Septiembre 2017	18	Ribera Baja del Ebro	Mujeres	209
201709	Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	430
201709	Septiembre 2017	20	Comunidad de Calatayud	Mujeres	715
201709	Septiembre 2017	21	Campo de Cariñena	Mujeres	261
201709	Septiembre 2017	22	Campo de Belchite	Mujeres	62
201709	Septiembre 2017	23	Bajo Martín	Mujeres	115
201709	Septiembre 2017	24	Campo de Daroca	Mujeres	96
201709	Septiembre 2017	25	Jiloca	Mujeres	204
201709	Septiembre 2017	26	Cuencas Mineras	Mujeres	155
201709	Septiembre 2017	27	Andorra-Sierra de Arcos	Mujeres	154
201709	Septiembre 2017	28	Bajo Aragón	Mujeres	735
201709	Septiembre 2017	29	Comunidad de Teruel	Mujeres	1654
201709	Septiembre 2017	30	Maestrazgo	Mujeres	51
201709	Septiembre 2017	31	Sierra de Albarracín	Mujeres	81
201709	Septiembre 2017	32	Gúdar-Javalambre	Mujeres	150
201709	Septiembre 2017	33	Matarraña / Matarranya	Mujeres	170
201709	Septiembre 2017	01	La Jacetania	Hombres	468
201709	Septiembre 2017	02	Alto Gállego	Hombres	391
201709	Septiembre 2017	03	Sobrarbe	Hombres	205
201709	Septiembre 2017	04	La Ribagorza	Hombres	385
201709	Septiembre 2017	05	Cinco Villas	Hombres	1022
201709	Septiembre 2017	06	Hoya de Huesca / Plana de Uesca	Hombres	2343
201709	Septiembre 2017	07	Somontano de Barbastro	Hombres	740
201709	Septiembre 2017	08	Cinca Medio	Hombres	842
201709	Septiembre 2017	09	La Litera / La Llitera	Hombres	760
201709	Septiembre 2017	10	Los Monegros	Hombres	593
201709	Septiembre 2017	11	Bajo Cinca / Baix Cinca	Hombres	982
201709	Septiembre 2017	12	Tarazona y el Moncayo	Hombres	357
201709	Septiembre 2017	13	Campo de Borja	Hombres	401
201709	Septiembre 2017	14	Aranda	Hombres	195
201709	Septiembre 2017	15	Ribera Alta del Ebro	Hombres	1851
201709	Septiembre 2017	16	Valdejalón	Hombres	1571
201709	Septiembre 2017	17	D.C. Zaragoza	Hombres	24352
201709	Septiembre 2017	18	Ribera Baja del Ebro	Hombres	294
201709	Septiembre 2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	505
201709	Septiembre 2017	20	Comunidad de Calatayud	Hombres	1029
201709	Septiembre 2017	21	Campo de Cariñena	Hombres	548
201709	Septiembre 2017	22	Campo de Belchite	Hombres	97
201709	Septiembre 2017	23	Bajo Martín	Hombres	283
201709	Septiembre 2017	24	Campo de Daroca	Hombres	194
201709	Septiembre 2017	25	Jiloca	Hombres	322
201709	Septiembre 2017	26	Cuencas Mineras	Hombres	193
201709	Septiembre 2017	27	Andorra-Sierra de Arcos	Hombres	250
201709	Septiembre 2017	28	Bajo Aragón	Hombres	836
201709	Septiembre 2017	29	Comunidad de Teruel	Hombres	1723
201709	Septiembre 2017	30	Maestrazgo	Hombres	86
201709	Septiembre 2017	31	Sierra de Albarracín	Hombres	94
201709	Septiembre 2017	32	Gúdar-Javalambre	Hombres	225
201709	Septiembre 2017	33	Matarraña / Matarranya	Hombres	281
201709	Septiembre 2017	01	La Jacetania	Mujeres	443
201709	Septiembre 2017	02	Alto Gállego	Mujeres	312
201709	Septiembre 2017	03	Sobrarbe	Mujeres	173
201709	Septiembre 2017	04	La Ribagorza	Mujeres	316
