Comarca codigo	Comarca nombre	Explotaciones	Superficie total código	Superficie total
09	La Litera / La Llitera	206	12	30 a < 50 Ha
09	La Litera / La Llitera	66	13	50 a < 70 Ha
09	La Litera / La Llitera	68	14	70 a < 100 Ha
09	La Litera / La Llitera	38	15	100 a <150 Ha
09	La Litera / La Llitera	20	16	150 a < 200 Ha
09	La Litera / La Llitera	9	17	200 a < 300 Ha
09	La Litera / La Llitera	7	18	300 a < 500 Ha
09	La Litera / La Llitera	11	19	500 a < 1000 Ha
09	La Litera / La Llitera	1	20	1000 a < 2500 Ha
10	Los Monegros	120	01	Sin tierras
10	Los Monegros	2	02	0,1  a  < 0,2
10	Los Monegros	12	03	0,2  a  < 0,5 Ha
10	Los Monegros	7	04	0,5  a  < 1 Ha
10	Los Monegros	109	05	1  a  < 2 Ha
10	Los Monegros	71	06	2 a < 3 Ha
10	Los Monegros	48	07	3 a < 4 Ha
10	Los Monegros	49	08	4 a < 5 Ha
10	Los Monegros	229	09	5 a < 10 Ha
10	Los Monegros	533	10	10 a <20 Ha
10	Los Monegros	397	11	20 a < 30 Ha
10	Los Monegros	548	12	30 a < 50 Ha
10	Los Monegros	356	13	50 a < 70 Ha
10	Los Monegros	312	14	70 a < 100 Ha
10	Los Monegros	231	15	100 a <150 Ha
10	Los Monegros	114	16	150 a < 200 Ha
10	Los Monegros	83	17	200 a < 300 Ha
10	Los Monegros	54	18	300 a < 500 Ha
10	Los Monegros	14	19	500 a < 1000 Ha
10	Los Monegros	8	20	1000 a < 2500 Ha
10	Los Monegros	2	21	2500 Ha
11	Bajo Cinca / Baix Cinca	52	01	Sin tierras
11	Bajo Cinca / Baix Cinca	1	02	0,1  a  < 0,2
11	Bajo Cinca / Baix Cinca	49	03	0,2  a  < 0,5 Ha
11	Bajo Cinca / Baix Cinca	72	04	0,5  a  < 1 Ha
11	Bajo Cinca / Baix Cinca	228	05	1  a  < 2 Ha
11	Bajo Cinca / Baix Cinca	133	06	2 a < 3 Ha
11	Bajo Cinca / Baix Cinca	144	07	3 a < 4 Ha
11	Bajo Cinca / Baix Cinca	110	08	4 a < 5 Ha
11	Bajo Cinca / Baix Cinca	408	09	5 a < 10 Ha
11	Bajo Cinca / Baix Cinca	383	10	10 a <20 Ha
11	Bajo Cinca / Baix Cinca	195	11	20 a < 30 Ha
11	Bajo Cinca / Baix Cinca	234	12	30 a < 50 Ha
11	Bajo Cinca / Baix Cinca	114	13	50 a < 70 Ha
11	Bajo Cinca / Baix Cinca	111	14	70 a < 100 Ha
11	Bajo Cinca / Baix Cinca	83	15	100 a <150 Ha
11	Bajo Cinca / Baix Cinca	28	16	150 a < 200 Ha
11	Bajo Cinca / Baix Cinca	32	17	200 a < 300 Ha
11	Bajo Cinca / Baix Cinca	16	18	300 a < 500 Ha
11	Bajo Cinca / Baix Cinca	7	19	500 a < 1000 Ha
11	Bajo Cinca / Baix Cinca	4	20	1000 a < 2500 Ha
11	Bajo Cinca / Baix Cinca	1	21	2500 Ha
12	Tarazona y el Moncayo	20	01	Sin tierras
12	Tarazona y el Moncayo	13	03	0,2  a  < 0,5 Ha
12	Tarazona y el Moncayo	48	04	0,5  a  < 1 Ha
12	Tarazona y el Moncayo	140	05	1  a  < 2 Ha
12	Tarazona y el Moncayo	85	06	2 a < 3 Ha
12	Tarazona y el Moncayo	69	07	3 a < 4 Ha
12	Tarazona y el Moncayo	64	08	4 a < 5 Ha
12	Tarazona y el Moncayo	132	09	5 a < 10 Ha
12	Tarazona y el Moncayo	94	10	10 a <20 Ha
12	Tarazona y el Moncayo	36	11	20 a < 30 Ha
12	Tarazona y el Moncayo	41	12	30 a < 50 Ha
12	Tarazona y el Moncayo	19	13	50 a < 70 Ha
12	Tarazona y el Moncayo	21	14	70 a < 100 Ha
12	Tarazona y el Moncayo	19	15	100 a <150 Ha
12	Tarazona y el Moncayo	11	16	150 a < 200 Ha
12	Tarazona y el Moncayo	4	17	200 a < 300 Ha
12	Tarazona y el Moncayo	3	18	300 a < 500 Ha
12	Tarazona y el Moncayo	1	19	500 a < 1000 Ha
12	Tarazona y el Moncayo	1	20	1000 a < 2500 Ha
12	Tarazona y el Moncayo	1	21	2500 Ha
13	Campo de Borja	29	01	Sin tierras
13	Campo de Borja	14	03	0,2  a  < 0,5 Ha
13	Campo de Borja	25	04	0,5  a  < 1 Ha
13	Campo de Borja	238	05	1  a  < 2 Ha
13	Campo de Borja	160	06	2 a < 3 Ha
13	Campo de Borja	125	07	3 a < 4 Ha
13	Campo de Borja	117	08	4 a < 5 Ha
13	Campo de Borja	302	09	5 a < 10 Ha
13	Campo de Borja	277	10	10 a <20 Ha
13	Campo de Borja	138	11	20 a < 30 Ha
13	Campo de Borja	158	12	30 a < 50 Ha
13	Campo de Borja	62	13	50 a < 70 Ha
13	Campo de Borja	42	14	70 a < 100 Ha
13	Campo de Borja	45	15	100 a <150 Ha
13	Campo de Borja	17	16	150 a < 200 Ha
13	Campo de Borja	12	17	200 a < 300 Ha
13	Campo de Borja	5	18	300 a < 500 Ha
13	Campo de Borja	6	19	500 a < 1000 Ha
13	Campo de Borja	1	20	1000 a < 2500 Ha
13	Campo de Borja	1	21	2500 Ha
14	Aranda	15	01	Sin tierras
14	Aranda	5	03	0,2  a  < 0,5 Ha
14	Aranda	3	04	0,5  a  < 1 Ha
14	Aranda	139	05	1  a  < 2 Ha
14	Aranda	111	06	2 a < 3 Ha
14	Aranda	59	07	3 a < 4 Ha
14	Aranda	53	08	4 a < 5 Ha
14	Aranda	124	09	5 a < 10 Ha
14	Aranda	58	10	10 a <20 Ha
14	Aranda	33	11	20 a < 30 Ha
14	Aranda	23	12	30 a < 50 Ha
14	Aranda	13	13	50 a < 70 Ha
14	Aranda	7	14	70 a < 100 Ha
14	Aranda	14	15	100 a <150 Ha
14	Aranda	3	16	150 a < 200 Ha
14	Aranda	4	17	200 a < 300 Ha
14	Aranda	7	18	300 a < 500 Ha
14	Aranda	8	19	500 a < 1000 Ha
14	Aranda	3	20	1000 a < 2500 Ha
14	Aranda	3	21	2500 Ha
15	Ribera Alta del Ebro	32	01	Sin tierras
15	Ribera Alta del Ebro	2	02	0,1  a  < 0,2
15	Ribera Alta del Ebro	16	03	0,2  a  < 0,5 Ha
15	Ribera Alta del Ebro	22	04	0,5  a  < 1 Ha
15	Ribera Alta del Ebro	161	05	1  a  < 2 Ha
15	Ribera Alta del Ebro	103	06	2 a < 3 Ha
15	Ribera Alta del Ebro	77	07	3 a < 4 Ha
15	Ribera Alta del Ebro	76	08	4 a < 5 Ha
15	Ribera Alta del Ebro	187	09	5 a < 10 Ha
15	Ribera Alta del Ebro	142	10	10 a <20 Ha
15	Ribera Alta del Ebro	68	11	20 a < 30 Ha
15	Ribera Alta del Ebro	84	12	30 a < 50 Ha
15	Ribera Alta del Ebro	56	13	50 a < 70 Ha
15	Ribera Alta del Ebro	30	14	70 a < 100 Ha
15	Ribera Alta del Ebro	19	15	100 a <150 Ha
15	Ribera Alta del Ebro	10	16	150 a < 200 Ha
15	Ribera Alta del Ebro	6	17	200 a < 300 Ha
15	Ribera Alta del Ebro	7	18	300 a < 500 Ha
15	Ribera Alta del Ebro	8	19	500 a < 1000 Ha
15	Ribera Alta del Ebro	1	20	1000 a < 2500 Ha
16	Valdejalón	33	01	Sin tierras
16	Valdejalón	1	02	0,1  a  < 0,2
16	Valdejalón	32	03	0,2  a  < 0,5 Ha
16	Valdejalón	72	04	0,5  a  < 1 Ha
16	Valdejalón	453	05	1  a  < 2 Ha
16	Valdejalón	309	06	2 a < 3 Ha
16	Valdejalón	189	07	3 a < 4 Ha
16	Valdejalón	158	08	4 a < 5 Ha
16	Valdejalón	401	09	5 a < 10 Ha
16	Valdejalón	308	10	10 a <20 Ha
16	Valdejalón	137	11	20 a < 30 Ha
16	Valdejalón	137	12	30 a < 50 Ha
16	Valdejalón	82	13	50 a < 70 Ha
16	Valdejalón	62	14	70 a < 100 Ha
16	Valdejalón	60	15	100 a <150 Ha
16	Valdejalón	27	16	150 a < 200 Ha
16	Valdejalón	28	17	200 a < 300 Ha
16	Valdejalón	11	18	300 a < 500 Ha
16	Valdejalón	10	19	500 a < 1000 Ha
16	Valdejalón	4	20	1000 a < 2500 Ha
16	Valdejalón	1	21	2500 Ha
17	D.C. Zaragoza	49	01	Sin tierras
17	D.C. Zaragoza	2	02	0,1  a  < 0,2
17	D.C. Zaragoza	24	03	0,2  a  < 0,5 Ha
17	D.C. Zaragoza	37	04	0,5  a  < 1 Ha
17	D.C. Zaragoza	269	05	1  a  < 2 Ha
17	D.C. Zaragoza	172	06	2 a < 3 Ha
17	D.C. Zaragoza	126	07	3 a < 4 Ha
17	D.C. Zaragoza	115	08	4 a < 5 Ha
17	D.C. Zaragoza	364	09	5 a < 10 Ha
17	D.C. Zaragoza	378	10	10 a <20 Ha
17	D.C. Zaragoza	219	11	20 a < 30 Ha
17	D.C. Zaragoza	267	12	30 a < 50 Ha
17	D.C. Zaragoza	158	13	50 a < 70 Ha
17	D.C. Zaragoza	147	14	70 a < 100 Ha
17	D.C. Zaragoza	138	15	100 a <150 Ha
17	D.C. Zaragoza	50	16	150 a < 200 Ha
17	D.C. Zaragoza	43	17	200 a < 300 Ha
17	D.C. Zaragoza	21	18	300 a < 500 Ha
17	D.C. Zaragoza	19	19	500 a < 1000 Ha
17	D.C. Zaragoza	8	20	1000 a < 2500 Ha
17	D.C. Zaragoza	3	21	2500 Ha
18	Ribera Baja del Ebro	26	01	Sin tierras
18	Ribera Baja del Ebro	1	02	0,1  a  < 0,2
18	Ribera Baja del Ebro	5	03	0,2  a  < 0,5 Ha
18	Ribera Baja del Ebro	5	04	0,5  a  < 1 Ha
18	Ribera Baja del Ebro	82	05	1  a  < 2 Ha
18	Ribera Baja del Ebro	62	06	2 a < 3 Ha
18	Ribera Baja del Ebro	41	07	3 a < 4 Ha
18	Ribera Baja del Ebro	30	08	4 a < 5 Ha
18	Ribera Baja del Ebro	122	09	5 a < 10 Ha
18	Ribera Baja del Ebro	136	10	10 a <20 Ha
18	Ribera Baja del Ebro	107	11	20 a < 30 Ha
18	Ribera Baja del Ebro	129	12	30 a < 50 Ha
18	Ribera Baja del Ebro	86	13	50 a < 70 Ha
18	Ribera Baja del Ebro	78	14	70 a < 100 Ha
18	Ribera Baja del Ebro	77	15	100 a <150 Ha
18	Ribera Baja del Ebro	32	16	150 a < 200 Ha
18	Ribera Baja del Ebro	36	17	200 a < 300 Ha
18	Ribera Baja del Ebro	13	18	300 a < 500 Ha
18	Ribera Baja del Ebro	8	19	500 a < 1000 Ha
18	Ribera Baja del Ebro	3	20	1000 a < 2500 Ha
19	Bajo Aragón-Caspe / Baix Aragó-Casp	52	01	Sin tierras
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	02	0,1  a  < 0,2
19	Bajo Aragón-Caspe / Baix Aragó-Casp	23	03	0,2  a  < 0,5 Ha
19	Bajo Aragón-Caspe / Baix Aragó-Casp	14	04	0,5  a  < 1 Ha
19	Bajo Aragón-Caspe / Baix Aragó-Casp	174	05	1  a  < 2 Ha
19	Bajo Aragón-Caspe / Baix Aragó-Casp	127	06	2 a < 3 Ha
19	Bajo Aragón-Caspe / Baix Aragó-Casp	117	07	3 a < 4 Ha
19	Bajo Aragón-Caspe / Baix Aragó-Casp	90	08	4 a < 5 Ha
19	Bajo Aragón-Caspe / Baix Aragó-Casp	276	09	5 a < 10 Ha
19	Bajo Aragón-Caspe / Baix Aragó-Casp	289	10	10 a <20 Ha
19	Bajo Aragón-Caspe / Baix Aragó-Casp	130	11	20 a < 30 Ha
19	Bajo Aragón-Caspe / Baix Aragó-Casp	134	12	30 a < 50 Ha
19	Bajo Aragón-Caspe / Baix Aragó-Casp	46	13	50 a < 70 Ha
19	Bajo Aragón-Caspe / Baix Aragó-Casp	38	14	70 a < 100 Ha
19	Bajo Aragón-Caspe / Baix Aragó-Casp	45	15	100 a <150 Ha
19	Bajo Aragón-Caspe / Baix Aragó-Casp	19	16	150 a < 200 Ha
19	Bajo Aragón-Caspe / Baix Aragó-Casp	23	17	200 a < 300 Ha
19	Bajo Aragón-Caspe / Baix Aragó-Casp	11	18	300 a < 500 Ha
19	Bajo Aragón-Caspe / Baix Aragó-Casp	6	19	500 a < 1000 Ha
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	20	1000 a < 2500 Ha
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	21	2500 Ha
20	Comunidad de Calatayud	47	01	Sin tierras
20	Comunidad de Calatayud	1	02	0,1  a  < 0,2
20	Comunidad de Calatayud	35	03	0,2  a  < 0,5 Ha
20	Comunidad de Calatayud	69	04	0,5  a  < 1 Ha
20	Comunidad de Calatayud	370	05	1  a  < 2 Ha
20	Comunidad de Calatayud	340	06	2 a < 3 Ha
20	Comunidad de Calatayud	276	07	3 a < 4 Ha
20	Comunidad de Calatayud	220	08	4 a < 5 Ha
20	Comunidad de Calatayud	675	09	5 a < 10 Ha
20	Comunidad de Calatayud	459	10	10 a <20 Ha
20	Comunidad de Calatayud	211	11	20 a < 30 Ha
20	Comunidad de Calatayud	190	12	30 a < 50 Ha
20	Comunidad de Calatayud	97	13	50 a < 70 Ha
20	Comunidad de Calatayud	89	14	70 a < 100 Ha
20	Comunidad de Calatayud	90	15	100 a <150 Ha
20	Comunidad de Calatayud	59	16	150 a < 200 Ha
20	Comunidad de Calatayud	55	17	200 a < 300 Ha
20	Comunidad de Calatayud	41	18	300 a < 500 Ha
20	Comunidad de Calatayud	22	19	500 a < 1000 Ha
20	Comunidad de Calatayud	8	20	1000 a < 2500 Ha
20	Comunidad de Calatayud	1	21	2500 Ha
21	Campo de Cariñena	9	01	Sin tierras
21	Campo de Cariñena	2	03	0,2  a  < 0,5 Ha
21	Campo de Cariñena	2	04	0,5  a  < 1 Ha
21	Campo de Cariñena	266	05	1  a  < 2 Ha
21	Campo de Cariñena	185	06	2 a < 3 Ha
21	Campo de Cariñena	185	07	3 a < 4 Ha
21	Campo de Cariñena	140	08	4 a < 5 Ha
21	Campo de Cariñena	387	09	5 a < 10 Ha
21	Campo de Cariñena	316	10	10 a <20 Ha
21	Campo de Cariñena	131	11	20 a < 30 Ha
21	Campo de Cariñena	126	12	30 a < 50 Ha
21	Campo de Cariñena	63	13	50 a < 70 Ha
21	Campo de Cariñena	59	14	70 a < 100 Ha
21	Campo de Cariñena	52	15	100 a <150 Ha
21	Campo de Cariñena	24	16	150 a < 200 Ha
21	Campo de Cariñena	17	17	200 a < 300 Ha
21	Campo de Cariñena	6	18	300 a < 500 Ha
21	Campo de Cariñena	4	19	500 a < 1000 Ha
21	Campo de Cariñena	1	20	1000 a < 2500 Ha
21	Campo de Cariñena	1	21	2500 Ha
22	Campo de Belchite	24	01	Sin tierras
22	Campo de Belchite	4	03	0,2  a  < 0,5 Ha
22	Campo de Belchite	11	04	0,5  a  < 1 Ha
22	Campo de Belchite	102	05	1  a  < 2 Ha
22	Campo de Belchite	67	06	2 a < 3 Ha
22	Campo de Belchite	37	07	3 a < 4 Ha
22	Campo de Belchite	29	08	4 a < 5 Ha
22	Campo de Belchite	81	09	5 a < 10 Ha
22	Campo de Belchite	92	10	10 a <20 Ha
22	Campo de Belchite	81	11	20 a < 30 Ha
22	Campo de Belchite	159	12	30 a < 50 Ha
22	Campo de Belchite	104	13	50 a < 70 Ha
22	Campo de Belchite	93	14	70 a < 100 Ha
22	Campo de Belchite	105	15	100 a <150 Ha
22	Campo de Belchite	62	16	150 a < 200 Ha
22	Campo de Belchite	46	17	200 a < 300 Ha
22	Campo de Belchite	23	18	300 a < 500 Ha
22	Campo de Belchite	8	19	500 a < 1000 Ha
22	Campo de Belchite	1	20	1000 a < 2500 Ha
22	Campo de Belchite	1	21	2500 Ha
23	Bajo Martín	41	01	Sin tierras
23	Bajo Martín	1	02	0,1  a  < 0,2
23	Bajo Martín	7	03	0,2  a  < 0,5 Ha
23	Bajo Martín	6	04	0,5  a  < 1 Ha
23	Bajo Martín	178	05	1  a  < 2 Ha
23	Bajo Martín	83	06	2 a < 3 Ha
23	Bajo Martín	50	07	3 a < 4 Ha
23	Bajo Martín	28	08	4 a < 5 Ha
23	Bajo Martín	62	09	5 a < 10 Ha
23	Bajo Martín	42	10	10 a <20 Ha
23	Bajo Martín	38	11	20 a < 30 Ha
23	Bajo Martín	63	12	30 a < 50 Ha
23	Bajo Martín	45	13	50 a < 70 Ha
23	Bajo Martín	47	14	70 a < 100 Ha
23	Bajo Martín	43	15	100 a <150 Ha
23	Bajo Martín	34	16	150 a < 200 Ha
23	Bajo Martín	37	17	200 a < 300 Ha
23	Bajo Martín	32	18	300 a < 500 Ha
23	Bajo Martín	14	19	500 a < 1000 Ha
23	Bajo Martín	4	20	1000 a < 2500 Ha
23	Bajo Martín	1	21	2500 Ha
24	Campo de Daroca	8	01	Sin tierras
24	Campo de Daroca	1	02	0,1  a  < 0,2
24	Campo de Daroca	3	03	0,2  a  < 0,5 Ha
24	Campo de Daroca	3	04	0,5  a  < 1 Ha
24	Campo de Daroca	57	05	1  a  < 2 Ha
24	Campo de Daroca	55	06	2 a < 3 Ha
24	Campo de Daroca	48	07	3 a < 4 Ha
24	Campo de Daroca	45	08	4 a < 5 Ha
24	Campo de Daroca	137	09	5 a < 10 Ha
24	Campo de Daroca	189	10	10 a <20 Ha
24	Campo de Daroca	122	11	20 a < 30 Ha
24	Campo de Daroca	158	12	30 a < 50 Ha
24	Campo de Daroca	108	13	50 a < 70 Ha
24	Campo de Daroca	80	14	70 a < 100 Ha
24	Campo de Daroca	108	15	100 a <150 Ha
24	Campo de Daroca	42	16	150 a < 200 Ha
24	Campo de Daroca	37	17	200 a < 300 Ha
24	Campo de Daroca	21	18	300 a < 500 Ha
24	Campo de Daroca	2	19	500 a < 1000 Ha
24	Campo de Daroca	3	20	1000 a < 2500 Ha
25	Jiloca	57	01	Sin tierras
25	Jiloca	1	02	0,1  a  < 0,2
25	Jiloca	4	03	0,2  a  < 0,5 Ha
25	Jiloca	7	04	0,5  a  < 1 Ha
25	Jiloca	89	05	1  a  < 2 Ha
25	Jiloca	66	06	2 a < 3 Ha
25	Jiloca	66	07	3 a < 4 Ha
25	Jiloca	50	08	4 a < 5 Ha
25	Jiloca	188	09	5 a < 10 Ha
25	Jiloca	265	10	10 a <20 Ha
25	Jiloca	179	11	20 a < 30 Ha
25	Jiloca	267	12	30 a < 50 Ha
25	Jiloca	163	13	50 a < 70 Ha
25	Jiloca	153	14	70 a < 100 Ha
25	Jiloca	142	15	100 a <150 Ha
25	Jiloca	72	16	150 a < 200 Ha
