Mes (código)	Mes y año	Edad	Sexo	Afiliaciones en alta	'Aragón'
201009	Septiembre 2010	30-34	Mujeres	35059	Aragón
201009	Septiembre 2010	35-39	Hombres	45045	Aragón
201009	Septiembre 2010	35-39	Mujeres	35345	Aragón
201009	Septiembre 2010	40-44	Hombres	42965	Aragón
201009	Septiembre 2010	40-44	Mujeres	33188	Aragón
201009	Septiembre 2010	45-49	Hombres	40879	Aragón
201009	Septiembre 2010	45-49	Mujeres	31000	Aragón
201009	Septiembre 2010	50-54	Hombres	36038	Aragón
201009	Septiembre 2010	50-54	Mujeres	26333	Aragón
201009	Septiembre 2010	55-59	Hombres	27166	Aragón
201009	Septiembre 2010	55-59	Mujeres	17641	Aragón
201009	Septiembre 2010	60-64	Hombres	19711	Aragón
201009	Septiembre 2010	60-64	Mujeres	10616	Aragón
201009	Septiembre 2010	65-69	Hombres	1605	Aragón
201009	Septiembre 2010	65-69	Mujeres	1184	Aragón
201009	Septiembre 2010	Más de 69	Hombres	381	Aragón
201009	Septiembre 2010	Más de 69	Mujeres	326	Aragón
201009	Septiembre 2010	Sin clasificar	Hombres	4	Aragón
201009	Septiembre 2010	Sin clasificar	Mujeres	3	Aragón
201012	Diciembre 2010	16-19	Hombres	1926	Aragón
201012	Diciembre 2010	16-19	Mujeres	1418	Aragón
201012	Diciembre 2010	20-24	Hombres	14356	Aragón
201012	Diciembre 2010	20-24	Mujeres	13258	Aragón
201012	Diciembre 2010	25-29	Hombres	28523	Aragón
201012	Diciembre 2010	25-29	Mujeres	26311	Aragón
201012	Diciembre 2010	30-34	Hombres	41584	Aragón
201012	Diciembre 2010	30-34	Mujeres	34985	Aragón
201012	Diciembre 2010	35-39	Hombres	44395	Aragón
201012	Diciembre 2010	35-39	Mujeres	35424	Aragón
201012	Diciembre 2010	40-44	Hombres	42313	Aragón
201012	Diciembre 2010	40-44	Mujeres	33172	Aragón
201012	Diciembre 2010	45-49	Hombres	40233	Aragón
201012	Diciembre 2010	45-49	Mujeres	31118	Aragón
201012	Diciembre 2010	50-54	Hombres	35693	Aragón
201012	Diciembre 2010	50-54	Mujeres	26556	Aragón
201012	Diciembre 2010	55-59	Hombres	26882	Aragón
201012	Diciembre 2010	55-59	Mujeres	17851	Aragón
201012	Diciembre 2010	60-64	Hombres	19487	Aragón
201012	Diciembre 2010	60-64	Mujeres	10780	Aragón
201012	Diciembre 2010	65-69	Hombres	1651	Aragón
201012	Diciembre 2010	65-69	Mujeres	1244	Aragón
201012	Diciembre 2010	Más de 69	Hombres	376	Aragón
201012	Diciembre 2010	Más de 69	Mujeres	330	Aragón
201012	Diciembre 2010	Sin clasificar	Hombres	1	Aragón
201012	Diciembre 2010	Sin clasificar	Mujeres	2	Aragón
201103	Marzo 2011	16-19	Hombres	1684	Aragón
201103	Marzo 2011	16-19	Mujeres	1177	Aragón
201103	Marzo 2011	20-24	Hombres	13638	Aragón
201103	Marzo 2011	20-24	Mujeres	12046	Aragón
201103	Marzo 2011	25-29	Hombres	27853	Aragón
201103	Marzo 2011	25-29	Mujeres	25426	Aragón
201103	Marzo 2011	30-34	Hombres	40985	Aragón
201103	Marzo 2011	30-34	Mujeres	34443	Aragón
201103	Marzo 2011	35-39	Hombres	44430	Aragón
201103	Marzo 2011	35-39	Mujeres	35146	Aragón
201103	Marzo 2011	40-44	Hombres	42210	Aragón
201103	Marzo 2011	40-44	Mujeres	32893	Aragón
201103	Marzo 2011	45-49	Hombres	40110	Aragón
201103	Marzo 2011	45-49	Mujeres	30870	Aragón
201103	Marzo 2011	50-54	Hombres	35643	Aragón
201103	Marzo 2011	50-54	Mujeres	26374	Aragón
201103	Marzo 2011	55-59	Hombres	26897	Aragón
201103	Marzo 2011	55-59	Mujeres	17871	Aragón
201103	Marzo 2011	60-64	Hombres	19302	Aragón
201103	Marzo 2011	60-64	Mujeres	10784	Aragón
201103	Marzo 2011	65-69	Hombres	1603	Aragón
201103	Marzo 2011	65-69	Mujeres	1230	Aragón
201103	Marzo 2011	Más de 69	Hombres	360	Aragón
201103	Marzo 2011	Más de 69	Mujeres	316	Aragón
201103	Marzo 2011	Sin clasificar	Hombres	3	Aragón
201103	Marzo 2011	Sin clasificar	Mujeres	1	Aragón
201106	Junio 2011	16-19	Hombres	2318	Aragón
201106	Junio 2011	16-19	Mujeres	1579	Aragón
201106	Junio 2011	20-24	Hombres	14613	Aragón
201106	Junio 2011	20-24	Mujeres	12702	Aragón
201106	Junio 2011	25-29	Hombres	27959	Aragón
201106	Junio 2011	25-29	Mujeres	25012	Aragón
201106	Junio 2011	30-34	Hombres	40958	Aragón
201106	Junio 2011	30-34	Mujeres	34301	Aragón
201106	Junio 2011	35-39	Hombres	45221	Aragón
201106	Junio 2011	35-39	Mujeres	35168	Aragón
201106	Junio 2011	40-44	Hombres	42760	Aragón
201106	Junio 2011	40-44	Mujeres	33084	Aragón
201106	Junio 2011	45-49	Hombres	40630	Aragón
201106	Junio 2011	45-49	Mujeres	30654	Aragón
201106	Junio 2011	50-54	Hombres	36204	Aragón
201106	Junio 2011	50-54	Mujeres	26140	Aragón
201106	Junio 2011	55-59	Hombres	27283	Aragón
201106	Junio 2011	55-59	Mujeres	17967	Aragón
201106	Junio 2011	60-64	Hombres	19309	Aragón
201106	Junio 2011	60-64	Mujeres	10845	Aragón
201106	Junio 2011	65-69	Hombres	1590	Aragón
201106	Junio 2011	65-69	Mujeres	1232	Aragón
201106	Junio 2011	Más de 69	Hombres	378	Aragón
201106	Junio 2011	Más de 69	Mujeres	313	Aragón
201106	Junio 2011	Sin clasificar	Hombres	3	Aragón
201106	Junio 2011	Sin clasificar	Mujeres	2	Aragón
201109	Septiembre 2011	16-19	Hombres	1793	Aragón
201109	Septiembre 2011	16-19	Mujeres	1232	Aragón
201109	Septiembre 2011	20-24	Hombres	13540	Aragón
201109	Septiembre 2011	20-24	Mujeres	11895	Aragón
201109	Septiembre 2011	25-29	Hombres	27246	Aragón
201109	Septiembre 2011	25-29	Mujeres	24788	Aragón
201109	Septiembre 2011	30-34	Hombres	39996	Aragón
201109	Septiembre 2011	30-34	Mujeres	34077	Aragón
201109	Septiembre 2011	35-39	Hombres	44804	Aragón
201109	Septiembre 2011	35-39	Mujeres	35602	Aragón
201109	Septiembre 2011	40-44	Hombres	42517	Aragón
201109	Septiembre 2011	40-44	Mujeres	33701	Aragón
201109	Septiembre 2011	45-49	Hombres	40595	Aragón
201109	Septiembre 2011	45-49	Mujeres	31452	Aragón
201109	Septiembre 2011	50-54	Hombres	36092	Aragón
201109	Septiembre 2011	50-54	Mujeres	27057	Aragón
201109	Septiembre 2011	55-59	Hombres	27204	Aragón
201109	Septiembre 2011	55-59	Mujeres	18506	Aragón
201109	Septiembre 2011	60-64	Hombres	19123	Aragón
201109	Septiembre 2011	60-64	Mujeres	11043	Aragón
201109	Septiembre 2011	65-69	Hombres	1548	Aragón
201109	Septiembre 2011	65-69	Mujeres	1209	Aragón
201109	Septiembre 2011	Más de 69	Hombres	361	Aragón
201109	Septiembre 2011	Más de 69	Mujeres	318	Aragón
201109	Septiembre 2011	Sin clasificar	Hombres	1	Aragón
201109	Septiembre 2011	Sin clasificar	Mujeres	1	Aragón
201112	Diciembre 2011	16-19	Hombres	1376	Aragón
201112	Diciembre 2011	16-19	Mujeres	1086	Aragón
201112	Diciembre 2011	20-24	Hombres	12496	Aragón
201112	Diciembre 2011	20-24	Mujeres	11601	Aragón
201112	Diciembre 2011	25-29	Hombres	25882	Aragón
201112	Diciembre 2011	25-29	Mujeres	24610	Aragón
201112	Diciembre 2011	30-34	Hombres	38437	Aragón
201112	Diciembre 2011	30-34	Mujeres	33105	Aragón
201112	Diciembre 2011	35-39	Hombres	43633	Aragón
201112	Diciembre 2011	35-39	Mujeres	35141	Aragón
201112	Diciembre 2011	40-44	Hombres	41466	Aragón
201112	Diciembre 2011	40-44	Mujeres	33257	Aragón
201112	Diciembre 2011	45-49	Hombres	39658	Aragón
201112	Diciembre 2011	45-49	Mujeres	31086	Aragón
201112	Diciembre 2011	50-54	Hombres	35509	Aragón
201112	Diciembre 2011	50-54	Mujeres	27034	Aragón
201112	Diciembre 2011	55-59	Hombres	26963	Aragón
201112	Diciembre 2011	55-59	Mujeres	18624	Aragón
201112	Diciembre 2011	60-64	Hombres	18919	Aragón
201112	Diciembre 2011	60-64	Mujeres	11222	Aragón
201112	Diciembre 2011	65-69	Hombres	1644	Aragón
201112	Diciembre 2011	65-69	Mujeres	1263	Aragón
201112	Diciembre 2011	Más de 69	Hombres	379	Aragón
201112	Diciembre 2011	Más de 69	Mujeres	316	Aragón
201112	Diciembre 2011	Sin clasificar	Hombres	1	Aragón
201112	Diciembre 2011	Sin clasificar	Mujeres	1	Aragón
201203	Marzo 2012	16-19	Hombres	1261	Aragón
201203	Marzo 2012	16-19	Mujeres	914	Aragón
201203	Marzo 2012	20-24	Hombres	11894	Aragón
201203	Marzo 2012	20-24	Mujeres	10625	Aragón
201203	Marzo 2012	25-29	Hombres	25506	Aragón
201203	Marzo 2012	25-29	Mujeres	23533	Aragón
201203	Marzo 2012	30-34	Hombres	37836	Aragón
201203	Marzo 2012	30-34	Mujeres	32502	Aragón
201203	Marzo 2012	35-39	Hombres	43877	Aragón
201203	Marzo 2012	35-39	Mujeres	35111	Aragón
201203	Marzo 2012	40-44	Hombres	41544	Aragón
201203	Marzo 2012	40-44	Mujeres	33165	Aragón
201203	Marzo 2012	45-49	Hombres	39691	Aragón
201203	Marzo 2012	45-49	Mujeres	31149	Aragón
201203	Marzo 2012	50-54	Hombres	35702	Aragón
201203	Marzo 2012	50-54	Mujeres	27174	Aragón
201203	Marzo 2012	55-59	Hombres	27114	Aragón
201203	Marzo 2012	55-59	Mujeres	18852	Aragón
201203	Marzo 2012	60-64	Hombres	19003	Aragón
201203	Marzo 2012	60-64	Mujeres	11424	Aragón
201203	Marzo 2012	65-69	Hombres	1631	Aragón
201203	Marzo 2012	65-69	Mujeres	1290	Aragón
201203	Marzo 2012	Más de 69	Hombres	394	Aragón
201203	Marzo 2012	Más de 69	Mujeres	333	Aragón
201203	Marzo 2012	Sin clasificar	Hombres	2	Aragón
201203	Marzo 2012	Sin clasificar	Mujeres	1	Aragón
201206	Junio 2012	16-19	Hombres	1785	Aragón
201206	Junio 2012	16-19	Mujeres	1157	Aragón
201206	Junio 2012	20-24	Hombres	13061	Aragón
201206	Junio 2012	20-24	Mujeres	11156	Aragón
201206	Junio 2012	25-29	Hombres	26307	Aragón
201206	Junio 2012	25-29	Mujeres	24093	Aragón
201206	Junio 2012	30-34	Hombres	38910	Aragón
201206	Junio 2012	30-34	Mujeres	33005	Aragón
201206	Junio 2012	35-39	Hombres	45643	Aragón
201206	Junio 2012	35-39	Mujeres	35952	Aragón
201206	Junio 2012	40-44	Hombres	43181	Aragón
201206	Junio 2012	40-44	Mujeres	34265	Aragón
201206	Junio 2012	45-49	Hombres	40651	Aragón
201206	Junio 2012	45-49	Mujeres	31907	Aragón
201206	Junio 2012	50-54	Hombres	36366	Aragón
201206	Junio 2012	50-54	Mujeres	27564	Aragón
201206	Junio 2012	55-59	Hombres	27591	Aragón
201206	Junio 2012	55-59	Mujeres	19150	Aragón
201206	Junio 2012	60-64	Hombres	19104	Aragón
201206	Junio 2012	60-64	Mujeres	11672	Aragón
201206	Junio 2012	65-69	Hombres	1653	Aragón
201206	Junio 2012	65-69	Mujeres	1334	Aragón
201206	Junio 2012	Más de 69	Hombres	390	Aragón
201206	Junio 2012	Más de 69	Mujeres	347	Aragón
201206	Junio 2012	Sin clasificar	Hombres	5	Aragón
201206	Junio 2012	Sin clasificar	Mujeres	2	Aragón
201209	Septiembre 2012	16-19	Hombres	1427	Aragón
201209	Septiembre 2012	16-19	Mujeres	1014	Aragón
201209	Septiembre 2012	20-24	Hombres	12005	Aragón
201209	Septiembre 2012	20-24	Mujeres	10520	Aragón
201209	Septiembre 2012	25-29	Hombres	25149	Aragón
201209	Septiembre 2012	25-29	Mujeres	23902	Aragón
201209	Septiembre 2012	30-34	Hombres	37223	Aragón
201209	Septiembre 2012	30-34	Mujeres	32608	Aragón
201209	Septiembre 2012	35-39	Hombres	44340	Aragón
201209	Septiembre 2012	35-39	Mujeres	36361	Aragón
201209	Septiembre 2012	40-44	Hombres	42207	Aragón
201209	Septiembre 2012	40-44	Mujeres	34797	Aragón
201209	Septiembre 2012	45-49	Hombres	40007	Aragón
201209	Septiembre 2012	45-49	Mujeres	32907	Aragón
201209	Septiembre 2012	50-54	Hombres	36197	Aragón
201209	Septiembre 2012	50-54	Mujeres	28660	Aragón
201209	Septiembre 2012	55-59	Hombres	27495	Aragón
201209	Septiembre 2012	55-59	Mujeres	19979	Aragón
201209	Septiembre 2012	60-64	Hombres	19020	Aragón
201209	Septiembre 2012	60-64	Mujeres	12033	Aragón
201209	Septiembre 2012	65-69	Hombres	1652	Aragón
201209	Septiembre 2012	65-69	Mujeres	1332	Aragón
201209	Septiembre 2012	Más de 69	Hombres	396	Aragón
201209	Septiembre 2012	Más de 69	Mujeres	361	Aragón
201209	Septiembre 2012	Sin clasificar	Hombres	4	Aragón
201209	Septiembre 2012	Sin clasificar	Mujeres	2	Aragón
201212	Diciembre 2012	16-19	Hombres	1092	Aragón
201212	Diciembre 2012	16-19	Mujeres	900	Aragón
201212	Diciembre 2012	20-24	Hombres	10806	Aragón
201212	Diciembre 2012	20-24	Mujeres	10038	Aragón
201212	Diciembre 2012	25-29	Hombres	23319	Aragón
201212	Diciembre 2012	25-29	Mujeres	23374	Aragón
201212	Diciembre 2012	30-34	Hombres	34837	Aragón
201212	Diciembre 2012	30-34	Mujeres	31867	Aragón
201212	Diciembre 2012	35-39	Hombres	42362	Aragón
201212	Diciembre 2012	35-39	Mujeres	36029	Aragón
201212	Diciembre 2012	40-44	Hombres	40596	Aragón
201212	Diciembre 2012	40-44	Mujeres	34442	Aragón
201212	Diciembre 2012	45-49	Hombres	38790	Aragón
201212	Diciembre 2012	45-49	Mujeres	32843	Aragón
201212	Diciembre 2012	50-54	Hombres	35383	Aragón
201212	Diciembre 2012	50-54	Mujeres	28696	Aragón
201212	Diciembre 2012	55-59	Hombres	27250	Aragón
201212	Diciembre 2012	55-59	Mujeres	20294	Aragón
201212	Diciembre 2012	60-64	Hombres	18701	Aragón
201212	Diciembre 2012	60-64	Mujeres	12137	Aragón
201212	Diciembre 2012	65-69	Hombres	1628	Aragón
201212	Diciembre 2012	65-69	Mujeres	1310	Aragón
201212	Diciembre 2012	Más de 69	Hombres	392	Aragón
201212	Diciembre 2012	Más de 69	Mujeres	357	Aragón
201303	Marzo 2013	16-19	Hombres	939	Aragón
201303	Marzo 2013	16-19	Mujeres	729	Aragón
201303	Marzo 2013	20-24	Hombres	10083	Aragón
201303	Marzo 2013	20-24	Mujeres	9021	Aragón
201303	Marzo 2013	25-29	Hombres	22554	Aragón
201303	Marzo 2013	25-29	Mujeres	22426	Aragón
201303	Marzo 2013	30-34	Hombres	33991	Aragón
201303	Marzo 2013	30-34	Mujeres	30970	Aragón
201303	Marzo 2013	35-39	Hombres	41700	Aragón
201303	Marzo 2013	35-39	Mujeres	35528	Aragón
201303	Marzo 2013	40-44	Hombres	40325	Aragón
201303	Marzo 2013	40-44	Mujeres	34008	Aragón
201303	Marzo 2013	45-49	Hombres	38438	Aragón
201303	Marzo 2013	45-49	Mujeres	32620	Aragón
201303	Marzo 2013	50-54	Hombres	35285	Aragón
201303	Marzo 2013	50-54	Mujeres	28577	Aragón
201303	Marzo 2013	55-59	Hombres	27238	Aragón
201303	Marzo 2013	55-59	Mujeres	20403	Aragón
201303	Marzo 2013	60-64	Hombres	18447	Aragón
201303	Marzo 2013	60-64	Mujeres	12261	Aragón
201303	Marzo 2013	65-69	Hombres	1655	Aragón
201303	Marzo 2013	65-69	Mujeres	1364	Aragón
201303	Marzo 2013	Más de 69	Hombres	395	Aragón
201303	Marzo 2013	Más de 69	Mujeres	348	Aragón
201306	Junio 2013	16-19	Hombres	1518	Aragón
201306	Junio 2013	16-19	Mujeres	1003	Aragón
201306	Junio 2013	20-24	Hombres	11268	Aragón
201306	Junio 2013	20-24	Mujeres	9717	Aragón
201306	Junio 2013	25-29	Hombres	24058	Aragón
201306	Junio 2013	25-29	Mujeres	22879	Aragón
201306	Junio 2013	30-34	Hombres	35301	Aragón
201306	Junio 2013	30-34	Mujeres	31175	Aragón
201306	Junio 2013	35-39	Hombres	43895	Aragón
201306	Junio 2013	35-39	Mujeres	36213	Aragón
201306	Junio 2013	40-44	Hombres	42265	Aragón
201306	Junio 2013	40-44	Mujeres	34518	Aragón
201306	Junio 2013	45-49	Hombres	39640	Aragón
201306	Junio 2013	45-49	Mujeres	32857	Aragón
201306	Junio 2013	50-54	Hombres	36070	Aragón
201306	Junio 2013	50-54	Mujeres	28517	Aragón
201306	Junio 2013	55-59	Hombres	27873	Aragón
201306	Junio 2013	55-59	Mujeres	20517	Aragón
201306	Junio 2013	60-64	Hombres	18366	Aragón
201306	Junio 2013	60-64	Mujeres	12266	Aragón
201306	Junio 2013	65-69	Hombres	1572	Aragón
201306	Junio 2013	65-69	Mujeres	1341	Aragón
201306	Junio 2013	Más de 69	Hombres	396	Aragón
201306	Junio 2013	Más de 69	Mujeres	343	Aragón
201306	Junio 2013	Sin clasificar	Hombres	2	Aragón
201309	Septiembre 2013	16-19	Hombres	1145	Aragón
201309	Septiembre 2013	16-19	Mujeres	796	Aragón
201309	Septiembre 2013	20-24	Hombres	10560	Aragón
201309	Septiembre 2013	20-24	Mujeres	8969	Aragón
201309	Septiembre 2013	25-29	Hombres	22887	Aragón
201309	Septiembre 2013	25-29	Mujeres	22090	Aragón
201309	Septiembre 2013	30-34	Hombres	33714	Aragón
201309	Septiembre 2013	30-34	Mujeres	30298	Aragón
201309	Septiembre 2013	35-39	Hombres	42403	Aragón
201309	Septiembre 2013	35-39	Mujeres	35454	Aragón
201309	Septiembre 2013	40-44	Hombres	41288	Aragón
201309	Septiembre 2013	40-44	Mujeres	34355	Aragón
201309	Septiembre 2013	45-49	Hombres	39076	Aragón
201309	Septiembre 2013	45-49	Mujeres	33125	Aragón
201309	Septiembre 2013	50-54	Hombres	35919	Aragón
201309	Septiembre 2013	50-54	Mujeres	28949	Aragón
201309	Septiembre 2013	55-59	Hombres	27840	Aragón
201309	Septiembre 2013	55-59	Mujeres	21043	Aragón
201309	Septiembre 2013	60-64	Hombres	18060	Aragón
201309	Septiembre 2013	60-64	Mujeres	12448	Aragón
201309	Septiembre 2013	65-69	Hombres	1495	Aragón
201309	Septiembre 2013	65-69	Mujeres	1274	Aragón
201309	Septiembre 2013	Más de 69	Hombres	424	Aragón
201309	Septiembre 2013	Más de 69	Mujeres	346	Aragón
201309	Septiembre 2013	Sin clasificar	Hombres	1	Aragón
201312	Diciembre 2013	16-19	Hombres	949	Aragón
201312	Diciembre 2013	16-19	Mujeres	761	Aragón
201312	Diciembre 2013	20-24	Hombres	10059	Aragón
201312	Diciembre 2013	20-24	Mujeres	9251	Aragón
201312	Diciembre 2013	25-29	Hombres	22171	Aragón
201312	Diciembre 2013	25-29	Mujeres	22462	Aragón
201312	Diciembre 2013	30-34	Hombres	32392	Aragón
201312	Diciembre 2013	30-34	Mujeres	30117	Aragón
201312	Diciembre 2013	35-39	Hombres	41290	Aragón
201312	Diciembre 2013	35-39	Mujeres	35647	Aragón
201312	Diciembre 2013	40-44	Hombres	40329	Aragón
201312	Diciembre 2013	40-44	Mujeres	34464	Aragón
201312	Diciembre 2013	45-49	Hombres	38410	Aragón
201312	Diciembre 2013	45-49	Mujeres	33159	Aragón
201312	Diciembre 2013	50-54	Hombres	35470	Aragón
201312	Diciembre 2013	50-54	Mujeres	29143	Aragón
201312	Diciembre 2013	55-59	Hombres	27808	Aragón
201312	Diciembre 2013	55-59	Mujeres	21484	Aragón
201312	Diciembre 2013	60-64	Hombres	17902	Aragón
201312	Diciembre 2013	60-64	Mujeres	12523	Aragón
201312	Diciembre 2013	65-69	Hombres	1550	Aragón
201312	Diciembre 2013	65-69	Mujeres	1297	Aragón
201312	Diciembre 2013	Más de 69	Hombres	428	Aragón
201312	Diciembre 2013	Más de 69	Mujeres	357	Aragón
201312	Diciembre 2013	Sin clasificar	Hombres	1	Aragón
201312	Diciembre 2013	Sin clasificar	Mujeres	2	Aragón
201403	Marzo 2014	16-19	Hombres	917	Aragón
201403	Marzo 2014	16-19	Mujeres	673	Aragón
201403	Marzo 2014	20-24	Hombres	9952	Aragón
201403	Marzo 2014	20-24	Mujeres	8668	Aragón
201403	Marzo 2014	25-29	Hombres	22147	Aragón
201403	Marzo 2014	25-29	Mujeres	21940	Aragón
201403	Marzo 2014	30-34	Hombres	32555	Aragón
201403	Marzo 2014	30-34	Mujeres	29472	Aragón
201403	Marzo 2014	35-39	Hombres	41729	Aragón
201403	Marzo 2014	35-39	Mujeres	35490	Aragón
201403	Marzo 2014	40-44	Hombres	40742	Aragón
201403	Marzo 2014	40-44	Mujeres	34648	Aragón
201403	Marzo 2014	45-49	Hombres	38556	Aragón
201403	Marzo 2014	45-49	Mujeres	33014	Aragón
201403	Marzo 2014	50-54	Hombres	35813	Aragón
201403	Marzo 2014	50-54	Mujeres	29440	Aragón
201403	Marzo 2014	55-59	Hombres	28036	Aragón
201403	Marzo 2014	55-59	Mujeres	21813	Aragón
201403	Marzo 2014	60-64	Hombres	17844	Aragón
201403	Marzo 2014	60-64	Mujeres	12709	Aragón
201403	Marzo 2014	65-69	Hombres	1576	Aragón
201403	Marzo 2014	65-69	Mujeres	1377	Aragón
201403	Marzo 2014	Más de 69	Hombres	446	Aragón
201403	Marzo 2014	Más de 69	Mujeres	357	Aragón
201403	Marzo 2014	Sin clasificar	Hombres	2	Aragón
201403	Marzo 2014	Sin clasificar	Mujeres	1	Aragón
201406	Junio 2014	16-19	Hombres	1816	Aragón
201406	Junio 2014	16-19	Mujeres	1100	Aragón
201406	Junio 2014	20-24	Hombres	11859	Aragón
201406	Junio 2014	20-24	Mujeres	9796	Aragón
201406	Junio 2014	25-29	Hombres	23721	Aragón
201406	Junio 2014	25-29	Mujeres	22666	Aragón
201406	Junio 2014	30-34	Hombres	34253	Aragón
201406	Junio 2014	30-34	Mujeres	29807	Aragón
201406	Junio 2014	35-39	Hombres	44141	Aragón
201406	Junio 2014	35-39	Mujeres	36181	Aragón
201406	Junio 2014	40-44	Hombres	43174	Aragón
201406	Junio 2014	40-44	Mujeres	35571	Aragón
201406	Junio 2014	45-49	Hombres	40236	Aragón
201406	Junio 2014	45-49	Mujeres	33486	Aragón
201406	Junio 2014	50-54	Hombres	36939	Aragón
201406	Junio 2014	50-54	Mujeres	29506	Aragón
201406	Junio 2014	55-59	Hombres	28904	Aragón
201406	Junio 2014	55-59	Mujeres	21794	Aragón
201406	Junio 2014	60-64	Hombres	18049	Aragón
201406	Junio 2014	60-64	Mujeres	12903	Aragón
201406	Junio 2014	65-69	Hombres	1661	Aragón
201406	Junio 2014	65-69	Mujeres	1356	Aragón
201406	Junio 2014	Más de 69	Hombres	462	Aragón
201406	Junio 2014	Más de 69	Mujeres	362	Aragón
201406	Junio 2014	Sin clasificar	Hombres	3	Aragón
201406	Junio 2014	Sin clasificar	Mujeres	1	Aragón
201409	Septiembre 2014	16-19	Hombres	1265	Aragón
201409	Septiembre 2014	16-19	Mujeres	780	Aragón
201409	Septiembre 2014	20-24	Hombres	10800	Aragón
201409	Septiembre 2014	20-24	Mujeres	8984	Aragón
201409	Septiembre 2014	25-29	Hombres	22301	Aragón
201409	Septiembre 2014	25-29	Mujeres	21716	Aragón
201409	Septiembre 2014	30-34	Hombres	32537	Aragón
201409	Septiembre 2014	30-34	Mujeres	28899	Aragón
201409	Septiembre 2014	35-39	Hombres	42367	Aragón
201409	Septiembre 2014	35-39	Mujeres	35535	Aragón
201409	Septiembre 2014	40-44	Hombres	41827	Aragón
201409	Septiembre 2014	40-44	Mujeres	35294	Aragón
201409	Septiembre 2014	45-49	Hombres	39476	Aragón
201409	Septiembre 2014	45-49	Mujeres	33474	Aragón
201409	Septiembre 2014	50-54	Hombres	36435	Aragón
201409	Septiembre 2014	50-54	Mujeres	30030	Aragón
201409	Septiembre 2014	55-59	Hombres	29009	Aragón
201409	Septiembre 2014	55-59	Mujeres	22638	Aragón
201409	Septiembre 2014	60-64	Hombres	17930	Aragón
