Comarca código	Comarca nombre	Ocupacion (1 dígito) código	Ocupación (1 dígito) descripción	Sexo	Personas residentes viviendas familiares
05	Cinco Villas	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	904
05	Cinco Villas	9	Trabajadores no cualificados	Hombres	997
05	Cinco Villas	9	Trabajadores no cualificados	Mujeres	399
06	Hoya de Huesca / Plana de Uesca	0	Fuerzas armadas	Hombres	275
06	Hoya de Huesca / Plana de Uesca	0	Fuerzas armadas	Mujeres	26
06	Hoya de Huesca / Plana de Uesca	1	Dirección de las empresas y de las administraciones públicas	Hombres	1492
06	Hoya de Huesca / Plana de Uesca	1	Dirección de las empresas y de las administraciones públicas	Mujeres	680
06	Hoya de Huesca / Plana de Uesca	2	Técnicos y profesionales científicos e intelectuales	Hombres	1845
06	Hoya de Huesca / Plana de Uesca	2	Técnicos y profesionales científicos e intelectuales	Mujeres	2126
06	Hoya de Huesca / Plana de Uesca	3	Técnicos y profesionales de apoyo	Hombres	1710
06	Hoya de Huesca / Plana de Uesca	3	Técnicos y profesionales de apoyo	Mujeres	1061
06	Hoya de Huesca / Plana de Uesca	4	Empleados de tipo administrativo	Hombres	1139
06	Hoya de Huesca / Plana de Uesca	4	Empleados de tipo administrativo	Mujeres	1768
06	Hoya de Huesca / Plana de Uesca	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	1214
06	Hoya de Huesca / Plana de Uesca	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	2492
06	Hoya de Huesca / Plana de Uesca	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	1328
06	Hoya de Huesca / Plana de Uesca	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	90
06	Hoya de Huesca / Plana de Uesca	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	3661
06	Hoya de Huesca / Plana de Uesca	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	298
06	Hoya de Huesca / Plana de Uesca	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	1499
06	Hoya de Huesca / Plana de Uesca	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	249
06	Hoya de Huesca / Plana de Uesca	9	Trabajadores no cualificados	Hombres	1279
06	Hoya de Huesca / Plana de Uesca	9	Trabajadores no cualificados	Mujeres	1313
07	Somontano de Barbastro	0	Fuerzas armadas	Hombres	20
07	Somontano de Barbastro	0	Fuerzas armadas	Mujeres	1
07	Somontano de Barbastro	1	Dirección de las empresas y de las administraciones públicas	Hombres	574
07	Somontano de Barbastro	1	Dirección de las empresas y de las administraciones públicas	Mujeres	270
07	Somontano de Barbastro	2	Técnicos y profesionales científicos e intelectuales	Hombres	409
07	Somontano de Barbastro	2	Técnicos y profesionales científicos e intelectuales	Mujeres	566
07	Somontano de Barbastro	3	Técnicos y profesionales de apoyo	Hombres	432
07	Somontano de Barbastro	3	Técnicos y profesionales de apoyo	Mujeres	366
07	Somontano de Barbastro	4	Empleados de tipo administrativo	Hombres	215
07	Somontano de Barbastro	4	Empleados de tipo administrativo	Mujeres	391
07	Somontano de Barbastro	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	340
07	Somontano de Barbastro	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	838
07	Somontano de Barbastro	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	728
07	Somontano de Barbastro	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	86
07	Somontano de Barbastro	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	1400
07	Somontano de Barbastro	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	102
07	Somontano de Barbastro	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	909
07	Somontano de Barbastro	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	182
07	Somontano de Barbastro	9	Trabajadores no cualificados	Hombres	652
07	Somontano de Barbastro	9	Trabajadores no cualificados	Mujeres	449
08	Cinca Medio	0	Fuerzas armadas	Hombres	12
08	Cinca Medio	0	Fuerzas armadas	Mujeres	4
08	Cinca Medio	1	Dirección de las empresas y de las administraciones públicas	Hombres	443
08	Cinca Medio	1	Dirección de las empresas y de las administraciones públicas	Mujeres	271
08	Cinca Medio	2	Técnicos y profesionales científicos e intelectuales	Hombres	339
08	Cinca Medio	2	Técnicos y profesionales científicos e intelectuales	Mujeres	521
08	Cinca Medio	3	Técnicos y profesionales de apoyo	Hombres	379
08	Cinca Medio	3	Técnicos y profesionales de apoyo	Mujeres	381
08	Cinca Medio	4	Empleados de tipo administrativo	Hombres	224
08	Cinca Medio	4	Empleados de tipo administrativo	Mujeres	320
08	Cinca Medio	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	235
08	Cinca Medio	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	567
08	Cinca Medio	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	769
08	Cinca Medio	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	103
08	Cinca Medio	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	1697
08	Cinca Medio	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	126
08	Cinca Medio	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	1270
08	Cinca Medio	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	344
08	Cinca Medio	9	Trabajadores no cualificados	Hombres	552
08	Cinca Medio	9	Trabajadores no cualificados	Mujeres	313
09	La Litera / La Llitera	0	Fuerzas armadas	Hombres	11
09	La Litera / La Llitera	0	Fuerzas armadas	Mujeres	2
09	La Litera / La Llitera	1	Dirección de las empresas y de las administraciones públicas	Hombres	308
09	La Litera / La Llitera	1	Dirección de las empresas y de las administraciones públicas	Mujeres	137
09	La Litera / La Llitera	2	Técnicos y profesionales científicos e intelectuales	Hombres	231
09	La Litera / La Llitera	2	Técnicos y profesionales científicos e intelectuales	Mujeres	386
09	La Litera / La Llitera	3	Técnicos y profesionales de apoyo	Hombres	311
09	La Litera / La Llitera	3	Técnicos y profesionales de apoyo	Mujeres	284
09	La Litera / La Llitera	4	Empleados de tipo administrativo	Hombres	210
09	La Litera / La Llitera	4	Empleados de tipo administrativo	Mujeres	345
09	La Litera / La Llitera	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	252
09	La Litera / La Llitera	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	586
09	La Litera / La Llitera	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	1077
09	La Litera / La Llitera	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	128
09	La Litera / La Llitera	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	1375
09	La Litera / La Llitera	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	173
09	La Litera / La Llitera	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	731
09	La Litera / La Llitera	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	196
09	La Litera / La Llitera	9	Trabajadores no cualificados	Hombres	484
09	La Litera / La Llitera	9	Trabajadores no cualificados	Mujeres	236
10	Los Monegros	0	Fuerzas armadas	Hombres	23
10	Los Monegros	0	Fuerzas armadas	Mujeres	12
10	Los Monegros	1	Dirección de las empresas y de las administraciones públicas	Hombres	381
10	Los Monegros	1	Dirección de las empresas y de las administraciones públicas	Mujeres	201
10	Los Monegros	2	Técnicos y profesionales científicos e intelectuales	Hombres	203
10	Los Monegros	2	Técnicos y profesionales científicos e intelectuales	Mujeres	299
10	Los Monegros	3	Técnicos y profesionales de apoyo	Hombres	276
10	Los Monegros	3	Técnicos y profesionales de apoyo	Mujeres	203
10	Los Monegros	4	Empleados de tipo administrativo	Hombres	242
10	Los Monegros	4	Empleados de tipo administrativo	Mujeres	331
10	Los Monegros	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	278
10	Los Monegros	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	607
10	Los Monegros	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	1578
10	Los Monegros	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	143
10	Los Monegros	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	1209
10	Los Monegros	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	111
10	Los Monegros	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	826
10	Los Monegros	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	110
10	Los Monegros	9	Trabajadores no cualificados	Hombres	559
10	Los Monegros	9	Trabajadores no cualificados	Mujeres	250
11	Bajo Cinca / Baix Cinca	0	Fuerzas armadas	Hombres	11
11	Bajo Cinca / Baix Cinca	0	Fuerzas armadas	Mujeres	1
11	Bajo Cinca / Baix Cinca	1	Dirección de las empresas y de las administraciones públicas	Hombres	373
11	Bajo Cinca / Baix Cinca	1	Dirección de las empresas y de las administraciones públicas	Mujeres	231
11	Bajo Cinca / Baix Cinca	2	Técnicos y profesionales científicos e intelectuales	Hombres	228
11	Bajo Cinca / Baix Cinca	2	Técnicos y profesionales científicos e intelectuales	Mujeres	309
11	Bajo Cinca / Baix Cinca	3	Técnicos y profesionales de apoyo	Hombres	329
11	Bajo Cinca / Baix Cinca	3	Técnicos y profesionales de apoyo	Mujeres	335
11	Bajo Cinca / Baix Cinca	4	Empleados de tipo administrativo	Hombres	203
11	Bajo Cinca / Baix Cinca	4	Empleados de tipo administrativo	Mujeres	294
11	Bajo Cinca / Baix Cinca	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	316
11	Bajo Cinca / Baix Cinca	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	644
11	Bajo Cinca / Baix Cinca	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	1610
11	Bajo Cinca / Baix Cinca	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	129
11	Bajo Cinca / Baix Cinca	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	1330
11	Bajo Cinca / Baix Cinca	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	156
11	Bajo Cinca / Baix Cinca	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	915
11	Bajo Cinca / Baix Cinca	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	515
11	Bajo Cinca / Baix Cinca	9	Trabajadores no cualificados	Hombres	733
11	Bajo Cinca / Baix Cinca	9	Trabajadores no cualificados	Mujeres	314
12	Tarazona y el Moncayo	0	Fuerzas armadas	Hombres	16
12	Tarazona y el Moncayo	0	Fuerzas armadas	Mujeres	2
12	Tarazona y el Moncayo	1	Dirección de las empresas y de las administraciones públicas	Hombres	226
12	Tarazona y el Moncayo	1	Dirección de las empresas y de las administraciones públicas	Mujeres	98
12	Tarazona y el Moncayo	2	Técnicos y profesionales científicos e intelectuales	Hombres	200
12	Tarazona y el Moncayo	2	Técnicos y profesionales científicos e intelectuales	Mujeres	233
12	Tarazona y el Moncayo	3	Técnicos y profesionales de apoyo	Hombres	244
12	Tarazona y el Moncayo	3	Técnicos y profesionales de apoyo	Mujeres	170
12	Tarazona y el Moncayo	4	Empleados de tipo administrativo	Hombres	170
12	Tarazona y el Moncayo	4	Empleados de tipo administrativo	Mujeres	200
12	Tarazona y el Moncayo	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	277
12	Tarazona y el Moncayo	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	401
12	Tarazona y el Moncayo	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	227
12	Tarazona y el Moncayo	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	22
12	Tarazona y el Moncayo	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	927
12	Tarazona y el Moncayo	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	170
12	Tarazona y el Moncayo	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	749
12	Tarazona y el Moncayo	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	503
12	Tarazona y el Moncayo	9	Trabajadores no cualificados	Hombres	308
12	Tarazona y el Moncayo	9	Trabajadores no cualificados	Mujeres	221
13	Campo de Borja	0	Fuerzas armadas	Hombres	20
13	Campo de Borja	0	Fuerzas armadas	Mujeres	9
13	Campo de Borja	1	Dirección de las empresas y de las administraciones públicas	Hombres	298
13	Campo de Borja	1	Dirección de las empresas y de las administraciones públicas	Mujeres	157
13	Campo de Borja	2	Técnicos y profesionales científicos e intelectuales	Hombres	180
13	Campo de Borja	2	Técnicos y profesionales científicos e intelectuales	Mujeres	165
13	Campo de Borja	3	Técnicos y profesionales de apoyo	Hombres	193
13	Campo de Borja	3	Técnicos y profesionales de apoyo	Mujeres	139
13	Campo de Borja	4	Empleados de tipo administrativo	Hombres	157
13	Campo de Borja	4	Empleados de tipo administrativo	Mujeres	181
13	Campo de Borja	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	195
13	Campo de Borja	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	332
13	Campo de Borja	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	656
13	Campo de Borja	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	52
13	Campo de Borja	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	874
13	Campo de Borja	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	109
13	Campo de Borja	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	811
13	Campo de Borja	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	310
13	Campo de Borja	9	Trabajadores no cualificados	Hombres	485
13	Campo de Borja	9	Trabajadores no cualificados	Mujeres	236
14	Aranda	0	Fuerzas armadas	Hombres	13
14	Aranda	0	Fuerzas armadas	Mujeres	3
14	Aranda	1	Dirección de las empresas y de las administraciones públicas	Hombres	108
14	Aranda	1	Dirección de las empresas y de las administraciones públicas	Mujeres	42
14	Aranda	2	Técnicos y profesionales científicos e intelectuales	Hombres	50
14	Aranda	2	Técnicos y profesionales científicos e intelectuales	Mujeres	65
14	Aranda	3	Técnicos y profesionales de apoyo	Hombres	97
14	Aranda	3	Técnicos y profesionales de apoyo	Mujeres	77
14	Aranda	4	Empleados de tipo administrativo	Hombres	85
14	Aranda	4	Empleados de tipo administrativo	Mujeres	83
14	Aranda	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	85
14	Aranda	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	123
14	Aranda	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	147
14	Aranda	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	6
14	Aranda	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	1097
14	Aranda	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	423
14	Aranda	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	358
14	Aranda	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	136
14	Aranda	9	Trabajadores no cualificados	Hombres	149
14	Aranda	9	Trabajadores no cualificados	Mujeres	52
15	Ribera Alta del Ebro	0	Fuerzas armadas	Hombres	47
15	Ribera Alta del Ebro	0	Fuerzas armadas	Mujeres	11
15	Ribera Alta del Ebro	1	Dirección de las empresas y de las administraciones públicas	Hombres	379
15	Ribera Alta del Ebro	1	Dirección de las empresas y de las administraciones públicas	Mujeres	260
15	Ribera Alta del Ebro	2	Técnicos y profesionales científicos e intelectuales	Hombres	199
15	Ribera Alta del Ebro	2	Técnicos y profesionales científicos e intelectuales	Mujeres	229
15	Ribera Alta del Ebro	3	Técnicos y profesionales de apoyo	Hombres	307
15	Ribera Alta del Ebro	3	Técnicos y profesionales de apoyo	Mujeres	307
15	Ribera Alta del Ebro	4	Empleados de tipo administrativo	Hombres	264
15	Ribera Alta del Ebro	4	Empleados de tipo administrativo	Mujeres	348
15	Ribera Alta del Ebro	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	367
15	Ribera Alta del Ebro	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	666
15	Ribera Alta del Ebro	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	519
15	Ribera Alta del Ebro	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	79
15	Ribera Alta del Ebro	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	1518
15	Ribera Alta del Ebro	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Mujeres	214
15	Ribera Alta del Ebro	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	1857
15	Ribera Alta del Ebro	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	556
15	Ribera Alta del Ebro	9	Trabajadores no cualificados	Hombres	505
15	Ribera Alta del Ebro	9	Trabajadores no cualificados	Mujeres	448
16	Valdejalón	0	Fuerzas armadas	Hombres	63
16	Valdejalón	0	Fuerzas armadas	Mujeres	4
16	Valdejalón	1	Dirección de las empresas y de las administraciones públicas	Hombres	436
16	Valdejalón	1	Dirección de las empresas y de las administraciones públicas	Mujeres	200
16	Valdejalón	2	Técnicos y profesionales científicos e intelectuales	Hombres	311
16	Valdejalón	2	Técnicos y profesionales científicos e intelectuales	Mujeres	257
16	Valdejalón	3	Técnicos y profesionales de apoyo	Hombres	305
16	Valdejalón	3	Técnicos y profesionales de apoyo	Mujeres	293
16	Valdejalón	4	Empleados de tipo administrativo	Hombres	277
16	Valdejalón	4	Empleados de tipo administrativo	Mujeres	327
16	Valdejalón	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Hombres	380
16	Valdejalón	5	Trabajadores de los servicios de restauración, personales, protección y vendedores de los comercios	Mujeres	509
16	Valdejalón	6	Trabajadores cualificados en la agricultura y en la pesca	Hombres	944
16	Valdejalón	6	Trabajadores cualificados en la agricultura y en la pesca	Mujeres	50
16	Valdejalón	7	Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria	Hombres	1363
