Año	Siglas	Votos	Candidatura	Comarca código	Comarca nombre
2019	Cs	16421	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	29	Comunidad de Teruel
2019	Cs	925	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	30	Maestrazgo
2019	Cs	1378	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	31	Sierra de Albarracín
2019	Cs	2440	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	32	Gúdar-Javalambre
2019	Cs	2335	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	33	Matarraña / Matarranya
2019	PODEMOS-IU-EQUO	4574	UNIDAS PODEMOS	01	La Jacetania
2019	PODEMOS-IU-EQUO	3291	UNIDAS PODEMOS	02	Alto Gállego
2019	PODEMOS-IU-EQUO	1920	UNIDAS PODEMOS	03	Sobrarbe
2019	PODEMOS-IU-EQUO	3004	UNIDAS PODEMOS	04	La Ribagorza
2019	PODEMOS-IU-EQUO	4786	UNIDAS PODEMOS	05	Cinco Villas
2019	PODEMOS-IU-EQUO	13661	UNIDAS PODEMOS	06	Hoya de Huesca / Plana de Uesca
2019	PODEMOS-IU-EQUO	3918	UNIDAS PODEMOS	07	Somontano de Barbastro
2019	PODEMOS-IU-EQUO	4433	UNIDAS PODEMOS	08	Cinca Medio
2019	PODEMOS-IU-EQUO	3582	UNIDAS PODEMOS	09	La Litera / La Llitera
2019	PODEMOS-IU-EQUO	2369	UNIDAS PODEMOS	10	Los Monegros
2019	PODEMOS-IU-EQUO	3856	UNIDAS PODEMOS	11	Bajo Cinca / Baix Cinca
2019	PODEMOS-IU-EQUO	3147	UNIDAS PODEMOS	12	Tarazona y el Moncayo
2019	PODEMOS-IU-EQUO	2180	UNIDAS PODEMOS	13	Campo de Borja
2019	PODEMOS-IU-EQUO	709	UNIDAS PODEMOS	14	Aranda
2019	PODEMOS-IU-EQUO	5199	UNIDAS PODEMOS	15	Ribera Alta del Ebro
2019	PODEMOS-IU-EQUO	3876	UNIDAS PODEMOS	16	Valdejalón
2019	PODEMOS-IU-EQUO	175417	UNIDAS PODEMOS	17	Central
2019	PODEMOS-IU-EQUO	1113	UNIDAS PODEMOS	18	Ribera Baja del Ebro
2019	PODEMOS-IU-EQUO	2014	UNIDAS PODEMOS	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2019	PODEMOS-IU-EQUO	4912	UNIDAS PODEMOS	20	Comunidad de Calatayud
2019	PODEMOS-IU-EQUO	1344	UNIDAS PODEMOS	21	Campo de Cariñena
2019	PODEMOS-IU-EQUO	594	UNIDAS PODEMOS	22	Campo de Belchite
2019	PODEMOS-IU-EQUO	980	UNIDAS PODEMOS	23	Bajo Martín
2019	PODEMOS-IU-EQUO	688	UNIDAS PODEMOS	24	Campo de Daroca
2019	PODEMOS-IU-EQUO	1267	UNIDAS PODEMOS	25	Jiloca
2019	PODEMOS-IU-EQUO	1382	UNIDAS PODEMOS	26	Cuencas Mineras
2019	PODEMOS-IU-EQUO	2247	UNIDAS PODEMOS	27	Andorra-Sierra de Arcos
2019	PODEMOS-IU-EQUO	4996	UNIDAS PODEMOS	28	Bajo Aragón
2019	PODEMOS-IU-EQUO	7055	UNIDAS PODEMOS	29	Comunidad de Teruel
2019	PODEMOS-IU-EQUO	458	UNIDAS PODEMOS	30	Maestrazgo
2019	PODEMOS-IU-EQUO	595	UNIDAS PODEMOS	31	Sierra de Albarracín
2019	PODEMOS-IU-EQUO	1238	UNIDAS PODEMOS	32	Gúdar-Javalambre
2019	PODEMOS-IU-EQUO	1602	UNIDAS PODEMOS	33	Matarraña / Matarranya
2019	VOX	1327	VOX	01	La Jacetania
2019	VOX	701	VOX	02	Alto Gállego
2019	VOX	442	VOX	03	Sobrarbe
2019	VOX	752	VOX	04	La Ribagorza
2019	VOX	4530	VOX	05	Cinco Villas
2019	VOX	5697	VOX	06	Hoya de Huesca / Plana de Uesca
2019	VOX	2019	VOX	07	Somontano de Barbastro
2019	VOX	1505	VOX	08	Cinca Medio
2019	VOX	1054	VOX	09	La Litera / La Llitera
2019	VOX	1742	VOX	10	Los Monegros
2019	VOX	1733	VOX	11	Bajo Cinca / Baix Cinca
2019	VOX	1692	VOX	12	Tarazona y el Moncayo
2019	VOX	1870	VOX	13	Campo de Borja
2019	VOX	1297	VOX	14	Aranda
2019	VOX	4154	VOX	15	Ribera Alta del Ebro
2019	VOX	4766	VOX	16	Valdejalón
2019	VOX	135133	VOX	17	Central
2019	VOX	1277	VOX	18	Ribera Baja del Ebro
2019	VOX	1886	VOX	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2019	VOX	5859	VOX	20	Comunidad de Calatayud
2019	VOX	1557	VOX	21	Campo de Cariñena
2019	VOX	921	VOX	22	Campo de Belchite
2019	VOX	833	VOX	23	Bajo Martín
2019	VOX	1078	VOX	24	Campo de Daroca
2019	VOX	2078	VOX	25	Jiloca
2019	VOX	750	VOX	26	Cuencas Mineras
2019	VOX	1277	VOX	27	Andorra-Sierra de Arcos
2019	VOX	3956	VOX	28	Bajo Aragón
2019	VOX	7925	VOX	29	Comunidad de Teruel
2019	VOX	466	VOX	30	Maestrazgo
2019	VOX	894	VOX	31	Sierra de Albarracín
2019	VOX	1062	VOX	32	Gúdar-Javalambre
2019	VOX	851	VOX	33	Matarraña / Matarranya
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	01	La Jacetania
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	02	Alto Gállego
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	03	Sobrarbe
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	04	La Ribagorza
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	05	Cinco Villas
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	06	Hoya de Huesca / Plana de Uesca
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	07	Somontano de Barbastro
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	08	Cinca Medio
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	09	La Litera / La Llitera
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	10	Los Monegros
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	11	Bajo Cinca / Baix Cinca
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	12	Tarazona y el Moncayo
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	13	Campo de Borja
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	14	Aranda
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	15	Ribera Alta del Ebro
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	16	Valdejalón
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	17	Central
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	18	Ribera Baja del Ebro
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	20	Comunidad de Calatayud
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	21	Campo de Cariñena
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	22	Campo de Belchite
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	23	Bajo Martín
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	24	Campo de Daroca
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	25	Jiloca
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	26	Cuencas Mineras
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	27	Andorra-Sierra de Arcos
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	28	Bajo Aragón
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	29	Comunidad de Teruel
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	30	Maestrazgo
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	31	Sierra de Albarracín
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	32	Gúdar-Javalambre
2019	PODEMOS-IU-EQUO-AAeC	0	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚN	33	Matarraña / Matarranya
2019	PACMA	369	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	01	La Jacetania
2019	PACMA	314	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	02	Alto Gállego
2019	PACMA	118	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	03	Sobrarbe
2019	PACMA	347	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	04	La Ribagorza
2019	PACMA	307	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	05	Cinco Villas
2019	PACMA	1741	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	06	Hoya de Huesca / Plana de Uesca
2019	PACMA	638	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	07	Somontano de Barbastro
2019	PACMA	882	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	08	Cinca Medio
2019	PACMA	374	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	09	La Litera / La Llitera
2019	PACMA	236	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	10	Los Monegros
2019	PACMA	375	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	11	Bajo Cinca / Baix Cinca
2019	PACMA	243	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	12	Tarazona y el Moncayo
2019	PACMA	251	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	13	Campo de Borja
2019	PACMA	63	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	14	Aranda
2019	PACMA	517	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	15	Ribera Alta del Ebro
2019	PACMA	468	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	16	Valdejalón
2019	PACMA	19625	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	17	Central
2019	PACMA	126	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	18	Ribera Baja del Ebro
2019	PACMA	245	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2019	PACMA	574	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	20	Comunidad de Calatayud
2019	PACMA	113	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	21	Campo de Cariñena
2019	PACMA	41	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	22	Campo de Belchite
2019	PACMA	60	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	23	Bajo Martín
2019	PACMA	89	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	24	Campo de Daroca
2019	PACMA	84	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	25	Jiloca
2019	PACMA	123	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	26	Cuencas Mineras
2019	PACMA	204	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	27	Andorra-Sierra de Arcos
2019	PACMA	554	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	28	Bajo Aragón
2019	PACMA	652	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	29	Comunidad de Teruel
2019	PACMA	36	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	30	Maestrazgo
2019	PACMA	38	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	31	Sierra de Albarracín
2019	PACMA	111	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	32	Gúdar-Javalambre
2019	PACMA	158	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	33	Matarraña / Matarranya
2019	EB	178	ESCAÑOS EN BLANCO	01	La Jacetania
2019	EB	213	ESCAÑOS EN BLANCO	02	Alto Gállego
2019	EB	58	ESCAÑOS EN BLANCO	03	Sobrarbe
2019	EB	182	ESCAÑOS EN BLANCO	04	La Ribagorza
2019	EB	287	ESCAÑOS EN BLANCO	05	Cinco Villas
2019	EB	1039	ESCAÑOS EN BLANCO	06	Hoya de Huesca / Plana de Uesca
2019	EB	324	ESCAÑOS EN BLANCO	07	Somontano de Barbastro
2019	EB	500	ESCAÑOS EN BLANCO	08	Cinca Medio
2019	EB	170	ESCAÑOS EN BLANCO	09	La Litera / La Llitera
2019	EB	148	ESCAÑOS EN BLANCO	10	Los Monegros
2019	EB	169	ESCAÑOS EN BLANCO	11	Bajo Cinca / Baix Cinca
2019	EB	71	ESCAÑOS EN BLANCO	12	Tarazona y el Moncayo
2019	EB	187	ESCAÑOS EN BLANCO	13	Campo de Borja
2019	EB	30	ESCAÑOS EN BLANCO	14	Aranda
2019	EB	185	ESCAÑOS EN BLANCO	15	Ribera Alta del Ebro
2019	EB	214	ESCAÑOS EN BLANCO	16	Valdejalón
2019	EB	10937	ESCAÑOS EN BLANCO	17	Central
2019	EB	59	ESCAÑOS EN BLANCO	18	Ribera Baja del Ebro
2019	EB	154	ESCAÑOS EN BLANCO	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2019	EB	282	ESCAÑOS EN BLANCO	20	Comunidad de Calatayud
2019	EB	87	ESCAÑOS EN BLANCO	21	Campo de Cariñena
2019	EB	25	ESCAÑOS EN BLANCO	22	Campo de Belchite
2019	EB	31	ESCAÑOS EN BLANCO	23	Bajo Martín
2019	EB	90	ESCAÑOS EN BLANCO	24	Campo de Daroca
2019	EB	99	ESCAÑOS EN BLANCO	25	Jiloca
2019	EB	80	ESCAÑOS EN BLANCO	26	Cuencas Mineras
2019	EB	110	ESCAÑOS EN BLANCO	27	Andorra-Sierra de Arcos
2019	EB	350	ESCAÑOS EN BLANCO	28	Bajo Aragón
2019	EB	583	ESCAÑOS EN BLANCO	29	Comunidad de Teruel
2019	EB	38	ESCAÑOS EN BLANCO	30	Maestrazgo
2019	EB	59	ESCAÑOS EN BLANCO	31	Sierra de Albarracín
2019	EB	106	ESCAÑOS EN BLANCO	32	Gúdar-Javalambre
2019	EB	101	ESCAÑOS EN BLANCO	33	Matarraña / Matarranya
2019	RECORTES CERO-GV	76	RECORTES CERO-GRUPO VERDE	01	La Jacetania
2019	RECORTES CERO-GV	61	RECORTES CERO-GRUPO VERDE	02	Alto Gállego
2019	RECORTES CERO-GV	37	RECORTES CERO-GRUPO VERDE	03	Sobrarbe
2019	RECORTES CERO-GV	47	RECORTES CERO-GRUPO VERDE	04	La Ribagorza
2019	RECORTES CERO-GV	79	RECORTES CERO-GRUPO VERDE	05	Cinco Villas
2019	RECORTES CERO-GV	322	RECORTES CERO-GRUPO VERDE	06	Hoya de Huesca / Plana de Uesca
2019	RECORTES CERO-GV	90	RECORTES CERO-GRUPO VERDE	07	Somontano de Barbastro
2019	RECORTES CERO-GV	61	RECORTES CERO-GRUPO VERDE	08	Cinca Medio
2019	RECORTES CERO-GV	47	RECORTES CERO-GRUPO VERDE	09	La Litera / La Llitera
2019	RECORTES CERO-GV	28	RECORTES CERO-GRUPO VERDE	10	Los Monegros
2019	RECORTES CERO-GV	53	RECORTES CERO-GRUPO VERDE	11	Bajo Cinca / Baix Cinca
2019	RECORTES CERO-GV	79	RECORTES CERO-GRUPO VERDE	12	Tarazona y el Moncayo
2019	RECORTES CERO-GV	63	RECORTES CERO-GRUPO VERDE	13	Campo de Borja
2019	RECORTES CERO-GV	28	RECORTES CERO-GRUPO VERDE	14	Aranda
2019	RECORTES CERO-GV	90	RECORTES CERO-GRUPO VERDE	15	Ribera Alta del Ebro
2019	RECORTES CERO-GV	149	RECORTES CERO-GRUPO VERDE	16	Valdejalón
2019	RECORTES CERO-GV	4356	RECORTES CERO-GRUPO VERDE	17	Central
2019	RECORTES CERO-GV	15	RECORTES CERO-GRUPO VERDE	18	Ribera Baja del Ebro
2019	RECORTES CERO-GV	48	RECORTES CERO-GRUPO VERDE	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2019	RECORTES CERO-GV	185	RECORTES CERO-GRUPO VERDE	20	Comunidad de Calatayud
2019	RECORTES CERO-GV	16	RECORTES CERO-GRUPO VERDE	21	Campo de Cariñena
2019	RECORTES CERO-GV	12	RECORTES CERO-GRUPO VERDE	22	Campo de Belchite
2019	RECORTES CERO-GV	13	RECORTES CERO-GRUPO VERDE	23	Bajo Martín
2019	RECORTES CERO-GV	20	RECORTES CERO-GRUPO VERDE	24	Campo de Daroca
2019	RECORTES CERO-GV	22	RECORTES CERO-GRUPO VERDE	25	Jiloca
2019	RECORTES CERO-GV	14	RECORTES CERO-GRUPO VERDE	26	Cuencas Mineras
2019	RECORTES CERO-GV	28	RECORTES CERO-GRUPO VERDE	27	Andorra-Sierra de Arcos
2019	RECORTES CERO-GV	73	RECORTES CERO-GRUPO VERDE	28	Bajo Aragón
2019	RECORTES CERO-GV	157	RECORTES CERO-GRUPO VERDE	29	Comunidad de Teruel
2019	RECORTES CERO-GV	4	RECORTES CERO-GRUPO VERDE	30	Maestrazgo
2019	RECORTES CERO-GV	6	RECORTES CERO-GRUPO VERDE	31	Sierra de Albarracín
2019	RECORTES CERO-GV	19	RECORTES CERO-GRUPO VERDE	32	Gúdar-Javalambre
2019	RECORTES CERO-GV	27	RECORTES CERO-GRUPO VERDE	33	Matarraña / Matarranya
2019	FIA	77	FEDERACION DE LOS INDEPENDIENTES DE ARAGON	01	La Jacetania
2019	FIA	61	FEDERACION DE LOS INDEPENDIENTES DE ARAGON	02	Alto Gállego
2019	FIA	15	FEDERACION DE LOS INDEPENDIENTES DE ARAGON	03	Sobrarbe
