Año	Comarca código	Comarca nombre	Contenedores de papel y cartón	Kg recogidos papel y cartón
2012	22	Campo de Belchite	34	34485,02
2012	23	Bajo Martín	120	127919,99
2012	24	Campo de Daroca	44	83450,02
2012	25	Jiloca	16	38060
2012	26	Cuencas Mineras	65	103408,37
2012	27	Andorra-Sierra de Arcos	127	146300
2012	28	Bajo Aragón	178	421628
2012	29	Comunidad de Teruel	205	535715,52
2012	30	Maestrazgo	56	41967,14
2012	31	Sierra de Albarracín	45	56958,65
2012	32	Gúdar-Javalambre	101	94340,28
2012	33	Matarraña / Matarranya	99	187379,97
2013	01	La Jacetania	207	509092,3
2013	02	Alto Gállego	321	459084,31
2013	03	Sobrarbe	79	180460
2013	04	La Ribagorza	407	356614,99
2013	05	Cinco Villas	99	292180
2013	06	Hoya de Huesca / Plana de Uesca	559	2138045,45
2013	07	Somontano de Barbastro	47	280890
2013	08	Cinca Medio	132	341205
2013	09	La Litera / La Llitera	78	347395
2013	10	Los Monegros	445	441135
2013	11	Bajo Cinca / Baix Cinca	90	310020,01
2013	12	Tarazona y el Moncayo	125	276929,99
2013	13	Campo de Borja	242	395935,43
2013	14	Aranda	14	41150,01
2013	15	Ribera Alta del Ebro	339	492040
2013	16	Valdejalón	102	222398,99
2013	17	D.C. Zaragoza	2167	14626355,39
2013	18	Ribera Baja del Ebro	50	82849,99
2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	50	127020,01
2013	20	Comunidad de Calatayud	201	345265,01
2013	21	Campo de Cariñena	54	130929,99
2013	22	Campo de Belchite	34	34520
2013	23	Bajo Martín	122	115200
2013	24	Campo de Daroca	44	69460
2013	25	Jiloca	16	44947,99
2013	26	Cuencas Mineras	65	91356,71
2013	27	Andorra-Sierra de Arcos	127	143339,98
2013	28	Bajo Aragón	205	400834,98
2013	29	Comunidad de Teruel	205	485061,5
2013	30	Maestrazgo	56	36998,74
2013	31	Sierra de Albarracín	45	50639,59
2013	32	Gúdar-Javalambre	103	84053,49
2013	33	Matarraña / Matarranya	99	193580
2014	01	La Jacetania	207	500184,53
2014	02	Alto Gállego	326	435811,82
2014	03	Sobrarbe	81	164580,01
2014	04	La Ribagorza	407	367745,02
2014	05	Cinco Villas	139	320580,03
2014	06	Hoya de Huesca / Plana de Uesca	587	2059751,68
2014	07	Somontano de Barbastro	49	290500
2014	08	Cinca Medio	230	354068,99
2014	09	La Litera / La Llitera	78	345273,02
2014	10	Los Monegros	451	432959,98
2014	11	Bajo Cinca / Baix Cinca	119	329090,01
2014	12	Tarazona y el Moncayo	125	262380
2014	13	Campo de Borja	243	391882,99
2014	14	Aranda	16	39685
2014	15	Ribera Alta del Ebro	361	491325
2014	16	Valdejalón	117	206459,99
2014	17	D.C. Zaragoza	2248	13136089,01
2014	18	Ribera Baja del Ebro	50	81780
2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	54	118080
2014	20	Comunidad de Calatayud	201	326840,02
2014	21	Campo de Cariñena	89	113629
2014	22	Campo de Belchite	30	31514,99
2014	23	Bajo Martín	112	107520,01
2014	24	Campo de Daroca	67	64960,03
2014	25	Jiloca	62	71480
2014	26	Cuencas Mineras	66	89279,68
2014	27	Andorra-Sierra de Arcos	127	145239,99
2014	28	Bajo Aragón	218	388245,99
2014	29	Comunidad de Teruel	194	476815,21
2014	30	Maestrazgo	53	35004,53
2014	31	Sierra de Albarracín	46	48333,3
2014	32	Gúdar-Javalambre	97	80407,3
2014	33	Matarraña / Matarranya	175	206619,99
