Comarca código	Comarca nombre	Sexo	Sector actividad, código	Sector actividad, descripción	Personas residentes viviendas familiares
13	Campo de Borja	Mujeres	2	Industria y energía	498
13	Campo de Borja	Mujeres	3	Construcción	25
13	Campo de Borja	Mujeres	4	Servicios	1097
14	Aranda	Hombres	1	Agricultura, ganadería y pesca	184
14	Aranda	Hombres	2	Industria y energía	1175
14	Aranda	Hombres	3	Construcción	284
14	Aranda	Hombres	4	Servicios	546
14	Aranda	Mujeres	1	Agricultura, ganadería y pesca	11
14	Aranda	Mujeres	2	Industria y energía	565
14	Aranda	Mujeres	3	Construcción	19
14	Aranda	Mujeres	4	Servicios	415
15	Ribera Alta del Ebro	Hombres	1	Agricultura, ganadería y pesca	707
15	Ribera Alta del Ebro	Hombres	2	Industria y energía	2514
15	Ribera Alta del Ebro	Hombres	3	Construcción	893
15	Ribera Alta del Ebro	Hombres	4	Servicios	1848
15	Ribera Alta del Ebro	Mujeres	1	Agricultura, ganadería y pesca	140
15	Ribera Alta del Ebro	Mujeres	2	Industria y energía	905
15	Ribera Alta del Ebro	Mujeres	3	Construcción	78
15	Ribera Alta del Ebro	Mujeres	4	Servicios	1995
16	Valdejalón	Hombres	1	Agricultura, ganadería y pesca	1495
16	Valdejalón	Hombres	2	Industria y energía	1748
16	Valdejalón	Hombres	3	Construcción	973
16	Valdejalón	Hombres	4	Servicios	2063
16	Valdejalón	Mujeres	1	Agricultura, ganadería y pesca	157
16	Valdejalón	Mujeres	2	Industria y energía	779
16	Valdejalón	Mujeres	3	Construcción	68
16	Valdejalón	Mujeres	4	Servicios	1828
17	D.C. Zaragoza	Hombres	1	Agricultura, ganadería y pesca	3102
17	D.C. Zaragoza	Hombres	2	Industria y energía	52933
17	D.C. Zaragoza	Hombres	3	Construcción	20167
17	D.C. Zaragoza	Hombres	4	Servicios	93852
17	D.C. Zaragoza	Mujeres	1	Agricultura, ganadería y pesca	858
17	D.C. Zaragoza	Mujeres	2	Industria y energía	13677
17	D.C. Zaragoza	Mujeres	3	Construcción	2262
17	D.C. Zaragoza	Mujeres	4	Servicios	94107
18	Ribera Baja del Ebro	Hombres	1	Agricultura, ganadería y pesca	449
18	Ribera Baja del Ebro	Hombres	2	Industria y energía	914
18	Ribera Baja del Ebro	Hombres	3	Construcción	455
18	Ribera Baja del Ebro	Hombres	4	Servicios	607
18	Ribera Baja del Ebro	Mujeres	1	Agricultura, ganadería y pesca	125
18	Ribera Baja del Ebro	Mujeres	2	Industria y energía	361
18	Ribera Baja del Ebro	Mujeres	3	Construcción	19
18	Ribera Baja del Ebro	Mujeres	4	Servicios	757
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	1	Agricultura, ganadería y pesca	1043
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	2	Industria y energía	561
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	3	Construcción	637
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	4	Servicios	1070
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	1	Agricultura, ganadería y pesca	132
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	2	Industria y energía	588
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	3	Construcción	32
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	4	Servicios	944
20	Comunidad de Calatayud	Hombres	1	Agricultura, ganadería y pesca	1574
20	Comunidad de Calatayud	Hombres	2	Industria y energía	2174
20	Comunidad de Calatayud	Hombres	3	Construcción	1572
20	Comunidad de Calatayud	Hombres	4	Servicios	4039
20	Comunidad de Calatayud	Mujeres	1	Agricultura, ganadería y pesca	173
20	Comunidad de Calatayud	Mujeres	2	Industria y energía	1134
20	Comunidad de Calatayud	Mujeres	3	Construcción	111
20	Comunidad de Calatayud	Mujeres	4	Servicios	3733
21	Campo de Cariñena	Hombres	1	Agricultura, ganadería y pesca	864
21	Campo de Cariñena	Hombres	2	Industria y energía	805
21	Campo de Cariñena	Hombres	3	Construcción	371
21	Campo de Cariñena	Hombres	4	Servicios	796
21	Campo de Cariñena	Mujeres	1	Agricultura, ganadería y pesca	71
21	Campo de Cariñena	Mujeres	2	Industria y energía	273
21	Campo de Cariñena	Mujeres	3	Construcción	18
21	Campo de Cariñena	Mujeres	4	Servicios	763
22	Campo de Belchite	Hombres	1	Agricultura, ganadería y pesca	379
22	Campo de Belchite	Hombres	2	Industria y energía	332
22	Campo de Belchite	Hombres	3	Construcción	239
22	Campo de Belchite	Hombres	4	Servicios	401
22	Campo de Belchite	Mujeres	1	Agricultura, ganadería y pesca	39
22	Campo de Belchite	Mujeres	2	Industria y energía	244
22	Campo de Belchite	Mujeres	3	Construcción	10
22	Campo de Belchite	Mujeres	4	Servicios	312
23	Bajo Martín	Hombres	1	Agricultura, ganadería y pesca	331
23	Bajo Martín	Hombres	2	Industria y energía	474
23	Bajo Martín	Hombres	3	Construcción	292
23	Bajo Martín	Hombres	4	Servicios	512
23	Bajo Martín	Mujeres	1	Agricultura, ganadería y pesca	59
23	Bajo Martín	Mujeres	2	Industria y energía	270
23	Bajo Martín	Mujeres	3	Construcción	11
23	Bajo Martín	Mujeres	4	Servicios	469
24	Campo de Daroca	Hombres	1	Agricultura, ganadería y pesca	545
24	Campo de Daroca	Hombres	2	Industria y energía	228
24	Campo de Daroca	Hombres	3	Construcción	232
24	Campo de Daroca	Hombres	4	Servicios	601
24	Campo de Daroca	Mujeres	1	Agricultura, ganadería y pesca	60
24	Campo de Daroca	Mujeres	2	Industria y energía	107
24	Campo de Daroca	Mujeres	3	Construcción	11
24	Campo de Daroca	Mujeres	4	Servicios	493
25	Jiloca	Hombres	1	Agricultura, ganadería y pesca	952
25	Jiloca	Hombres	2	Industria y energía	725
25	Jiloca	Hombres	3	Construcción	494
25	Jiloca	Hombres	4	Servicios	1107
25	Jiloca	Mujeres	1	Agricultura, ganadería y pesca	220
25	Jiloca	Mujeres	2	Industria y energía	262
25	Jiloca	Mujeres	3	Construcción	22
25	Jiloca	Mujeres	4	Servicios	998
26	Cuencas Mineras	Hombres	1	Agricultura, ganadería y pesca	287
26	Cuencas Mineras	Hombres	2	Industria y energía	939
26	Cuencas Mineras	Hombres	3	Construcción	356
26	Cuencas Mineras	Hombres	4	Servicios	563
26	Cuencas Mineras	Mujeres	1	Agricultura, ganadería y pesca	57
26	Cuencas Mineras	Mujeres	2	Industria y energía	203
26	Cuencas Mineras	Mujeres	3	Construcción	28
26	Cuencas Mineras	Mujeres	4	Servicios	603
27	Andorra-Sierra de Arcos	Hombres	1	Agricultura, ganadería y pesca	196
27	Andorra-Sierra de Arcos	Hombres	2	Industria y energía	842
27	Andorra-Sierra de Arcos	Hombres	3	Construcción	429
27	Andorra-Sierra de Arcos	Hombres	4	Servicios	818
27	Andorra-Sierra de Arcos	Mujeres	1	Agricultura, ganadería y pesca	30
27	Andorra-Sierra de Arcos	Mujeres	2	Industria y energía	129
27	Andorra-Sierra de Arcos	Mujeres	3	Construcción	20
27	Andorra-Sierra de Arcos	Mujeres	4	Servicios	833
28	Bajo Aragón	Hombres	1	Agricultura, ganadería y pesca	1031
28	Bajo Aragón	Hombres	2	Industria y energía	1404
28	Bajo Aragón	Hombres	3	Construcción	1515
28	Bajo Aragón	Hombres	4	Servicios	2734
28	Bajo Aragón	Mujeres	1	Agricultura, ganadería y pesca	267
28	Bajo Aragón	Mujeres	2	Industria y energía	572
28	Bajo Aragón	Mujeres	3	Construcción	83
28	Bajo Aragón	Mujeres	4	Servicios	2718
29	Comunidad de Teruel	Hombres	1	Agricultura, ganadería y pesca	1075
29	Comunidad de Teruel	Hombres	2	Industria y energía	2165
29	Comunidad de Teruel	Hombres	3	Construcción	1688
29	Comunidad de Teruel	Hombres	4	Servicios	5616
29	Comunidad de Teruel	Mujeres	1	Agricultura, ganadería y pesca	263
29	Comunidad de Teruel	Mujeres	2	Industria y energía	635
29	Comunidad de Teruel	Mujeres	3	Construcción	84
29	Comunidad de Teruel	Mujeres	4	Servicios	5971
30	Maestrazgo	Hombres	1	Agricultura, ganadería y pesca	348
30	Maestrazgo	Hombres	2	Industria y energía	189
30	Maestrazgo	Hombres	3	Construcción	190
30	Maestrazgo	Hombres	4	Servicios	234
30	Maestrazgo	Mujeres	1	Agricultura, ganadería y pesca	75
30	Maestrazgo	Mujeres	2	Industria y energía	91
30	Maestrazgo	Mujeres	3	Construcción	7
30	Maestrazgo	Mujeres	4	Servicios	234
31	Sierra de Albarracín	Hombres	1	Agricultura, ganadería y pesca	301
31	Sierra de Albarracín	Hombres	2	Industria y energía	254
31	Sierra de Albarracín	Hombres	3	Construcción	220
31	Sierra de Albarracín	Hombres	4	Servicios	423
31	Sierra de Albarracín	Mujeres	1	Agricultura, ganadería y pesca	62
31	Sierra de Albarracín	Mujeres	2	Industria y energía	39
31	Sierra de Albarracín	Mujeres	3	Construcción	16
31	Sierra de Albarracín	Mujeres	4	Servicios	452
32	Gúdar-Javalambre	Hombres	1	Agricultura, ganadería y pesca	405
32	Gúdar-Javalambre	Hombres	2	Industria y energía	466
32	Gúdar-Javalambre	Hombres	3	Construcción	531
32	Gúdar-Javalambre	Hombres	4	Servicios	631
32	Gúdar-Javalambre	Mujeres	1	Agricultura, ganadería y pesca	74
32	Gúdar-Javalambre	Mujeres	2	Industria y energía	212
32	Gúdar-Javalambre	Mujeres	3	Construcción	21
32	Gúdar-Javalambre	Mujeres	4	Servicios	630
33	Matarraña / Matarranya	Hombres	1	Agricultura, ganadería y pesca	985
33	Matarraña / Matarranya	Hombres	2	Industria y energía	308
33	Matarraña / Matarranya	Hombres	3	Construcción	391
33	Matarraña / Matarranya	Hombres	4	Servicios	490
33	Matarraña / Matarranya	Mujeres	1	Agricultura, ganadería y pesca	271
33	Matarraña / Matarranya	Mujeres	2	Industria y energía	185
33	Matarraña / Matarranya	Mujeres	3	Construcción	13
33	Matarraña / Matarranya	Mujeres	4	Servicios	524
