Total viviendas	Viviendas con calefacción	Viviendas con agua corriente	Viviendas con agua caliente central	Viviendas con evacuación de aguas residuales	Viviendas con cuarto de aseo con inodoro	Viviendas con disponibilidad de ducha o bañera	Viviendas con tendido telefónico	Municipio nombre	Provincia codigo	Municipio codigo	Viviendas con acceso a internet
46,1713424381	38,4617889889	46,1713424381	33,8525913378	46,1713424381	46,1713424381	46,1713424381	45,1674742345	Albero Bajo	22	22012	12,4592018794
121,7053621644	96,3339435879	121,7053621644	105,6876819491	121,7053621644	121,7053621644	121,7053621644	111,4578955015	Alberuela de Tubo	22	22013	62,052472364
72,2938545111	54,9877457015	72,2938545111	48,4713928136	72,2938545111	72,2938545111	72,2938545111	55,2695622955	Albeta	50	50011	17,5143240391
46,8659949525	31,6464194782	46,8659949525	44,0860895196	46,8659949525	46,8659949525	46,8659949525	45,9067502305	Alborge	50	50012	24,3150853893
35,9972208636	8,6425811537	35,9972208636	34,7180250342	35,9972208636	34,7180250342	34,342271701	8,4775452767	Alcaine	44	44011	13,7715760801
118,3653050451	86,2338769881	118,3653050451	76,4306345095	118,3653050451	118,3653050451	118,3653050451	114,1253584709	Alcalá de Ebro	50	50013	57,5123653919
140,4784460898	104,6191558034	140,4784460898	131,0119752852	140,4784460898	140,4784460898	137,2906087437	129,1076841144	Alcalá de Gurrea	22	22014	20,6921100689
189,9915850303	142,9094553876	189,9915850303	165,5647325599	170,798651915	189,9915850303	185,9214255925	170,798651915	Alcalá de la Selva	44	44012	80,7180222028
85,8084727711	56,0814061757	85,8084727711	1,3048649345	83,3438696861	85,8084727711	85,8084727711	83,3438696861	Alcalá de Moncayo	50	50014	32,5106465003
136,7690129619	114,5145375628	136,7690129619	126,8902136438	136,7690129619	136,7690129619	132,3375269239	136,7690129619	Alcalá del Obispo	22	22015	18,6655269216
313,8667667327	231,0747348031	313,8667667327	206,8398479229	311,4862963611	311,2380154299	305,7398408076	278,4295644274	Alcampell	22	22016	103,1569770861
6457,0737430413	5601,0528358	6457,0737430413	2721,0826939974	6341,6717974146	6457,0737430413	6405,7891250893	6327,7804209866	Alcañiz	44	44013	3346,305288154
427,9219719244	335,0764734208	427,9219719244	167,7302871006	427,9219719244	427,9219719244	420,3083436287	418,4659468994	Alcolea de Cinca	22	22017	201,4059524354
42,6626348567	23,3099148041	42,6626348567	19,3139068979	42,6626348567	42,6626348567	42,6626348567	42,6626348567	Alconchel de Ariza	50	50015	7,7009130913
1258,0982684226	971,5892524725	1258,0982684226	508,7180534796	1173,44388398	1258,0982684226	1247,4115300073	937,4434308579	Alcorisa	44	44014	637,1002908642
179,5004433507	156,0251843707	179,5004433507	173,7646344176	179,5004433507	175,6955036549	171,5434674453	164,9590438671	Alcubierre	22	22018	79,2664620094
35,7995096355	13,9257021898	35,7995096355		35,7995096355	27,0708557583	35,7995096355	35,7995096355	Aldehuela de Liestos	50	50016	
85,3863353816	75,3259730321	85,3863353816	43,2642476693	85,3863353816	84,2882841447	82,8131095094	85,3863353816	Alerre	22	22019	55,6753253005
831,4308233892	807,3528212132	825,4856841365	408,3364522112	825,676283986	831,4308233892	831,4308233892	805,3154735403	Alfajarín	50	50017	549,9521037451
253,6630309665	231,0142608623	253,6630309665	178,2890025428	243,5115615536	253,6630309665	253,6630309665	231,2186487632	Alfambra	44	44016	100,4059292155
542,9049592664	396,2217281689	542,9049592664	468,3709693987	534,1521100659	531,1306682654	542,9049592664	492,0862198452	Alfamén	50	50018	201,6543570531
43,685509151	24,1598287661	43,685509151	38,3558601061	41,1561865476	42,4573969955	43,685509151	29,4317471684	Alforque	50	50019	10,3448562107
62,9427285449	53,4756518657	62,9427285449	36,3493088502	62,9427285449	62,9427285449	61,3364160572	62,9427285449	Alfántega	22	22020	16,601745377
486,8555504312	384,8166582466	486,8555504312	211,3198486571	486,8555504312	484,3967505698	480,5240324714	482,7214530062	Alhama de Aragón	50	50020	211,1312724109
174,2069455811	134,4467802174	174,2069455811	139,8805870615	155,4178886073	169,406519099	172,5900077045	134,4338244199	Aliaga	44	44017	78,1229131619
49,2608405448	21,9778910565	48,090866891	46,7930260623	46,7930260623	45,3744140536	45,3744140536	46,7930260623	Allepuz	44	44021	15,2838425935
301,1659723297	187,7676455728	301,1659723297	238,6013966315	293,2045789262	301,1659723297	296,7683867953	232,2220937952	Alloza	44	44022	98,2126748096
10,2194228903	1,8081177923	10,2194228903	10,2194228903	10,2194228903	10,2194228903	10,2194228903		Allueva	44	44023	
20,6041535843	4,5995371099	20,6041535843	14,5323681968	20,6041535843	20,6041535843	19,2585151026	20,6041535843	Almochuel	50	50021	5,8095481321
14,5	14,5	14,5	14,5	14,5	14,5	14,5	14,5	Almohaja	44	44018	
210,1531496493	140,5318993862	210,1531496493	203,8564357303	210,1531496493	210,1531496493	208,1812855327	182,35661932	Almolda (La)	50	50022	77,4369122208
107,5398284902	48,618605029	107,5398284902	19,9384241706	107,5398284902	106,0466720421	104,553515594	82,8053112388	Almonacid de la Cuba	50	50023	20,9108977128
367,5671755031	253,8860850299	367,5671755031	342,2658232299	367,5671755031	367,5671755031	367,5671755031	367,5671755031	Almonacid de la Sierra	50	50024	111,1331389726
932,6831075917	845,2408390754	932,6831075917	886,3058556406	928,4050702914	932,6831075917	932,6831075917	895,6701958501	Almudévar	22	22021	523,5436894477
2781,5024186955	2257,2043835964	2781,5024186955	573,6860443776	2774,1632558215	2750,6369448365	2767,0434484225	2774,1632558215	Almunia de Doña Godina (La)	50	50025	1355,9039745747
266,4690299235	222,0393322571	266,4690299235	207,0552326307	259,5394969775	266,4690299235	266,4690299235	259,5394969775	Almunia de San Juan	22	22022	117,2439789079
217,4188751557	179,7916970127	217,4188751557	197,6102345438	214,7624402213	217,4188751557	215,1272590679	176,588527937	Almuniente	22	22023	95,3855783858
32,0552167092	9,3368097416	32,0552167092	26,6003329792	32,0552167092	32,0552167092	32,0552167092	32,0552167092	Alobras	44	44019	1,8956324775
233,65032863	148,3492175111	233,65032863	120,7499136357	233,65032863	233,65032863	226,9036706626	233,65032863	Alpartir	50	50026	74,36084714
9,8407614088	9,8407614088	9,8407614088	1,9647839575	9,8407614088	9,8407614088	9,8407614088	9,8407614088	Alpeñés	44	44020	
141,6810628258	90,1961682544	141,6810628258	63,5324386829	141,6810628258	141,6810628258	141,6810628258	141,6810628258	Alquézar	22	22024	43,8732612384
565,4236150221	482,7851380958	561,6477356116	329,1773527849	523,0044222654	564,2309883036	565,4236150221	523,0044222654	Altorricón	22	22025	272,7535868537
112,7303563817	86,4874390257	112,7303563817		91,9940252032	112,7303563817	110,7894565151	91,9940252032	Ambel	50	50027	45,8539424037
11,9569053928	4,8024428207	11,9569053928	9,6027930599	11,9569053928	11,9569053928	11,9569053928	2,1804073692	Anadón	44	44024	
3140,7526462015	1579,9153984621	3140,7526462015	1844,7098308496	3109,580182779	3123,9197914427	3140,7526462015	3091,0048777744	Andorra	44	44025	1593,4026054285
47,0335253926	23,4268776703	47,0335253926		47,0335253926	47,0335253926	47,0335253926	45,3312277132	Anento	50	50028	8,5504367136
143,2122465594	116,004663888	143,2122465594	34,0634794198	143,2122465594	143,2122465594	143,2122465594	143,2122465594	Angüés	22	22027	68,7659279237
332,6221248458	255,3032344796	332,6221248458	195,1510969058	332,6221248458	332,6221248458	330,4532138258	332,6221248458	Aniñón	50	50029	93,9166117688
203,4312560133	158,8679299872	203,4312560133	175,4320110295	198,6456462643	203,4312560133	203,4312560133	178,6302594741	Ansó	22	22028	102,8645331925
47,2296911845	41,5087281665	47,2296911845		47,2296911845	47,2296911845	47,2296911845	47,2296911845	Antillón	22	22029	2,4501083684
62,2478280257	33,6792524443	62,2478280257	45,2473784601	62,2478280257	60,8083921042	62,2478280257	56,0668321283	Aragüés del Puerto	22	22032	12,6290728609
99,5577441436	57,8097720961	99,5577441436	97,628847597	99,5577441436	94,2331318569	94,0056451712	93,4062775475	Aranda de Moncayo	50	50031	24,9586324115
47,8687899453	27,1137142538	47,8687899453	43,6993833276	47,8687899453	47,8687899453	47,8687899453	47,8687899453	Arcos de las Salinas	44	44026	14,5225855051
47,9182469186	28,4003459342	47,9182469186	33,3215094859	47,9182469186	47,9182469186	47,9182469186	47,9182469186	Ardisa	50	50033	1,8032512929
72,4777477582	36,6486051329	72,4777477582	30,6694589737	72,4777477582	72,4777477582	71,6790038549	70,3518484987	Arens de Lledó	44	44027	28,5254628781
47,3618826066	42,4962945434	47,3618826066	35,510791727	47,3618826066	47,3618826066	47,3618826066	38,6944160851	Argavieso	22	22036	13,7229757935
86,1155598629	58,8733766261	86,1155598629	70,8069727373	86,1155598629	86,1155598629	86,1155598629	86,1155598629	Argente	44	44028	11,2788412957
58,0478891621	43,2199434957	58,0478891621	18,5253425196	58,0478891621	58,0478891621	58,0478891621	58,0478891621	Arguis	22	22037	10,3720995157
466,631257943	351,9155023953	466,631257943	190,2374984185	464,9101597017	461,1295600331	446,8295926394	464,9101597017	Ariza	50	50034	203,178390692
350,9576819766	261,7290939141	350,9576819766	341,150638259	348,5812832679	350,9576819766	350,9576819766	313,8727431582	Ariño	44	44029	149,633543957
43,4381482642	36,9447284571	43,4381482642	26,4169429285	43,4381482642	43,4381482642	43,4381482642	43,4381482642	Artieda	50	50035	13,4899237923
169,7338172056	82,6894340751	169,7338172056	132,3878056163	169,7338172056	169,7338172056	164,7075766451	139,6632475513	Arándiga	50	50032	47,5626150169
140,8146997014	101,9142070607	139,3266348816	55,8827594247	138,5883936252	139,3266348816	139,3266348816	130,6603245493	Arén	22	22035	38,2354484817
58,1412829748	15,1777828111	58,1412829748		55,0639366827	58,1412829748	58,1412829748	33,0280664735	Asín	50	50036	2,8329782161
74,0439239995	39,9693041275	74,0439239995	37,9916174454	74,0439239995	74,0439239995	74,0439239995	51,0129803414	Atea	50	50037	12,523911849
805,0212502986	738,1436079215	805,0212502986	530,1599266942	793,9461938205	805,0212502986	799,5001367921	793,9461938205	Ateca	50	50038	348,4719720742
480,4226930251	397,005966923	480,4226930251	110,0430027898	462,1339249374	475,2315864906	475,2315864906	445,0857818879	Ayerbe	22	22039	216,4584736637
70,3396784842	35,1432227602	70,3396784842	63,763079993	70,3396784842	70,3396784842	70,3396784842	67,9735159549	Azaila	44	44031	12,0811405605
76,4885028204	50,0840406527	76,4885028204	76,4885028204	76,4885028204	76,4885028204	76,4885028204	76,4885028204	Azanuy-Alins	22	22040	33,9897973691
72,919246587	63,5697586979	72,919246587	16,7883181555	72,919246587	72,919246587	71,8151376404	72,919246587	Azara	22	22041	27,6998503643
52,3972209133	42,1569463956	52,3972209133	35,008825934	52,3972209133	52,3972209133	52,3972209133	52,3972209133	Azlor	22	22042	24,0475857388
287,7336904615	126,8153133534	287,7336904615		287,7336904615	287,7336904615	284,7723030643	287,7336904615	Azuara	50	50039	45,5495876998
862,8260761701	763,8819241862	862,8260761701	467,6715676122	694,4435328377	862,8260761701	862,8260761701	646,2703153669	Aínsa-Sobrarbe	22	22907	533,7573807241
144,6166095631	111,4358292418	144,6166095631	23,2607876351	144,6166095631	144,6166095631	144,6166095631	137,5320273791	Aísa	22	22006	51,2021390602
99,0628677008	57,1517001573	99,0628677008	2,8118581036	94,4476042896	99,0628677008	95,8596255306	90,82028608	Añón de Moncayo	50	50030	31,8882971543
47,4613044769	21,1973857131	47,4613044769	34,7801047648	47,4613044769	45,2849219121	45,2849219121	47,4613044769	Badules	50	50040	1,7698737518
61,8626149358	30,109140122	61,8626149358	43,8041764927	61,8626149358	61,8626149358	59,1331280285	51,4691548986	Baells	22	22043	9,1185160458
10,8420680149	6,1027188299	10,8420680149	8,336297332	9,2957281283	10,8420680149	10,8420680149	9,2957281283	Bagüés	50	50041	
126,5187099272	97,6032764389	126,5187099272	39,5475672889	126,5187099272	126,5187099272	126,5187099272	126,5187099272	Bailo	22	22044	44,8449787777
5		5	5	5	5	5	5	Balconchán	50	50042	
48,3975909164	34,0479134434	48,3975909164	39,4587018155	48,3975909164	47,1265752137	47,1265752137	48,3975909164	Baldellou	22	22045	15,8039813125
347,1970715733	278,1526022791	347,1970715733	304,8055982222	338,0549478771	337,3999550964	344,9524426648	283,7246838425	Ballobar	22	22046	164,3479649218
101,6667846068	98,0770301	101,6667846068	98,7883170272	101,6667846068	101,6667846068	101,6667846068	101,6667846068	Banastás	22	22047	71,5992687986
7050,3552631221	6168,1307122357	7050,3552631221	1679,5077816793	6981,4329983311	7050,3552631221	7050,3552631221	6973,8972967391	Barbastro	22	22048	3742,6900693568
37,5143968832	33,5279504812	37,5143968832	37,5143968832	37,5143968832	37,5143968832	37,5143968832	36,3662680249	Barbués	22	22049	15,8411373237
36,0185428219	34,7032901636	36,0185428219	1,3779667156	36,0185428219	36,0185428219	36,0185428219	32,5970632457	Barbuñales	22	22050	8,7863339626
128,8978286586	68,6339939653	128,8978286586	118,9742855933	128,8978286586	128,8978286586	126,0179302801	107,172064577	Bardallur	50	50044	48,6663601751
65,5122534824	42,6265865146	65,5122534824	63,7143390058	63,7143390058	65,5122534824	65,5122534824	49,4857450428	Barrachina	44	44035	15,7100300497
71,7334270683	50,8219296123	71,7334270683	70,9409618583	71,7334270683	71,7334270683	70,7556182748	69,3808088528	Bañón	44	44034	23,1377460395
16,5139798845	3,106863234	16,5139798845	6,581596425	14,094753825	16,5139798845	16,5139798845	14,094753825	Bea	44	44036	
220,3135332837	180,9582721711	220,3135332837	87,9814450817	220,3135332837	220,3135332837	220,3135332837	216,5550403592	Beceite	44	44037	101,9444187346
649,7406518399	526,1899681456	649,7406518399	383,0190476766	643,2743929352	646,7281962808	641,5960386565	608,2065883723	Belchite	50	50045	301,0008470762
123,1613563165	79,3276708727	123,1613563165	114,7098820763	120,6993450302	123,1613563165	123,1613563165	106,1324198514	Bello	44	44039	10,416324849
104,1296235113	60,1902987084	104,1296235113	80,3679639624	100,4065295145	101,5922923024	96,9398122928	99,0560095449	Belmonte de Gracián	50	50046	14,375868785
65,0547348242	28,6579993892	65,0547348242	63,6828691411	65,0547348242	65,0547348242	65,0547348242	62,7024006032	Belmonte de San José	44	44038	10,1707632943
513,7856117824	379,1143803552	513,7856117824	503,6426533134	513,7856117824	513,7856117824	513,7856117824	503,6426533134	Belver de Cinca	22	22052	240,9256986321
455,9964717353	370,7037885014	455,9964717353	321,3877781294	451,9484839086	455,9964717353	455,9964717353	407,9643134152	Benabarre	22	22053	205,7248810187
938,2716169302	884,0841513524	938,2716169302	409,6440779264	907,7242718525	938,2716169302	938,2716169302	881,5166793406	Benasque	22	22054	435,7707682482
43,8295144681	28,2756384	43,8295144681	26,1807323554	43,8295144681	43,8295144681	43,8295144681	37,8271145087	Beranuy	22	22246	8,481371149
170,0444996868	148,3501538204	170,0444996868	84,1058656436	170,0444996868	170,0444996868	170,0444996868	167,3041089637	Berbegal	22	22055	87,7215862969
36,0868633085	21,831300187	36,0868633085	34,5137391017	36,0868633085	36,0868633085	36,0868633085	24,0203862679	Berdejo	50	50047	1,5731242068
114,3499699533	66,8427938344	114,3499699533	18,3471496639	113,4351948692	114,3499699533	114,3499699533	104,2035674311	Berge	44	44040	57,2355094764
23,0558368784	15,4469634219	23,0558368784	10,5487608568	19,3252825638	18,3587109301	23,0558368784	19,3252825638	Berrueco	50	50048	4,9998496767
38,7074701039	10,4153583724	38,7074701039	37,4329864562	38,7074701039	35,0261138363	35,0261138363	38,7074701039	Bezas	44	44041	15,4176691948
91,414676192	57,4858543616	91,414676192	31,5039718023	68,9628161941	91,414676192	90,1995890973	59,9298477535	Biel	50	50901	19,4378199315
190,1769748209	173,3868435624	190,1769748209	154,2045491285	190,1769748209	190,1769748209	190,1769748209	167,9845123297	Bielsa	22	22057	105,0587444294
107,8126069418	51,8490820213	105,6670759154	53,2543082462	107,8126069418	104,686538781	104,686538781	101,6799090848	Bierge	22	22058	40,5990214786
684,7194228671	575,1793642786	684,7194228671	111,9469669064	609,3542401376	684,7194228671	684,7194228671	609,3542401376	Biescas	22	22059	281,0049842295
52,6816454535	31,3442092011	52,6816454535	34,3617924247	52,6816454535	52,6816454535	50,7287131379	42,3014248957	Bijuesca	50	50050	6,5527291578
545,1820128354	428,7884683689	545,1820128354	453,4962596422	545,1820128354	545,1820128354	541,6392590643	515,7755066832	Binaced	22	22060	267,8326563546
3652,170630747	3187,5486957009	3642,6235076852	3447,8295709344	3634,7011812217	3652,170630747	3646,4719272115	3634,7011812217	Binéfar	22	22061	2022,4169668699
394,069343358	354,1404457551	394,069343358	280,1775937133	394,069343358	394,069343358	386,2786764785	394,069343358	Biota	50	50051	146,1750433353
84,5375773824	47,3617377103	84,5375773824	42,8541229561	84,5375773824	84,5375773824	84,5375773824	84,5375773824	Bisaurri	22	22062	10,2972949898
92,4692324934	50,2425149414	92,4692324934	37,8077768034	92,4692324934	92,4692324934	92,4692324934	92,4692324934	Biscarrués	22	22063	34,077811366
47,7103966942	34,9482405219	47,7103966942	14,674049366	46,5507307103	47,7103966942	47,7103966942	46,5507307103	Bisimbre	50	50052	16,8851165315
73,0258603193	48,5716454556	73,0258603193	70,6538993847	71,9952383642	73,0258603193	73,0258603193	63,0919437452	Blancas	44	44042	13,4081851407
92,2630771113	60,7997444631	92,2630771113	25,9087511392	92,2630771113	90,674977779	90,674977779	92,2630771113	Blecua y Torres	22	22064	22,0815383454
69,6301782749	21,8207933319	69,6301782749	62,2408409074	69,6301782749	67,8997387809	67,8997387809	44,8061299186	Blesa	44	44043	5,8681794607
415,9199948559	357,5856471704	415,9199948559	36,2392071652	407,4598630443	415,9199948559	415,9199948559	404,5728124096	Boltaña	22	22066	196,7246621728
38,8812068809	24,5417592848	38,8812068809	2,3954821163	38,8812068809	38,8812068809	38,8812068809	38,8812068809	Bonansa	22	22067	20,8313625028
364,5646571863	271,2811614568	364,5646571863	140,6600340777	364,5646571863	364,5646571863	364,5646571863	364,5646571863	Boquiñeni	50	50053	193,6051184634
42,1855050825	32,0882772634	42,1855050825	25,9370716229	42,1855050825	42,1855050825	42,1855050825	39,5577906662	Borau	22	22068	4,344541897
30,9105939238	14,8799096767	30,9105939238	29,5545483151	30,9105939238	29,848767114	29,848767114	28,842009934	Bordalba	50	50054	3,505813013
55,9085727019	36,8279351983	55,9085727019	52,8365284229	55,9085727019	55,9085727019	55,9085727019	37,1204821289	Bordón	44	44044	17,3519224536
1919,5679769553	1657,739287093	1919,5679769553	890,5679632965	1891,4134455428	1916,3370200531	1910,2315030434	1846,8076390513	Borja	50	50055	960,9549958341
223,4460699124	176,7927405607	223,4460699124	137,4155937519	223,4460699124	223,4460699124	220,9981836031	218,9276266001	Botorrita	50	50056	86,9642062896
667,031183701	582,3341706801	667,031183701	290,5911224743	667,031183701	667,031183701	662,9360294655	627,7224565408	Brea de Aragón	50	50057	271,7038693331
232,2310937159	168,719382453	232,2310937159	188,6070582883	208,5523732575	226,1773722492	226,1773722492	208,5523732575	Bronchales	44	44045	84,866452072
192,8479496987	164,4904692248	192,8479496987	63,2184675173	171,7558318899	192,8479496987	192,8479496987	170,1670551931	Broto	22	22069	109,1233773332
43,9863443947	25,4464658583	43,9863443947	21,5770376172	43,9863443947	43,9863443947	42,3538253236	43,9863443947	Bubierca	50	50058	6,10828353
36,1705547281	24,2197825174	36,1705547281	24,2935802068	36,1705547281	36,1705547281	35,0792379752	32,7384990201	Bueña	44	44046	3,5737496871
395,1495134445	347,3350624782	395,1495134445	231,5874507206	395,1495134445	395,1495134445	392,3831894768	389,236131893	Bujaraloz	50	50059	217,7557550754
99,4090228634	63,0120854777	99,4090228634	43,1000404978	93,4958897239	99,4090228634	97,5434794844	93,4958897239	Bulbuente	50	50060	26,4295662037
89,7792403733	57,0130358774	89,7792403733	81,9123754456	88,9784431943	89,7792403733	89,7792403733	79,513065148	Burbáguena	44	44047	23,5585763971
114,6406923549	73,9629972491	114,6406923549	111,05040681	114,6406923549	114,6406923549	114,6406923549	81,6035729372	Bureta	50	50061	37,8534250047
963,4930161147	850,1008958592	953,3173879697	183,8088015055	935,3926490515	963,4930161147	963,4930161147	929,3768136058	Burgo de Ebro (El)	50	50062	582,084565166
33,0247032794	20,2767663882	33,0247032794	13,6113919725	33,0247032794	33,0247032794	33,0247032794	33,0247032794	Buste (El)	50	50063	16,602848054
10,6079178472	8,5701091479	10,6079178472	10,6079178472	10,6079178472	10,6079178472	10,6079178472	8,5701091479	Bádenas	44	44032	2,4507103394
159,1733822794	118,5457600536	159,1733822794	149,3484826059	156,3160561833	159,1733822794	157,0752706172	152,9315957365	Báguena	44	44033	36,5212921662
139,8527595572	89,346331277	139,8527595572	1,3527833274	139,8527595572	139,8527595572	139,8527595572	138,1819482061	Bárboles	50	50043	49,3075518694
50,5929242475	25,5201985814	50,5929242475	1,1432915662	50,5929242475	46,5196733342	46,5196733342	50,5929242475	Bárcabo	22	22051	4,6186309802
204,0233978452	148,8167616765	204,0233978452	1,8592368956	204,0233978452	202,1774354455	202,1774354455	204,0233978452	Cabañas de Ebro	50	50064	73,920902462
17,3747103524	13,5894141094	17,3747103524	6,9851647862	17,3747103524	17,3747103524	17,3747103524	16,4041889779	Cabolafuente	50	50065	1,3721279709
25,8581955038	11,9808399967	25,8581955038	0,8768416491	20,4832232551	25,8581955038	25,8581955038	11,7296046956	Cabra de Mora	44	44048	9,9527760796
1314,5923180499	1185,7073820579	1309,3505946269	477,5881723526	1305,1964836858	1314,5923180499	1314,5923180499	1284,1443680068	Cadrete	50	50066	848,9997192833
443,5290043157	299,5695152693	443,5290043157	396,2765298867	435,804771032	443,5290043157	440,5173960438	415,8990776597	Calaceite	44	44049	197,2684663669
1782,0736727599	1569,2060984638	1782,0736727599	1062,4133094806	1775,5273792743	1782,0736727599	1782,0736727599	1775,5273792743	Calamocha	44	44050	651,6778374807
1427,8412856445	1060,8789420886	1427,8412856445	1037,2637038792	1427,8412856445	1427,8412856445	1425,2812605788	1422,7813992169	Calanda	44	44051	657,7275017577
8317,4913237321	7526,2844560523	8250,1127308241	3143,498661696	8127,2944325042	8260,3478387181	8250,1127308241	7990,3385499092	Calatayud	50	50067	3715,7357451374
1201,9005467729	920,7587972909	1201,9005467729	847,8832363005	1169,7924210405	1159,1759380539	1201,9005467729	1141,1532940558	Calatorao	50	50068	557,3962884465
39,2679941284	12,2920230333	39,2679941284	29,943757511	39,2679941284	39,2679941284	39,2679941284	29,943757511	Calcena	50	50069	1,3889857946
92,3458254628	70,8588200968	92,3458254628		70,0845113862	85,150645829	90,9061806416	70,0845113862	Caldearenas	22	22072	33,456924097
37,9030517872	12,3636574474	37,9030517872	34,412055185	37,9030517872	37,9030517872	37,9030517872	26,7181137103	Calmarza	50	50070	4,7508222538
45,5480803434	35,6404094246	45,5480803434	37,752157212	42,069309191	45,5480803434	45,5480803434	29,1790300591	Calomarde	44	44052	4,0917980867
62,4109648194	46,6008043294	61,0511620175	35,7975557765	62,4109648194	62,4109648194	59,7541340197	61,0511620175	Camarena de la Sierra	44	44054	6,583814708
49,8953128184	26,9641633573	49,8953128184	0,9794962963	49,8953128184	49,8953128184	49,8953128184	33,5862575605	Camarillas	44	44055	9,8782689342
56,5445792917	31,0122257647	56,5445792917	22,6584613436	56,5445792917	55,4827641828	53,4639245153	56,5445792917	Camañas	44	44053	8,0690683217
295,7365037443	232,4532619069	295,7365037443	279,8206154251	295,7365037443	295,7365037443	289,5177631354	244,922991832	Caminreal	44	44056	98,6315929988
