Año	Provincia código	Provincia nombre	Tipo licencias código	Tipo licencias descripción	Autorizaciones según tipo
2020	50	Zaragoza	VSPCE-N	Transporte privado ambulancias nacional empresa	1
2020	50	Zaragoza	VT-N	Licencias taxi	1905
2020	50	Zaragoza	VTC-N	Transporte de alquiler con conductor nacional	238
2019	22	Huesca	MDL-N	Transporte mercancías ligeras nacionales servicio público	106
2019	22	Huesca	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	72
2019	22	Huesca	MDP-N	Transporte mercancías pesadas nacionales servicio público	2581
2019	22	Huesca	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	591
2019	22	Huesca	MPC-N	Transporte mercancías propias nacional	954
2019	22	Huesca	MPCE-N	transporte mercancías propias nacional autorizado por empresa	536
2019	22	Huesca	OT	Operador de transporte	47
2019	22	Huesca	VD	Transporte público viajeros en autobús	2
2019	22	Huesca	VD-N	Transporte de viajeros nacionales servicio público	333
2019	22	Huesca	VDE-N	Transporte de viajeros nacionales servicio público autorizado por empresa	4
2019	22	Huesca	VPC-N	Transporte privado de viajeros nacional	9
2019	22	Huesca	VS-N	Ambulancias nacionales servicio público	8
2019	22	Huesca	VSE-N	Transporte público ambulancias nacional empresa	1
2019	22	Huesca	VSPC-N	Transporte privado ambulancias nacional	0
2019	22	Huesca	VSPCE-N	Transporte privado ambulancias nacional empresa	0
2019	22	Huesca	VT-N	Licencias taxi	237
2019	22	Huesca	VTC-N	Transporte de alquiler con conductor nacional	6
2019	22	Huesca	XD-N	Servicio público nacional mixto-Mercancías y viajeros	0
2019	44	Teruel	MDL-N	Transporte mercancías ligeras nacionales servicio público	86
2019	44	Teruel	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	56
2019	44	Teruel	MDP-N	Transporte mercancías pesadas nacionales servicio público	2030
2019	44	Teruel	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	386
2019	44	Teruel	MPC-N	Transporte mercancías propias nacional	672
2019	44	Teruel	MPCE-N	transporte mercancías propias nacional autorizado por empresa	405
2019	44	Teruel	OT	Operador de transporte	20
2019	44	Teruel	VD	Transporte público viajeros en autobús	2
2019	44	Teruel	VD-N	Transporte de viajeros nacionales servicio público	74
2019	44	Teruel	VDE-N	Transporte de viajeros nacionales servicio público autorizado por empresa	1
2019	44	Teruel	VPC-N	Transporte privado de viajeros nacional	0
2019	44	Teruel	VS-N	Ambulancias nacionales servicio público	18
2019	44	Teruel	VSE-N	Transporte público ambulancias nacional empresa	2
2019	44	Teruel	VSPC-N	Transporte privado ambulancias nacional	0
2019	44	Teruel	VSPCE-N	Transporte privado ambulancias nacional empresa	0
2019	44	Teruel	VT-N	Licencias taxi	86
2019	44	Teruel	VTC-N	Transporte de alquiler con conductor nacional	23
2019	44	Teruel	XD-N	Servicio público nacional mixto-Mercancías y viajeros	3
2019	50	Zaragoza	MDL-N	Transporte mercancías ligeras nacionales servicio público	1298
2019	50	Zaragoza	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	783
2019	50	Zaragoza	MDP-N	Transporte mercancías pesadas nacionales servicio público	8354
2019	50	Zaragoza	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	1438
2019	50	Zaragoza	MPC-N	Transporte mercancías propias nacional	1829
2019	50	Zaragoza	MPCE-N	transporte mercancías propias nacional autorizado por empresa	971
2019	50	Zaragoza	OT	Operador de transporte	189
2019	50	Zaragoza	VD	Transporte público viajeros en autobús	0
2019	50	Zaragoza	VD-N	Transporte de viajeros nacionales servicio público	544
2019	50	Zaragoza	VDE-N	Transporte de viajeros nacionales servicio público autorizado por empresa	8
2019	50	Zaragoza	VPC-N	Transporte privado de viajeros nacional	13
2019	50	Zaragoza	VS-N	Ambulancias nacionales servicio público	98
2019	50	Zaragoza	VSE-N	Transporte público ambulancias nacional empresa	1
2019	50	Zaragoza	VSPC-N	Transporte privado ambulancias nacional	3
2019	50	Zaragoza	VSPCE-N	Transporte privado ambulancias nacional empresa	1
2019	50	Zaragoza	VT-N	Licencias taxi	1897
2019	50	Zaragoza	VTC-N	Transporte de alquiler con conductor nacional	135
2019	50	Zaragoza	XD-N	Servicio público nacional mixto-Mercancías y viajeros	0
2018	22	Huesca	MDL-N	Transporte mercancías ligeras nacionales servicio público	106
2018	22	Huesca	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	72
2018	22	Huesca	MDP-N	Transporte mercancías pesadas nacionales servicio público	2581
2018	22	Huesca	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	591
2018	22	Huesca	MPC-N	Transporte mercancías propias nacional	954
2018	22	Huesca	MPCE-N	transporte mercancías propias nacional autorizado por empresa	536
2018	22	Huesca	OT	Operador de transporte	47
2018	22	Huesca	VD	Transporte público viajeros en autobús	2
2018	22	Huesca	VD-N	Transporte de viajeros nacionales servicio público	333
2018	22	Huesca	VDE-N	Transporte de viajeros nacionales servicio público autorizado por empresa	4
2018	22	Huesca	VPC-N	Transporte privado de viajeros nacional	9
2018	22	Huesca	VS-N	Ambulancias nacionales servicio público	8
2018	22	Huesca	VSE-N	Transporte público ambulancias nacional empresa	1
2018	22	Huesca	VSPC-N	Transporte privado ambulancias nacional	0
2018	22	Huesca	VSPCE-N	Transporte privado ambulancias nacional empresa	0
2018	22	Huesca	VT-N	Licencias taxi	237
2018	22	Huesca	VTC-N	Transporte de alquiler con conductor nacional	6
2018	22	Huesca	XD-N	Servicio público nacional mixto-Mercancías y viajeros	0
2018	44	Teruel	MDL-N	Transporte mercancías ligeras nacionales servicio público	86
2018	44	Teruel	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	56
2018	44	Teruel	MDP-N	Transporte mercancías pesadas nacionales servicio público	2030
2018	44	Teruel	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	386
2018	44	Teruel	MPC-N	Transporte mercancías propias nacional	672
2018	44	Teruel	MPCE-N	transporte mercancías propias nacional autorizado por empresa	405
2018	44	Teruel	OT	Operador de transporte	20
2018	44	Teruel	VD	Transporte público viajeros en autobús	2
2018	44	Teruel	VD-N	Transporte de viajeros nacionales servicio público	74
2018	44	Teruel	VDE-N	Transporte de viajeros nacionales servicio público autorizado por empresa	1
2018	44	Teruel	VPC-N	Transporte privado de viajeros nacional	0
2018	44	Teruel	VS-N	Ambulancias nacionales servicio público	18
2018	44	Teruel	VSE-N	Transporte público ambulancias nacional empresa	2
2018	44	Teruel	VSPC-N	Transporte privado ambulancias nacional	0
2018	44	Teruel	VSPCE-N	Transporte privado ambulancias nacional empresa	0
2018	44	Teruel	VT-N	Licencias taxi	86
2018	44	Teruel	VTC-N	Transporte de alquiler con conductor nacional	23
2018	44	Teruel	XD-N	Servicio público nacional mixto-Mercancías y viajeros	3
2018	50	Zaragoza	MDL-N	Transporte mercancías ligeras nacionales servicio público	1298
2018	50	Zaragoza	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	783
2018	50	Zaragoza	MDP-N	Transporte mercancías pesadas nacionales servicio público	8354
2018	50	Zaragoza	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	1438
2018	50	Zaragoza	MPC-N	Transporte mercancías propias nacional	1829
2018	50	Zaragoza	MPCE-N	transporte mercancías propias nacional autorizado por empresa	971
2018	50	Zaragoza	OT	Operador de transporte	189
2018	50	Zaragoza	VD	Transporte público viajeros en autobús	0
2018	50	Zaragoza	VD-N	Transporte de viajeros nacionales servicio público	544
2018	50	Zaragoza	VDE-N	Transporte de viajeros nacionales servicio público autorizado por empresa	8
2018	50	Zaragoza	VPC-N	Transporte privado de viajeros nacional	13
2018	50	Zaragoza	VS-N	Ambulancias nacionales servicio público	98
2018	50	Zaragoza	VSE-N	Transporte público ambulancias nacional empresa	1
2018	50	Zaragoza	VSPC-N	Transporte privado ambulancias nacional	3
2018	50	Zaragoza	VSPCE-N	Transporte privado ambulancias nacional empresa	1
2018	50	Zaragoza	VT-N	Licencias taxi	1897
2018	50	Zaragoza	VTC-N	Transporte de alquiler con conductor nacional	135
2018	50	Zaragoza	XD-N	Servicio público nacional mixto-Mercancías y viajeros	0
2017	22	Huesca	MDL-N	Transporte mercancías ligeras nacionales servicio público	208
2017	22	Huesca	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	119
2017	22	Huesca	MDP-N	Transporte mercancías pesadas nacionales servicio público	2393
2017	22	Huesca	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	554
2017	22	Huesca	MPC-N	Transporte mercancías propias nacional	906
2017	22	Huesca	MPCE-N	transporte mercancías propias nacional autorizado por empresa	516
2017	22	Huesca	OT	Operador de transporte	43
2017	22	Huesca	VD	Transporte público viajeros en autobús	6
2017	22	Huesca	VD-N	Transporte de viajeros nacionales servicio público	325
2017	22	Huesca	VPC-N	Transporte privado de viajeros nacional	0
2017	22	Huesca	VS-N	Ambulancias nacionales servicio público	8
2017	22	Huesca	VSE-N	Transporte público ambulancias nacional empresa	15
2017	22	Huesca	VSPC-N	Transporte privado ambulancias nacional	0
2017	22	Huesca	VSPCE-N	Transporte privado ambulancias nacional empresa	0
2017	22	Huesca	VT-N	Licencias taxi	2
2017	22	Huesca	VTC-N	Transporte de alquiler con conductor nacional	230
2017	22	Huesca	XD-N	Servicio público nacional mixto-Mercancías y viajeros	6
2017	44	Teruel	MDL-N	Transporte mercancías ligeras nacionales servicio público	176
2017	44	Teruel	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	95
2017	44	Teruel	MDP-N	Transporte mercancías pesadas nacionales servicio público	1924
2017	44	Teruel	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	367
2017	44	Teruel	MPC-N	Transporte mercancías propias nacional	630
2017	44	Teruel	MPCE-N	transporte mercancías propias nacional autorizado por empresa	383
2017	44	Teruel	OT	Operador de transporte	18
2017	44	Teruel	VD	Transporte público viajeros en autobús	2
2017	44	Teruel	VD-N	Transporte de viajeros nacionales servicio público	75
2017	44	Teruel	VPC-N	Transporte privado de viajeros nacional	0
2017	44	Teruel	VS-N	Ambulancias nacionales servicio público	18
2017	44	Teruel	VSE-N	Transporte público ambulancias nacional empresa	2
2017	44	Teruel	VSPC-N	Transporte privado ambulancias nacional	0
2017	44	Teruel	VSPCE-N	Transporte privado ambulancias nacional empresa	0
2017	44	Teruel	VT-N	Licencias taxi	83
2017	44	Teruel	VTC-N	Transporte de alquiler con conductor nacional	29
2017	44	Teruel	XD-N	Servicio público nacional mixto-Mercancías y viajeros	3
2017	50	Zaragoza	MDL-N	Transporte mercancías ligeras nacionales servicio público	1776
2017	50	Zaragoza	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	1086
2017	50	Zaragoza	MDP-N	Transporte mercancías pesadas nacionales servicio público	7898
2017	50	Zaragoza	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	1161
2017	50	Zaragoza	MPC-N	Transporte mercancías propias nacional	1736
2017	50	Zaragoza	MPCE-N	transporte mercancías propias nacional autorizado por empresa	932
2017	50	Zaragoza	OT	Operador de transporte	194
2017	50	Zaragoza	VD	Transporte público viajeros en autobús	0
2017	50	Zaragoza	VD-N	Transporte de viajeros nacionales servicio público	533
2017	50	Zaragoza	VPC-N	Transporte privado de viajeros nacional	11
2017	50	Zaragoza	VS-N	Ambulancias nacionales servicio público	0
2017	50	Zaragoza	VSE-N	Transporte público ambulancias nacional empresa	0
2017	50	Zaragoza	VSPC-N	Transporte privado ambulancias nacional	5
2017	50	Zaragoza	VSPCE-N	Transporte privado ambulancias nacional empresa	1
2017	50	Zaragoza	VT-N	Licencias taxi	1879
2017	50	Zaragoza	VTC-N	Transporte de alquiler con conductor nacional	137
2017	50	Zaragoza	XD-N	Servicio público nacional mixto-Mercancías y viajeros	0
2016	22	Huesca	MDL-N	Transporte mercancías ligeras nacionales servicio público	199
2016	22	Huesca	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	119
2016	22	Huesca	MDP-N	Transporte mercancías pesadas nacionales servicio público	2317
2016	22	Huesca	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	559
2016	22	Huesca	MPC-N	Transporte mercancías propias nacional	958
2016	22	Huesca	MPCE-N	transporte mercancías propias nacional autorizado por empresa	556
2016	22	Huesca	OT	Operador de transporte	42
2016	22	Huesca	VD	Transporte público viajeros en autobús	9
2016	22	Huesca	VD-N	Transporte de viajeros nacionales servicio público	296
2016	22	Huesca	VPC-N	Transporte privado de viajeros nacional	11
2016	22	Huesca	VS-N	Ambulancias nacionales servicio público	13
2016	22	Huesca	VSE-N	Transporte público ambulancias nacional empresa	2
2016	22	Huesca	VSPC-N	Transporte privado ambulancias nacional	0
2016	22	Huesca	VSPCE-N	Transporte privado ambulancias nacional empresa	0
2016	22	Huesca	VT-N	Licencias taxi	254
2016	22	Huesca	VTC-N	Transporte de alquiler con conductor nacional	6
2016	22	Huesca	XD-N	Servicio público nacional mixto-Mercancías y viajeros	0
2016	44	Teruel	MDL-N	Transporte mercancías ligeras nacionales servicio público	170
2016	44	Teruel	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	91
2016	44	Teruel	MDP-N	Transporte mercancías pesadas nacionales servicio público	1736
2016	44	Teruel	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	368
2016	44	Teruel	MPC-N	Transporte mercancías propias nacional	666
2016	44	Teruel	MPCE-N	transporte mercancías propias nacional autorizado por empresa	391
2016	44	Teruel	OT	Operador de transporte	19
2016	44	Teruel	VD	Transporte público viajeros en autobús	0
2016	44	Teruel	VD-N	Transporte de viajeros nacionales servicio público	81
2016	44	Teruel	VPC-N	Transporte privado de viajeros nacional	2
2016	44	Teruel	VS-N	Ambulancias nacionales servicio público	23
2016	44	Teruel	VSE-N	Transporte público ambulancias nacional empresa	2
2016	44	Teruel	VSPC-N	Transporte privado ambulancias nacional	0
2016	44	Teruel	VSPCE-N	Transporte privado ambulancias nacional empresa	0
2016	44	Teruel	VT-N	Licencias taxi	84
2016	44	Teruel	VTC-N	Transporte de alquiler con conductor nacional	39
2016	44	Teruel	XD-N	Servicio público nacional mixto-Mercancías y viajeros	3
2016	50	Zaragoza	MDL-N	Transporte mercancías ligeras nacionales servicio público	1675
2016	50	Zaragoza	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	1029
2016	50	Zaragoza	MDP-N	Transporte mercancías pesadas nacionales servicio público	7350
2016	50	Zaragoza	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	1188
2016	50	Zaragoza	MPC-N	Transporte mercancías propias nacional	1800
2016	50	Zaragoza	MPCE-N	transporte mercancías propias nacional autorizado por empresa	993
2016	50	Zaragoza	OT	Operador de transporte	182
2016	50	Zaragoza	VD	Transporte público viajeros en autobús	0
2016	50	Zaragoza	VD-N	Transporte de viajeros nacionales servicio público	579
2016	50	Zaragoza	VPC-N	Transporte privado de viajeros nacional	20
2016	50	Zaragoza	VS-N	Ambulancias nacionales servicio público	6
2016	50	Zaragoza	VSE-N	Transporte público ambulancias nacional empresa	1
2016	50	Zaragoza	VSPC-N	Transporte privado ambulancias nacional	3
2016	50	Zaragoza	VSPCE-N	Transporte privado ambulancias nacional empresa	1
2016	50	Zaragoza	VT-N	Licencias taxi	1937
2016	50	Zaragoza	VTC-N	Transporte de alquiler con conductor nacional	138
2016	50	Zaragoza	XD-N	Servicio público nacional mixto-Mercancías y viajeros	0
2015	22	Huesca	MDL-N	Transporte mercancías ligeras nacionales servicio público	228
2015	22	Huesca	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	134
2015	22	Huesca	MDP-N	Transporte mercancías pesadas nacionales servicio público	2292
2015	22	Huesca	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	587
2015	22	Huesca	MPC-N	Transporte mercancías propias nacional	871
2015	22	Huesca	MPCE-N	transporte mercancías propias nacional autorizado por empresa	502
2015	22	Huesca	OT	Operador de transporte	39
2015	22	Huesca	VD	Transporte público viajeros en autobús	9
2015	22	Huesca	VD-N	Transporte de viajeros nacionales servicio público	284
2015	22	Huesca	VPC-N	Transporte privado de viajeros nacional	6
2015	22	Huesca	VS-N	Ambulancias nacionales servicio público	9
2015	22	Huesca	VSE-N	Transporte público ambulancias nacional empresa	1
2015	22	Huesca	VSPC-N	Transporte privado ambulancias nacional	0
2015	22	Huesca	VSPCE-N	Transporte privado ambulancias nacional empresa	0
2015	22	Huesca	VT-N	Licencias taxi	239
2015	22	Huesca	VTC-N	Transporte de alquiler con conductor nacional	7
2015	22	Huesca	XD-N	Servicio público nacional mixto-Mercancías y viajeros	0
2015	44	Teruel	MDL-N	Transporte mercancías ligeras nacionales servicio público	147
2015	44	Teruel	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	84
2015	44	Teruel	MDP-N	Transporte mercancías pesadas nacionales servicio público	1431
2015	44	Teruel	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	361
2015	44	Teruel	MPC-N	Transporte mercancías propias nacional	645
2015	44	Teruel	MPCE-N	transporte mercancías propias nacional autorizado por empresa	367
2015	44	Teruel	OT	Operador de transporte	22
2015	44	Teruel	VD	Transporte público viajeros en autobús	0
2015	44	Teruel	VD-N	Transporte de viajeros nacionales servicio público	73
2015	44	Teruel	VPC-N	Transporte privado de viajeros nacional	2
2015	44	Teruel	VS-N	Ambulancias nacionales servicio público	21
2015	44	Teruel	VSE-N	Transporte público ambulancias nacional empresa	2
2015	44	Teruel	VSPC-N	Transporte privado ambulancias nacional	1
2015	44	Teruel	VSPCE-N	Transporte privado ambulancias nacional empresa	0
2015	44	Teruel	VT-N	Licencias taxi	75
2015	44	Teruel	VTC-N	Transporte de alquiler con conductor nacional	35
2015	44	Teruel	XD-N	Servicio público nacional mixto-Mercancías y viajeros	3
2015	50	Zaragoza	MDL-N	Transporte mercancías ligeras nacionales servicio público	1620
2015	50	Zaragoza	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	979
2015	50	Zaragoza	MDP-N	Transporte mercancías pesadas nacionales servicio público	6768
2015	50	Zaragoza	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	1236
2015	50	Zaragoza	MPC-N	Transporte mercancías propias nacional	1761
2015	50	Zaragoza	MPCE-N	transporte mercancías propias nacional autorizado por empresa	986
2015	50	Zaragoza	OT	Operador de transporte	175
2015	50	Zaragoza	VD	Transporte público viajeros en autobús	0
2015	50	Zaragoza	VD-N	Transporte de viajeros nacionales servicio público	542
2015	50	Zaragoza	VPC-N	Transporte privado de viajeros nacional	21
2015	50	Zaragoza	VS-N	Ambulancias nacionales servicio público	6
2015	50	Zaragoza	VSE-N	Transporte público ambulancias nacional empresa	1
2015	50	Zaragoza	VSPC-N	Transporte privado ambulancias nacional	3
2015	50	Zaragoza	VSPCE-N	Transporte privado ambulancias nacional empresa	1
2015	50	Zaragoza	VT-N	Licencias taxi	1927
2015	50	Zaragoza	VTC-N	Transporte de alquiler con conductor nacional	133
2015	50	Zaragoza	XD-N	Servicio público nacional mixto-Mercancías y viajeros	0
2014	22	Huesca	MDL-N	Transporte mercancías ligeras nacionales servicio público	216
2014	22	Huesca	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	129
2014	22	Huesca	MDP-N	Transporte mercancías pesadas nacionales servicio público	2317
2014	22	Huesca	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	599
2014	22	Huesca	MPC-N	Transporte mercancías propias nacional	842
2014	22	Huesca	MPCE-N	transporte mercancías propias nacional autorizado por empresa	493
2014	22	Huesca	OT	Operador de transporte	38
2014	22	Huesca	VD	Transporte público viajeros en autobús	9
2014	22	Huesca	VD-N	Transporte de viajeros nacionales servicio público	291
2014	22	Huesca	VPC-N	Transporte privado de viajeros nacional	6
2014	22	Huesca	VS-N	Ambulancias nacionales servicio público	9
2014	22	Huesca	VSE-N	Transporte público ambulancias nacional empresa	1
2014	22	Huesca	VSPC-N	Transporte privado ambulancias nacional	0
2014	22	Huesca	VT-N	Licencias taxi	238
2014	22	Huesca	VTC-N	Transporte de alquiler con conductor nacional	6
2014	22	Huesca	XD-N	Servicio público nacional mixto-Mercancías y viajeros	0
2014	44	Teruel	MDL-N	Transporte mercancías ligeras nacionales servicio público	144
2014	44	Teruel	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	83
2014	44	Teruel	MDP-N	Transporte mercancías pesadas nacionales servicio público	1415
2014	44	Teruel	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	363
2014	44	Teruel	MPC-N	Transporte mercancías propias nacional	656
2014	44	Teruel	MPCE-N	transporte mercancías propias nacional autorizado por empresa	375
2014	44	Teruel	OT	Operador de transporte	23
2014	44	Teruel	VD	Transporte público viajeros en autobús	0
2014	44	Teruel	VD-N	Transporte de viajeros nacionales servicio público	84
2014	44	Teruel	VPC-N	Transporte privado de viajeros nacional	2
2014	44	Teruel	VS-N	Ambulancias nacionales servicio público	19
2014	44	Teruel	VSE-N	Transporte público ambulancias nacional empresa	2
2014	44	Teruel	VSPC-N	Transporte privado ambulancias nacional	1
2014	44	Teruel	VT-N	Licencias taxi	71
2014	44	Teruel	VTC-N	Transporte de alquiler con conductor nacional	44
2014	44	Teruel	XD-N	Servicio público nacional mixto-Mercancías y viajeros	3
2014	50	Zaragoza	MDL-N	Transporte mercancías ligeras nacionales servicio público	1560
2014	50	Zaragoza	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	940
2014	50	Zaragoza	MDP-N	Transporte mercancías pesadas nacionales servicio público	6557
2014	50	Zaragoza	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	1263
2014	50	Zaragoza	MPC-N	Transporte mercancías propias nacional	1784
2014	50	Zaragoza	MPCE-N	transporte mercancías propias nacional autorizado por empresa	987
2014	50	Zaragoza	OT	Operador de transporte	180
2014	50	Zaragoza	VD	Transporte público viajeros en autobús	0
2014	50	Zaragoza	VD-N	Transporte de viajeros nacionales servicio público	549
2014	50	Zaragoza	VPC-N	Transporte privado de viajeros nacional	20
2014	50	Zaragoza	VS-N	Ambulancias nacionales servicio público	15
2014	50	Zaragoza	VSE-N	Transporte público ambulancias nacional empresa	0
2014	50	Zaragoza	VSPC-N	Transporte privado ambulancias nacional	3
2014	50	Zaragoza	VT-N	Licencias taxi	1918
2014	50	Zaragoza	VTC-N	Transporte de alquiler con conductor nacional	120
2014	50	Zaragoza	XD-N	Servicio público nacional mixto-Mercancías y viajeros	0
2013	22	Huesca	MDL-N	Transporte mercancías ligeras nacionales servicio público	219
2013	22	Huesca	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	128
2013	22	Huesca	MDP-N	Transporte mercancías pesadas nacionales servicio público	2300
2013	22	Huesca	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	589
2013	22	Huesca	MPC-N	Transporte mercancías propias nacional	877
2013	22	Huesca	MPCE-N	transporte mercancías propias nacional autorizado por empresa	507
2013	22	Huesca	OT	Operador de transporte	34
2013	22	Huesca	VD	Transporte público viajeros en autobús	9
2013	22	Huesca	VD-N	Transporte de viajeros nacionales servicio público	293
2013	22	Huesca	VPC-N	Transporte privado de viajeros nacional	9
2013	22	Huesca	VS-N	Ambulancias nacionales servicio público	30
2013	22	Huesca	VSPC-N	Transporte privado ambulancias nacional	10
2013	22	Huesca	VT-N	Licencias taxi	242
2013	22	Huesca	VTC-N	Transporte de alquiler con conductor nacional	7
2013	22	Huesca	XD	Servicio público mixto-Mercancías y viajeros	0
2013	22	Huesca	XD-N	Servicio público nacional mixto-Mercancías y viajeros	0
2013	44	Teruel	MDL-N	Transporte mercancías ligeras nacionales servicio público	142
2013	44	Teruel	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	82
2013	44	Teruel	MDP-N	Transporte mercancías pesadas nacionales servicio público	1473
2013	44	Teruel	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	367
