Año	Dirección Provincial Código	Nº Accidentes	Grupo	Descripción Ocupación	Sexo	Dirección Provincial Nombre
2018	44	3	2	Técnicos y profesionales científicos e intelectuales	Hombres	Teruel
2018	44	9	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Teruel
2018	50	42	2	Técnicos y profesionales científicos e intelectuales	Hombres	Zaragoza
2018	50	143	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Zaragoza
2018	22	4	3	Técnicos; profesionales de apoyo	Hombres	Huesca
2018	22	8	3	Técnicos; profesionales de apoyo	Mujeres	Huesca
2018	44	3	3	Técnicos; profesionales de apoyo	Hombres	Teruel
2018	44	1	3	Técnicos; profesionales de apoyo	Mujeres	Teruel
2018	50	37	3	Técnicos; profesionales de apoyo	Hombres	Zaragoza
2018	50	58	3	Técnicos; profesionales de apoyo	Mujeres	Zaragoza
2018	22	4	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Huesca
2018	22	19	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Huesca
2018	44	3	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Teruel
2018	44	11	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Teruel
2018	50	49	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Zaragoza
2018	50	165	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Zaragoza
2018	22	16	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Huesca
2018	22	36	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Huesca
2018	44	7	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Teruel
2018	44	19	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Teruel
2018	50	123	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Zaragoza
2018	50	395	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Zaragoza
2018	22	8	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Huesca
2018	44	2	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Teruel
2018	50	5	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Zaragoza
2018	50	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Zaragoza
2018	22	22	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Huesca
2018	22	2	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Huesca
2018	44	19	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Teruel
2018	44	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Teruel
2018	50	134	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Zaragoza
2018	50	29	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Zaragoza
2018	22	16	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Huesca
2018	22	7	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Huesca
2018	44	8	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Teruel
2018	50	134	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Zaragoza
2018	50	33	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Zaragoza
2018	22	34	9	Ocupaciones elementales	Hombres	Huesca
2018	22	24	9	Ocupaciones elementales	Mujeres	Huesca
2018	44	4	9	Ocupaciones elementales	Hombres	Teruel
2018	44	14	9	Ocupaciones elementales	Mujeres	Teruel
2018	50	181	9	Ocupaciones elementales	Hombres	Zaragoza
2018	50	229	9	Ocupaciones elementales	Mujeres	Zaragoza
2017	22	2	1	Directores y gerentes	Hombres	Huesca
2017	22	2	1	Directores y gerentes	Mujeres	Huesca
2017	44	1	1	Directores y gerentes	Mujeres	Teruel
2017	50	9	1	Directores y gerentes	Hombres	Zaragoza
2017	50	4	1	Directores y gerentes	Mujeres	Zaragoza
2017	22	7	2	Técnicos y profesionales científicos e intelectuales	Hombres	Huesca
2017	22	24	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Huesca
2017	44	4	2	Técnicos y profesionales científicos e intelectuales	Hombres	Teruel
2017	44	14	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Teruel
2017	50	40	2	Técnicos y profesionales científicos e intelectuales	Hombres	Zaragoza
2017	50	159	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Zaragoza
2017	22	5	3	Técnicos; profesionales de apoyo	Hombres	Huesca
2017	22	5	3	Técnicos; profesionales de apoyo	Mujeres	Huesca
2017	44	1	3	Técnicos; profesionales de apoyo	Hombres	Teruel
2017	44	3	3	Técnicos; profesionales de apoyo	Mujeres	Teruel
2017	50	49	3	Técnicos; profesionales de apoyo	Hombres	Zaragoza
2017	50	54	3	Técnicos; profesionales de apoyo	Mujeres	Zaragoza
2017	22	3	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Huesca
2017	22	19	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Huesca
2017	44	2	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Teruel
2017	44	8	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Teruel
2017	50	47	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Zaragoza
2017	50	189	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Zaragoza
2017	22	8	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Huesca
2017	22	36	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Huesca
2017	44	8	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Teruel
2017	44	24	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Teruel
2017	50	110	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Zaragoza
2017	50	347	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Zaragoza
2017	22	6	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Huesca
2017	22	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Huesca
2017	44	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Teruel
2017	50	4	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Zaragoza
2017	50	6	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Zaragoza
2017	22	28	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Huesca
2017	44	4	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Teruel
2017	44	3	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Teruel
2017	50	112	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Zaragoza
2017	50	22	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Zaragoza
2017	22	10	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Huesca
2017	22	2	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Huesca
2017	44	5	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Teruel
2017	44	4	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Teruel
2017	50	108	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Zaragoza
2017	50	30	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Zaragoza
2017	22	32	9	Ocupaciones elementales	Hombres	Huesca
2017	22	24	9	Ocupaciones elementales	Mujeres	Huesca
2017	44	9	9	Ocupaciones elementales	Hombres	Teruel
2017	44	12	9	Ocupaciones elementales	Mujeres	Teruel
2017	50	184	9	Ocupaciones elementales	Hombres	Zaragoza
2017	50	222	9	Ocupaciones elementales	Mujeres	Zaragoza
2016	22	1	1	Directores y gerentes	Hombres	Huesca
2016	44	1	1	Directores y gerentes	Hombres	Teruel
2016	44	1	1	Directores y gerentes	Mujeres	Teruel
2016	50	3	1	Directores y gerentes	Hombres	Zaragoza
2016	50	7	1	Directores y gerentes	Mujeres	Zaragoza
2016	22	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	Huesca
2016	22	14	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Huesca
2016	44	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	Teruel
2016	44	14	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Teruel
2016	50	38	2	Técnicos y profesionales científicos e intelectuales	Hombres	Zaragoza
2016	50	139	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Zaragoza
2016	22	3	3	Técnicos; profesionales de apoyo	Hombres	Huesca
2016	22	7	3	Técnicos; profesionales de apoyo	Mujeres	Huesca
2016	44	2	3	Técnicos; profesionales de apoyo	Hombres	Teruel
2016	44	3	3	Técnicos; profesionales de apoyo	Mujeres	Teruel
2016	50	33	3	Técnicos; profesionales de apoyo	Hombres	Zaragoza
2016	50	50	3	Técnicos; profesionales de apoyo	Mujeres	Zaragoza
2016	22	3	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Huesca
2016	22	12	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Huesca
2016	44	1	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Teruel
2016	44	8	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Teruel
2016	50	49	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Zaragoza
2016	50	184	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Zaragoza
2016	22	18	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Huesca
2016	22	40	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Huesca
2016	44	9	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Teruel
2016	44	25	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Teruel
2016	50	120	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Zaragoza
2016	50	305	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Zaragoza
2016	22	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Huesca
2016	44	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Teruel
2016	50	5	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Zaragoza
2016	50	4	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Zaragoza
2016	22	13	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Huesca
2016	22	1	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Huesca
2016	44	11	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Teruel
2016	44	4	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Teruel
2016	50	105	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Zaragoza
2016	50	22	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Zaragoza
2016	22	11	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Huesca
2016	22	1	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Huesca
2016	44	10	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Teruel
2016	50	98	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Zaragoza
2016	50	20	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Zaragoza
2016	22	26	9	Ocupaciones elementales	Hombres	Huesca
2016	22	17	9	Ocupaciones elementales	Mujeres	Huesca
2016	44	11	9	Ocupaciones elementales	Hombres	Teruel
2016	44	5	9	Ocupaciones elementales	Mujeres	Teruel
2016	50	123	9	Ocupaciones elementales	Hombres	Zaragoza
2016	50	196	9	Ocupaciones elementales	Mujeres	Zaragoza
2015	50	7	1	Directores y gerentes	Hombres	Zaragoza
2015	50	4	1	Directores y gerentes	Mujeres	Zaragoza
2015	22	4	2	Técnicos y profesionales científicos e intelectuales	Hombres	Huesca
2015	22	15	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Huesca
2015	44	3	2	Técnicos y profesionales científicos e intelectuales	Hombres	Teruel
2015	44	5	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Teruel
2015	50	34	2	Técnicos y profesionales científicos e intelectuales	Hombres	Zaragoza
2015	50	106	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Zaragoza
2015	22	4	3	Técnicos; profesionales de apoyo	Hombres	Huesca
2015	22	4	3	Técnicos; profesionales de apoyo	Mujeres	Huesca
2015	44	1	3	Técnicos; profesionales de apoyo	Mujeres	Teruel
2015	50	46	3	Técnicos; profesionales de apoyo	Hombres	Zaragoza
2015	50	33	3	Técnicos; profesionales de apoyo	Mujeres	Zaragoza
2015	22	8	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Huesca
2015	22	15	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Huesca
2015	44	1	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Teruel
2015	44	5	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Teruel
2015	50	42	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Zaragoza
2015	50	165	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Zaragoza
2015	22	15	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Huesca
2015	22	41	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Huesca
2015	44	4	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Teruel
2015	44	19	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Teruel
2015	50	101	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Zaragoza
2015	50	324	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Zaragoza
2015	22	2	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Huesca
2015	22	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Huesca
2015	44	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Teruel
2015	50	3	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Zaragoza
2015	22	15	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Huesca
2015	22	2	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Huesca
2015	44	3	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Teruel
2015	50	88	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Zaragoza
2015	50	25	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Zaragoza
2015	22	9	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Huesca
2015	22	3	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Huesca
2015	44	5	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Teruel
2015	44	2	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Teruel
2015	50	104	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Zaragoza
2015	50	23	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Zaragoza
2015	22	21	9	Ocupaciones elementales	Hombres	Huesca
2015	22	20	9	Ocupaciones elementales	Mujeres	Huesca
2015	44	4	9	Ocupaciones elementales	Hombres	Teruel
2015	44	11	9	Ocupaciones elementales	Mujeres	Teruel
2015	50	115	9	Ocupaciones elementales	Hombres	Zaragoza
2015	50	166	9	Ocupaciones elementales	Mujeres	Zaragoza
2014	22	1	1	Directores y gerentes	Mujeres	Huesca
2014	44	1	1	Directores y gerentes	Mujeres	Teruel
2014	50	4	1	Directores y gerentes	Hombres	Zaragoza
2014	50	7	1	Directores y gerentes	Mujeres	Zaragoza
2014	22	3	2	Técnicos y profesionales científicos e intelectuales	Hombres	Huesca
2014	22	13	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Huesca
2014	44	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	Teruel
2014	44	7	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Teruel
2014	50	32	2	Técnicos y profesionales científicos e intelectuales	Hombres	Zaragoza
2014	50	109	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Zaragoza
2014	22	1	3	Técnicos; profesionales de apoyo	Hombres	Huesca
2014	22	9	3	Técnicos; profesionales de apoyo	Mujeres	Huesca
2014	44	1	3	Técnicos; profesionales de apoyo	Mujeres	Teruel
2014	50	48	3	Técnicos; profesionales de apoyo	Hombres	Zaragoza
2014	50	39	3	Técnicos; profesionales de apoyo	Mujeres	Zaragoza
2014	22	5	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Huesca
2014	22	16	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Huesca
2014	44	2	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Teruel
2014	44	7	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Teruel
2014	50	42	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Zaragoza
2014	50	182	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Zaragoza
2014	22	4	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Huesca
2014	22	25	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Huesca
2014	44	5	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Teruel
2014	44	13	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Teruel
2014	50	101	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Zaragoza
2014	50	294	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Zaragoza
2014	22	2	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Huesca
2014	44	1	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Mujeres	Teruel
2014	50	4	6	Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero	Hombres	Zaragoza
2014	22	14	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Huesca
2014	22	2	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Huesca
2014	44	9	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Teruel
2014	44	3	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Teruel
2014	50	85	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Hombres	Zaragoza
2014	50	22	7	Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria)	Mujeres	Zaragoza
2014	22	13	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Huesca
2014	22	4	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Huesca
2014	44	2	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Teruel
2014	50	84	8	Operadores de instalaciones y maquinaria, y montadores	Hombres	Zaragoza
2014	50	22	8	Operadores de instalaciones y maquinaria, y montadores	Mujeres	Zaragoza
2014	22	21	9	Ocupaciones elementales	Hombres	Huesca
2014	22	15	9	Ocupaciones elementales	Mujeres	Huesca
2014	44	13	9	Ocupaciones elementales	Hombres	Teruel
2014	44	7	9	Ocupaciones elementales	Mujeres	Teruel
2014	50	98	9	Ocupaciones elementales	Hombres	Zaragoza
2014	50	154	9	Ocupaciones elementales	Mujeres	Zaragoza
2013	22	1	1	Directores y gerentes	Mujeres	Huesca
2013	50	8	1	Directores y gerentes	Hombres	Zaragoza
2013	50	5	1	Directores y gerentes	Mujeres	Zaragoza
2013	22	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	Huesca
2013	22	25	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Huesca
2013	44	2	2	Técnicos y profesionales científicos e intelectuales	Hombres	Teruel
2013	44	13	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Teruel
2013	50	25	2	Técnicos y profesionales científicos e intelectuales	Hombres	Zaragoza
2013	50	126	2	Técnicos y profesionales científicos e intelectuales	Mujeres	Zaragoza
2013	22	2	3	Técnicos; profesionales de apoyo	Hombres	Huesca
2013	22	2	3	Técnicos; profesionales de apoyo	Mujeres	Huesca
2013	44	1	3	Técnicos; profesionales de apoyo	Hombres	Teruel
2013	44	5	3	Técnicos; profesionales de apoyo	Mujeres	Teruel
2013	50	39	3	Técnicos; profesionales de apoyo	Hombres	Zaragoza
2013	50	61	3	Técnicos; profesionales de apoyo	Mujeres	Zaragoza
2013	22	7	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Huesca
2013	22	14	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Huesca
2013	44	5	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Teruel
2013	44	8	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Teruel
2013	50	50	4	Empleados contables, administrativos y otros empleados de oficina	Hombres	Zaragoza
2013	50	174	4	Empleados contables, administrativos y otros empleados de oficina	Mujeres	Zaragoza
2013	22	12	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Huesca
2013	22	38	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Huesca
2013	44	3	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Teruel
2013	44	18	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Mujeres	Teruel
2013	50	109	5	Trabajadores de los servicios de restauración, personales, protección y vendedores	Hombres	Zaragoza
