Comarca código	Comarca nombre	Tipo hogar 1	Tipo de hogar 2	Número hogares
08	Cinca Medio	1- Hogar unipersonal	1- Hogar unipersonal	1557
08	Cinca Medio	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	73
08	Cinca Medio	2- Hogar multipersonal	3- Hogar multipersonal, una familia	6116
08	Cinca Medio	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	15
09	La Litera / La Llitera	1- Hogar unipersonal	1- Hogar unipersonal	1442
09	La Litera / La Llitera	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	53
09	La Litera / La Llitera	2- Hogar multipersonal	3- Hogar multipersonal, una familia	5081
09	La Litera / La Llitera	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	25
10	Los Monegros	1- Hogar unipersonal	1- Hogar unipersonal	1784
10	Los Monegros	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	43
10	Los Monegros	2- Hogar multipersonal	3- Hogar multipersonal, una familia	5596
10	Los Monegros	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	12
11	Bajo Cinca / Baix Cinca	1- Hogar unipersonal	1- Hogar unipersonal	1342
11	Bajo Cinca / Baix Cinca	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	87
11	Bajo Cinca / Baix Cinca	2- Hogar multipersonal	3- Hogar multipersonal, una familia	5970
11	Bajo Cinca / Baix Cinca	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	28
12	Tarazona y el Moncayo	1- Hogar unipersonal	1- Hogar unipersonal	1265
12	Tarazona y el Moncayo	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	40
12	Tarazona y el Moncayo	2- Hogar multipersonal	3- Hogar multipersonal, una familia	3953
12	Tarazona y el Moncayo	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	9
13	Campo de Borja	1- Hogar unipersonal	1- Hogar unipersonal	1412
13	Campo de Borja	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	46
13	Campo de Borja	2- Hogar multipersonal	3- Hogar multipersonal, una familia	3889
13	Campo de Borja	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	18
14	Aranda	1- Hogar unipersonal	1- Hogar unipersonal	607
14	Aranda	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	22
14	Aranda	2- Hogar multipersonal	3- Hogar multipersonal, una familia	2261
14	Aranda	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	6
15	Ribera Alta del Ebro	1- Hogar unipersonal	1- Hogar unipersonal	1713
15	Ribera Alta del Ebro	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	48
15	Ribera Alta del Ebro	2- Hogar multipersonal	3- Hogar multipersonal, una familia	6287
15	Ribera Alta del Ebro	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	17
16	Valdejalón	1- Hogar unipersonal	1- Hogar unipersonal	1916
16	Valdejalón	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	83
16	Valdejalón	2- Hogar multipersonal	3- Hogar multipersonal, una familia	6341
16	Valdejalón	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	30
17	D.C. Zaragoza	1- Hogar unipersonal	1- Hogar unipersonal	50395
17	D.C. Zaragoza	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	2211
17	D.C. Zaragoza	2- Hogar multipersonal	3- Hogar multipersonal, una familia	187917
17	D.C. Zaragoza	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	812
18	Ribera Baja del Ebro	1- Hogar unipersonal	1- Hogar unipersonal	1006
18	Ribera Baja del Ebro	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	12
18	Ribera Baja del Ebro	2- Hogar multipersonal	3- Hogar multipersonal, una familia	2689
18	Ribera Baja del Ebro	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	10
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1- Hogar unipersonal	1- Hogar unipersonal	1170
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	35
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2- Hogar multipersonal	3- Hogar multipersonal, una familia	3617
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	11
20	Comunidad de Calatayud	1- Hogar unipersonal	1- Hogar unipersonal	4169
20	Comunidad de Calatayud	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	94
20	Comunidad de Calatayud	2- Hogar multipersonal	3- Hogar multipersonal, una familia	10929
20	Comunidad de Calatayud	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	68
21	Campo de Cariñena	1- Hogar unipersonal	1- Hogar unipersonal	927
21	Campo de Cariñena	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	53
21	Campo de Cariñena	2- Hogar multipersonal	3- Hogar multipersonal, una familia	2767
21	Campo de Cariñena	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	29
22	Campo de Belchite	1- Hogar unipersonal	1- Hogar unipersonal	690
22	Campo de Belchite	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	11
22	Campo de Belchite	2- Hogar multipersonal	3- Hogar multipersonal, una familia	1644
22	Campo de Belchite	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	3
23	Bajo Martín	1- Hogar unipersonal	1- Hogar unipersonal	790
23	Bajo Martín	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	7
23	Bajo Martín	2- Hogar multipersonal	3- Hogar multipersonal, una familia	2105
23	Bajo Martín	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	2
24	Campo de Daroca	1- Hogar unipersonal	1- Hogar unipersonal	785
24	Campo de Daroca	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	14
24	Campo de Daroca	2- Hogar multipersonal	3- Hogar multipersonal, una familia	1860
24	Campo de Daroca	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	4
25	Jiloca	1- Hogar unipersonal	1- Hogar unipersonal	1659
25	Jiloca	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	26
25	Jiloca	2- Hogar multipersonal	3- Hogar multipersonal, una familia	3863
25	Jiloca	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	7
26	Cuencas Mineras	1- Hogar unipersonal	1- Hogar unipersonal	909
26	Cuencas Mineras	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	26
26	Cuencas Mineras	2- Hogar multipersonal	3- Hogar multipersonal, una familia	2640
26	Cuencas Mineras	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	10
27	Andorra-Sierra de Arcos	1- Hogar unipersonal	1- Hogar unipersonal	740
27	Andorra-Sierra de Arcos	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	25
27	Andorra-Sierra de Arcos	2- Hogar multipersonal	3- Hogar multipersonal, una familia	3181
27	Andorra-Sierra de Arcos	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	7
28	Bajo Aragón	1- Hogar unipersonal	1- Hogar unipersonal	1949
28	Bajo Aragón	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	66
28	Bajo Aragón	2- Hogar multipersonal	3- Hogar multipersonal, una familia	7468
28	Bajo Aragón	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	30
29	Comunidad de Teruel	1- Hogar unipersonal	1- Hogar unipersonal	3678
29	Comunidad de Teruel	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	117
29	Comunidad de Teruel	2- Hogar multipersonal	3- Hogar multipersonal, una familia	11677
29	Comunidad de Teruel	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	25
30	Maestrazgo	1- Hogar unipersonal	1- Hogar unipersonal	478
30	Maestrazgo	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	10
30	Maestrazgo	2- Hogar multipersonal	3- Hogar multipersonal, una familia	1011
30	Maestrazgo	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	4
31	Sierra de Albarracín	1- Hogar unipersonal	1- Hogar unipersonal	675
31	Sierra de Albarracín	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	9
31	Sierra de Albarracín	2- Hogar multipersonal	3- Hogar multipersonal, una familia	1331
31	Sierra de Albarracín	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	3
32	Gúdar-Javalambre	1- Hogar unipersonal	1- Hogar unipersonal	1098
32	Gúdar-Javalambre	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	35
32	Gúdar-Javalambre	2- Hogar multipersonal	3- Hogar multipersonal, una familia	2062
32	Gúdar-Javalambre	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	12
33	Matarraña / Matarranya	1- Hogar unipersonal	1- Hogar unipersonal	887
33	Matarraña / Matarranya	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	20
33	Matarraña / Matarranya	2- Hogar multipersonal	3- Hogar multipersonal, una familia	2424
33	Matarraña / Matarranya	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	4
