Año de construcción	Año de construcción, código	Comarca nombre	Comarca codigo	Nº edificios
1900 a 1920	3	Aranda	14	433
1900 a 1920	3	Ribera Alta del Ebro	15	530
1900 a 1920	3	Valdejalón	16	770
1900 a 1920	3	D.C. Zaragoza	17	825
1900 a 1920	3	Ribera Baja del Ebro	18	339
1900 a 1920	3	Bajo Aragón-Caspe / Baix Aragó-Casp	19	444
1900 a 1920	3	Comunidad de Calatayud	20	1907
1900 a 1920	3	Campo de Cariñena	21	512
1900 a 1920	3	Campo de Belchite	22	377
1900 a 1920	3	Bajo Martín	23	240
1900 a 1920	3	Campo de Daroca	24	538
1900 a 1920	3	Jiloca	25	1170
1900 a 1920	3	Cuencas Mineras	26	505
1900 a 1920	3	Andorra-Sierra de Arcos	27	336
1900 a 1920	3	Bajo Aragón	28	770
1900 a 1920	3	Comunidad de Teruel	29	759
1900 a 1920	3	Maestrazgo	30	177
1900 a 1920	3	Sierra de Albarracín	31	474
1900 a 1920	3	Gúdar-Javalambre	32	542
1900 a 1920	3	Matarraña / Matarranya	33	282
1921 a 1940	4	La Jacetania	01	140
1921 a 1940	4	Alto Gállego	02	125
1921 a 1940	4	Sobrarbe	03	89
1921 a 1940	4	La Ribagorza	04	325
1921 a 1940	4	Cinco Villas	05	793
1921 a 1940	4	Hoya de Huesca / Plana de Uesca	06	655
1921 a 1940	4	Somontano de Barbastro	07	334
1921 a 1940	4	Cinca Medio	08	331
1921 a 1940	4	La Litera / La Llitera	09	520
1921 a 1940	4	Los Monegros	10	509
1921 a 1940	4	Bajo Cinca / Baix Cinca	11	441
1921 a 1940	4	Tarazona y el Moncayo	12	332
1921 a 1940	4	Campo de Borja	13	835
1921 a 1940	4	Aranda	14	125
1921 a 1940	4	Ribera Alta del Ebro	15	674
1921 a 1940	4	Valdejalón	16	841
1921 a 1940	4	D.C. Zaragoza	17	2074
1921 a 1940	4	Ribera Baja del Ebro	18	393
1921 a 1940	4	Bajo Aragón-Caspe / Baix Aragó-Casp	19	651
1921 a 1940	4	Comunidad de Calatayud	20	1256
1921 a 1940	4	Campo de Cariñena	21	423
1921 a 1940	4	Campo de Belchite	22	566
1921 a 1940	4	Bajo Martín	23	269
1921 a 1940	4	Campo de Daroca	24	563
1921 a 1940	4	Jiloca	25	765
1921 a 1940	4	Cuencas Mineras	26	402
1921 a 1940	4	Andorra-Sierra de Arcos	27	343
1921 a 1940	4	Bajo Aragón	28	704
1921 a 1940	4	Comunidad de Teruel	29	1203
1921 a 1940	4	Maestrazgo	30	162
1921 a 1940	4	Sierra de Albarracín	31	363
1921 a 1940	4	Gúdar-Javalambre	32	505
1921 a 1940	4	Matarraña / Matarranya	33	213
1941 a 1950	5	La Jacetania	01	193
1941 a 1950	5	Alto Gállego	02	222
1941 a 1950	5	Sobrarbe	03	129
1941 a 1950	5	La Ribagorza	04	336
1941 a 1950	5	Cinco Villas	05	715
1941 a 1950	5	Hoya de Huesca / Plana de Uesca	06	745
1941 a 1950	5	Somontano de Barbastro	07	333
1941 a 1950	5	Cinca Medio	08	412
1941 a 1950	5	La Litera / La Llitera	09	605
1941 a 1950	5	Los Monegros	10	696
1941 a 1950	5	Bajo Cinca / Baix Cinca	11	557
1941 a 1950	5	Tarazona y el Moncayo	12	382
1941 a 1950	5	Campo de Borja	13	659
1941 a 1950	5	Aranda	14	199
1941 a 1950	5	Ribera Alta del Ebro	15	521
1941 a 1950	5	Valdejalón	16	803
1941 a 1950	5	D.C. Zaragoza	17	2611
1941 a 1950	5	Ribera Baja del Ebro	18	400
1941 a 1950	5	Bajo Aragón-Caspe / Baix Aragó-Casp	19	631
1941 a 1950	5	Comunidad de Calatayud	20	1825
1941 a 1950	5	Campo de Cariñena	21	325
1941 a 1950	5	Campo de Belchite	22	594
1941 a 1950	5	Bajo Martín	23	330
1941 a 1950	5	Campo de Daroca	24	433
1941 a 1950	5	Jiloca	25	776
1941 a 1950	5	Cuencas Mineras	26	543
1941 a 1950	5	Andorra-Sierra de Arcos	27	442
1941 a 1950	5	Bajo Aragón	28	647
1941 a 1950	5	Comunidad de Teruel	29	1149
1941 a 1950	5	Maestrazgo	30	274
1941 a 1950	5	Sierra de Albarracín	31	305
1941 a 1950	5	Gúdar-Javalambre	32	395
1941 a 1950	5	Matarraña / Matarranya	33	145
1951 a 1960	6	La Jacetania	01	339
1951 a 1960	6	Alto Gállego	02	309
1951 a 1960	6	Sobrarbe	03	110
1951 a 1960	6	La Ribagorza	04	357
1951 a 1960	6	Cinco Villas	05	1985
1951 a 1960	6	Hoya de Huesca / Plana de Uesca	06	989
1951 a 1960	6	Somontano de Barbastro	07	499
1951 a 1960	6	Cinca Medio	08	662
1951 a 1960	6	La Litera / La Llitera	09	790
1951 a 1960	6	Los Monegros	10	1409
1951 a 1960	6	Bajo Cinca / Baix Cinca	11	746
1951 a 1960	6	Tarazona y el Moncayo	12	422
1951 a 1960	6	Campo de Borja	13	591
1951 a 1960	6	Aranda	14	323
1951 a 1960	6	Ribera Alta del Ebro	15	1009
1951 a 1960	6	Valdejalón	16	1152
1951 a 1960	6	D.C. Zaragoza	17	6402
1951 a 1960	6	Ribera Baja del Ebro	18	859
1951 a 1960	6	Bajo Aragón-Caspe / Baix Aragó-Casp	19	555
1951 a 1960	6	Comunidad de Calatayud	20	1738
1951 a 1960	6	Campo de Cariñena	21	344
1951 a 1960	6	Campo de Belchite	22	774
1951 a 1960	6	Bajo Martín	23	343
1951 a 1960	6	Campo de Daroca	24	639
1951 a 1960	6	Jiloca	25	814
1951 a 1960	6	Cuencas Mineras	26	517
1951 a 1960	6	Andorra-Sierra de Arcos	27	725
1951 a 1960	6	Bajo Aragón	28	764
1951 a 1960	6	Comunidad de Teruel	29	1299
1951 a 1960	6	Maestrazgo	30	217
1951 a 1960	6	Sierra de Albarracín	31	352
1951 a 1960	6	Gúdar-Javalambre	32	646
1951 a 1960	6	Matarraña / Matarranya	33	205
1961 a 1970	7	La Jacetania	01	307
1961 a 1970	7	Alto Gállego	02	246
1961 a 1970	7	Sobrarbe	03	185
1961 a 1970	7	La Ribagorza	04	393
1961 a 1970	7	Cinco Villas	05	1534
1961 a 1970	7	Hoya de Huesca / Plana de Uesca	06	907
1961 a 1970	7	Somontano de Barbastro	07	603
1961 a 1970	7	Cinca Medio	08	875
1961 a 1970	7	La Litera / La Llitera	09	878
1961 a 1970	7	Los Monegros	10	1776
1961 a 1970	7	Bajo Cinca / Baix Cinca	11	567
1961 a 1970	7	Tarazona y el Moncayo	12	230
1961 a 1970	7	Campo de Borja	13	529
1961 a 1970	7	Aranda	14	200
1961 a 1970	7	Ribera Alta del Ebro	15	828
1961 a 1970	7	Valdejalón	16	1484
1961 a 1970	7	D.C. Zaragoza	17	6622
1961 a 1970	7	Ribera Baja del Ebro	18	510
1961 a 1970	7	Bajo Aragón-Caspe / Baix Aragó-Casp	19	800
1961 a 1970	7	Comunidad de Calatayud	20	1223
1961 a 1970	7	Campo de Cariñena	21	370
1961 a 1970	7	Campo de Belchite	22	377
1961 a 1970	7	Bajo Martín	23	399
1961 a 1970	7	Campo de Daroca	24	426
1961 a 1970	7	Jiloca	25	728
1961 a 1970	7	Cuencas Mineras	26	297
1961 a 1970	7	Andorra-Sierra de Arcos	27	305
1961 a 1970	7	Bajo Aragón	28	723
1961 a 1970	7	Comunidad de Teruel	29	1198
1961 a 1970	7	Maestrazgo	30	189
1961 a 1970	7	Sierra de Albarracín	31	362
1961 a 1970	7	Gúdar-Javalambre	32	541
1961 a 1970	7	Matarraña / Matarranya	33	337
1971 a 1980	8	La Jacetania	01	391
1971 a 1980	8	Alto Gállego	02	345
1971 a 1980	8	Sobrarbe	03	219
1971 a 1980	8	La Ribagorza	04	638
1971 a 1980	8	Cinco Villas	05	1028
1971 a 1980	8	Hoya de Huesca / Plana de Uesca	06	1078
1971 a 1980	8	Somontano de Barbastro	07	838
1971 a 1980	8	Cinca Medio	08	701
1971 a 1980	8	La Litera / La Llitera	09	709
1971 a 1980	8	Los Monegros	10	1161
1971 a 1980	8	Bajo Cinca / Baix Cinca	11	1154
1971 a 1980	8	Tarazona y el Moncayo	12	508
1971 a 1980	8	Campo de Borja	13	686
1971 a 1980	8	Aranda	14	277
1971 a 1980	8	Ribera Alta del Ebro	15	1261
1971 a 1980	8	Valdejalón	16	1458
1971 a 1980	8	D.C. Zaragoza	17	7549
1971 a 1980	8	Ribera Baja del Ebro	18	712
1971 a 1980	8	Bajo Aragón-Caspe / Baix Aragó-Casp	19	986
1971 a 1980	8	Comunidad de Calatayud	20	1926
1971 a 1980	8	Campo de Cariñena	21	635
1971 a 1980	8	Campo de Belchite	22	353
1971 a 1980	8	Bajo Martín	23	650
1971 a 1980	8	Campo de Daroca	24	734
1971 a 1980	8	Jiloca	25	1076
1971 a 1980	8	Cuencas Mineras	26	534
1971 a 1980	8	Andorra-Sierra de Arcos	27	624
1971 a 1980	8	Bajo Aragón	28	1310
1971 a 1980	8	Comunidad de Teruel	29	1494
1971 a 1980	8	Maestrazgo	30	244
1971 a 1980	8	Sierra de Albarracín	31	492
1971 a 1980	8	Gúdar-Javalambre	32	819
1971 a 1980	8	Matarraña / Matarranya	33	745
1981 a 1990	9	La Jacetania	01	662
1981 a 1990	9	Alto Gállego	02	339
1981 a 1990	9	Sobrarbe	03	327
1981 a 1990	9	La Ribagorza	04	488
1981 a 1990	9	Cinco Villas	05	1081
1981 a 1990	9	Hoya de Huesca / Plana de Uesca	06	1190
1981 a 1990	9	Somontano de Barbastro	07	967
1981 a 1990	9	Cinca Medio	08	744
1981 a 1990	9	La Litera / La Llitera	09	648
1981 a 1990	9	Los Monegros	10	958
1981 a 1990	9	Bajo Cinca / Baix Cinca	11	723
1981 a 1990	9	Tarazona y el Moncayo	12	407
1981 a 1990	9	Campo de Borja	13	587
1981 a 1990	9	Aranda	14	186
1981 a 1990	9	Ribera Alta del Ebro	15	811
1981 a 1990	9	Valdejalón	16	1247
1981 a 1990	9	D.C. Zaragoza	17	6560
1981 a 1990	9	Ribera Baja del Ebro	18	604
1981 a 1990	9	Bajo Aragón-Caspe / Baix Aragó-Casp	19	618
1981 a 1990	9	Comunidad de Calatayud	20	1240
1981 a 1990	9	Campo de Cariñena	21	458
1981 a 1990	9	Campo de Belchite	22	479
1981 a 1990	9	Bajo Martín	23	566
1981 a 1990	9	Campo de Daroca	24	695
1981 a 1990	9	Jiloca	25	753
1981 a 1990	9	Cuencas Mineras	26	520
1981 a 1990	9	Andorra-Sierra de Arcos	27	626
1981 a 1990	9	Bajo Aragón	28	1029
1981 a 1990	9	Comunidad de Teruel	29	1498
1981 a 1990	9	Maestrazgo	30	273
1981 a 1990	9	Sierra de Albarracín	31	492
1981 a 1990	9	Gúdar-Javalambre	32	766
1981 a 1990	9	Matarraña / Matarranya	33	805
1991 a 2001	10	La Jacetania	01	781
1991 a 2001	10	Alto Gállego	02	675
1991 a 2001	10	Sobrarbe	03	504
1991 a 2001	10	La Ribagorza	04	664
1991 a 2001	10	Cinco Villas	05	1395
1991 a 2001	10	Hoya de Huesca / Plana de Uesca	06	1337
1991 a 2001	10	Somontano de Barbastro	07	878
1991 a 2001	10	Cinca Medio	08	906
1991 a 2001	10	La Litera / La Llitera	09	712
1991 a 2001	10	Los Monegros	10	803
1991 a 2001	10	Bajo Cinca / Baix Cinca	11	441
1991 a 2001	10	Tarazona y el Moncayo	12	467
1991 a 2001	10	Campo de Borja	13	813
1991 a 2001	10	Aranda	14	257
1991 a 2001	10	Ribera Alta del Ebro	15	1612
1991 a 2001	10	Valdejalón	16	1684
1991 a 2001	10	D.C. Zaragoza	17	11550
1991 a 2001	10	Ribera Baja del Ebro	18	568
1991 a 2001	10	Bajo Aragón-Caspe / Baix Aragó-Casp	19	554
1991 a 2001	10	Comunidad de Calatayud	20	1510
1991 a 2001	10	Campo de Cariñena	21	491
1991 a 2001	10	Campo de Belchite	22	222
1991 a 2001	10	Bajo Martín	23	267
1991 a 2001	10	Campo de Daroca	24	372
1991 a 2001	10	Jiloca	25	861
1991 a 2001	10	Cuencas Mineras	26	343
1991 a 2001	10	Andorra-Sierra de Arcos	27	450
1991 a 2001	10	Bajo Aragón	28	1010
1991 a 2001	10	Comunidad de Teruel	29	1405
1991 a 2001	10	Maestrazgo	30	141
1991 a 2001	10	Sierra de Albarracín	31	403
1991 a 2001	10	Gúdar-Javalambre	32	501
1991 a 2001	10	Matarraña / Matarranya	33	564
2002	11	La Jacetania	01	59
2002	11	Alto Gállego	02	140
2002	11	Sobrarbe	03	28
2002	11	La Ribagorza	04	89
2002	11	Cinco Villas	05	73
2002	11	Hoya de Huesca / Plana de Uesca	06	186
2002	11	Somontano de Barbastro	07	24
2002	11	Cinca Medio	08	65
2002	11	La Litera / La Llitera	09	31
2002	11	Los Monegros	10	87
2002	11	Bajo Cinca / Baix Cinca	11	39
2002	11	Tarazona y el Moncayo	12	86
2002	11	Campo de Borja	13	42
2002	11	Aranda	14	32
2002	11	Ribera Alta del Ebro	15	151
2002	11	Valdejalón	16	37
2002	11	D.C. Zaragoza	17	951
2002	11	Ribera Baja del Ebro	18	8
2002	11	Bajo Aragón-Caspe / Baix Aragó-Casp	19	49
2002	11	Comunidad de Calatayud	20	313
2002	11	Campo de Cariñena	21	29
2002	11	Campo de Belchite	22	7
2002	11	Bajo Martín	23	20
2002	11	Campo de Daroca	24	37
2002	11	Jiloca	25	47
2002	11	Cuencas Mineras	26	7
2002	11	Andorra-Sierra de Arcos	27	25
2002	11	Bajo Aragón	28	66
2002	11	Comunidad de Teruel	29	129
2002	11	Maestrazgo	30	8
2002	11	Sierra de Albarracín	31	34
2002	11	Gúdar-Javalambre	32	177
2002	11	Matarraña / Matarranya	33	42
2003	12	La Jacetania	01	57
2003	12	Alto Gállego	02	92
2003	12	Sobrarbe	03	27
2003	12	La Ribagorza	04	49
2003	12	Cinco Villas	05	86
2003	12	Hoya de Huesca / Plana de Uesca	06	131
2003	12	Somontano de Barbastro	07	49
2003	12	Cinca Medio	08	85
2003	12	La Litera / La Llitera	09	40
2003	12	Los Monegros	10	33
2003	12	Bajo Cinca / Baix Cinca	11	31
2003	12	Tarazona y el Moncayo	12	18
2003	12	Campo de Borja	13	21
2003	12	Aranda	14	16
2003	12	Ribera Alta del Ebro	15	99
2003	12	Valdejalón	16	66
2003	12	D.C. Zaragoza	17	882
2003	12	Ribera Baja del Ebro	18	20
2003	12	Bajo Aragón-Caspe / Baix Aragó-Casp	19	34
2003	12	Comunidad de Calatayud	20	131
2003	12	Campo de Cariñena	21	42
2003	12	Campo de Belchite	22	17
2003	12	Bajo Martín	23	28
2003	12	Campo de Daroca	24	22
2003	12	Jiloca	25	35
2003	12	Cuencas Mineras	26	10
2003	12	Andorra-Sierra de Arcos	27	29
2003	12	Bajo Aragón	28	128
2003	12	Comunidad de Teruel	29	149
2003	12	Maestrazgo	30	5
2003	12	Sierra de Albarracín	31	28
2003	12	Gúdar-Javalambre	32	198
2003	12	Matarraña / Matarranya	33	40
2004	13	La Jacetania	01	84
2004	13	Alto Gállego	02	129
2004	13	Sobrarbe	03	43
2004	13	La Ribagorza	04	81
2004	13	Cinco Villas	05	61
2004	13	Hoya de Huesca / Plana de Uesca	06	185
2004	13	Somontano de Barbastro	07	52
2004	13	Cinca Medio	08	129
2004	13	La Litera / La Llitera	09	49
2004	13	Los Monegros	10	25
2004	13	Bajo Cinca / Baix Cinca	11	35
2004	13	Tarazona y el Moncayo	12	66
2004	13	Campo de Borja	13	31
2004	13	Aranda	14	10
2004	13	Ribera Alta del Ebro	15	104
2004	13	Valdejalón	16	63
2004	13	D.C. Zaragoza	17	951
2004	13	Ribera Baja del Ebro	18	25
2004	13	Bajo Aragón-Caspe / Baix Aragó-Casp	19	28
2004	13	Comunidad de Calatayud	20	207
2004	13	Campo de Cariñena	21	58
2004	13	Campo de Belchite	22	6
2004	13	Bajo Martín	23	22
2004	13	Campo de Daroca	24	27
2004	13	Jiloca	25	53
2004	13	Cuencas Mineras	26	12
2004	13	Andorra-Sierra de Arcos	27	96
2004	13	Bajo Aragón	28	111
2004	13	Comunidad de Teruel	29	207
2004	13	Maestrazgo	30	14
2004	13	Sierra de Albarracín	31	34
2004	13	Gúdar-Javalambre	32	285
2004	13	Matarraña / Matarranya	33	95
2005	14	La Jacetania	01	152
2005	14	Alto Gállego	02	159
2005	14	Sobrarbe	03	127
2005	14	La Ribagorza	04	120
2005	14	Cinco Villas	05	86
2005	14	Hoya de Huesca / Plana de Uesca	06	285
2005	14	Somontano de Barbastro	07	75
2005	14	Cinca Medio	08	135
2005	14	La Litera / La Llitera	09	57
2005	14	Los Monegros	10	81
2005	14	Bajo Cinca / Baix Cinca	11	39
2005	14	Tarazona y el Moncayo	12	93
2005	14	Campo de Borja	13	66
2005	14	Aranda	14	29
2005	14	Ribera Alta del Ebro	15	193
2005	14	Valdejalón	16	98
2005	14	D.C. Zaragoza	17	2070
2005	14	Ribera Baja del Ebro	18	46
2005	14	Bajo Aragón-Caspe / Baix Aragó-Casp	19	70
2005	14	Comunidad de Calatayud	20	321
2005	14	Campo de Cariñena	21	56
2005	14	Campo de Belchite	22	17
2005	14	Bajo Martín	23	30
2005	14	Campo de Daroca	24	64
2005	14	Jiloca	25	42
2005	14	Cuencas Mineras	26	28
2005	14	Andorra-Sierra de Arcos	27	37
2005	14	Bajo Aragón	28	96
2005	14	Comunidad de Teruel	29	176
2005	14	Maestrazgo	30	9
2005	14	Sierra de Albarracín	31	43
2005	14	Gúdar-Javalambre	32	241
2005	14	Matarraña / Matarranya	33	77
2006	15	La Jacetania	01	173
2006	15	Alto Gállego	02	95
2006	15	Sobrarbe	03	63
2006	15	La Ribagorza	04	124
2006	15	Cinco Villas	05	89
2006	15	Hoya de Huesca / Plana de Uesca	06	181
2006	15	Somontano de Barbastro	07	69
2006	15	Cinca Medio	08	75
2006	15	La Litera / La Llitera	09	74
2006	15	Los Monegros	10	55
2006	15	Bajo Cinca / Baix Cinca	11	34
2006	15	Tarazona y el Moncayo	12	77
2006	15	Campo de Borja	13	85
2006	15	Aranda	14	6
2006	15	Ribera Alta del Ebro	15	134
2006	15	Valdejalón	16	86
2006	15	D.C. Zaragoza	17	1388
2006	15	Ribera Baja del Ebro	18	32
2006	15	Bajo Aragón-Caspe / Baix Aragó-Casp	19	46
2006	15	Comunidad de Calatayud	20	181
2006	15	Campo de Cariñena	21	55
2006	15	Campo de Belchite	22	19
2006	15	Bajo Martín	23	40
2006	15	Campo de Daroca	24	38
2006	15	Jiloca	25	51
2006	15	Cuencas Mineras	26	16
2006	15	Andorra-Sierra de Arcos	27	46
2006	15	Bajo Aragón	28	143
2006	15	Comunidad de Teruel	29	197
2006	15	Maestrazgo	30	13
2006	15	Sierra de Albarracín	31	57
2006	15	Gúdar-Javalambre	32	242
2006	15	Matarraña / Matarranya	33	73
2007	16	La Jacetania	01	72
2007	16	Alto Gállego	02	100
2007	16	Sobrarbe	03	70
2007	16	La Ribagorza	04	87
2007	16	Cinco Villas	05	112
2007	16	Hoya de Huesca / Plana de Uesca	06	237
2007	16	Somontano de Barbastro	07	77
2007	16	Cinca Medio	08	82
2007	16	La Litera / La Llitera	09	95
2007	16	Los Monegros	10	82
2007	16	Bajo Cinca / Baix Cinca	11	25
2007	16	Tarazona y el Moncayo	12	73
2007	16	Campo de Borja	13	61
2007	16	Aranda	14	13
2007	16	Ribera Alta del Ebro	15	183
2007	16	Valdejalón	16	117
2007	16	D.C. Zaragoza	17	1446
2007	16	Ribera Baja del Ebro	18	14
2007	16	Bajo Aragón-Caspe / Baix Aragó-Casp	19	45
2007	16	Comunidad de Calatayud	20	227
2007	16	Campo de Cariñena	21	42
2007	16	Campo de Belchite	22	16
2007	16	Bajo Martín	23	18
2007	16	Campo de Daroca	24	44
2007	16	Jiloca	25	64
2007	16	Cuencas Mineras	26	32
2007	16	Andorra-Sierra de Arcos	27	84
2007	16	Bajo Aragón	28	104
2007	16	Comunidad de Teruel	29	165
2007	16	Maestrazgo	30	19
2007	16	Sierra de Albarracín	31	52
2007	16	Gúdar-Javalambre	32	243
2007	16	Matarraña / Matarranya	33	66
2008	17	La Jacetania	01	56
2008	17	Alto Gállego	02	95
2008	17	Sobrarbe	03	28
2008	17	La Ribagorza	04	73
2008	17	Cinco Villas	05	62
2008	17	Hoya de Huesca / Plana de Uesca	06	221
2008	17	Somontano de Barbastro	07	53
2008	17	Cinca Medio	08	88
2008	17	La Litera / La Llitera	09	73
2008	17	Los Monegros	10	32
2008	17	Bajo Cinca / Baix Cinca	11	43
2008	17	Tarazona y el Moncayo	12	73
2008	17	Campo de Borja	13	33
2008	17	Aranda	14	11
2008	17	Ribera Alta del Ebro	15	100
2008	17	Valdejalón	16	264
2008	17	D.C. Zaragoza	17	1184
2008	17	Ribera Baja del Ebro	18	24
2008	17	Bajo Aragón-Caspe / Baix Aragó-Casp	19	22
2008	17	Comunidad de Calatayud	20	228
2008	17	Campo de Cariñena	21	44
2008	17	Campo de Belchite	22	30
2008	17	Bajo Martín	23	39
2008	17	Campo de Daroca	24	34
2008	17	Jiloca	25	61
2008	17	Cuencas Mineras	26	10
2008	17	Andorra-Sierra de Arcos	27	47
2008	17	Bajo Aragón	28	130
2008	17	Comunidad de Teruel	29	205
2008	17	Maestrazgo	30	22
2008	17	Sierra de Albarracín	31	43
2008	17	Gúdar-Javalambre	32	260
2008	17	Matarraña / Matarranya	33	91
2009	18	La Jacetania	01	56
2009	18	Alto Gállego	02	65
2009	18	Sobrarbe	03	48
2009	18	La Ribagorza	04	69
2009	18	Cinco Villas	05	65
2009	18	Hoya de Huesca / Plana de Uesca	06	195
2009	18	Somontano de Barbastro	07	36
2009	18	Cinca Medio	08	43
2009	18	La Litera / La Llitera	09	39
2009	18	Los Monegros	10	30
2009	18	Bajo Cinca / Baix Cinca	11	45
2009	18	Tarazona y el Moncayo	12	43
2009	18	Campo de Borja	13	41
2009	18	Aranda	14	7
2009	18	Ribera Alta del Ebro	15	119
2009	18	Valdejalón	16	128
2009	18	D.C. Zaragoza	17	683
2009	18	Ribera Baja del Ebro	18	22
2009	18	Bajo Aragón-Caspe / Baix Aragó-Casp	19	19
2009	18	Comunidad de Calatayud	20	144
2009	18	Campo de Cariñena	21	26
2009	18	Campo de Belchite	22	6
2009	18	Bajo Martín	23	25
2009	18	Campo de Daroca	24	26
2009	18	Jiloca	25	30
2009	18	Cuencas Mineras	26	13
2009	18	Andorra-Sierra de Arcos	27	41
2009	18	Bajo Aragón	28	87
2009	18	Comunidad de Teruel	29	234
2009	18	Maestrazgo	30	28
2009	18	Sierra de Albarracín	31	42
2009	18	Gúdar-Javalambre	32	261
2009	18	Matarraña / Matarranya	33	73
2010	19	La Jacetania	01	33
2010	19	Alto Gállego	02	25
2010	19	Sobrarbe	03	16
2010	19	La Ribagorza	04	53
2010	19	Cinco Villas	05	48
2010	19	Hoya de Huesca / Plana de Uesca	06	70
2010	19	Somontano de Barbastro	07	23
2010	19	Cinca Medio	08	34
2010	19	La Litera / La Llitera	09	32
2010	19	Los Monegros	10	14
2010	19	Bajo Cinca / Baix Cinca	11	29
2010	19	Tarazona y el Moncayo	12	48
2010	19	Campo de Borja	13	18
2010	19	Aranda	14	3
2010	19	Ribera Alta del Ebro	15	91
2010	19	Valdejalón	16	22
2010	19	D.C. Zaragoza	17	548
2010	19	Ribera Baja del Ebro	18	18
2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19	21
2010	19	Comunidad de Calatayud	20	85
2010	19	Campo de Cariñena	21	12
2010	19	Campo de Belchite	22	5
2010	19	Bajo Martín	23	49
2010	19	Campo de Daroca	24	18
2010	19	Jiloca	25	52
2010	19	Cuencas Mineras	26	8
2010	19	Andorra-Sierra de Arcos	27	60
2010	19	Bajo Aragón	28	63
2010	19	Comunidad de Teruel	29	175
2010	19	Maestrazgo	30	14
2010	19	Sierra de Albarracín	31	37
2010	19	Gúdar-Javalambre	32	225
2010	19	Matarraña / Matarranya	33	81
2011	20	La Jacetania	01	49
2011	20	Alto Gállego	02	23
2011	20	Sobrarbe	03	25
2011	20	La Ribagorza	04	52
2011	20	Cinco Villas	05	41
2011	20	Hoya de Huesca / Plana de Uesca	06	63
2011	20	Somontano de Barbastro	07	18
2011	20	Cinca Medio	08	32
2011	20	La Litera / La Llitera	09	24
2011	20	Los Monegros	10	18
2011	20	Bajo Cinca / Baix Cinca	11	20
2011	20	Tarazona y el Moncayo	12	69
2011	20	Campo de Borja	13	27
2011	20	Aranda	14	11
2011	20	Ribera Alta del Ebro	15	62
2011	20	Valdejalón	16	40
2011	20	D.C. Zaragoza	17	656
2011	20	Ribera Baja del Ebro	18	19
2011	20	Bajo Aragón-Caspe / Baix Aragó-Casp	19	17
2011	20	Comunidad de Calatayud	20	87
2011	20	Campo de Cariñena	21	38
2011	20	Campo de Belchite	22	9
2011	20	Bajo Martín	23	27
2011	20	Campo de Daroca	24	21
2011	20	Jiloca	25	71
2011	20	Cuencas Mineras	26	19
2011	20	Andorra-Sierra de Arcos	27	39
2011	20	Bajo Aragón	28	52
2011	20	Comunidad de Teruel	29	171
2011	20	Maestrazgo	30	33
2011	20	Sierra de Albarracín	31	31
2011	20	Gúdar-Javalambre	32	248
2011	20	Matarraña / Matarranya	33	72
