Comarca codigo	Comarca nombre	Estado civil, código	Estado civil	Sexo, código	Sexo	Personas
25	Jiloca	1	Soltero	1	Hombre	2228,849378658
25	Jiloca	2	Casado	1	Hombre	3538,89885483
25	Jiloca	3	Viudo	1	Hombre	323,7653468546
25	Jiloca	4	Separado	1	Hombre	30,8061181403
25	Jiloca	5	Divorciado	1	Hombre	100,5850515333
26	Cuencas Mineras	1	Soltero	1	Hombre	1518,4052097921
26	Cuencas Mineras	2	Casado	1	Hombre	2415,8252175756
26	Cuencas Mineras	3	Viudo	1	Hombre	104,1476750318
26	Cuencas Mineras	4	Separado	1	Hombre	62,8166959342
26	Cuencas Mineras	5	Divorciado	1	Hombre	69,0435020164
27	Andorra-Sierra de Arcos	1	Soltero	1	Hombre	1838,8245527972
27	Andorra-Sierra de Arcos	2	Casado	1	Hombre	2818,3839332468
27	Andorra-Sierra de Arcos	3	Viudo	1	Hombre	215,2470763045
27	Andorra-Sierra de Arcos	4	Separado	1	Hombre	47,2038590293
27	Andorra-Sierra de Arcos	5	Divorciado	1	Hombre	112,6918948279
28	Bajo Aragón	1	Soltero	1	Hombre	4075,9830522051
28	Bajo Aragón	2	Casado	1	Hombre	7621,8249219756
28	Bajo Aragón	3	Viudo	1	Hombre	451,820895261
28	Bajo Aragón	4	Separado	1	Hombre	134,3201553628
28	Bajo Aragón	5	Divorciado	1	Hombre	192,9920146986
29	Comunidad de Teruel	1	Soltero	1	Hombre	6965,1738816245
29	Comunidad de Teruel	2	Casado	1	Hombre	11089,5317433882
29	Comunidad de Teruel	3	Viudo	1	Hombre	678,8889502975
29	Comunidad de Teruel	4	Separado	1	Hombre	182,7017813488
29	Comunidad de Teruel	5	Divorciado	1	Hombre	505,7784363972
30	Maestrazgo	1	Soltero	1	Hombre	721,6762446483
30	Maestrazgo	2	Casado	1	Hombre	864,9860561773
30	Maestrazgo	3	Viudo	1	Hombre	68,5455244365
30	Maestrazgo	4	Separado	1	Hombre	19,4784343165
30	Maestrazgo	5	Divorciado	1	Hombre	26,4848592089
31	Sierra de Albarracín	1	Soltero	1	Hombre	971,3573211462
31	Sierra de Albarracín	2	Casado	1	Hombre	1243,204825362
31	Sierra de Albarracín	3	Viudo	1	Hombre	97,9325605569
31	Sierra de Albarracín	4	Separado	1	Hombre	38,6507355706
31	Sierra de Albarracín	5	Divorciado	1	Hombre	47,89389674
32	Gúdar-Javalambre	1	Soltero	1	Hombre	1594,6858041442
32	Gúdar-Javalambre	2	Casado	1	Hombre	2010,3979957593
32	Gúdar-Javalambre	3	Viudo	1	Hombre	158,2579684343
32	Gúdar-Javalambre	4	Separado	1	Hombre	56,8117030048
32	Gúdar-Javalambre	5	Divorciado	1	Hombre	67,4613317889
33	Matarraña / Matarranya	1	Soltero	1	Hombre	1470,9218290817
33	Matarraña / Matarranya	2	Casado	1	Hombre	2218,9706468591
33	Matarraña / Matarranya	3	Viudo	1	Hombre	198,9005782463
33	Matarraña / Matarranya	4	Separado	1	Hombre	40,6748485647
33	Matarraña / Matarranya	5	Divorciado	1	Hombre	77,5163949136
01	La Jacetania	1	Soltero	6	Mujer	2178,9766910328
01	La Jacetania	2	Casado	6	Mujer	3798,1883859827
01	La Jacetania	3	Viudo	6	Mujer	1067,1173345304
01	La Jacetania	4	Separado	6	Mujer	191,8536469727
01	La Jacetania	5	Divorciado	6	Mujer	241,4215177992
02	Alto Gállego	1	Soltero	6	Mujer	1602,2582244901
02	Alto Gállego	2	Casado	6	Mujer	3425,0458820597
02	Alto Gállego	3	Viudo	6	Mujer	757,3426617014
02	Alto Gállego	4	Separado	6	Mujer	124,2314685614
02	Alto Gállego	5	Divorciado	6	Mujer	115,8057397921
03	Sobrarbe	1	Soltero	6	Mujer	854,0413279903
03	Sobrarbe	2	Casado	6	Mujer	1759,881947872
03	Sobrarbe	3	Viudo	6	Mujer	407,2377535347
03	Sobrarbe	4	Separado	6	Mujer	19,2588061646
03	Sobrarbe	5	Divorciado	6	Mujer	77,4138820832
04	La Ribagorza	1	Soltero	6	Mujer	1346,4803205636
04	La Ribagorza	2	Casado	6	Mujer	2757,1826751962
04	La Ribagorza	3	Viudo	6	Mujer	823,6978360462
04	La Ribagorza	4	Separado	6	Mujer	54,9853828541
04	La Ribagorza	5	Divorciado	6	Mujer	284,421432571
05	Cinco Villas	1	Soltero	6	Mujer	3274,9434750258
05	Cinco Villas	2	Casado	6	Mujer	7744,2593649284
05	Cinco Villas	3	Viudo	6	Mujer	1945,8149837602
05	Cinco Villas	4	Separado	6	Mujer	219,7215068692
05	Cinco Villas	5	Divorciado	6	Mujer	265,4897389852
06	Hoya de Huesca / Plana de Uesca	1	Soltero	6	Mujer	7857,3318486316
06	Hoya de Huesca / Plana de Uesca	2	Casado	6	Mujer	15601,7532358421
06	Hoya de Huesca / Plana de Uesca	3	Viudo	6	Mujer	3643,0320801335
06	Hoya de Huesca / Plana de Uesca	4	Separado	6	Mujer	444,6373914853
06	Hoya de Huesca / Plana de Uesca	5	Divorciado	6	Mujer	1250,0994593542
07	Somontano de Barbastro	1	Soltero	6	Mujer	2807,6364114623
07	Somontano de Barbastro	2	Casado	6	Mujer	5313,5163038874
07	Somontano de Barbastro	3	Viudo	6	Mujer	1671,4328412746
07	Somontano de Barbastro	4	Separado	6	Mujer	151,5259479039
07	Somontano de Barbastro	5	Divorciado	6	Mujer	329,1887969647
08	Cinca Medio	1	Soltero	6	Mujer	2185,8899221468
08	Cinca Medio	2	Casado	6	Mujer	5724,0457598523
08	Cinca Medio	3	Viudo	6	Mujer	1459,0215955452
08	Cinca Medio	4	Separado	6	Mujer	93,6774709725
08	Cinca Medio	5	Divorciado	6	Mujer	384,534991547
09	La Litera / La Llitera	1	Soltero	6	Mujer	1537,6163004719
09	La Litera / La Llitera	2	Casado	6	Mujer	4573,4638021355
09	La Litera / La Llitera	3	Viudo	6	Mujer	1354,2769666712
09	La Litera / La Llitera	4	Separado	6	Mujer	44,7242910057
09	La Litera / La Llitera	5	Divorciado	6	Mujer	188,9146714475
10	Los Monegros	1	Soltero	6	Mujer	1990,8661398027
10	Los Monegros	2	Casado	6	Mujer	5032,1173214389
10	Los Monegros	3	Viudo	6	Mujer	1471,8021073749
10	Los Monegros	4	Separado	6	Mujer	73,009129873
10	Los Monegros	5	Divorciado	6	Mujer	126,4863197256
11	Bajo Cinca / Baix Cinca	1	Soltero	6	Mujer	2284,1236597077
11	Bajo Cinca / Baix Cinca	2	Casado	6	Mujer	6235,575553895
11	Bajo Cinca / Baix Cinca	3	Viudo	6	Mujer	1357,1080672093
11	Bajo Cinca / Baix Cinca	4	Separado	6	Mujer	78,5306815763
11	Bajo Cinca / Baix Cinca	5	Divorciado	6	Mujer	198,5300329099
12	Tarazona y el Moncayo	1	Soltero	6	Mujer	1537,8131099112
12	Tarazona y el Moncayo	2	Casado	6	Mujer	3552,7144805856
12	Tarazona y el Moncayo	3	Viudo	6	Mujer	855,2762144346
12	Tarazona y el Moncayo	4	Separado	6	Mujer	50,294207048
12	Tarazona y el Moncayo	5	Divorciado	6	Mujer	170,1532727928
13	Campo de Borja	1	Soltero	6	Mujer	1359,0843478133
13	Campo de Borja	2	Casado	6	Mujer	3690,9082860411
13	Campo de Borja	3	Viudo	6	Mujer	801,3486470192
13	Campo de Borja	4	Separado	6	Mujer	57,4259485108
13	Campo de Borja	5	Divorciado	6	Mujer	139,0625523321
14	Aranda	1	Soltero	6	Mujer	659,0248926586
14	Aranda	2	Casado	6	Mujer	1962,2142039546
14	Aranda	3	Viudo	6	Mujer	413,8749106708
14	Aranda	4	Separado	6	Mujer	34,3541487332
14	Aranda	5	Divorciado	6	Mujer	37,9221542017
15	Ribera Alta del Ebro	1	Soltero	6	Mujer	2456,9676612234
15	Ribera Alta del Ebro	2	Casado	6	Mujer	6896,3671909726
15	Ribera Alta del Ebro	3	Viudo	6	Mujer	1328,9037550665
15	Ribera Alta del Ebro	4	Separado	6	Mujer	123,0355078356
15	Ribera Alta del Ebro	5	Divorciado	6	Mujer	324,3058880886
16	Valdejalón	1	Soltero	6	Mujer	2714,1615787707
16	Valdejalón	2	Casado	6	Mujer	7077,4977846695
16	Valdejalón	3	Viudo	6	Mujer	1512,5096001357
16	Valdejalón	4	Separado	6	Mujer	81,716161569
16	Valdejalón	5	Divorciado	6	Mujer	357,2891637301
17	D.C. Zaragoza	1	Soltero	6	Mujer	94123,1099091875
17	D.C. Zaragoza	2	Casado	6	Mujer	173966,983525657
17	D.C. Zaragoza	3	Viudo	6	Mujer	39301,1880878284
17	D.C. Zaragoza	4	Separado	6	Mujer	5596,4408037669
17	D.C. Zaragoza	5	Divorciado	6	Mujer	12814,7466994617
18	Ribera Baja del Ebro	1	Soltero	6	Mujer	854,9319331453
18	Ribera Baja del Ebro	2	Casado	6	Mujer	2375,7679602322
18	Ribera Baja del Ebro	3	Viudo	6	Mujer	583,7117794658
18	Ribera Baja del Ebro	4	Separado	6	Mujer	45,4908433437
18	Ribera Baja del Ebro	5	Divorciado	6	Mujer	105,2631318779
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1	Soltero	6	Mujer	1377,9714698189
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2	Casado	6	Mujer	3528,9359846218
19	Bajo Aragón-Caspe / Baix Aragó-Casp	3	Viudo	6	Mujer	923,6109173122
19	Bajo Aragón-Caspe / Baix Aragó-Casp	4	Separado	6	Mujer	69,4682308556
19	Bajo Aragón-Caspe / Baix Aragó-Casp	5	Divorciado	6	Mujer	121,8733096536
20	Comunidad de Calatayud	1	Soltero	6	Mujer	4224,5654188135
20	Comunidad de Calatayud	2	Casado	6	Mujer	9563,8420397103
20	Comunidad de Calatayud	3	Viudo	6	Mujer	2649,7961470363
20	Comunidad de Calatayud	4	Separado	6	Mujer	209,3546027698
20	Comunidad de Calatayud	5	Divorciado	6	Mujer	529,4489577226
21	Campo de Cariñena	1	Soltero	6	Mujer	1023,8507962443
21	Campo de Cariñena	2	Casado	6	Mujer	2658,2232930442
21	Campo de Cariñena	3	Viudo	6	Mujer	685,7638963385
21	Campo de Cariñena	4	Separado	6	Mujer	31,6866193157
21	Campo de Cariñena	5	Divorciado	6	Mujer	67,2088804086
22	Campo de Belchite	1	Soltero	6	Mujer	409,9500879329
22	Campo de Belchite	2	Casado	6	Mujer	1317,4942154152
22	Campo de Belchite	3	Viudo	6	Mujer	367,6773226219
22	Campo de Belchite	4	Separado	6	Mujer	4,1486989994
22	Campo de Belchite	5	Divorciado	6	Mujer	33,2235494657
23	Bajo Martín	1	Soltero	6	Mujer	586,4931627711
23	Bajo Martín	2	Casado	6	Mujer	1811,6374722733
23	Bajo Martín	3	Viudo	6	Mujer	549,282321905
23	Bajo Martín	4	Separado	6	Mujer	11,4190572883
23	Bajo Martín	5	Divorciado	6	Mujer	40,873723258
24	Campo de Daroca	1	Soltero	6	Mujer	534,9166442741
24	Campo de Daroca	2	Casado	6	Mujer	1595,2932811078
24	Campo de Daroca	3	Viudo	6	Mujer	377,0912004193
24	Campo de Daroca	4	Separado	6	Mujer	6,7204460487
24	Campo de Daroca	5	Divorciado	6	Mujer	42,3002629609
25	Jiloca	1	Soltero	6	Mujer	1102,4576524799
25	Jiloca	2	Casado	6	Mujer	3393,5233487447
25	Jiloca	3	Viudo	6	Mujer	911,367927389
25	Jiloca	4	Separado	6	Mujer	24,6948624929
25	Jiloca	5	Divorciado	6	Mujer	101,4466097073
26	Cuencas Mineras	1	Soltero	6	Mujer	788,6501607726
26	Cuencas Mineras	2	Casado	6	Mujer	2249,0604880584
26	Cuencas Mineras	3	Viudo	6	Mujer	470,4432406344
26	Cuencas Mineras	4	Separado	6	Mujer	63,9194995029
26	Cuencas Mineras	5	Divorciado	6	Mujer	33,5318988553
27	Andorra-Sierra de Arcos	1	Soltero	6	Mujer	1031,7517360067
27	Andorra-Sierra de Arcos	2	Casado	6	Mujer	2745,3526638472
27	Andorra-Sierra de Arcos	3	Viudo	6	Mujer	723,760958359
27	Andorra-Sierra de Arcos	4	Separado	6	Mujer	31,1765953442
27	Andorra-Sierra de Arcos	5	Divorciado	6	Mujer	100,3807125345
28	Bajo Aragón	1	Soltero	6	Mujer	2996,3049255083
28	Bajo Aragón	2	Casado	6	Mujer	7396,6021630462
28	Bajo Aragón	3	Viudo	6	Mujer	1551,5332173833
28	Bajo Aragón	4	Separado	6	Mujer	173,0511900434
28	Bajo Aragón	5	Divorciado	6	Mujer	255,1635346706
29	Comunidad de Teruel	1	Soltero	6	Mujer	5436,5180134132
29	Comunidad de Teruel	2	Casado	6	Mujer	11137,313636149
29	Comunidad de Teruel	3	Viudo	6	Mujer	2376,1315169482
29	Comunidad de Teruel	4	Separado	6	Mujer	160,2129826533
29	Comunidad de Teruel	5	Divorciado	6	Mujer	573,1597475794
30	Maestrazgo	1	Soltero	6	Mujer	337,434972959
30	Maestrazgo	2	Casado	6	Mujer	815,3847040622
30	Maestrazgo	3	Viudo	6	Mujer	270,3500910024
30	Maestrazgo	4	Separado	6	Mujer	7,915357626
30	Maestrazgo	5	Divorciado	6	Mujer	21,4313806523
31	Sierra de Albarracín	1	Soltero	6	Mujer	451,6523198761
31	Sierra de Albarracín	2	Casado	6	Mujer	1151,1449959626
31	Sierra de Albarracín	3	Viudo	6	Mujer	266,5930967338
31	Sierra de Albarracín	4	Separado	6	Mujer	20,5841955732
31	Sierra de Albarracín	5	Divorciado	6	Mujer	33,6825525987
32	Gúdar-Javalambre	1	Soltero	6	Mujer	802,1828615939
32	Gúdar-Javalambre	2	Casado	6	Mujer	1885,0158535639
32	Gúdar-Javalambre	3	Viudo	6	Mujer	451,9213184886
32	Gúdar-Javalambre	4	Separado	6	Mujer	31,7256992993
32	Gúdar-Javalambre	5	Divorciado	6	Mujer	55,7612146895
33	Matarraña / Matarranya	1	Soltero	6	Mujer	753,77683473
33	Matarraña / Matarranya	2	Casado	6	Mujer	2117,1981763667
33	Matarraña / Matarranya	3	Viudo	6	Mujer	598,050982197
33	Matarraña / Matarranya	4	Separado	6	Mujer	25,37940623
33	Matarraña / Matarranya	5	Divorciado	6	Mujer	72,6559237553
