Provincia codigo	Provincia nombre	Grado, código	Grado	Sexo, código	Sexo	Grandes grupos, código	Grandes grupos	Personas
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	5	85 y más	23,003891415
44	Teruel	2	Analfabetos o sin estudios	1	Hombre	1	De 16 a 25	176,0143603652
44	Teruel	2	Analfabetos o sin estudios	1	Hombre	2	De 26 a 45	634,5541732749
44	Teruel	2	Analfabetos o sin estudios	1	Hombre	3	De 46 a 64	807,0781606631
44	Teruel	2	Analfabetos o sin estudios	1	Hombre	4	De 65 a 84	3845,5448851764
44	Teruel	2	Analfabetos o sin estudios	1	Hombre	5	85 y más	766,6112239131
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	1	De 16 a 25	6138,7946691876
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	2	De 26 a 45	9801,6102582523
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	3	De 46 a 64	13683,3536368554
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	4	De 65 a 84	22204,8284898726
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	1	Hombre	5	85 y más	3156,0949056445
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	1	De 16 a 25	37173,9948966388
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	2	De 26 a 45	107764,494623959
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	3	De 46 a 64	78219,6725050181
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	4	De 65 a 84	25979,4837943051
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	1	Hombre	5	85 y más	1838,7500048749
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	1	De 16 a 25	3824,8222961731
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	2	De 26 a 45	38774,9690830656
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	3	De 46 a 64	22889,1533805818
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	4	De 65 a 84	7459,0399003182
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	1	Hombre	5	85 y más	403,7216233827
50	Zaragoza	2	Analfabetos o sin estudios	1	Hombre	1	De 16 a 25	809,1138955486
50	Zaragoza	2	Analfabetos o sin estudios	1	Hombre	2	De 26 a 45	2508,6246191697
50	Zaragoza	2	Analfabetos o sin estudios	1	Hombre	3	De 46 a 64	3185,7490869943
50	Zaragoza	2	Analfabetos o sin estudios	1	Hombre	4	De 65 a 84	13413,0777537091
50	Zaragoza	2	Analfabetos o sin estudios	1	Hombre	5	85 y más	3307,0100004535
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	6	Mujer	1	De 16 a 25	831,9458091173
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	6	Mujer	2	De 26 a 45	1803,2612484866
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	6	Mujer	3	De 46 a 64	3603,3075478897
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	6	Mujer	4	De 65 a 84	7866,1657473429
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	6	Mujer	5	85 y más	1679,2049572922
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	6	Mujer	1	De 16 a 25	7902,7522848995
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	6	Mujer	2	De 26 a 45	17420,0171151195
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	6	Mujer	3	De 46 a 64	17592,61695221
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	6	Mujer	4	De 65 a 84	6196,2042406601
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	6	Mujer	5	85 y más	782,9468864418
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	6	Mujer	1	De 16 a 25	1795,8967357243
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	6	Mujer	2	De 26 a 45	10444,1130567478
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	6	Mujer	3	De 46 a 64	4898,9575021214
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	6	Mujer	4	De 65 a 84	916,1088327935
22	Huesca	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	6	Mujer	5	85 y más	147,0285884072
22	Huesca	2	Analfabetos o sin estudios	6	Mujer	1	De 16 a 25	331,0281630296
22	Huesca	2	Analfabetos o sin estudios	6	Mujer	2	De 26 a 45	994,9260560961
22	Huesca	2	Analfabetos o sin estudios	6	Mujer	3	De 46 a 64	996,9890147828
22	Huesca	2	Analfabetos o sin estudios	6	Mujer	4	De 65 a 84	5603,3567744542
22	Huesca	2	Analfabetos o sin estudios	6	Mujer	5	85 y más	2268,1120248169
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	6	Mujer	1	De 16 a 25	633,4645084085
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	6	Mujer	2	De 26 a 45	929,4362452495
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	6	Mujer	3	De 46 a 64	2517,5120377881
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	6	Mujer	4	De 65 a 84	5192,4103663539
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	6	Mujer	5	85 y más	874,5124602858
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	6	Mujer	1	De 16 a 25	5549,5004664432
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	6	Mujer	2	De 26 a 45	11622,1711466015
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	6	Mujer	3	De 46 a 64	10821,8021402666
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	6	Mujer	4	De 65 a 84	4141,6352302969
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	6	Mujer	5	85 y más	316,8977686446
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	6	Mujer	1	De 16 a 25	1141,5055703786
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	6	Mujer	2	De 26 a 45	4930,6400205949
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	6	Mujer	3	De 46 a 64	2081,0126133892
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	6	Mujer	4	De 65 a 84	325,1297034275
44	Teruel	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	6	Mujer	5	85 y más	19,510827416
44	Teruel	2	Analfabetos o sin estudios	6	Mujer	1	De 16 a 25	278,3744248294
44	Teruel	2	Analfabetos o sin estudios	6	Mujer	2	De 26 a 45	396,3507406054
44	Teruel	2	Analfabetos o sin estudios	6	Mujer	3	De 46 a 64	837,8866669793
44	Teruel	2	Analfabetos o sin estudios	6	Mujer	4	De 65 a 84	4877,909345963
44	Teruel	2	Analfabetos o sin estudios	6	Mujer	5	85 y más	1509,3946736582
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	6	Mujer	1	De 16 a 25	3855,6067852264
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	6	Mujer	2	De 26 a 45	7499,9004932743
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	6	Mujer	3	De 46 a 64	17018,155042446
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	6	Mujer	4	De 65 a 84	32370,836657586
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Primer grado	6	Mujer	5	85 y más	5901,4549351985
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	6	Mujer	1	De 16 a 25	34268,2835941086
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	6	Mujer	2	De 26 a 45	84369,8538628839
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	6	Mujer	3	De 46 a 64	74914,2322456418
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	6	Mujer	4	De 65 a 84	29678,6378257169
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Segundo grado	6	Mujer	5	85 y más	2396,3598233116
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	6	Mujer	1	De 16 a 25	7797,4350840499
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	6	Mujer	2	De 26 a 45	53111,5994471646
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	6	Mujer	3	De 46 a 64	23732,0027672836
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	6	Mujer	4	De 65 a 84	4835,8228834965
50	Zaragoza	"""Censo 2011"".""Estado civil y estudios (Persona)"".""Grado, código"""	Tercer grado	6	Mujer	5	85 y más	627,9386338261
50	Zaragoza	2	Analfabetos o sin estudios	6	Mujer	1	De 16 a 25	646,3825092666
50	Zaragoza	2	Analfabetos o sin estudios	6	Mujer	2	De 26 a 45	2385,9111689591
50	Zaragoza	2	Analfabetos o sin estudios	6	Mujer	3	De 46 a 64	4003,7470781199
50	Zaragoza	2	Analfabetos o sin estudios	6	Mujer	4	De 65 a 84	20238,8143771529
50	Zaragoza	2	Analfabetos o sin estudios	6	Mujer	5	85 y más	7389,9029521167
