Año	Dirección Provincial Código	Dirección Provincial Nombre	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción
2016	22	Huesca	43	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2016	44	Teruel	41	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2016	44	Teruel	36	10	Industria de la alimentación
2016	22	Huesca	33	10	Industria de la alimentación
2016	22	Huesca	33	55	Servicios de alojamiento
2016	22	Huesca	25	81	Servicios a edificios y actividades de jardinería
2016	22	Huesca	25	88	Actividades de servicios sociales sin alojamiento
2016	44	Teruel	24	55	Servicios de alojamiento
2016	44	Teruel	20	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2016	44	Teruel	9	29	Fabricación de vehículos de motor, remolques y semirremolques
2016	44	Teruel	9	81	Servicios a edificios y actividades de jardinería
2015	50	Zaragoza	452	86	Actividades sanitarias
2015	50	Zaragoza	392	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2015	50	Zaragoza	354	87	Asistencia en establecimientos residenciales
2015	50	Zaragoza	304	56	Servicios de comidas y bebidas
2015	50	Zaragoza	234	84	Administración Pública y defensa; Seguridad Social obligatoria
2015	50	Zaragoza	132	81	Servicios a edificios y actividades de jardinería
2015	50	Zaragoza	113	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2015	50	Zaragoza	91	52	Almacenamiento y actividades anexas al transporte
2015	50	Zaragoza	83	10	Industria de la alimentación
2015	22	Huesca	69	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2015	22	Huesca	66	86	Actividades sanitarias
2015	50	Zaragoza	64	85	Educación
2015	22	Huesca	57	56	Servicios de comidas y bebidas
2015	22	Huesca	52	87	Asistencia en establecimientos residenciales
2015	22	Huesca	51	84	Administración Pública y defensa; Seguridad Social obligatoria
2015	22	Huesca	40	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2015	22	Huesca	37	55	Servicios de alojamiento
2015	44	Teruel	31	87	Asistencia en establecimientos residenciales
2015	44	Teruel	28	86	Actividades sanitarias
2015	22	Huesca	25	88	Actividades de servicios sociales sin alojamiento
2015	22	Huesca	23	10	Industria de la alimentación
2015	44	Teruel	22	56	Servicios de comidas y bebidas
2015	44	Teruel	21	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2015	44	Teruel	20	84	Administración Pública y defensa; Seguridad Social obligatoria
2015	22	Huesca	19	81	Servicios a edificios y actividades de jardinería
2015	44	Teruel	17	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2015	44	Teruel	13	10	Industria de la alimentación
2015	44	Teruel	13	55	Servicios de alojamiento
2015	44	Teruel	12	88	Actividades de servicios sociales sin alojamiento
2015	44	Teruel	6	29	Fabricación de vehículos de motor, remolques y semirremolques
2015	44	Teruel	6	81	Servicios a edificios y actividades de jardinería
2014	50	Zaragoza	390	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2014	50	Zaragoza	376	86	Actividades sanitarias
2014	50	Zaragoza	287	87	Asistencia en establecimientos residenciales
2014	50	Zaragoza	257	56	Servicios de comidas y bebidas
2014	50	Zaragoza	200	84	Administración Pública y defensa; Seguridad Social obligatoria
2014	50	Zaragoza	112	81	Servicios a edificios y actividades de jardinería
2014	50	Zaragoza	95	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2014	50	Zaragoza	90	52	Almacenamiento y actividades anexas al transporte
2014	50	Zaragoza	84	10	Industria de la alimentación
2014	22	Huesca	68	87	Asistencia en establecimientos residenciales
2014	50	Zaragoza	68	85	Educación
2014	22	Huesca	59	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2014	22	Huesca	59	84	Administración Pública y defensa; Seguridad Social obligatoria
2014	22	Huesca	56	56	Servicios de comidas y bebidas
2014	22	Huesca	47	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2014	22	Huesca	44	86	Actividades sanitarias
2014	44	Teruel	34	84	Administración Pública y defensa; Seguridad Social obligatoria
2014	44	Teruel	34	87	Asistencia en establecimientos residenciales
2014	22	Huesca	30	55	Servicios de alojamiento
2014	44	Teruel	29	56	Servicios de comidas y bebidas
2014	22	Huesca	27	88	Actividades de servicios sociales sin alojamiento
2014	44	Teruel	27	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2014	44	Teruel	26	86	Actividades sanitarias
2014	22	Huesca	22	10	Industria de la alimentación
2014	22	Huesca	20	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2014	22	Huesca	20	93	Actividades deportivas, recreativas y de entretenimiento
2014	44	Teruel	17	10	Industria de la alimentación
2014	44	Teruel	17	55	Servicios de alojamiento
2014	44	Teruel	16	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2014	44	Teruel	12	29	Fabricación de vehículos de motor, remolques y semirremolques
2014	44	Teruel	9	53	Actividades postales y de correos
2013	50	Zaragoza	394	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2013	50	Zaragoza	392	86	Actividades sanitarias
2013	50	Zaragoza	293	87	Asistencia en establecimientos residenciales
2013	50	Zaragoza	246	56	Servicios de comidas y bebidas
2013	50	Zaragoza	204	84	Administración Pública y defensa; Seguridad Social obligatoria
2013	50	Zaragoza	103	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2013	50	Zaragoza	97	81	Servicios a edificios y actividades de jardinería
2013	50	Zaragoza	91	10	Industria de la alimentación
2013	22	Huesca	71	87	Asistencia en establecimientos residenciales
2013	22	Huesca	65	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2013	50	Zaragoza	61	85	Educación
2013	50	Zaragoza	56	29	Fabricación de vehículos de motor, remolques y semirremolques
2013	22	Huesca	55	84	Administración Pública y defensa; Seguridad Social obligatoria
2013	22	Huesca	49	56	Servicios de comidas y bebidas
2013	22	Huesca	49	86	Actividades sanitarias
2013	44	Teruel	41	84	Administración Pública y defensa; Seguridad Social obligatoria
2013	44	Teruel	35	87	Asistencia en establecimientos residenciales
2013	22	Huesca	34	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2013	22	Huesca	28	10	Industria de la alimentación
2013	44	Teruel	27	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2013	44	Teruel	26	86	Actividades sanitarias
2013	44	Teruel	20	10	Industria de la alimentación
2013	22	Huesca	19	55	Servicios de alojamiento
2013	22	Huesca	18	81	Servicios a edificios y actividades de jardinería
2013	44	Teruel	18	56	Servicios de comidas y bebidas
2013	22	Huesca	16	88	Actividades de servicios sociales sin alojamiento
2013	44	Teruel	12	55	Servicios de alojamiento
2013	44	Teruel	12	81	Servicios a edificios y actividades de jardinería
2013	44	Teruel	11	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2013	44	Teruel	9	29	Fabricación de vehículos de motor, remolques y semirremolques
2012	50	Zaragoza	416	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2012	50	Zaragoza	280	86	Actividades sanitarias
2012	50	Zaragoza	237	87	Asistencia en establecimientos residenciales
2012	50	Zaragoza	227	56	Servicios de comidas y bebidas
2012	50	Zaragoza	142	84	Administración Pública y defensa; Seguridad Social obligatoria
2012	50	Zaragoza	124	81	Servicios a edificios y actividades de jardinería
2012	50	Zaragoza	90	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2012	50	Zaragoza	75	10	Industria de la alimentación
2012	50	Zaragoza	64	85	Educación
2012	22	Huesca	59	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2012	22	Huesca	47	87	Asistencia en establecimientos residenciales
2012	22	Huesca	46	56	Servicios de comidas y bebidas
2012	50	Zaragoza	43	29	Fabricación de vehículos de motor, remolques y semirremolques
2012	50	Zaragoza	43	53	Actividades postales y de correos
2012	50	Zaragoza	43	96	Otros servicios personales
2012	22	Huesca	36	84	Administración Pública y defensa; Seguridad Social obligatoria
2012	22	Huesca	36	86	Actividades sanitarias
2012	44	Teruel	32	87	Asistencia en establecimientos residenciales
2012	44	Teruel	30	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2012	44	Teruel	30	84	Administración Pública y defensa; Seguridad Social obligatoria
2012	22	Huesca	26	55	Servicios de alojamiento
2012	22	Huesca	23	10	Industria de la alimentación
2012	22	Huesca	22	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2012	22	Huesca	21	81	Servicios a edificios y actividades de jardinería
2012	44	Teruel	20	56	Servicios de comidas y bebidas
2012	22	Huesca	17	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2012	44	Teruel	17	86	Actividades sanitarias
2012	44	Teruel	15	10	Industria de la alimentación
2012	44	Teruel	15	55	Servicios de alojamiento
2012	44	Teruel	12	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2012	44	Teruel	12	81	Servicios a edificios y actividades de jardinería
2012	44	Teruel	7	29	Fabricación de vehículos de motor, remolques y semirremolques
2011	50	Zaragoza	495	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2011	50	Zaragoza	334	86	Actividades sanitarias
2011	50	Zaragoza	303	56	Servicios de comidas y bebidas
2011	50	Zaragoza	286	87	Asistencia en establecimientos residenciales
2011	50	Zaragoza	187	84	Administración Pública y defensa; Seguridad Social obligatoria
2011	50	Zaragoza	167	81	Servicios a edificios y actividades de jardinería
2011	50	Zaragoza	119	29	Fabricación de vehículos de motor, remolques y semirremolques
2011	50	Zaragoza	105	10	Industria de la alimentación
2011	50	Zaragoza	96	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2011	22	Huesca	73	56	Servicios de comidas y bebidas
2011	50	Zaragoza	62	52	Almacenamiento y actividades anexas al transporte
2011	22	Huesca	55	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2011	22	Huesca	44	87	Asistencia en establecimientos residenciales
2011	22	Huesca	39	84	Administración Pública y defensa; Seguridad Social obligatoria
2011	44	Teruel	35	84	Administración Pública y defensa; Seguridad Social obligatoria
2011	22	Huesca	33	86	Actividades sanitarias
2011	44	Teruel	33	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2011	44	Teruel	30	87	Asistencia en establecimientos residenciales
2011	22	Huesca	29	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2011	44	Teruel	27	56	Servicios de comidas y bebidas
2011	22	Huesca	26	55	Servicios de alojamiento
2011	22	Huesca	25	10	Industria de la alimentación
2011	44	Teruel	25	10	Industria de la alimentación
2011	44	Teruel	24	86	Actividades sanitarias
2011	22	Huesca	23	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2011	44	Teruel	23	29	Fabricación de vehículos de motor, remolques y semirremolques
2011	22	Huesca	19	88	Actividades de servicios sociales sin alojamiento
2011	44	Teruel	18	81	Servicios a edificios y actividades de jardinería
2011	44	Teruel	14	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2011	44	Teruel	14	85	Educación
2010	50	Zaragoza	576	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2010	50	Zaragoza	340	86	Actividades sanitarias
2010	50	Zaragoza	258	56	Servicios de comidas y bebidas
2010	50	Zaragoza	239	87	Asistencia en establecimientos residenciales
2010	50	Zaragoza	191	84	Administración Pública y defensa; Seguridad Social obligatoria
2010	50	Zaragoza	170	81	Servicios a edificios y actividades de jardinería
2010	50	Zaragoza	143	22	Fabricación de productos de caucho y plásticos
2010	50	Zaragoza	118	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2010	50	Zaragoza	99	29	Fabricación de vehículos de motor, remolques y semirremolques
2010	50	Zaragoza	99	85	Educación
2010	22	Huesca	87	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2010	22	Huesca	63	56	Servicios de comidas y bebidas
2010	44	Teruel	51	87	Asistencia en establecimientos residenciales
2010	44	Teruel	39	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2010	22	Huesca	37	86	Actividades sanitarias
2010	44	Teruel	37	84	Administración Pública y defensa; Seguridad Social obligatoria
2010	22	Huesca	36	84	Administración Pública y defensa; Seguridad Social obligatoria
2010	22	Huesca	35	55	Servicios de alojamiento
2010	22	Huesca	34	88	Actividades de servicios sociales sin alojamiento
2010	22	Huesca	33	87	Asistencia en establecimientos residenciales
2010	44	Teruel	30	10	Industria de la alimentación
2010	44	Teruel	30	56	Servicios de comidas y bebidas
2010	22	Huesca	27	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2010	22	Huesca	24	81	Servicios a edificios y actividades de jardinería
2010	44	Teruel	22	86	Actividades sanitarias
2010	22	Huesca	21	10	Industria de la alimentación
2010	44	Teruel	21	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2010	44	Teruel	17	29	Fabricación de vehículos de motor, remolques y semirremolques
2010	44	Teruel	15	81	Servicios a edificios y actividades de jardinería
2010	44	Teruel	14	23	Fabricación de otros productos minerales no metálicos
2009	50	Zaragoza	564	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2009	50	Zaragoza	330	86	Actividades sanitarias
2009	50	Zaragoza	319	56	Servicios de comidas y bebidas
2009	50	Zaragoza	215	87	Asistencia en establecimientos residenciales
2009	50	Zaragoza	214	81	Servicios a edificios y actividades de jardinería
2009	50	Zaragoza	175	84	Administración Pública y defensa; Seguridad Social obligatoria
2009	50	Zaragoza	112	10	Industria de la alimentación
2009	50	Zaragoza	109	22	Fabricación de productos de caucho y plásticos
2009	50	Zaragoza	105	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas
2009	50	Zaragoza	102	29	Fabricación de vehículos de motor, remolques y semirremolques
2009	22	Huesca	84	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2009	22	Huesca	56	56	Servicios de comidas y bebidas
2009	22	Huesca	50	86	Actividades sanitarias
2009	44	Teruel	45	47	Comercio al por menor, excepto de vehículos de motor y motocicletas
2009	22	Huesca	43	84	Administración Pública y defensa; Seguridad Social obligatoria
2009	22	Huesca	41	87	Asistencia en establecimientos residenciales
2009	22	Huesca	37	55	Servicios de alojamiento
2009	44	Teruel	37	87	Asistencia en establecimientos residenciales
2009	22	Huesca	28	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2009	44	Teruel	28	84	Administración Pública y defensa; Seguridad Social obligatoria
2009	44	Teruel	28	86	Actividades sanitarias
2009	22	Huesca	26	10	Industria de la alimentación
2009	44	Teruel	24	10	Industria de la alimentación
2009	22	Huesca	23	88	Actividades de servicios sociales sin alojamiento
2009	44	Teruel	21	56	Servicios de comidas y bebidas
2009	44	Teruel	19	01	Agricultura, ganadería, caza y servicios relacionados con las mismas
2009	22	Huesca	17	81	Servicios a edificios y actividades de jardinería
2009	44	Teruel	17	55	Servicios de alojamiento
2009	44	Teruel	14	23	Fabricación de otros productos minerales no metálicos
2009	44	Teruel	14	88	Actividades de servicios sociales sin alojamiento
