Provincia código	Provincia nombre	Sexo	Edad	Nivel estudios (agregado)	Personas residentes viviendas familiares
22	Huesca	Mujeres	75 a 79	Segundo grado	560
22	Huesca	Mujeres	75 a 79	Tercer grado	106
22	Huesca	Mujeres	80 a 84	Analfabetos	154
22	Huesca	Mujeres	80 a 84	Sin estudios	1384
22	Huesca	Mujeres	80 a 84	Primer grado	1962
22	Huesca	Mujeres	80 a 84	Segundo grado	296
22	Huesca	Mujeres	80 a 84	Tercer grado	49
22	Huesca	Mujeres	85 a 90	Analfabetos	115
22	Huesca	Mujeres	85 a 90	Sin estudios	978
22	Huesca	Mujeres	85 a 90	Primer grado	1050
22	Huesca	Mujeres	85 a 90	Segundo grado	125
22	Huesca	Mujeres	85 a 90	Tercer grado	37
22	Huesca	Mujeres	90 ó más	Analfabetos	97
22	Huesca	Mujeres	90 ó más	Sin estudios	469
22	Huesca	Mujeres	90 ó más	Primer grado	427
22	Huesca	Mujeres	90 ó más	Segundo grado	44
22	Huesca	Mujeres	90 ó más	Tercer grado	11
22	Huesca	Hombres	16 a 19	Analfabetos	15
22	Huesca	Hombres	16 a 19	Sin estudios	75
22	Huesca	Hombres	16 a 19	Primer grado	905
22	Huesca	Hombres	16 a 19	Segundo grado	3467
22	Huesca	Hombres	20 a 24	Analfabetos	58
22	Huesca	Hombres	20 a 24	Sin estudios	115
22	Huesca	Hombres	20 a 24	Primer grado	609
22	Huesca	Hombres	20 a 24	Segundo grado	5521
22	Huesca	Hombres	20 a 24	Tercer grado	829
22	Huesca	Hombres	25 a 29	Analfabetos	90
22	Huesca	Hombres	25 a 29	Sin estudios	173
22	Huesca	Hombres	25 a 29	Primer grado	667
22	Huesca	Hombres	25 a 29	Segundo grado	5119
22	Huesca	Hombres	25 a 29	Tercer grado	1728
22	Huesca	Hombres	30 a 34	Analfabetos	54
22	Huesca	Hombres	30 a 34	Sin estudios	190
22	Huesca	Hombres	30 a 34	Primer grado	816
22	Huesca	Hombres	30 a 34	Segundo grado	5230
22	Huesca	Hombres	30 a 34	Tercer grado	1532
22	Huesca	Hombres	35 a 39	Analfabetos	53
22	Huesca	Hombres	35 a 39	Sin estudios	179
22	Huesca	Hombres	35 a 39	Primer grado	1011
22	Huesca	Hombres	35 a 39	Segundo grado	5834
22	Huesca	Hombres	35 a 39	Tercer grado	1343
22	Huesca	Hombres	40 a 44	Analfabetos	48
22	Huesca	Hombres	40 a 44	Sin estudios	181
22	Huesca	Hombres	40 a 44	Primer grado	1163
22	Huesca	Hombres	40 a 44	Segundo grado	5229
22	Huesca	Hombres	40 a 44	Tercer grado	1291
22	Huesca	Hombres	45 a 49	Analfabetos	34
22	Huesca	Hombres	45 a 49	Sin estudios	177
22	Huesca	Hombres	45 a 49	Primer grado	1571
22	Huesca	Hombres	45 a 49	Segundo grado	4191
22	Huesca	Hombres	45 a 49	Tercer grado	1044
22	Huesca	Hombres	50 a 54	Analfabetos	21
22	Huesca	Hombres	50 a 54	Sin estudios	236
22	Huesca	Hombres	50 a 54	Primer grado	1912
22	Huesca	Hombres	50 a 54	Segundo grado	3241
22	Huesca	Hombres	50 a 54	Tercer grado	765
22	Huesca	Hombres	55 a 59	Analfabetos	30
22	Huesca	Hombres	55 a 59	Sin estudios	320
22	Huesca	Hombres	55 a 59	Primer grado	2183
22	Huesca	Hombres	55 a 59	Segundo grado	2618
22	Huesca	Hombres	55 a 59	Tercer grado	498
22	Huesca	Hombres	60 a 64	Analfabetos	48
22	Huesca	Hombres	60 a 64	Sin estudios	544
22	Huesca	Hombres	60 a 64	Primer grado	2269
22	Huesca	Hombres	60 a 64	Segundo grado	1543
22	Huesca	Hombres	60 a 64	Tercer grado	291
22	Huesca	Hombres	65 a 69	Analfabetos	81
22	Huesca	Hombres	65 a 69	Sin estudios	1017
22	Huesca	Hombres	65 a 69	Primer grado	3506
22	Huesca	Hombres	65 a 69	Segundo grado	1332
22	Huesca	Hombres	65 a 69	Tercer grado	264
22	Huesca	Hombres	70 a 74	Analfabetos	76
22	Huesca	Hombres	70 a 74	Sin estudios	1434
22	Huesca	Hombres	70 a 74	Primer grado	3277
22	Huesca	Hombres	70 a 74	Segundo grado	949
22	Huesca	Hombres	70 a 74	Tercer grado	220
22	Huesca	Hombres	75 a 79	Analfabetos	71
22	Huesca	Hombres	75 a 79	Sin estudios	1452
22	Huesca	Hombres	75 a 79	Primer grado	2826
22	Huesca	Hombres	75 a 79	Segundo grado	579
22	Huesca	Hombres	75 a 79	Tercer grado	138
22	Huesca	Hombres	80 a 84	Analfabetos	41
22	Huesca	Hombres	80 a 84	Sin estudios	963
22	Huesca	Hombres	80 a 84	Primer grado	1438
22	Huesca	Hombres	80 a 84	Segundo grado	254
22	Huesca	Hombres	80 a 84	Tercer grado	57
22	Huesca	Hombres	85 a 90	Analfabetos	18
22	Huesca	Hombres	85 a 90	Sin estudios	534
22	Huesca	Hombres	85 a 90	Primer grado	669
22	Huesca	Hombres	85 a 90	Segundo grado	123
22	Huesca	Hombres	85 a 90	Tercer grado	35
22	Huesca	Hombres	90 ó más	Analfabetos	22
22	Huesca	Hombres	90 ó más	Sin estudios	275
22	Huesca	Hombres	90 ó más	Primer grado	261
22	Huesca	Hombres	90 ó más	Segundo grado	34
22	Huesca	Hombres	90 ó más	Tercer grado	6
44	Teruel	Mujeres	16 a 19	Analfabetos	6
44	Teruel	Mujeres	16 a 19	Sin estudios	20
44	Teruel	Mujeres	16 a 19	Primer grado	419
44	Teruel	Mujeres	16 a 19	Segundo grado	2253
44	Teruel	Mujeres	20 a 24	Analfabetos	14
44	Teruel	Mujeres	20 a 24	Sin estudios	33
44	Teruel	Mujeres	20 a 24	Primer grado	154
44	Teruel	Mujeres	20 a 24	Segundo grado	2804
44	Teruel	Mujeres	20 a 24	Tercer grado	795
44	Teruel	Mujeres	25 a 29	Analfabetos	23
44	Teruel	Mujeres	25 a 29	Sin estudios	45
44	Teruel	Mujeres	25 a 29	Primer grado	200
44	Teruel	Mujeres	25 a 29	Segundo grado	2408
44	Teruel	Mujeres	25 a 29	Tercer grado	1438
44	Teruel	Mujeres	30 a 34	Analfabetos	29
44	Teruel	Mujeres	30 a 34	Sin estudios	68
44	Teruel	Mujeres	30 a 34	Primer grado	355
44	Teruel	Mujeres	30 a 34	Segundo grado	2812
44	Teruel	Mujeres	30 a 34	Tercer grado	1157
44	Teruel	Mujeres	35 a 39	Analfabetos	24
44	Teruel	Mujeres	35 a 39	Sin estudios	52
44	Teruel	Mujeres	35 a 39	Primer grado	541
44	Teruel	Mujeres	35 a 39	Segundo grado	3231
44	Teruel	Mujeres	35 a 39	Tercer grado	953
44	Teruel	Mujeres	40 a 44	Analfabetos	22
44	Teruel	Mujeres	40 a 44	Sin estudios	85
44	Teruel	Mujeres	40 a 44	Primer grado	854
44	Teruel	Mujeres	40 a 44	Segundo grado	2729
44	Teruel	Mujeres	40 a 44	Tercer grado	787
44	Teruel	Mujeres	45 a 49	Analfabetos	22
44	Teruel	Mujeres	45 a 49	Sin estudios	162
44	Teruel	Mujeres	45 a 49	Primer grado	1218
44	Teruel	Mujeres	45 a 49	Segundo grado	1849
44	Teruel	Mujeres	45 a 49	Tercer grado	456
44	Teruel	Mujeres	50 a 54	Analfabetos	35
44	Teruel	Mujeres	50 a 54	Sin estudios	273
44	Teruel	Mujeres	50 a 54	Primer grado	1486
44	Teruel	Mujeres	50 a 54	Segundo grado	1351
44	Teruel	Mujeres	50 a 54	Tercer grado	234
44	Teruel	Mujeres	55 a 59	Analfabetos	39
44	Teruel	Mujeres	55 a 59	Sin estudios	454
44	Teruel	Mujeres	55 a 59	Primer grado	1720
44	Teruel	Mujeres	55 a 59	Segundo grado	995
44	Teruel	Mujeres	55 a 59	Tercer grado	116
44	Teruel	Mujeres	60 a 64	Analfabetos	53
44	Teruel	Mujeres	60 a 64	Sin estudios	687
44	Teruel	Mujeres	60 a 64	Primer grado	1796
44	Teruel	Mujeres	60 a 64	Segundo grado	638
44	Teruel	Mujeres	60 a 64	Tercer grado	83
44	Teruel	Mujeres	65 a 69	Analfabetos	121
44	Teruel	Mujeres	65 a 69	Sin estudios	1398
44	Teruel	Mujeres	65 a 69	Primer grado	2546
44	Teruel	Mujeres	65 a 69	Segundo grado	606
44	Teruel	Mujeres	65 a 69	Tercer grado	79
44	Teruel	Mujeres	70 a 74	Analfabetos	180
44	Teruel	Mujeres	70 a 74	Sin estudios	1693
44	Teruel	Mujeres	70 a 74	Primer grado	2430
44	Teruel	Mujeres	70 a 74	Segundo grado	425
44	Teruel	Mujeres	70 a 74	Tercer grado	59
44	Teruel	Mujeres	75 a 79	Analfabetos	181
44	Teruel	Mujeres	75 a 79	Sin estudios	1631
44	Teruel	Mujeres	75 a 79	Primer grado	1921
44	Teruel	Mujeres	75 a 79	Segundo grado	333
44	Teruel	Mujeres	75 a 79	Tercer grado	28
44	Teruel	Mujeres	80 a 84	Analfabetos	195
44	Teruel	Mujeres	80 a 84	Sin estudios	1192
44	Teruel	Mujeres	80 a 84	Primer grado	1127
44	Teruel	Mujeres	80 a 84	Segundo grado	145
44	Teruel	Mujeres	80 a 84	Tercer grado	18
44	Teruel	Mujeres	85 a 90	Analfabetos	203
44	Teruel	Mujeres	85 a 90	Sin estudios	751
44	Teruel	Mujeres	85 a 90	Primer grado	589
44	Teruel	Mujeres	85 a 90	Segundo grado	64
44	Teruel	Mujeres	85 a 90	Tercer grado	17
44	Teruel	Mujeres	90 ó más	Analfabetos	193
44	Teruel	Mujeres	90 ó más	Sin estudios	375
44	Teruel	Mujeres	90 ó más	Primer grado	266
44	Teruel	Mujeres	90 ó más	Segundo grado	15
44	Teruel	Mujeres	90 ó más	Tercer grado	5
44	Teruel	Hombres	16 a 19	Analfabetos	11
44	Teruel	Hombres	16 a 19	Sin estudios	32
44	Teruel	Hombres	16 a 19	Primer grado	672
44	Teruel	Hombres	16 a 19	Segundo grado	2152
44	Teruel	Hombres	20 a 24	Analfabetos	23
44	Teruel	Hombres	20 a 24	Sin estudios	45
44	Teruel	Hombres	20 a 24	Primer grado	335
44	Teruel	Hombres	20 a 24	Segundo grado	3566
44	Teruel	Hombres	20 a 24	Tercer grado	389
44	Teruel	Hombres	25 a 29	Analfabetos	34
44	Teruel	Hombres	25 a 29	Sin estudios	71
44	Teruel	Hombres	25 a 29	Primer grado	423
44	Teruel	Hombres	25 a 29	Segundo grado	3264
44	Teruel	Hombres	25 a 29	Tercer grado	839
44	Teruel	Hombres	30 a 34	Analfabetos	22
44	Teruel	Hombres	30 a 34	Sin estudios	71
44	Teruel	Hombres	30 a 34	Primer grado	546
44	Teruel	Hombres	30 a 34	Segundo grado	3376
44	Teruel	Hombres	30 a 34	Tercer grado	734
44	Teruel	Hombres	35 a 39	Analfabetos	35
44	Teruel	Hombres	35 a 39	Sin estudios	107
44	Teruel	Hombres	35 a 39	Primer grado	810
44	Teruel	Hombres	35 a 39	Segundo grado	3730
44	Teruel	Hombres	35 a 39	Tercer grado	698
44	Teruel	Hombres	40 a 44	Analfabetos	36
44	Teruel	Hombres	40 a 44	Sin estudios	147
44	Teruel	Hombres	40 a 44	Primer grado	1019
44	Teruel	Hombres	40 a 44	Segundo grado	3378
44	Teruel	Hombres	40 a 44	Tercer grado	750
44	Teruel	Hombres	45 a 49	Analfabetos	22
44	Teruel	Hombres	45 a 49	Sin estudios	178
44	Teruel	Hombres	45 a 49	Primer grado	1288
44	Teruel	Hombres	45 a 49	Segundo grado	2317
44	Teruel	Hombres	45 a 49	Tercer grado	610
44	Teruel	Hombres	50 a 54	Analfabetos	20
44	Teruel	Hombres	50 a 54	Sin estudios	276
44	Teruel	Hombres	50 a 54	Primer grado	1589
44	Teruel	Hombres	50 a 54	Segundo grado	1621
44	Teruel	Hombres	50 a 54	Tercer grado	339
44	Teruel	Hombres	55 a 59	Analfabetos	27
44	Teruel	Hombres	55 a 59	Sin estudios	401
44	Teruel	Hombres	55 a 59	Primer grado	1656
44	Teruel	Hombres	55 a 59	Segundo grado	1177
44	Teruel	Hombres	55 a 59	Tercer grado	214
44	Teruel	Hombres	60 a 64	Analfabetos	42
44	Teruel	Hombres	60 a 64	Sin estudios	590
44	Teruel	Hombres	60 a 64	Primer grado	1653
44	Teruel	Hombres	60 a 64	Segundo grado	766
44	Teruel	Hombres	60 a 64	Tercer grado	104
44	Teruel	Hombres	65 a 69	Analfabetos	67
44	Teruel	Hombres	65 a 69	Sin estudios	1182
44	Teruel	Hombres	65 a 69	Primer grado	2355
44	Teruel	Hombres	65 a 69	Segundo grado	788
44	Teruel	Hombres	65 a 69	Tercer grado	119
44	Teruel	Hombres	70 a 74	Analfabetos	90
44	Teruel	Hombres	70 a 74	Sin estudios	1661
44	Teruel	Hombres	70 a 74	Primer grado	2294
44	Teruel	Hombres	70 a 74	Segundo grado	502
44	Teruel	Hombres	70 a 74	Tercer grado	96
44	Teruel	Hombres	75 a 79	Analfabetos	82
44	Teruel	Hombres	75 a 79	Sin estudios	1470
44	Teruel	Hombres	75 a 79	Primer grado	1716
44	Teruel	Hombres	75 a 79	Segundo grado	363
44	Teruel	Hombres	75 a 79	Tercer grado	35
44	Teruel	Hombres	80 a 84	Analfabetos	65
44	Teruel	Hombres	80 a 84	Sin estudios	876
44	Teruel	Hombres	80 a 84	Primer grado	842
44	Teruel	Hombres	80 a 84	Segundo grado	173
44	Teruel	Hombres	80 a 84	Tercer grado	26
44	Teruel	Hombres	85 a 90	Analfabetos	48
44	Teruel	Hombres	85 a 90	Sin estudios	462
44	Teruel	Hombres	85 a 90	Primer grado	375
44	Teruel	Hombres	85 a 90	Segundo grado	66
44	Teruel	Hombres	85 a 90	Tercer grado	15
44	Teruel	Hombres	90 ó más	Analfabetos	26
44	Teruel	Hombres	90 ó más	Sin estudios	243
44	Teruel	Hombres	90 ó más	Primer grado	155
44	Teruel	Hombres	90 ó más	Segundo grado	23
44	Teruel	Hombres	90 ó más	Tercer grado	3
50	Zaragoza	Mujeres	16 a 19	Analfabetos	42
50	Zaragoza	Mujeres	16 a 19	Sin estudios	280
50	Zaragoza	Mujeres	16 a 19	Primer grado	2259
50	Zaragoza	Mujeres	16 a 19	Segundo grado	15411
50	Zaragoza	Mujeres	20 a 24	Analfabetos	120
50	Zaragoza	Mujeres	20 a 24	Sin estudios	367
50	Zaragoza	Mujeres	20 a 24	Primer grado	1521
50	Zaragoza	Mujeres	20 a 24	Segundo grado	21016
50	Zaragoza	Mujeres	20 a 24	Tercer grado	7160
50	Zaragoza	Mujeres	25 a 29	Analfabetos	142
50	Zaragoza	Mujeres	25 a 29	Sin estudios	436
50	Zaragoza	Mujeres	25 a 29	Primer grado	1803
50	Zaragoza	Mujeres	25 a 29	Segundo grado	18698
50	Zaragoza	Mujeres	25 a 29	Tercer grado	12976
50	Zaragoza	Mujeres	30 a 34	Analfabetos	184
50	Zaragoza	Mujeres	30 a 34	Sin estudios	509
50	Zaragoza	Mujeres	30 a 34	Primer grado	2309
50	Zaragoza	Mujeres	30 a 34	Segundo grado	19724
50	Zaragoza	Mujeres	30 a 34	Tercer grado	10190
50	Zaragoza	Mujeres	35 a 39	Analfabetos	232
50	Zaragoza	Mujeres	35 a 39	Sin estudios	585
50	Zaragoza	Mujeres	35 a 39	Primer grado	3144
50	Zaragoza	Mujeres	35 a 39	Segundo grado	20630
50	Zaragoza	Mujeres	35 a 39	Tercer grado	8373
50	Zaragoza	Mujeres	40 a 44	Analfabetos	221
50	Zaragoza	Mujeres	40 a 44	Sin estudios	754
50	Zaragoza	Mujeres	40 a 44	Primer grado	4675
50	Zaragoza	Mujeres	40 a 44	Segundo grado	19307
50	Zaragoza	Mujeres	40 a 44	Tercer grado	6951
50	Zaragoza	Mujeres	45 a 49	Analfabetos	203
50	Zaragoza	Mujeres	45 a 49	Sin estudios	968
50	Zaragoza	Mujeres	45 a 49	Primer grado	6028
50	Zaragoza	Mujeres	45 a 49	Segundo grado	16622
50	Zaragoza	Mujeres	45 a 49	Tercer grado	4769
50	Zaragoza	Mujeres	50 a 54	Analfabetos	226
50	Zaragoza	Mujeres	50 a 54	Sin estudios	1559
50	Zaragoza	Mujeres	50 a 54	Primer grado	8254
50	Zaragoza	Mujeres	50 a 54	Segundo grado	14357
50	Zaragoza	Mujeres	50 a 54	Tercer grado	3114
50	Zaragoza	Mujeres	55 a 59	Analfabetos	261
50	Zaragoza	Mujeres	55 a 59	Sin estudios	2430
50	Zaragoza	Mujeres	55 a 59	Primer grado	9532
50	Zaragoza	Mujeres	55 a 59	Segundo grado	11063
50	Zaragoza	Mujeres	55 a 59	Tercer grado	2076
50	Zaragoza	Mujeres	60 a 64	Analfabetos	365
50	Zaragoza	Mujeres	60 a 64	Sin estudios	3253
50	Zaragoza	Mujeres	60 a 64	Primer grado	9439
50	Zaragoza	Mujeres	60 a 64	Segundo grado	6629
50	Zaragoza	Mujeres	60 a 64	Tercer grado	1116
50	Zaragoza	Mujeres	65 a 69	Analfabetos	668
50	Zaragoza	Mujeres	65 a 69	Sin estudios	5632
50	Zaragoza	Mujeres	65 a 69	Primer grado	12503
50	Zaragoza	Mujeres	65 a 69	Segundo grado	5894
50	Zaragoza	Mujeres	65 a 69	Tercer grado	877
50	Zaragoza	Mujeres	70 a 74	Analfabetos	700
50	Zaragoza	Mujeres	70 a 74	Sin estudios	6939
50	Zaragoza	Mujeres	70 a 74	Primer grado	11710
50	Zaragoza	Mujeres	70 a 74	Segundo grado	4294
50	Zaragoza	Mujeres	70 a 74	Tercer grado	671
50	Zaragoza	Mujeres	75 a 79	Analfabetos	757
50	Zaragoza	Mujeres	75 a 79	Sin estudios	6708
50	Zaragoza	Mujeres	75 a 79	Primer grado	9730
50	Zaragoza	Mujeres	75 a 79	Segundo grado	2897
50	Zaragoza	Mujeres	75 a 79	Tercer grado	491
50	Zaragoza	Mujeres	80 a 84	Analfabetos	719
50	Zaragoza	Mujeres	80 a 84	Sin estudios	5063
50	Zaragoza	Mujeres	80 a 84	Primer grado	5925
50	Zaragoza	Mujeres	80 a 84	Segundo grado	1788
50	Zaragoza	Mujeres	80 a 84	Tercer grado	328
50	Zaragoza	Mujeres	85 a 90	Analfabetos	572
50	Zaragoza	Mujeres	85 a 90	Sin estudios	2861
50	Zaragoza	Mujeres	85 a 90	Primer grado	2894
50	Zaragoza	Mujeres	85 a 90	Segundo grado	863
50	Zaragoza	Mujeres	85 a 90	Tercer grado	187
50	Zaragoza	Mujeres	90 ó más	Analfabetos	524
50	Zaragoza	Mujeres	90 ó más	Sin estudios	1373
50	Zaragoza	Mujeres	90 ó más	Primer grado	1278
50	Zaragoza	Mujeres	90 ó más	Segundo grado	302
50	Zaragoza	Mujeres	90 ó más	Tercer grado	64
50	Zaragoza	Hombres	16 a 19	Analfabetos	74
50	Zaragoza	Hombres	16 a 19	Sin estudios	389
50	Zaragoza	Hombres	16 a 19	Primer grado	3500
50	Zaragoza	Hombres	16 a 19	Segundo grado	15300
50	Zaragoza	Hombres	20 a 24	Analfabetos	103
50	Zaragoza	Hombres	20 a 24	Sin estudios	416
50	Zaragoza	Hombres	20 a 24	Primer grado	2377
50	Zaragoza	Hombres	20 a 24	Segundo grado	24153
50	Zaragoza	Hombres	20 a 24	Tercer grado	4134
50	Zaragoza	Hombres	25 a 29	Analfabetos	195
50	Zaragoza	Hombres	25 a 29	Sin estudios	575
50	Zaragoza	Hombres	25 a 29	Primer grado	2960
50	Zaragoza	Hombres	25 a 29	Segundo grado	23652
50	Zaragoza	Hombres	25 a 29	Tercer grado	9417
50	Zaragoza	Hombres	30 a 34	Analfabetos	209
50	Zaragoza	Hombres	30 a 34	Sin estudios	606
50	Zaragoza	Hombres	30 a 34	Primer grado	3303
50	Zaragoza	Hombres	30 a 34	Segundo grado	22974
50	Zaragoza	Hombres	30 a 34	Tercer grado	7912
50	Zaragoza	Hombres	35 a 39	Analfabetos	200
50	Zaragoza	Hombres	35 a 39	Sin estudios	682
50	Zaragoza	Hombres	35 a 39	Primer grado	3830
50	Zaragoza	Hombres	35 a 39	Segundo grado	22917
50	Zaragoza	Hombres	35 a 39	Tercer grado	6833
50	Zaragoza	Hombres	40 a 44	Analfabetos	197
50	Zaragoza	Hombres	40 a 44	Sin estudios	795
50	Zaragoza	Hombres	40 a 44	Primer grado	4428
50	Zaragoza	Hombres	40 a 44	Segundo grado	20209
50	Zaragoza	Hombres	40 a 44	Tercer grado	6367
50	Zaragoza	Hombres	45 a 49	Analfabetos	205
50	Zaragoza	Hombres	45 a 49	Sin estudios	889
50	Zaragoza	Hombres	45 a 49	Primer grado	5292
50	Zaragoza	Hombres	45 a 49	Segundo grado	16730
50	Zaragoza	Hombres	45 a 49	Tercer grado	5147
50	Zaragoza	Hombres	50 a 54	Analfabetos	175
50	Zaragoza	Hombres	50 a 54	Sin estudios	1232
50	Zaragoza	Hombres	50 a 54	Primer grado	6308
50	Zaragoza	Hombres	50 a 54	Segundo grado	14834
50	Zaragoza	Hombres	50 a 54	Tercer grado	4205
50	Zaragoza	Hombres	55 a 59	Analfabetos	170
50	Zaragoza	Hombres	55 a 59	Sin estudios	1820
50	Zaragoza	Hombres	55 a 59	Primer grado	7397
50	Zaragoza	Hombres	55 a 59	Segundo grado	12105
50	Zaragoza	Hombres	55 a 59	Tercer grado	3304
50	Zaragoza	Hombres	60 a 64	Analfabetos	187
50	Zaragoza	Hombres	60 a 64	Sin estudios	2613
50	Zaragoza	Hombres	60 a 64	Primer grado	7673
50	Zaragoza	Hombres	60 a 64	Segundo grado	7249
50	Zaragoza	Hombres	60 a 64	Tercer grado	1928
50	Zaragoza	Hombres	65 a 69	Analfabetos	280
50	Zaragoza	Hombres	65 a 69	Sin estudios	4449
50	Zaragoza	Hombres	65 a 69	Primer grado	10151
50	Zaragoza	Hombres	65 a 69	Segundo grado	6048
50	Zaragoza	Hombres	65 a 69	Tercer grado	1625
50	Zaragoza	Hombres	70 a 74	Analfabetos	324
50	Zaragoza	Hombres	70 a 74	Sin estudios	5338
50	Zaragoza	Hombres	70 a 74	Primer grado	9017
50	Zaragoza	Hombres	70 a 74	Segundo grado	4079
50	Zaragoza	Hombres	70 a 74	Tercer grado	1253
50	Zaragoza	Hombres	75 a 79	Analfabetos	307
50	Zaragoza	Hombres	75 a 79	Sin estudios	4543
50	Zaragoza	Hombres	75 a 79	Primer grado	6867
50	Zaragoza	Hombres	75 a 79	Segundo grado	2565
50	Zaragoza	Hombres	75 a 79	Tercer grado	770
50	Zaragoza	Hombres	80 a 84	Analfabetos	218
50	Zaragoza	Hombres	80 a 84	Sin estudios	2771
50	Zaragoza	Hombres	80 a 84	Primer grado	3561
50	Zaragoza	Hombres	80 a 84	Segundo grado	1344
50	Zaragoza	Hombres	80 a 84	Tercer grado	418
50	Zaragoza	Hombres	85 a 90	Analfabetos	103
50	Zaragoza	Hombres	85 a 90	Sin estudios	1327
50	Zaragoza	Hombres	85 a 90	Primer grado	1491
50	Zaragoza	Hombres	85 a 90	Segundo grado	569
50	Zaragoza	Hombres	85 a 90	Tercer grado	258
50	Zaragoza	Hombres	90 ó más	Analfabetos	76
50	Zaragoza	Hombres	90 ó más	Sin estudios	601
50	Zaragoza	Hombres	90 ó más	Primer grado	498
50	Zaragoza	Hombres	90 ó más	Segundo grado	142
50	Zaragoza	Hombres	90 ó más	Tercer grado	73
