Comarca código	Comarca nombre	Sexo	Edad	Nivel estudios (agregado)	Personas residentes viviendas familiares
01	La Jacetania	Mujeres	60 a 64	Segundo grado	105
01	La Jacetania	Mujeres	60 a 64	Tercer grado	28
01	La Jacetania	Mujeres	65 a 69	Analfabetos	8
01	La Jacetania	Mujeres	65 a 69	Sin estudios	57
01	La Jacetania	Mujeres	65 a 69	Primer grado	323
01	La Jacetania	Mujeres	65 a 69	Segundo grado	86
01	La Jacetania	Mujeres	65 a 69	Tercer grado	26
01	La Jacetania	Mujeres	70 a 74	Analfabetos	9
01	La Jacetania	Mujeres	70 a 74	Sin estudios	102
01	La Jacetania	Mujeres	70 a 74	Primer grado	325
01	La Jacetania	Mujeres	70 a 74	Segundo grado	76
01	La Jacetania	Mujeres	70 a 74	Tercer grado	19
01	La Jacetania	Mujeres	75 a 79	Analfabetos	7
01	La Jacetania	Mujeres	75 a 79	Sin estudios	99
01	La Jacetania	Mujeres	75 a 79	Primer grado	245
01	La Jacetania	Mujeres	75 a 79	Segundo grado	45
01	La Jacetania	Mujeres	75 a 79	Tercer grado	10
01	La Jacetania	Mujeres	80 a 84	Analfabetos	8
01	La Jacetania	Mujeres	80 a 84	Sin estudios	80
01	La Jacetania	Mujeres	80 a 84	Primer grado	169
01	La Jacetania	Mujeres	80 a 84	Segundo grado	25
01	La Jacetania	Mujeres	80 a 84	Tercer grado	7
01	La Jacetania	Mujeres	85 a 90	Analfabetos	4
01	La Jacetania	Mujeres	85 a 90	Sin estudios	54
01	La Jacetania	Mujeres	85 a 90	Primer grado	103
01	La Jacetania	Mujeres	85 a 90	Segundo grado	20
01	La Jacetania	Mujeres	85 a 90	Tercer grado	3
01	La Jacetania	Mujeres	90 ó más	Analfabetos	4
01	La Jacetania	Mujeres	90 ó más	Sin estudios	30
01	La Jacetania	Mujeres	90 ó más	Primer grado	52
01	La Jacetania	Mujeres	90 ó más	Segundo grado	7
01	La Jacetania	Hombres	16 a 19	Analfabetos	2
01	La Jacetania	Hombres	16 a 19	Sin estudios	3
01	La Jacetania	Hombres	16 a 19	Primer grado	61
01	La Jacetania	Hombres	16 a 19	Segundo grado	296
01	La Jacetania	Hombres	20 a 24	Analfabetos	2
01	La Jacetania	Hombres	20 a 24	Sin estudios	6
01	La Jacetania	Hombres	20 a 24	Primer grado	42
01	La Jacetania	Hombres	20 a 24	Segundo grado	437
01	La Jacetania	Hombres	20 a 24	Tercer grado	61
01	La Jacetania	Hombres	25 a 29	Analfabetos	5
01	La Jacetania	Hombres	25 a 29	Sin estudios	7
01	La Jacetania	Hombres	25 a 29	Primer grado	50
01	La Jacetania	Hombres	25 a 29	Segundo grado	424
01	La Jacetania	Hombres	25 a 29	Tercer grado	146
01	La Jacetania	Hombres	30 a 34	Analfabetos	4
01	La Jacetania	Hombres	30 a 34	Sin estudios	7
01	La Jacetania	Hombres	30 a 34	Primer grado	75
01	La Jacetania	Hombres	30 a 34	Segundo grado	434
01	La Jacetania	Hombres	30 a 34	Tercer grado	153
01	La Jacetania	Hombres	35 a 39	Analfabetos	1
01	La Jacetania	Hombres	35 a 39	Sin estudios	10
01	La Jacetania	Hombres	35 a 39	Primer grado	71
01	La Jacetania	Hombres	35 a 39	Segundo grado	509
01	La Jacetania	Hombres	35 a 39	Tercer grado	130
01	La Jacetania	Hombres	40 a 44	Analfabetos	1
01	La Jacetania	Hombres	40 a 44	Sin estudios	14
01	La Jacetania	Hombres	40 a 44	Primer grado	81
01	La Jacetania	Hombres	40 a 44	Segundo grado	468
01	La Jacetania	Hombres	40 a 44	Tercer grado	145
01	La Jacetania	Hombres	45 a 49	Analfabetos	3
01	La Jacetania	Hombres	45 a 49	Sin estudios	11
01	La Jacetania	Hombres	45 a 49	Primer grado	117
01	La Jacetania	Hombres	45 a 49	Segundo grado	338
01	La Jacetania	Hombres	45 a 49	Tercer grado	125
01	La Jacetania	Hombres	50 a 54	Analfabetos	1
01	La Jacetania	Hombres	50 a 54	Sin estudios	20
01	La Jacetania	Hombres	50 a 54	Primer grado	124
01	La Jacetania	Hombres	50 a 54	Segundo grado	252
01	La Jacetania	Hombres	50 a 54	Tercer grado	63
01	La Jacetania	Hombres	55 a 59	Analfabetos	6
01	La Jacetania	Hombres	55 a 59	Sin estudios	22
01	La Jacetania	Hombres	55 a 59	Primer grado	155
01	La Jacetania	Hombres	55 a 59	Segundo grado	218
01	La Jacetania	Hombres	55 a 59	Tercer grado	55
01	La Jacetania	Hombres	60 a 64	Analfabetos	5
01	La Jacetania	Hombres	60 a 64	Sin estudios	30
01	La Jacetania	Hombres	60 a 64	Primer grado	204
01	La Jacetania	Hombres	60 a 64	Segundo grado	136
01	La Jacetania	Hombres	60 a 64	Tercer grado	32
01	La Jacetania	Hombres	65 a 69	Analfabetos	5
01	La Jacetania	Hombres	65 a 69	Sin estudios	62
01	La Jacetania	Hombres	65 a 69	Primer grado	265
01	La Jacetania	Hombres	65 a 69	Segundo grado	126
01	La Jacetania	Hombres	65 a 69	Tercer grado	22
01	La Jacetania	Hombres	70 a 74	Analfabetos	9
01	La Jacetania	Hombres	70 a 74	Sin estudios	69
01	La Jacetania	Hombres	70 a 74	Primer grado	281
01	La Jacetania	Hombres	70 a 74	Segundo grado	81
01	La Jacetania	Hombres	70 a 74	Tercer grado	20
01	La Jacetania	Hombres	75 a 79	Analfabetos	10
01	La Jacetania	Hombres	75 a 79	Sin estudios	63
01	La Jacetania	Hombres	75 a 79	Primer grado	239
01	La Jacetania	Hombres	75 a 79	Segundo grado	42
01	La Jacetania	Hombres	75 a 79	Tercer grado	14
01	La Jacetania	Hombres	80 a 84	Sin estudios	47
01	La Jacetania	Hombres	80 a 84	Primer grado	118
01	La Jacetania	Hombres	80 a 84	Segundo grado	24
01	La Jacetania	Hombres	80 a 84	Tercer grado	4
01	La Jacetania	Hombres	85 a 90	Analfabetos	2
01	La Jacetania	Hombres	85 a 90	Sin estudios	33
01	La Jacetania	Hombres	85 a 90	Primer grado	58
01	La Jacetania	Hombres	85 a 90	Segundo grado	10
01	La Jacetania	Hombres	85 a 90	Tercer grado	4
01	La Jacetania	Hombres	90 ó más	Sin estudios	17
01	La Jacetania	Hombres	90 ó más	Primer grado	23
01	La Jacetania	Hombres	90 ó más	Segundo grado	5
01	La Jacetania	Hombres	90 ó más	Tercer grado	1
02	Alto Gállego	Mujeres	16 a 19	Sin estudios	1
02	Alto Gállego	Mujeres	16 a 19	Primer grado	31
02	Alto Gállego	Mujeres	16 a 19	Segundo grado	210
02	Alto Gállego	Mujeres	20 a 24	Analfabetos	1
02	Alto Gállego	Mujeres	20 a 24	Primer grado	21
02	Alto Gállego	Mujeres	20 a 24	Segundo grado	265
02	Alto Gállego	Mujeres	20 a 24	Tercer grado	106
02	Alto Gállego	Mujeres	25 a 29	Analfabetos	2
02	Alto Gállego	Mujeres	25 a 29	Sin estudios	3
02	Alto Gállego	Mujeres	25 a 29	Primer grado	22
02	Alto Gállego	Mujeres	25 a 29	Segundo grado	189
02	Alto Gállego	Mujeres	25 a 29	Tercer grado	179
02	Alto Gállego	Mujeres	30 a 34	Analfabetos	1
02	Alto Gállego	Mujeres	30 a 34	Sin estudios	1
02	Alto Gállego	Mujeres	30 a 34	Primer grado	25
02	Alto Gállego	Mujeres	30 a 34	Segundo grado	305
02	Alto Gállego	Mujeres	30 a 34	Tercer grado	180
02	Alto Gállego	Mujeres	35 a 39	Sin estudios	2
02	Alto Gállego	Mujeres	35 a 39	Primer grado	34
02	Alto Gállego	Mujeres	35 a 39	Segundo grado	296
02	Alto Gállego	Mujeres	35 a 39	Tercer grado	133
02	Alto Gállego	Mujeres	40 a 44	Analfabetos	1
02	Alto Gállego	Mujeres	40 a 44	Sin estudios	11
02	Alto Gállego	Mujeres	40 a 44	Primer grado	62
02	Alto Gállego	Mujeres	40 a 44	Segundo grado	312
02	Alto Gállego	Mujeres	40 a 44	Tercer grado	98
02	Alto Gállego	Mujeres	45 a 49	Analfabetos	4
02	Alto Gállego	Mujeres	45 a 49	Sin estudios	11
02	Alto Gállego	Mujeres	45 a 49	Primer grado	83
02	Alto Gállego	Mujeres	45 a 49	Segundo grado	236
02	Alto Gállego	Mujeres	45 a 49	Tercer grado	60
02	Alto Gállego	Mujeres	50 a 54	Analfabetos	1
02	Alto Gállego	Mujeres	50 a 54	Sin estudios	14
02	Alto Gállego	Mujeres	50 a 54	Primer grado	90
02	Alto Gállego	Mujeres	50 a 54	Segundo grado	163
02	Alto Gállego	Mujeres	50 a 54	Tercer grado	23
02	Alto Gállego	Mujeres	55 a 59	Analfabetos	1
02	Alto Gállego	Mujeres	55 a 59	Sin estudios	21
02	Alto Gállego	Mujeres	55 a 59	Primer grado	154
02	Alto Gállego	Mujeres	55 a 59	Segundo grado	127
02	Alto Gállego	Mujeres	55 a 59	Tercer grado	25
02	Alto Gállego	Mujeres	60 a 64	Analfabetos	1
02	Alto Gállego	Mujeres	60 a 64	Sin estudios	33
02	Alto Gállego	Mujeres	60 a 64	Primer grado	174
02	Alto Gállego	Mujeres	60 a 64	Segundo grado	75
02	Alto Gállego	Mujeres	60 a 64	Tercer grado	11
02	Alto Gállego	Mujeres	65 a 69	Analfabetos	5
02	Alto Gállego	Mujeres	65 a 69	Sin estudios	68
02	Alto Gállego	Mujeres	65 a 69	Primer grado	229
02	Alto Gállego	Mujeres	65 a 69	Segundo grado	52
02	Alto Gállego	Mujeres	65 a 69	Tercer grado	9
02	Alto Gállego	Mujeres	70 a 74	Analfabetos	9
02	Alto Gállego	Mujeres	70 a 74	Sin estudios	113
02	Alto Gállego	Mujeres	70 a 74	Primer grado	254
02	Alto Gállego	Mujeres	70 a 74	Segundo grado	32
02	Alto Gállego	Mujeres	70 a 74	Tercer grado	7
02	Alto Gállego	Mujeres	75 a 79	Analfabetos	7
02	Alto Gállego	Mujeres	75 a 79	Sin estudios	57
02	Alto Gállego	Mujeres	75 a 79	Primer grado	176
02	Alto Gállego	Mujeres	75 a 79	Segundo grado	24
02	Alto Gállego	Mujeres	75 a 79	Tercer grado	1
02	Alto Gállego	Mujeres	80 a 84	Analfabetos	11
02	Alto Gállego	Mujeres	80 a 84	Sin estudios	68
02	Alto Gállego	Mujeres	80 a 84	Primer grado	84
02	Alto Gállego	Mujeres	80 a 84	Segundo grado	10
02	Alto Gállego	Mujeres	80 a 84	Tercer grado	4
02	Alto Gállego	Mujeres	85 a 90	Analfabetos	11
02	Alto Gállego	Mujeres	85 a 90	Sin estudios	44
02	Alto Gállego	Mujeres	85 a 90	Primer grado	36
02	Alto Gállego	Mujeres	85 a 90	Segundo grado	4
02	Alto Gállego	Mujeres	85 a 90	Tercer grado	2
02	Alto Gállego	Mujeres	90 ó más	Analfabetos	3
02	Alto Gállego	Mujeres	90 ó más	Sin estudios	29
02	Alto Gállego	Mujeres	90 ó más	Primer grado	17
02	Alto Gállego	Mujeres	90 ó más	Segundo grado	1
02	Alto Gállego	Hombres	16 a 19	Sin estudios	2
02	Alto Gállego	Hombres	16 a 19	Primer grado	51
02	Alto Gállego	Hombres	16 a 19	Segundo grado	223
02	Alto Gállego	Hombres	20 a 24	Sin estudios	1
02	Alto Gállego	Hombres	20 a 24	Primer grado	38
02	Alto Gállego	Hombres	20 a 24	Segundo grado	328
02	Alto Gállego	Hombres	20 a 24	Tercer grado	59
02	Alto Gállego	Hombres	25 a 29	Analfabetos	3
02	Alto Gállego	Hombres	25 a 29	Sin estudios	6
02	Alto Gállego	Hombres	25 a 29	Primer grado	23
02	Alto Gállego	Hombres	25 a 29	Segundo grado	296
02	Alto Gállego	Hombres	25 a 29	Tercer grado	110
02	Alto Gállego	Hombres	30 a 34	Analfabetos	1
02	Alto Gállego	Hombres	30 a 34	Sin estudios	5
02	Alto Gállego	Hombres	30 a 34	Primer grado	32
02	Alto Gállego	Hombres	30 a 34	Segundo grado	319
02	Alto Gállego	Hombres	30 a 34	Tercer grado	113
02	Alto Gállego	Hombres	35 a 39	Analfabetos	2
02	Alto Gállego	Hombres	35 a 39	Sin estudios	9
02	Alto Gállego	Hombres	35 a 39	Primer grado	55
02	Alto Gállego	Hombres	35 a 39	Segundo grado	389
02	Alto Gállego	Hombres	35 a 39	Tercer grado	95
02	Alto Gállego	Hombres	40 a 44	Sin estudios	8
02	Alto Gállego	Hombres	40 a 44	Primer grado	68
02	Alto Gállego	Hombres	40 a 44	Segundo grado	389
02	Alto Gállego	Hombres	40 a 44	Tercer grado	79
02	Alto Gállego	Hombres	45 a 49	Analfabetos	1
02	Alto Gállego	Hombres	45 a 49	Sin estudios	7
02	Alto Gállego	Hombres	45 a 49	Primer grado	75
02	Alto Gállego	Hombres	45 a 49	Segundo grado	288
02	Alto Gállego	Hombres	45 a 49	Tercer grado	58
02	Alto Gállego	Hombres	50 a 54	Analfabetos	1
02	Alto Gállego	Hombres	50 a 54	Sin estudios	10
02	Alto Gállego	Hombres	50 a 54	Primer grado	115
02	Alto Gállego	Hombres	50 a 54	Segundo grado	177
02	Alto Gállego	Hombres	50 a 54	Tercer grado	58
02	Alto Gállego	Hombres	55 a 59	Sin estudios	19
02	Alto Gállego	Hombres	55 a 59	Primer grado	93
02	Alto Gállego	Hombres	55 a 59	Segundo grado	166
02	Alto Gállego	Hombres	55 a 59	Tercer grado	32
02	Alto Gállego	Hombres	60 a 64	Analfabetos	2
02	Alto Gállego	Hombres	60 a 64	Sin estudios	17
02	Alto Gállego	Hombres	60 a 64	Primer grado	118
02	Alto Gállego	Hombres	60 a 64	Segundo grado	90
02	Alto Gállego	Hombres	60 a 64	Tercer grado	16
02	Alto Gállego	Hombres	65 a 69	Analfabetos	5
02	Alto Gállego	Hombres	65 a 69	Sin estudios	48
02	Alto Gállego	Hombres	65 a 69	Primer grado	245
02	Alto Gállego	Hombres	65 a 69	Segundo grado	92
02	Alto Gállego	Hombres	65 a 69	Tercer grado	11
02	Alto Gállego	Hombres	70 a 74	Analfabetos	4
02	Alto Gállego	Hombres	70 a 74	Sin estudios	84
02	Alto Gállego	Hombres	70 a 74	Primer grado	243
02	Alto Gállego	Hombres	70 a 74	Segundo grado	69
02	Alto Gállego	Hombres	70 a 74	Tercer grado	6
02	Alto Gállego	Hombres	75 a 79	Analfabetos	1
02	Alto Gállego	Hombres	75 a 79	Sin estudios	74
02	Alto Gállego	Hombres	75 a 79	Primer grado	174
02	Alto Gállego	Hombres	75 a 79	Segundo grado	34
02	Alto Gállego	Hombres	75 a 79	Tercer grado	4
02	Alto Gállego	Hombres	80 a 84	Sin estudios	39
02	Alto Gállego	Hombres	80 a 84	Primer grado	83
02	Alto Gállego	Hombres	80 a 84	Segundo grado	10
02	Alto Gállego	Hombres	80 a 84	Tercer grado	3
02	Alto Gállego	Hombres	85 a 90	Sin estudios	18
02	Alto Gállego	Hombres	85 a 90	Primer grado	27
02	Alto Gállego	Hombres	85 a 90	Segundo grado	5
02	Alto Gállego	Hombres	90 ó más	Analfabetos	2
02	Alto Gállego	Hombres	90 ó más	Sin estudios	15
02	Alto Gállego	Hombres	90 ó más	Primer grado	10
02	Alto Gállego	Hombres	90 ó más	Segundo grado	1
02	Alto Gállego	Hombres	90 ó más	Tercer grado	1
03	Sobrarbe	Mujeres	16 a 19	Primer grado	13
03	Sobrarbe	Mujeres	16 a 19	Segundo grado	104
03	Sobrarbe	Mujeres	20 a 24	Primer grado	1
03	Sobrarbe	Mujeres	20 a 24	Segundo grado	113
03	Sobrarbe	Mujeres	20 a 24	Tercer grado	42
03	Sobrarbe	Mujeres	25 a 29	Sin estudios	2
03	Sobrarbe	Mujeres	25 a 29	Primer grado	8
03	Sobrarbe	Mujeres	25 a 29	Segundo grado	116
03	Sobrarbe	Mujeres	25 a 29	Tercer grado	78
03	Sobrarbe	Mujeres	30 a 34	Analfabetos	1
03	Sobrarbe	Mujeres	30 a 34	Sin estudios	2
03	Sobrarbe	Mujeres	30 a 34	Primer grado	12
03	Sobrarbe	Mujeres	30 a 34	Segundo grado	121
03	Sobrarbe	Mujeres	30 a 34	Tercer grado	73
03	Sobrarbe	Mujeres	35 a 39	Sin estudios	2
03	Sobrarbe	Mujeres	35 a 39	Primer grado	12
03	Sobrarbe	Mujeres	35 a 39	Segundo grado	164
03	Sobrarbe	Mujeres	35 a 39	Tercer grado	68
03	Sobrarbe	Mujeres	40 a 44	Sin estudios	2
03	Sobrarbe	Mujeres	40 a 44	Primer grado	23
03	Sobrarbe	Mujeres	40 a 44	Segundo grado	136
03	Sobrarbe	Mujeres	40 a 44	Tercer grado	51
03	Sobrarbe	Mujeres	45 a 49	Sin estudios	3
03	Sobrarbe	Mujeres	45 a 49	Primer grado	43
03	Sobrarbe	Mujeres	45 a 49	Segundo grado	127
03	Sobrarbe	Mujeres	45 a 49	Tercer grado	33
03	Sobrarbe	Mujeres	50 a 54	Analfabetos	2
03	Sobrarbe	Mujeres	50 a 54	Sin estudios	3
03	Sobrarbe	Mujeres	50 a 54	Primer grado	56
03	Sobrarbe	Mujeres	50 a 54	Segundo grado	99
03	Sobrarbe	Mujeres	50 a 54	Tercer grado	16
03	Sobrarbe	Mujeres	55 a 59	Analfabetos	1
03	Sobrarbe	Mujeres	55 a 59	Sin estudios	3
03	Sobrarbe	Mujeres	55 a 59	Primer grado	79
03	Sobrarbe	Mujeres	55 a 59	Segundo grado	60
03	Sobrarbe	Mujeres	55 a 59	Tercer grado	7
03	Sobrarbe	Mujeres	60 a 64	Analfabetos	3
03	Sobrarbe	Mujeres	60 a 64	Sin estudios	14
03	Sobrarbe	Mujeres	60 a 64	Primer grado	79
03	Sobrarbe	Mujeres	60 a 64	Segundo grado	45
03	Sobrarbe	Mujeres	60 a 64	Tercer grado	5
03	Sobrarbe	Mujeres	65 a 69	Analfabetos	3
03	Sobrarbe	Mujeres	65 a 69	Sin estudios	27
03	Sobrarbe	Mujeres	65 a 69	Primer grado	138
03	Sobrarbe	Mujeres	65 a 69	Segundo grado	56
03	Sobrarbe	Mujeres	65 a 69	Tercer grado	1
03	Sobrarbe	Mujeres	70 a 74	Analfabetos	4
03	Sobrarbe	Mujeres	70 a 74	Sin estudios	49
03	Sobrarbe	Mujeres	70 a 74	Primer grado	145
03	Sobrarbe	Mujeres	70 a 74	Segundo grado	31
03	Sobrarbe	Mujeres	70 a 74	Tercer grado	2
03	Sobrarbe	Mujeres	75 a 79	Analfabetos	1
03	Sobrarbe	Mujeres	75 a 79	Sin estudios	65
03	Sobrarbe	Mujeres	75 a 79	Primer grado	118
03	Sobrarbe	Mujeres	75 a 79	Segundo grado	27
03	Sobrarbe	Mujeres	75 a 79	Tercer grado	3
03	Sobrarbe	Mujeres	80 a 84	Analfabetos	4
03	Sobrarbe	Mujeres	80 a 84	Sin estudios	38
03	Sobrarbe	Mujeres	80 a 84	Primer grado	68
03	Sobrarbe	Mujeres	80 a 84	Segundo grado	17
03	Sobrarbe	Mujeres	80 a 84	Tercer grado	2
03	Sobrarbe	Mujeres	85 a 90	Analfabetos	4
03	Sobrarbe	Mujeres	85 a 90	Sin estudios	34
03	Sobrarbe	Mujeres	85 a 90	Primer grado	53
03	Sobrarbe	Mujeres	85 a 90	Segundo grado	3
03	Sobrarbe	Mujeres	85 a 90	Tercer grado	2
03	Sobrarbe	Mujeres	90 ó más	Analfabetos	1
03	Sobrarbe	Mujeres	90 ó más	Sin estudios	23
03	Sobrarbe	Mujeres	90 ó más	Primer grado	21
03	Sobrarbe	Mujeres	90 ó más	Segundo grado	6
03	Sobrarbe	Hombres	16 a 19	Sin estudios	1
03	Sobrarbe	Hombres	16 a 19	Primer grado	21
03	Sobrarbe	Hombres	16 a 19	Segundo grado	86
03	Sobrarbe	Hombres	20 a 24	Analfabetos	1
03	Sobrarbe	Hombres	20 a 24	Sin estudios	2
03	Sobrarbe	Hombres	20 a 24	Primer grado	10
03	Sobrarbe	Hombres	20 a 24	Segundo grado	150
03	Sobrarbe	Hombres	20 a 24	Tercer grado	23
03	Sobrarbe	Hombres	25 a 29	Sin estudios	2
03	Sobrarbe	Hombres	25 a 29	Primer grado	6
03	Sobrarbe	Hombres	25 a 29	Segundo grado	165
03	Sobrarbe	Hombres	25 a 29	Tercer grado	54
03	Sobrarbe	Hombres	30 a 34	Sin estudios	3
03	Sobrarbe	Hombres	30 a 34	Primer grado	16
03	Sobrarbe	Hombres	30 a 34	Segundo grado	191
03	Sobrarbe	Hombres	30 a 34	Tercer grado	54
03	Sobrarbe	Hombres	35 a 39	Sin estudios	5
03	Sobrarbe	Hombres	35 a 39	Primer grado	17
03	Sobrarbe	Hombres	35 a 39	Segundo grado	236
03	Sobrarbe	Hombres	35 a 39	Tercer grado	43
03	Sobrarbe	Hombres	40 a 44	Analfabetos	2
03	Sobrarbe	Hombres	40 a 44	Sin estudios	4
03	Sobrarbe	Hombres	40 a 44	Primer grado	36
03	Sobrarbe	Hombres	40 a 44	Segundo grado	239
03	Sobrarbe	Hombres	40 a 44	Tercer grado	34
03	Sobrarbe	Hombres	45 a 49	Analfabetos	1
03	Sobrarbe	Hombres	45 a 49	Sin estudios	3
03	Sobrarbe	Hombres	45 a 49	Primer grado	53
03	Sobrarbe	Hombres	45 a 49	Segundo grado	200
03	Sobrarbe	Hombres	45 a 49	Tercer grado	44
03	Sobrarbe	Hombres	50 a 54	Sin estudios	4
03	Sobrarbe	Hombres	50 a 54	Primer grado	62
03	Sobrarbe	Hombres	50 a 54	Segundo grado	122
03	Sobrarbe	Hombres	50 a 54	Tercer grado	18
03	Sobrarbe	Hombres	55 a 59	Analfabetos	2
03	Sobrarbe	Hombres	55 a 59	Sin estudios	8
03	Sobrarbe	Hombres	55 a 59	Primer grado	70
03	Sobrarbe	Hombres	55 a 59	Segundo grado	110
03	Sobrarbe	Hombres	55 a 59	Tercer grado	14
03	Sobrarbe	Hombres	60 a 64	Analfabetos	2
03	Sobrarbe	Hombres	60 a 64	Sin estudios	9
03	Sobrarbe	Hombres	60 a 64	Primer grado	72
03	Sobrarbe	Hombres	60 a 64	Segundo grado	63
03	Sobrarbe	Hombres	60 a 64	Tercer grado	4
03	Sobrarbe	Hombres	65 a 69	Analfabetos	1
03	Sobrarbe	Hombres	65 a 69	Sin estudios	28
03	Sobrarbe	Hombres	65 a 69	Primer grado	155
03	Sobrarbe	Hombres	65 a 69	Segundo grado	66
03	Sobrarbe	Hombres	65 a 69	Tercer grado	11
03	Sobrarbe	Hombres	70 a 74	Sin estudios	43
03	Sobrarbe	Hombres	70 a 74	Primer grado	139
03	Sobrarbe	Hombres	70 a 74	Segundo grado	49
03	Sobrarbe	Hombres	70 a 74	Tercer grado	1
03	Sobrarbe	Hombres	75 a 79	Analfabetos	2
03	Sobrarbe	Hombres	75 a 79	Sin estudios	51
03	Sobrarbe	Hombres	75 a 79	Primer grado	120
03	Sobrarbe	Hombres	75 a 79	Segundo grado	26
03	Sobrarbe	Hombres	75 a 79	Tercer grado	2
03	Sobrarbe	Hombres	80 a 84	Analfabetos	2
03	Sobrarbe	Hombres	80 a 84	Sin estudios	34
03	Sobrarbe	Hombres	80 a 84	Primer grado	59
03	Sobrarbe	Hombres	80 a 84	Segundo grado	12
03	Sobrarbe	Hombres	80 a 84	Tercer grado	1
03	Sobrarbe	Hombres	85 a 90	Sin estudios	21
03	Sobrarbe	Hombres	85 a 90	Primer grado	43
03	Sobrarbe	Hombres	85 a 90	Segundo grado	7
03	Sobrarbe	Hombres	85 a 90	Tercer grado	1
03	Sobrarbe	Hombres	90 ó más	Sin estudios	11
03	Sobrarbe	Hombres	90 ó más	Primer grado	17
03	Sobrarbe	Hombres	90 ó más	Segundo grado	2
04	La Ribagorza	Mujeres	16 a 19	Analfabetos	1
04	La Ribagorza	Mujeres	16 a 19	Primer grado	22
04	La Ribagorza	Mujeres	16 a 19	Segundo grado	172
04	La Ribagorza	Mujeres	20 a 24	Analfabetos	1
04	La Ribagorza	Mujeres	20 a 24	Primer grado	5
04	La Ribagorza	Mujeres	20 a 24	Segundo grado	230
04	La Ribagorza	Mujeres	20 a 24	Tercer grado	69
04	La Ribagorza	Mujeres	25 a 29	Sin estudios	2
04	La Ribagorza	Mujeres	25 a 29	Primer grado	17
04	La Ribagorza	Mujeres	25 a 29	Segundo grado	169
04	La Ribagorza	Mujeres	25 a 29	Tercer grado	157
04	La Ribagorza	Mujeres	30 a 34	Sin estudios	2
04	La Ribagorza	Mujeres	30 a 34	Primer grado	23
04	La Ribagorza	Mujeres	30 a 34	Segundo grado	257
04	La Ribagorza	Mujeres	30 a 34	Tercer grado	152
04	La Ribagorza	Mujeres	35 a 39	Analfabetos	1
04	La Ribagorza	Mujeres	35 a 39	Sin estudios	1
04	La Ribagorza	Mujeres	35 a 39	Primer grado	42
04	La Ribagorza	Mujeres	35 a 39	Segundo grado	231
04	La Ribagorza	Mujeres	35 a 39	Tercer grado	108
04	La Ribagorza	Mujeres	40 a 44	Analfabetos	4
04	La Ribagorza	Mujeres	40 a 44	Sin estudios	4
04	La Ribagorza	Mujeres	40 a 44	Primer grado	63
