Comarca código	Comarca nombre	Sexo	Nacionalidad Continente codigo	Nacionalidad Continente	Año	Saldo migratorio
07	Somontano de Barbastro	Hombres	2	África	2019	46
07	Somontano de Barbastro	Hombres	3	América	2019	49
07	Somontano de Barbastro	Hombres	4	Asia	2019	12
07	Somontano de Barbastro	Mujeres	1	Europa	2019	56
07	Somontano de Barbastro	Mujeres	2	África	2019	24
07	Somontano de Barbastro	Mujeres	3	América	2019	78
07	Somontano de Barbastro	Mujeres	4	Asia	2019	5
08	Cinca Medio	Hombres	1	Europa	2019	9
08	Cinca Medio	Hombres	2	África	2019	115
08	Cinca Medio	Hombres	3	América	2019	60
08	Cinca Medio	Hombres	4	Asia	2019	2
08	Cinca Medio	Mujeres	1	Europa	2019	-24
08	Cinca Medio	Mujeres	2	África	2019	38
08	Cinca Medio	Mujeres	3	América	2019	80
08	Cinca Medio	Mujeres	4	Asia	2019	3
09	La Litera / La Llitera	Hombres	1	Europa	2019	63
09	La Litera / La Llitera	Hombres	2	África	2019	119
09	La Litera / La Llitera	Hombres	3	América	2019	56
09	La Litera / La Llitera	Hombres	4	Asia	2019	6
09	La Litera / La Llitera	Hombres	5	Otros continentes	2019	6
09	La Litera / La Llitera	Mujeres	1	Europa	2019	7
09	La Litera / La Llitera	Mujeres	2	África	2019	26
09	La Litera / La Llitera	Mujeres	3	América	2019	68
09	La Litera / La Llitera	Mujeres	4	Asia	2019	2
09	La Litera / La Llitera	Mujeres	5	Otros continentes	2019	9
10	Los Monegros	Hombres	1	Europa	2019	-4
10	Los Monegros	Hombres	2	África	2019	40
10	Los Monegros	Hombres	3	América	2019	37
10	Los Monegros	Hombres	4	Asia	2019	8
10	Los Monegros	Mujeres	1	Europa	2019	18
10	Los Monegros	Mujeres	2	África	2019	8
10	Los Monegros	Mujeres	3	América	2019	37
11	Bajo Cinca / Baix Cinca	Hombres	1	Europa	2019	39
11	Bajo Cinca / Baix Cinca	Hombres	2	África	2019	276
11	Bajo Cinca / Baix Cinca	Hombres	3	América	2019	21
11	Bajo Cinca / Baix Cinca	Hombres	4	Asia	2019	10
11	Bajo Cinca / Baix Cinca	Mujeres	1	Europa	2019	73
11	Bajo Cinca / Baix Cinca	Mujeres	2	África	2019	39
11	Bajo Cinca / Baix Cinca	Mujeres	3	América	2019	28
11	Bajo Cinca / Baix Cinca	Mujeres	4	Asia	2019	0
12	Tarazona y el Moncayo	Hombres	1	Europa	2019	4
12	Tarazona y el Moncayo	Hombres	2	África	2019	20
12	Tarazona y el Moncayo	Hombres	3	América	2019	36
12	Tarazona y el Moncayo	Hombres	4	Asia	2019	-2
12	Tarazona y el Moncayo	Mujeres	1	Europa	2019	11
12	Tarazona y el Moncayo	Mujeres	2	África	2019	24
12	Tarazona y el Moncayo	Mujeres	3	América	2019	32
12	Tarazona y el Moncayo	Mujeres	4	Asia	2019	-1
13	Campo de Borja	Hombres	1	Europa	2019	9
13	Campo de Borja	Hombres	2	África	2019	27
13	Campo de Borja	Hombres	3	América	2019	-5
13	Campo de Borja	Hombres	4	Asia	2019	-1
13	Campo de Borja	Mujeres	1	Europa	2019	10
13	Campo de Borja	Mujeres	2	África	2019	21
13	Campo de Borja	Mujeres	3	América	2019	0
13	Campo de Borja	Mujeres	4	Asia	2019	-1
14	Aranda	Hombres	1	Europa	2019	-53
14	Aranda	Hombres	2	África	2019	-2
14	Aranda	Hombres	3	América	2019	-2
14	Aranda	Mujeres	1	Europa	2019	-76
14	Aranda	Mujeres	2	África	2019	4
14	Aranda	Mujeres	3	América	2019	12
15	Ribera Alta del Ebro	Hombres	1	Europa	2019	55
15	Ribera Alta del Ebro	Hombres	2	África	2019	16
15	Ribera Alta del Ebro	Hombres	3	América	2019	57
15	Ribera Alta del Ebro	Hombres	4	Asia	2019	1
15	Ribera Alta del Ebro	Hombres	5	Otros continentes	2019	-2
15	Ribera Alta del Ebro	Mujeres	1	Europa	2019	54
15	Ribera Alta del Ebro	Mujeres	2	África	2019	14
15	Ribera Alta del Ebro	Mujeres	3	América	2019	52
15	Ribera Alta del Ebro	Mujeres	4	Asia	2019	0
16	Valdejalón	Hombres	1	Europa	2019	31
16	Valdejalón	Hombres	2	África	2019	121
16	Valdejalón	Hombres	3	América	2019	39
16	Valdejalón	Hombres	4	Asia	2019	5
16	Valdejalón	Mujeres	1	Europa	2019	-4
16	Valdejalón	Mujeres	2	África	2019	52
16	Valdejalón	Mujeres	3	América	2019	61
16	Valdejalón	Mujeres	4	Asia	2019	1
17	Central	Hombres	1	Europa	2019	847
17	Central	Hombres	2	África	2019	1187
17	Central	Hombres	3	América	2019	2731
17	Central	Hombres	4	Asia	2019	457
17	Central	Hombres	5	Otros continentes	2019	4
17	Central	Mujeres	1	Europa	2019	1059
17	Central	Mujeres	2	África	2019	582
17	Central	Mujeres	3	América	2019	3703
17	Central	Mujeres	4	Asia	2019	258
17	Central	Mujeres	5	Otros continentes	2019	6
18	Ribera Baja del Ebro	Hombres	1	Europa	2019	19
18	Ribera Baja del Ebro	Hombres	2	África	2019	10
18	Ribera Baja del Ebro	Hombres	3	América	2019	17
18	Ribera Baja del Ebro	Hombres	4	Asia	2019	-2
18	Ribera Baja del Ebro	Mujeres	1	Europa	2019	-15
18	Ribera Baja del Ebro	Mujeres	2	África	2019	15
18	Ribera Baja del Ebro	Mujeres	3	América	2019	22
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	1	Europa	2019	-33
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	2	África	2019	77
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	3	América	2019	1
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	4	Asia	2019	145
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	1	Europa	2019	-44
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	2	África	2019	29
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	3	América	2019	13
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	4	Asia	2019	36
20	Comunidad de Calatayud	Hombres	1	Europa	2019	85
20	Comunidad de Calatayud	Hombres	2	África	2019	67
20	Comunidad de Calatayud	Hombres	3	América	2019	30
20	Comunidad de Calatayud	Hombres	4	Asia	2019	0
20	Comunidad de Calatayud	Hombres	5	Otros continentes	2019	1
20	Comunidad de Calatayud	Mujeres	1	Europa	2019	45
20	Comunidad de Calatayud	Mujeres	2	África	2019	22
20	Comunidad de Calatayud	Mujeres	3	América	2019	61
20	Comunidad de Calatayud	Mujeres	4	Asia	2019	4
21	Campo de Cariñena	Hombres	1	Europa	2019	21
21	Campo de Cariñena	Hombres	2	África	2019	103
21	Campo de Cariñena	Hombres	3	América	2019	8
21	Campo de Cariñena	Hombres	4	Asia	2019	-2
21	Campo de Cariñena	Mujeres	1	Europa	2019	31
21	Campo de Cariñena	Mujeres	2	África	2019	28
21	Campo de Cariñena	Mujeres	3	América	2019	12
21	Campo de Cariñena	Mujeres	4	Asia	2019	-1
22	Campo de Belchite	Hombres	1	Europa	2019	10
22	Campo de Belchite	Hombres	2	África	2019	3
22	Campo de Belchite	Hombres	3	América	2019	4
22	Campo de Belchite	Mujeres	1	Europa	2019	4
22	Campo de Belchite	Mujeres	2	África	2019	3
22	Campo de Belchite	Mujeres	3	América	2019	3
22	Campo de Belchite	Mujeres	5	Otros continentes	2019	-1
23	Bajo Martín	Hombres	1	Europa	2019	-40
23	Bajo Martín	Hombres	2	África	2019	41
23	Bajo Martín	Hombres	3	América	2019	-2
23	Bajo Martín	Hombres	4	Asia	2019	-1
23	Bajo Martín	Hombres	5	Otros continentes	2019	9
23	Bajo Martín	Mujeres	1	Europa	2019	-32
23	Bajo Martín	Mujeres	2	África	2019	32
23	Bajo Martín	Mujeres	3	América	2019	7
23	Bajo Martín	Mujeres	5	Otros continentes	2019	0
24	Campo de Daroca	Hombres	1	Europa	2019	6
24	Campo de Daroca	Hombres	2	África	2019	9
24	Campo de Daroca	Hombres	3	América	2019	2
24	Campo de Daroca	Hombres	4	Asia	2019	-1
24	Campo de Daroca	Mujeres	1	Europa	2019	-17
24	Campo de Daroca	Mujeres	2	África	2019	9
24	Campo de Daroca	Mujeres	3	América	2019	6
25	Jiloca	Hombres	1	Europa	2019	27
25	Jiloca	Hombres	2	África	2019	37
25	Jiloca	Hombres	3	América	2019	14
25	Jiloca	Hombres	4	Asia	2019	3
25	Jiloca	Mujeres	1	Europa	2019	14
25	Jiloca	Mujeres	2	África	2019	35
25	Jiloca	Mujeres	3	América	2019	30
25	Jiloca	Mujeres	4	Asia	2019	3
26	Cuencas Mineras	Hombres	1	Europa	2019	-5
26	Cuencas Mineras	Hombres	2	África	2019	4
26	Cuencas Mineras	Hombres	3	América	2019	5
26	Cuencas Mineras	Hombres	4	Asia	2019	3
26	Cuencas Mineras	Mujeres	1	Europa	2019	-36
26	Cuencas Mineras	Mujeres	2	África	2019	12
26	Cuencas Mineras	Mujeres	3	América	2019	5
26	Cuencas Mineras	Mujeres	4	Asia	2019	1
27	Andorra-Sierra de Arcos	Hombres	1	Europa	2019	-20
27	Andorra-Sierra de Arcos	Hombres	2	África	2019	8
27	Andorra-Sierra de Arcos	Hombres	3	América	2019	1
27	Andorra-Sierra de Arcos	Hombres	4	Asia	2019	-1
27	Andorra-Sierra de Arcos	Mujeres	1	Europa	2019	-43
27	Andorra-Sierra de Arcos	Mujeres	2	África	2019	1
27	Andorra-Sierra de Arcos	Mujeres	3	América	2019	23
27	Andorra-Sierra de Arcos	Mujeres	4	Asia	2019	-2
28	Bajo Aragón	Hombres	1	Europa	2019	-3
28	Bajo Aragón	Hombres	2	África	2019	103
28	Bajo Aragón	Hombres	3	América	2019	29
28	Bajo Aragón	Hombres	4	Asia	2019	-3
28	Bajo Aragón	Hombres	5	Otros continentes	2019	1
28	Bajo Aragón	Mujeres	1	Europa	2019	-74
28	Bajo Aragón	Mujeres	2	África	2019	75
28	Bajo Aragón	Mujeres	3	América	2019	44
28	Bajo Aragón	Mujeres	4	Asia	2019	5
29	Comunidad de Teruel	Hombres	1	Europa	2019	82
29	Comunidad de Teruel	Hombres	2	África	2019	72
29	Comunidad de Teruel	Hombres	3	América	2019	104
29	Comunidad de Teruel	Hombres	4	Asia	2019	4
29	Comunidad de Teruel	Hombres	5	Otros continentes	2019	0
29	Comunidad de Teruel	Mujeres	1	Europa	2019	92
29	Comunidad de Teruel	Mujeres	2	África	2019	14
29	Comunidad de Teruel	Mujeres	3	América	2019	95
29	Comunidad de Teruel	Mujeres	4	Asia	2019	7
30	Maestrazgo	Hombres	1	Europa	2019	20
30	Maestrazgo	Hombres	2	África	2019	-3
30	Maestrazgo	Hombres	3	América	2019	3
30	Maestrazgo	Hombres	4	Asia	2019	0
30	Maestrazgo	Mujeres	1	Europa	2019	-1
30	Maestrazgo	Mujeres	2	África	2019	-8
30	Maestrazgo	Mujeres	3	América	2019	5
30	Maestrazgo	Mujeres	4	Asia	2019	-2
31	Sierra de Albarracín	Hombres	1	Europa	2019	-20
31	Sierra de Albarracín	Hombres	2	África	2019	-4
31	Sierra de Albarracín	Hombres	3	América	2019	8
31	Sierra de Albarracín	Mujeres	1	Europa	2019	-20
31	Sierra de Albarracín	Mujeres	2	África	2019	-1
31	Sierra de Albarracín	Mujeres	3	América	2019	11
32	Gúdar-Javalambre	Hombres	1	Europa	2019	-20
32	Gúdar-Javalambre	Hombres	2	África	2019	18
32	Gúdar-Javalambre	Hombres	3	América	2019	11
32	Gúdar-Javalambre	Hombres	4	Asia	2019	-2
32	Gúdar-Javalambre	Mujeres	1	Europa	2019	4
32	Gúdar-Javalambre	Mujeres	2	África	2019	3
32	Gúdar-Javalambre	Mujeres	3	América	2019	12
32	Gúdar-Javalambre	Mujeres	4	Asia	2019	-2
33	Matarraña / Matarranya	Hombres	1	Europa	2019	1
33	Matarraña / Matarranya	Hombres	2	África	2019	-5
33	Matarraña / Matarranya	Hombres	3	América	2019	17
33	Matarraña / Matarranya	Hombres	4	Asia	2019	-3
33	Matarraña / Matarranya	Mujeres	1	Europa	2019	0
33	Matarraña / Matarranya	Mujeres	2	África	2019	2
33	Matarraña / Matarranya	Mujeres	3	América	2019	18
33	Matarraña / Matarranya	Mujeres	4	Asia	2019	-2
33	Matarraña / Matarranya	Mujeres	5	Otros continentes	2019	2
01	La Jacetania	Hombres	1	Europa	2018	27
01	La Jacetania	Hombres	2	África	2018	2
01	La Jacetania	Hombres	3	América	2018	35
01	La Jacetania	Hombres	4	Asia	2018	0
01	La Jacetania	Mujeres	1	Europa	2018	57
01	La Jacetania	Mujeres	2	África	2018	4
01	La Jacetania	Mujeres	3	América	2018	72
01	La Jacetania	Mujeres	4	Asia	2018	1
02	Alto Gállego	Hombres	1	Europa	2018	-63
02	Alto Gállego	Hombres	2	África	2018	16
02	Alto Gállego	Hombres	3	América	2018	20
02	Alto Gállego	Hombres	4	Asia	2018	5
02	Alto Gállego	Hombres	5	Otros continentes	2018	1
02	Alto Gállego	Mujeres	1	Europa	2018	-49
02	Alto Gállego	Mujeres	2	África	2018	29
02	Alto Gállego	Mujeres	3	América	2018	24
02	Alto Gállego	Mujeres	4	Asia	2018	7
03	Sobrarbe	Hombres	1	Europa	2018	-18
03	Sobrarbe	Hombres	2	África	2018	4
03	Sobrarbe	Hombres	3	América	2018	0
03	Sobrarbe	Hombres	4	Asia	2018	0
03	Sobrarbe	Mujeres	1	Europa	2018	-19
03	Sobrarbe	Mujeres	2	África	2018	2
03	Sobrarbe	Mujeres	3	América	2018	15
03	Sobrarbe	Mujeres	4	Asia	2018	2
04	La Ribagorza	Hombres	1	Europa	2018	-125
04	La Ribagorza	Hombres	2	África	2018	-2
04	La Ribagorza	Hombres	3	América	2018	22
04	La Ribagorza	Hombres	4	Asia	2018	0
04	La Ribagorza	Hombres	5	Otros continentes	2018	-1
04	La Ribagorza	Mujeres	1	Europa	2018	-129
04	La Ribagorza	Mujeres	2	África	2018	8
04	La Ribagorza	Mujeres	3	América	2018	33
04	La Ribagorza	Mujeres	4	Asia	2018	-1
04	La Ribagorza	Mujeres	5	Otros continentes	2018	3
05	Cinco Villas	Hombres	1	Europa	2018	-215
05	Cinco Villas	Hombres	2	África	2018	60
05	Cinco Villas	Hombres	3	América	2018	9
05	Cinco Villas	Hombres	4	Asia	2018	-3
05	Cinco Villas	Mujeres	1	Europa	2018	-136
05	Cinco Villas	Mujeres	2	África	2018	20
05	Cinco Villas	Mujeres	3	América	2018	19
05	Cinco Villas	Mujeres	4	Asia	2018	1
06	Hoya de Huesca / Plana de Uesca	Hombres	1	Europa	2018	112
06	Hoya de Huesca / Plana de Uesca	Hombres	2	África	2018	81
06	Hoya de Huesca / Plana de Uesca	Hombres	3	América	2018	138
06	Hoya de Huesca / Plana de Uesca	Hombres	4	Asia	2018	27
06	Hoya de Huesca / Plana de Uesca	Hombres	5	Otros continentes	2018	-1
06	Hoya de Huesca / Plana de Uesca	Mujeres	1	Europa	2018	115
06	Hoya de Huesca / Plana de Uesca	Mujeres	2	África	2018	71
06	Hoya de Huesca / Plana de Uesca	Mujeres	3	América	2018	205
06	Hoya de Huesca / Plana de Uesca	Mujeres	4	Asia	2018	25
06	Hoya de Huesca / Plana de Uesca	Mujeres	5	Otros continentes	2018	-1
07	Somontano de Barbastro	Hombres	1	Europa	2018	30
07	Somontano de Barbastro	Hombres	2	África	2018	33
07	Somontano de Barbastro	Hombres	3	América	2018	24
07	Somontano de Barbastro	Hombres	4	Asia	2018	2
07	Somontano de Barbastro	Mujeres	1	Europa	2018	5
07	Somontano de Barbastro	Mujeres	2	África	2018	8
07	Somontano de Barbastro	Mujeres	3	América	2018	62
07	Somontano de Barbastro	Mujeres	4	Asia	2018	4
08	Cinca Medio	Hombres	1	Europa	2018	-13
08	Cinca Medio	Hombres	2	África	2018	88
08	Cinca Medio	Hombres	3	América	2018	54
08	Cinca Medio	Hombres	4	Asia	2018	-2
08	Cinca Medio	Hombres	5	Otros continentes	2018	-1
08	Cinca Medio	Mujeres	1	Europa	2018	2
08	Cinca Medio	Mujeres	2	África	2018	47
08	Cinca Medio	Mujeres	3	América	2018	66
08	Cinca Medio	Mujeres	4	Asia	2018	2
08	Cinca Medio	Mujeres	5	Otros continentes	2018	-2
09	La Litera / La Llitera	Hombres	1	Europa	2018	7
09	La Litera / La Llitera	Hombres	2	África	2018	55
09	La Litera / La Llitera	Hombres	3	América	2018	25
09	La Litera / La Llitera	Hombres	4	Asia	2018	-1
09	La Litera / La Llitera	Hombres	5	Otros continentes	2018	-2
09	La Litera / La Llitera	Mujeres	1	Europa	2018	11
09	La Litera / La Llitera	Mujeres	2	África	2018	19
09	La Litera / La Llitera	Mujeres	3	América	2018	45
09	La Litera / La Llitera	Mujeres	4	Asia	2018	1
09	La Litera / La Llitera	Mujeres	5	Otros continentes	2018	1
10	Los Monegros	Hombres	1	Europa	2018	-20
10	Los Monegros	Hombres	2	África	2018	39
10	Los Monegros	Hombres	3	América	2018	16
10	Los Monegros	Hombres	4	Asia	2018	3
10	Los Monegros	Hombres	5	Otros continentes	2018	0
10	Los Monegros	Mujeres	1	Europa	2018	-50
10	Los Monegros	Mujeres	2	África	2018	21
10	Los Monegros	Mujeres	3	América	2018	31
10	Los Monegros	Mujeres	4	Asia	2018	5
10	Los Monegros	Mujeres	5	Otros continentes	2018	2
11	Bajo Cinca / Baix Cinca	Hombres	1	Europa	2018	27
11	Bajo Cinca / Baix Cinca	Hombres	2	África	2018	119
11	Bajo Cinca / Baix Cinca	Hombres	3	América	2018	13
11	Bajo Cinca / Baix Cinca	Hombres	4	Asia	2018	4
11	Bajo Cinca / Baix Cinca	Mujeres	1	Europa	2018	17
11	Bajo Cinca / Baix Cinca	Mujeres	2	África	2018	47
11	Bajo Cinca / Baix Cinca	Mujeres	3	América	2018	16
11	Bajo Cinca / Baix Cinca	Mujeres	4	Asia	2018	-7
12	Tarazona y el Moncayo	Hombres	1	Europa	2018	-14
12	Tarazona y el Moncayo	Hombres	2	África	2018	10
12	Tarazona y el Moncayo	Hombres	3	América	2018	28
12	Tarazona y el Moncayo	Hombres	4	Asia	2018	2
12	Tarazona y el Moncayo	Mujeres	1	Europa	2018	-48
12	Tarazona y el Moncayo	Mujeres	2	África	2018	1
12	Tarazona y el Moncayo	Mujeres	3	América	2018	26
12	Tarazona y el Moncayo	Mujeres	4	Asia	2018	2
13	Campo de Borja	Hombres	1	Europa	2018	0
13	Campo de Borja	Hombres	2	África	2018	6
13	Campo de Borja	Hombres	3	América	2018	10
13	Campo de Borja	Hombres	4	Asia	2018	3
13	Campo de Borja	Mujeres	1	Europa	2018	18
13	Campo de Borja	Mujeres	2	África	2018	12
13	Campo de Borja	Mujeres	3	América	2018	7
13	Campo de Borja	Mujeres	4	Asia	2018	1
14	Aranda	Hombres	1	Europa	2018	-48
14	Aranda	Hombres	2	África	2018	8
14	Aranda	Hombres	3	América	2018	9
14	Aranda	Hombres	4	Asia	2018	0
14	Aranda	Mujeres	1	Europa	2018	-37
14	Aranda	Mujeres	2	África	2018	-5
14	Aranda	Mujeres	3	América	2018	5
15	Ribera Alta del Ebro	Hombres	1	Europa	2018	104
15	Ribera Alta del Ebro	Hombres	2	África	2018	23
15	Ribera Alta del Ebro	Hombres	3	América	2018	67
15	Ribera Alta del Ebro	Hombres	4	Asia	2018	4
15	Ribera Alta del Ebro	Mujeres	1	Europa	2018	13
15	Ribera Alta del Ebro	Mujeres	2	África	2018	4
15	Ribera Alta del Ebro	Mujeres	3	América	2018	47
15	Ribera Alta del Ebro	Mujeres	4	Asia	2018	7
16	Valdejalón	Hombres	1	Europa	2018	155
16	Valdejalón	Hombres	2	África	2018	128
16	Valdejalón	Hombres	3	América	2018	30
16	Valdejalón	Hombres	4	Asia	2018	2
16	Valdejalón	Hombres	5	Otros continentes	2018	-1
16	Valdejalón	Mujeres	1	Europa	2018	125
16	Valdejalón	Mujeres	2	África	2018	41
16	Valdejalón	Mujeres	3	América	2018	34
16	Valdejalón	Mujeres	4	Asia	2018	-1
17	Central	Hombres	1	Europa	2018	858
17	Central	Hombres	2	África	2018	1007
17	Central	Hombres	3	América	2018	2139
17	Central	Hombres	4	Asia	2018	394
17	Central	Hombres	5	Otros continentes	2018	7
17	Central	Mujeres	1	Europa	2018	1275
17	Central	Mujeres	2	África	2018	567
17	Central	Mujeres	3	América	2018	3276
17	Central	Mujeres	4	Asia	2018	283
17	Central	Mujeres	5	Otros continentes	2018	12
18	Ribera Baja del Ebro	Hombres	1	Europa	2018	-43
18	Ribera Baja del Ebro	Hombres	2	África	2018	27
18	Ribera Baja del Ebro	Hombres	3	América	2018	2
18	Ribera Baja del Ebro	Hombres	4	Asia	2018	1
18	Ribera Baja del Ebro	Hombres	5	Otros continentes	2018	1
18	Ribera Baja del Ebro	Mujeres	1	Europa	2018	-20
18	Ribera Baja del Ebro	Mujeres	2	África	2018	20
18	Ribera Baja del Ebro	Mujeres	3	América	2018	5
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	1	Europa	2018	-56
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	2	África	2018	79
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	3	América	2018	2
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombres	4	Asia	2018	63
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	1	Europa	2018	-51
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	2	África	2018	23
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	3	América	2018	8
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujeres	4	Asia	2018	21
20	Comunidad de Calatayud	Hombres	1	Europa	2018	-155
20	Comunidad de Calatayud	Hombres	2	África	2018	26
20	Comunidad de Calatayud	Hombres	3	América	2018	21
20	Comunidad de Calatayud	Hombres	4	Asia	2018	-3
20	Comunidad de Calatayud	Mujeres	1	Europa	2018	-250
20	Comunidad de Calatayud	Mujeres	2	África	2018	26
20	Comunidad de Calatayud	Mujeres	3	América	2018	57
20	Comunidad de Calatayud	Mujeres	4	Asia	2018	-6
21	Campo de Cariñena	Hombres	1	Europa	2018	-12
21	Campo de Cariñena	Hombres	2	África	2018	69
21	Campo de Cariñena	Hombres	3	América	2018	10
21	Campo de Cariñena	Hombres	4	Asia	2018	5
21	Campo de Cariñena	Mujeres	1	Europa	2018	2
21	Campo de Cariñena	Mujeres	2	África	2018	20
21	Campo de Cariñena	Mujeres	3	América	2018	7
21	Campo de Cariñena	Mujeres	4	Asia	2018	3
22	Campo de Belchite	Hombres	1	Europa	2018	66
22	Campo de Belchite	Hombres	2	África	2018	1
22	Campo de Belchite	Hombres	3	América	2018	0
22	Campo de Belchite	Mujeres	1	Europa	2018	32
22	Campo de Belchite	Mujeres	2	África	2018	1
22	Campo de Belchite	Mujeres	3	América	2018	13
23	Bajo Martín	Hombres	1	Europa	2018	-28
23	Bajo Martín	Hombres	2	África	2018	27
23	Bajo Martín	Hombres	3	América	2018	4
23	Bajo Martín	Hombres	5	Otros continentes	2018	-2
23	Bajo Martín	Mujeres	1	Europa	2018	-26
23	Bajo Martín	Mujeres	2	África	2018	16
23	Bajo Martín	Mujeres	3	América	2018	4
24	Campo de Daroca	Hombres	1	Europa	2018	17
24	Campo de Daroca	Hombres	2	África	2018	11
24	Campo de Daroca	Hombres	3	América	2018	0
24	Campo de Daroca	Hombres	4	Asia	2018	2
24	Campo de Daroca	Mujeres	1	Europa	2018	16
24	Campo de Daroca	Mujeres	2	África	2018	5
24	Campo de Daroca	Mujeres	3	América	2018	4
24	Campo de Daroca	Mujeres	4	Asia	2018	1
25	Jiloca	Hombres	1	Europa	2018	14
25	Jiloca	Hombres	2	África	2018	18
25	Jiloca	Hombres	3	América	2018	9
25	Jiloca	Hombres	4	Asia	2018	1
25	Jiloca	Mujeres	1	Europa	2018	-53
25	Jiloca	Mujeres	2	África	2018	16
25	Jiloca	Mujeres	3	América	2018	1
25	Jiloca	Mujeres	4	Asia	2018	-4
26	Cuencas Mineras	Hombres	1	Europa	2018	-45
26	Cuencas Mineras	Hombres	2	África	2018	9
26	Cuencas Mineras	Hombres	3	América	2018	0
26	Cuencas Mineras	Hombres	4	Asia	2018	-15
26	Cuencas Mineras	Mujeres	1	Europa	2018	-55
26	Cuencas Mineras	Mujeres	2	África	2018	4
26	Cuencas Mineras	Mujeres	3	América	2018	1
26	Cuencas Mineras	Mujeres	4	Asia	2018	0
27	Andorra-Sierra de Arcos	Hombres	1	Europa	2018	-66
27	Andorra-Sierra de Arcos	Hombres	2	África	2018	12
