Comarca código	Comarca nombre	Edad	Estado civil código	Estado civil	Número hogares
05	Cinco Villas	16 a 34 años	1	Solteros/as	240
05	Cinco Villas	16 a 34 años	2	Casados/as	67
05	Cinco Villas	16 a 34 años	3	Viudos/as	1
05	Cinco Villas	16 a 34 años	4	Separados/as	12
05	Cinco Villas	16 a 34 años	5	Divorciados/as	3
05	Cinco Villas	35 a 64 años	1	Solteros/as	497
05	Cinco Villas	35 a 64 años	2	Casados/as	192
05	Cinco Villas	35 a 64 años	3	Viudos/as	70
05	Cinco Villas	35 a 64 años	4	Separados/as	49
05	Cinco Villas	35 a 64 años	5	Divorciados/as	36
05	Cinco Villas	Mayores de 64 años	1	Solteros/as	383
05	Cinco Villas	Mayores de 64 años	2	Casados/as	59
05	Cinco Villas	Mayores de 64 años	3	Viudos/as	1060
05	Cinco Villas	Mayores de 64 años	4	Separados/as	7
05	Cinco Villas	Mayores de 64 años	5	Divorciados/as	5
06	Hoya de Huesca / Plana de Uesca	16 a 34 años	1	Solteros/as	628
06	Hoya de Huesca / Plana de Uesca	16 a 34 años	2	Casados/as	160
06	Hoya de Huesca / Plana de Uesca	16 a 34 años	4	Separados/as	24
06	Hoya de Huesca / Plana de Uesca	16 a 34 años	5	Divorciados/as	9
06	Hoya de Huesca / Plana de Uesca	35 a 64 años	1	Solteros/as	988
06	Hoya de Huesca / Plana de Uesca	35 a 64 años	2	Casados/as	337
06	Hoya de Huesca / Plana de Uesca	35 a 64 años	3	Viudos/as	112
06	Hoya de Huesca / Plana de Uesca	35 a 64 años	4	Separados/as	143
06	Hoya de Huesca / Plana de Uesca	35 a 64 años	5	Divorciados/as	117
06	Hoya de Huesca / Plana de Uesca	Mayores de 64 años	1	Solteros/as	633
06	Hoya de Huesca / Plana de Uesca	Mayores de 64 años	2	Casados/as	88
06	Hoya de Huesca / Plana de Uesca	Mayores de 64 años	3	Viudos/as	1710
06	Hoya de Huesca / Plana de Uesca	Mayores de 64 años	4	Separados/as	36
06	Hoya de Huesca / Plana de Uesca	Mayores de 64 años	5	Divorciados/as	10
07	Somontano de Barbastro	16 a 34 años	1	Solteros/as	203
07	Somontano de Barbastro	16 a 34 años	2	Casados/as	64
07	Somontano de Barbastro	16 a 34 años	3	Viudos/as	1
07	Somontano de Barbastro	16 a 34 años	4	Separados/as	6
07	Somontano de Barbastro	16 a 34 años	5	Divorciados/as	2
07	Somontano de Barbastro	35 a 64 años	1	Solteros/as	318
07	Somontano de Barbastro	35 a 64 años	2	Casados/as	134
07	Somontano de Barbastro	35 a 64 años	3	Viudos/as	62
07	Somontano de Barbastro	35 a 64 años	4	Separados/as	71
07	Somontano de Barbastro	35 a 64 años	5	Divorciados/as	21
07	Somontano de Barbastro	Mayores de 64 años	1	Solteros/as	269
07	Somontano de Barbastro	Mayores de 64 años	2	Casados/as	43
07	Somontano de Barbastro	Mayores de 64 años	3	Viudos/as	817
07	Somontano de Barbastro	Mayores de 64 años	4	Separados/as	11
07	Somontano de Barbastro	Mayores de 64 años	5	Divorciados/as	2
08	Cinca Medio	16 a 34 años	1	Solteros/as	169
08	Cinca Medio	16 a 34 años	2	Casados/as	54
08	Cinca Medio	16 a 34 años	3	Viudos/as	2
08	Cinca Medio	16 a 34 años	4	Separados/as	10
08	Cinca Medio	16 a 34 años	5	Divorciados/as	5
08	Cinca Medio	35 a 64 años	1	Solteros/as	233
08	Cinca Medio	35 a 64 años	2	Casados/as	88
08	Cinca Medio	35 a 64 años	3	Viudos/as	69
08	Cinca Medio	35 a 64 años	4	Separados/as	52
08	Cinca Medio	35 a 64 años	5	Divorciados/as	26
08	Cinca Medio	Mayores de 64 años	1	Solteros/as	167
08	Cinca Medio	Mayores de 64 años	2	Casados/as	34
08	Cinca Medio	Mayores de 64 años	3	Viudos/as	631
08	Cinca Medio	Mayores de 64 años	4	Separados/as	14
08	Cinca Medio	Mayores de 64 años	5	Divorciados/as	3
09	La Litera / La Llitera	16 a 34 años	1	Solteros/as	116
09	La Litera / La Llitera	16 a 34 años	2	Casados/as	38
09	La Litera / La Llitera	16 a 34 años	4	Separados/as	4
09	La Litera / La Llitera	16 a 34 años	5	Divorciados/as	2
09	La Litera / La Llitera	35 a 64 años	1	Solteros/as	174
09	La Litera / La Llitera	35 a 64 años	2	Casados/as	70
09	La Litera / La Llitera	35 a 64 años	3	Viudos/as	47
09	La Litera / La Llitera	35 a 64 años	4	Separados/as	31
09	La Litera / La Llitera	35 a 64 años	5	Divorciados/as	30
09	La Litera / La Llitera	Mayores de 64 años	1	Solteros/as	184
09	La Litera / La Llitera	Mayores de 64 años	2	Casados/as	14
09	La Litera / La Llitera	Mayores de 64 años	3	Viudos/as	715
09	La Litera / La Llitera	Mayores de 64 años	4	Separados/as	14
09	La Litera / La Llitera	Mayores de 64 años	5	Divorciados/as	3
10	Los Monegros	16 a 34 años	1	Solteros/as	134
10	Los Monegros	16 a 34 años	2	Casados/as	42
10	Los Monegros	16 a 34 años	4	Separados/as	3
10	Los Monegros	16 a 34 años	5	Divorciados/as	2
10	Los Monegros	35 a 64 años	1	Solteros/as	323
10	Los Monegros	35 a 64 años	2	Casados/as	169
10	Los Monegros	35 a 64 años	3	Viudos/as	45
10	Los Monegros	35 a 64 años	4	Separados/as	28
10	Los Monegros	35 a 64 años	5	Divorciados/as	19
10	Los Monegros	Mayores de 64 años	1	Solteros/as	289
10	Los Monegros	Mayores de 64 años	2	Casados/as	49
10	Los Monegros	Mayores de 64 años	3	Viudos/as	672
10	Los Monegros	Mayores de 64 años	4	Separados/as	9
11	Bajo Cinca / Baix Cinca	16 a 34 años	1	Solteros/as	201
11	Bajo Cinca / Baix Cinca	16 a 34 años	2	Casados/as	60
11	Bajo Cinca / Baix Cinca	16 a 34 años	4	Separados/as	6
11	Bajo Cinca / Baix Cinca	16 a 34 años	5	Divorciados/as	1
11	Bajo Cinca / Baix Cinca	35 a 64 años	1	Solteros/as	196
11	Bajo Cinca / Baix Cinca	35 a 64 años	2	Casados/as	74
11	Bajo Cinca / Baix Cinca	35 a 64 años	3	Viudos/as	62
11	Bajo Cinca / Baix Cinca	35 a 64 años	4	Separados/as	24
11	Bajo Cinca / Baix Cinca	35 a 64 años	5	Divorciados/as	21
11	Bajo Cinca / Baix Cinca	Mayores de 64 años	1	Solteros/as	138
11	Bajo Cinca / Baix Cinca	Mayores de 64 años	2	Casados/as	21
11	Bajo Cinca / Baix Cinca	Mayores de 64 años	3	Viudos/as	530
11	Bajo Cinca / Baix Cinca	Mayores de 64 años	4	Separados/as	3
11	Bajo Cinca / Baix Cinca	Mayores de 64 años	5	Divorciados/as	5
12	Tarazona y el Moncayo	16 a 34 años	1	Solteros/as	100
12	Tarazona y el Moncayo	16 a 34 años	2	Casados/as	41
12	Tarazona y el Moncayo	16 a 34 años	4	Separados/as	14
12	Tarazona y el Moncayo	16 a 34 años	5	Divorciados/as	1
12	Tarazona y el Moncayo	35 a 64 años	1	Solteros/as	196
12	Tarazona y el Moncayo	35 a 64 años	2	Casados/as	79
12	Tarazona y el Moncayo	35 a 64 años	3	Viudos/as	35
12	Tarazona y el Moncayo	35 a 64 años	4	Separados/as	22
12	Tarazona y el Moncayo	35 a 64 años	5	Divorciados/as	21
12	Tarazona y el Moncayo	Mayores de 64 años	1	Solteros/as	183
12	Tarazona y el Moncayo	Mayores de 64 años	2	Casados/as	18
12	Tarazona y el Moncayo	Mayores de 64 años	3	Viudos/as	541
12	Tarazona y el Moncayo	Mayores de 64 años	4	Separados/as	11
12	Tarazona y el Moncayo	Mayores de 64 años	5	Divorciados/as	3
13	Campo de Borja	16 a 34 años	1	Solteros/as	123
13	Campo de Borja	16 a 34 años	2	Casados/as	58
13	Campo de Borja	16 a 34 años	3	Viudos/as	3
13	Campo de Borja	16 a 34 años	4	Separados/as	5
13	Campo de Borja	16 a 34 años	5	Divorciados/as	2
13	Campo de Borja	35 a 64 años	1	Solteros/as	186
13	Campo de Borja	35 a 64 años	2	Casados/as	116
13	Campo de Borja	35 a 64 años	3	Viudos/as	37
13	Campo de Borja	35 a 64 años	4	Separados/as	25
13	Campo de Borja	35 a 64 años	5	Divorciados/as	11
13	Campo de Borja	Mayores de 64 años	1	Solteros/as	169
13	Campo de Borja	Mayores de 64 años	2	Casados/as	80
13	Campo de Borja	Mayores de 64 años	3	Viudos/as	580
13	Campo de Borja	Mayores de 64 años	4	Separados/as	12
13	Campo de Borja	Mayores de 64 años	5	Divorciados/as	5
14	Aranda	16 a 34 años	1	Solteros/as	51
14	Aranda	16 a 34 años	2	Casados/as	18
14	Aranda	35 a 64 años	1	Solteros/as	100
14	Aranda	35 a 64 años	2	Casados/as	43
14	Aranda	35 a 64 años	3	Viudos/as	15
14	Aranda	35 a 64 años	4	Separados/as	8
14	Aranda	35 a 64 años	5	Divorciados/as	5
14	Aranda	Mayores de 64 años	1	Solteros/as	98
14	Aranda	Mayores de 64 años	2	Casados/as	17
14	Aranda	Mayores de 64 años	3	Viudos/as	247
14	Aranda	Mayores de 64 años	4	Separados/as	3
14	Aranda	Mayores de 64 años	5	Divorciados/as	2
15	Ribera Alta del Ebro	16 a 34 años	1	Solteros/as	168
15	Ribera Alta del Ebro	16 a 34 años	2	Casados/as	65
15	Ribera Alta del Ebro	16 a 34 años	3	Viudos/as	1
15	Ribera Alta del Ebro	16 a 34 años	4	Separados/as	15
15	Ribera Alta del Ebro	16 a 34 años	5	Divorciados/as	3
15	Ribera Alta del Ebro	35 a 64 años	1	Solteros/as	254
15	Ribera Alta del Ebro	35 a 64 años	2	Casados/as	106
15	Ribera Alta del Ebro	35 a 64 años	3	Viudos/as	49
15	Ribera Alta del Ebro	35 a 64 años	4	Separados/as	52
15	Ribera Alta del Ebro	35 a 64 años	5	Divorciados/as	19
15	Ribera Alta del Ebro	Mayores de 64 años	1	Solteros/as	147
15	Ribera Alta del Ebro	Mayores de 64 años	2	Casados/as	23
15	Ribera Alta del Ebro	Mayores de 64 años	3	Viudos/as	797
15	Ribera Alta del Ebro	Mayores de 64 años	4	Separados/as	10
15	Ribera Alta del Ebro	Mayores de 64 años	5	Divorciados/as	4
16	Valdejalón	16 a 34 años	1	Solteros/as	212
16	Valdejalón	16 a 34 años	2	Casados/as	66
16	Valdejalón	16 a 34 años	3	Viudos/as	1
16	Valdejalón	16 a 34 años	4	Separados/as	5
16	Valdejalón	16 a 34 años	5	Divorciados/as	5
16	Valdejalón	35 a 64 años	1	Solteros/as	310
16	Valdejalón	35 a 64 años	2	Casados/as	133
16	Valdejalón	35 a 64 años	3	Viudos/as	48
16	Valdejalón	35 a 64 años	4	Separados/as	34
16	Valdejalón	35 a 64 años	5	Divorciados/as	20
16	Valdejalón	Mayores de 64 años	1	Solteros/as	244
16	Valdejalón	Mayores de 64 años	2	Casados/as	33
16	Valdejalón	Mayores de 64 años	3	Viudos/as	791
16	Valdejalón	Mayores de 64 años	4	Separados/as	12
16	Valdejalón	Mayores de 64 años	5	Divorciados/as	2
17	D.C. Zaragoza	16 a 34 años	1	Solteros/as	7423
17	D.C. Zaragoza	16 a 34 años	2	Casados/as	1077
17	D.C. Zaragoza	16 a 34 años	3	Viudos/as	29
17	D.C. Zaragoza	16 a 34 años	4	Separados/as	417
17	D.C. Zaragoza	16 a 34 años	5	Divorciados/as	192
17	D.C. Zaragoza	35 a 64 años	1	Solteros/as	9775
17	D.C. Zaragoza	35 a 64 años	2	Casados/as	1714
17	D.C. Zaragoza	35 a 64 años	3	Viudos/as	1986
17	D.C. Zaragoza	35 a 64 años	4	Separados/as	1899
17	D.C. Zaragoza	35 a 64 años	5	Divorciados/as	1520
17	D.C. Zaragoza	Mayores de 64 años	1	Solteros/as	4018
17	D.C. Zaragoza	Mayores de 64 años	2	Casados/as	691
17	D.C. Zaragoza	Mayores de 64 años	3	Viudos/as	18851
17	D.C. Zaragoza	Mayores de 64 años	4	Separados/as	501
17	D.C. Zaragoza	Mayores de 64 años	5	Divorciados/as	302
18	Ribera Baja del Ebro	16 a 34 años	1	Solteros/as	115
18	Ribera Baja del Ebro	16 a 34 años	2	Casados/as	31
18	Ribera Baja del Ebro	16 a 34 años	3	Viudos/as	1
18	Ribera Baja del Ebro	16 a 34 años	4	Separados/as	3
18	Ribera Baja del Ebro	16 a 34 años	5	Divorciados/as	2
18	Ribera Baja del Ebro	35 a 64 años	1	Solteros/as	132
18	Ribera Baja del Ebro	35 a 64 años	2	Casados/as	86
18	Ribera Baja del Ebro	35 a 64 años	3	Viudos/as	31
18	Ribera Baja del Ebro	35 a 64 años	4	Separados/as	24
18	Ribera Baja del Ebro	35 a 64 años	5	Divorciados/as	3
18	Ribera Baja del Ebro	Mayores de 64 años	1	Solteros/as	99
18	Ribera Baja del Ebro	Mayores de 64 años	2	Casados/as	56
18	Ribera Baja del Ebro	Mayores de 64 años	3	Viudos/as	413
18	Ribera Baja del Ebro	Mayores de 64 años	4	Separados/as	8
18	Ribera Baja del Ebro	Mayores de 64 años	5	Divorciados/as	2
19	Bajo Aragón-Caspe / Baix Aragó-Casp	16 a 34 años	1	Solteros/as	110
19	Bajo Aragón-Caspe / Baix Aragó-Casp	16 a 34 años	2	Casados/as	30
19	Bajo Aragón-Caspe / Baix Aragó-Casp	16 a 34 años	4	Separados/as	4
19	Bajo Aragón-Caspe / Baix Aragó-Casp	16 a 34 años	5	Divorciados/as	3
19	Bajo Aragón-Caspe / Baix Aragó-Casp	35 a 64 años	1	Solteros/as	162
19	Bajo Aragón-Caspe / Baix Aragó-Casp	35 a 64 años	2	Casados/as	55
19	Bajo Aragón-Caspe / Baix Aragó-Casp	35 a 64 años	3	Viudos/as	39
19	Bajo Aragón-Caspe / Baix Aragó-Casp	35 a 64 años	4	Separados/as	21
19	Bajo Aragón-Caspe / Baix Aragó-Casp	35 a 64 años	5	Divorciados/as	12
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mayores de 64 años	1	Solteros/as	181
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mayores de 64 años	2	Casados/as	30
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mayores de 64 años	3	Viudos/as	518
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mayores de 64 años	4	Separados/as	4
19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mayores de 64 años	5	Divorciados/as	1
20	Comunidad de Calatayud	16 a 34 años	1	Solteros/as	303
20	Comunidad de Calatayud	16 a 34 años	2	Casados/as	108
20	Comunidad de Calatayud	16 a 34 años	3	Viudos/as	2
20	Comunidad de Calatayud	16 a 34 años	4	Separados/as	15
20	Comunidad de Calatayud	16 a 34 años	5	Divorciados/as	6
20	Comunidad de Calatayud	35 a 64 años	1	Solteros/as	586
20	Comunidad de Calatayud	35 a 64 años	2	Casados/as	218
20	Comunidad de Calatayud	35 a 64 años	3	Viudos/as	113
20	Comunidad de Calatayud	35 a 64 años	4	Separados/as	64
20	Comunidad de Calatayud	35 a 64 años	5	Divorciados/as	35
20	Comunidad de Calatayud	Mayores de 64 años	1	Solteros/as	739
20	Comunidad de Calatayud	Mayores de 64 años	2	Casados/as	101
20	Comunidad de Calatayud	Mayores de 64 años	3	Viudos/as	1835
20	Comunidad de Calatayud	Mayores de 64 años	4	Separados/as	40
20	Comunidad de Calatayud	Mayores de 64 años	5	Divorciados/as	4
21	Campo de Cariñena	16 a 34 años	1	Solteros/as	91
21	Campo de Cariñena	16 a 34 años	2	Casados/as	35
21	Campo de Cariñena	16 a 34 años	4	Separados/as	1
21	Campo de Cariñena	35 a 64 años	1	Solteros/as	127
21	Campo de Cariñena	35 a 64 años	2	Casados/as	96
21	Campo de Cariñena	35 a 64 años	3	Viudos/as	17
21	Campo de Cariñena	35 a 64 años	4	Separados/as	15
21	Campo de Cariñena	35 a 64 años	5	Divorciados/as	13
21	Campo de Cariñena	Mayores de 64 años	1	Solteros/as	124
21	Campo de Cariñena	Mayores de 64 años	2	Casados/as	13
21	Campo de Cariñena	Mayores de 64 años	3	Viudos/as	392
21	Campo de Cariñena	Mayores de 64 años	4	Separados/as	3
22	Campo de Belchite	16 a 34 años	1	Solteros/as	30
22	Campo de Belchite	16 a 34 años	2	Casados/as	18
22	Campo de Belchite	16 a 34 años	5	Divorciados/as	2
22	Campo de Belchite	35 a 64 años	1	Solteros/as	84
22	Campo de Belchite	35 a 64 años	2	Casados/as	70
22	Campo de Belchite	35 a 64 años	3	Viudos/as	6
22	Campo de Belchite	35 a 64 años	4	Separados/as	4
22	Campo de Belchite	35 a 64 años	5	Divorciados/as	6
22	Campo de Belchite	Mayores de 64 años	1	Solteros/as	116
22	Campo de Belchite	Mayores de 64 años	2	Casados/as	21
22	Campo de Belchite	Mayores de 64 años	3	Viudos/as	331
22	Campo de Belchite	Mayores de 64 años	4	Separados/as	2
23	Bajo Martín	16 a 34 años	1	Solteros/as	41
23	Bajo Martín	16 a 34 años	2	Casados/as	12
23	Bajo Martín	16 a 34 años	3	Viudos/as	1
23	Bajo Martín	16 a 34 años	5	Divorciados/as	2
23	Bajo Martín	35 a 64 años	1	Solteros/as	89
23	Bajo Martín	35 a 64 años	2	Casados/as	54
23	Bajo Martín	35 a 64 años	3	Viudos/as	25
23	Bajo Martín	35 a 64 años	4	Separados/as	9
23	Bajo Martín	35 a 64 años	5	Divorciados/as	12
23	Bajo Martín	Mayores de 64 años	1	Solteros/as	103
23	Bajo Martín	Mayores de 64 años	2	Casados/as	18
23	Bajo Martín	Mayores de 64 años	3	Viudos/as	420
23	Bajo Martín	Mayores de 64 años	4	Separados/as	2
23	Bajo Martín	Mayores de 64 años	5	Divorciados/as	2
24	Campo de Daroca	16 a 34 años	1	Solteros/as	57
24	Campo de Daroca	16 a 34 años	2	Casados/as	24
24	Campo de Daroca	16 a 34 años	4	Separados/as	3
24	Campo de Daroca	35 a 64 años	1	Solteros/as	116
24	Campo de Daroca	35 a 64 años	2	Casados/as	105
24	Campo de Daroca	35 a 64 años	3	Viudos/as	15
24	Campo de Daroca	35 a 64 años	4	Separados/as	4
24	Campo de Daroca	35 a 64 años	5	Divorciados/as	7
24	Campo de Daroca	Mayores de 64 años	1	Solteros/as	108
24	Campo de Daroca	Mayores de 64 años	2	Casados/as	23
24	Campo de Daroca	Mayores de 64 años	3	Viudos/as	315
24	Campo de Daroca	Mayores de 64 años	4	Separados/as	7
24	Campo de Daroca	Mayores de 64 años	5	Divorciados/as	1
25	Jiloca	16 a 34 años	1	Solteros/as	85
25	Jiloca	16 a 34 años	2	Casados/as	47
25	Jiloca	16 a 34 años	3	Viudos/as	2
25	Jiloca	16 a 34 años	4	Separados/as	2
25	Jiloca	16 a 34 años	5	Divorciados/as	2
25	Jiloca	35 a 64 años	1	Solteros/as	216
25	Jiloca	35 a 64 años	2	Casados/as	129
25	Jiloca	35 a 64 años	3	Viudos/as	39
25	Jiloca	35 a 64 años	4	Separados/as	30
25	Jiloca	35 a 64 años	5	Divorciados/as	3
25	Jiloca	Mayores de 64 años	1	Solteros/as	266
25	Jiloca	Mayores de 64 años	2	Casados/as	57
25	Jiloca	Mayores de 64 años	3	Viudos/as	768
25	Jiloca	Mayores de 64 años	4	Separados/as	11
25	Jiloca	Mayores de 64 años	5	Divorciados/as	2
26	Cuencas Mineras	16 a 34 años	1	Solteros/as	74
26	Cuencas Mineras	16 a 34 años	2	Casados/as	18
26	Cuencas Mineras	16 a 34 años	4	Separados/as	6
26	Cuencas Mineras	16 a 34 años	5	Divorciados/as	3
26	Cuencas Mineras	35 a 64 años	1	Solteros/as	138
26	Cuencas Mineras	35 a 64 años	2	Casados/as	73
26	Cuencas Mineras	35 a 64 años	3	Viudos/as	12
26	Cuencas Mineras	35 a 64 años	4	Separados/as	29
26	Cuencas Mineras	35 a 64 años	5	Divorciados/as	7
26	Cuencas Mineras	Mayores de 64 años	1	Solteros/as	100
26	Cuencas Mineras	Mayores de 64 años	2	Casados/as	23
26	Cuencas Mineras	Mayores de 64 años	3	Viudos/as	414
26	Cuencas Mineras	Mayores de 64 años	4	Separados/as	11
26	Cuencas Mineras	Mayores de 64 años	5	Divorciados/as	1
27	Andorra-Sierra de Arcos	16 a 34 años	1	Solteros/as	43
27	Andorra-Sierra de Arcos	16 a 34 años	2	Casados/as	18
27	Andorra-Sierra de Arcos	16 a 34 años	3	Viudos/as	2
27	Andorra-Sierra de Arcos	16 a 34 años	4	Separados/as	4
27	Andorra-Sierra de Arcos	35 a 64 años	1	Solteros/as	84
27	Andorra-Sierra de Arcos	35 a 64 años	2	Casados/as	63
27	Andorra-Sierra de Arcos	35 a 64 años	3	Viudos/as	19
27	Andorra-Sierra de Arcos	35 a 64 años	4	Separados/as	16
27	Andorra-Sierra de Arcos	35 a 64 años	5	Divorciados/as	9
27	Andorra-Sierra de Arcos	Mayores de 64 años	1	Solteros/as	70
27	Andorra-Sierra de Arcos	Mayores de 64 años	2	Casados/as	9
27	Andorra-Sierra de Arcos	Mayores de 64 años	3	Viudos/as	400
27	Andorra-Sierra de Arcos	Mayores de 64 años	4	Separados/as	1
27	Andorra-Sierra de Arcos	Mayores de 64 años	5	Divorciados/as	2
28	Bajo Aragón	16 a 34 años	1	Solteros/as	222
28	Bajo Aragón	16 a 34 años	2	Casados/as	60
28	Bajo Aragón	16 a 34 años	4	Separados/as	6
28	Bajo Aragón	16 a 34 años	5	Divorciados/as	4
28	Bajo Aragón	35 a 64 años	1	Solteros/as	269
28	Bajo Aragón	35 a 64 años	2	Casados/as	72
28	Bajo Aragón	35 a 64 años	3	Viudos/as	48
28	Bajo Aragón	35 a 64 años	4	Separados/as	64
28	Bajo Aragón	35 a 64 años	5	Divorciados/as	18
28	Bajo Aragón	Mayores de 64 años	1	Solteros/as	233
28	Bajo Aragón	Mayores de 64 años	2	Casados/as	28
28	Bajo Aragón	Mayores de 64 años	3	Viudos/as	909
28	Bajo Aragón	Mayores de 64 años	4	Separados/as	12
28	Bajo Aragón	Mayores de 64 años	5	Divorciados/as	4
29	Comunidad de Teruel	16 a 34 años	1	Solteros/as	439
29	Comunidad de Teruel	16 a 34 años	2	Casados/as	178
29	Comunidad de Teruel	16 a 34 años	3	Viudos/as	1
29	Comunidad de Teruel	16 a 34 años	4	Separados/as	11
29	Comunidad de Teruel	16 a 34 años	5	Divorciados/as	16
29	Comunidad de Teruel	35 a 64 años	1	Solteros/as	640
29	Comunidad de Teruel	35 a 64 años	2	Casados/as	271
29	Comunidad de Teruel	35 a 64 años	3	Viudos/as	97
29	Comunidad de Teruel	35 a 64 años	4	Separados/as	76
29	Comunidad de Teruel	35 a 64 años	5	Divorciados/as	37
29	Comunidad de Teruel	Mayores de 64 años	1	Solteros/as	428
29	Comunidad de Teruel	Mayores de 64 años	2	Casados/as	105
29	Comunidad de Teruel	Mayores de 64 años	3	Viudos/as	1343
29	Comunidad de Teruel	Mayores de 64 años	4	Separados/as	26
29	Comunidad de Teruel	Mayores de 64 años	5	Divorciados/as	10
30	Maestrazgo	16 a 34 años	1	Solteros/as	40
30	Maestrazgo	16 a 34 años	2	Casados/as	11
30	Maestrazgo	16 a 34 años	4	Separados/as	1
30	Maestrazgo	16 a 34 años	5	Divorciados/as	1
30	Maestrazgo	35 a 64 años	1	Solteros/as	92
30	Maestrazgo	35 a 64 años	2	Casados/as	36
30	Maestrazgo	35 a 64 años	3	Viudos/as	5
30	Maestrazgo	35 a 64 años	4	Separados/as	9
30	Maestrazgo	35 a 64 años	5	Divorciados/as	3
30	Maestrazgo	Mayores de 64 años	1	Solteros/as	68
30	Maestrazgo	Mayores de 64 años	2	Casados/as	13
30	Maestrazgo	Mayores de 64 años	3	Viudos/as	192
30	Maestrazgo	Mayores de 64 años	4	Separados/as	3
30	Maestrazgo	Mayores de 64 años	5	Divorciados/as	4
31	Sierra de Albarracín	16 a 34 años	1	Solteros/as	45
31	Sierra de Albarracín	16 a 34 años	2	Casados/as	21
31	Sierra de Albarracín	16 a 34 años	5	Divorciados/as	4
31	Sierra de Albarracín	35 a 64 años	1	Solteros/as	111
31	Sierra de Albarracín	35 a 64 años	2	Casados/as	78
31	Sierra de Albarracín	35 a 64 años	3	Viudos/as	11
31	Sierra de Albarracín	35 a 64 años	4	Separados/as	11
31	Sierra de Albarracín	35 a 64 años	5	Divorciados/as	3
31	Sierra de Albarracín	Mayores de 64 años	1	Solteros/as	106
31	Sierra de Albarracín	Mayores de 64 años	2	Casados/as	21
31	Sierra de Albarracín	Mayores de 64 años	3	Viudos/as	261
31	Sierra de Albarracín	Mayores de 64 años	4	Separados/as	1
31	Sierra de Albarracín	Mayores de 64 años	5	Divorciados/as	2
32	Gúdar-Javalambre	16 a 34 años	1	Solteros/as	126
