Edad	Sexo	Estado civil	Personas residentes viviendas familiares	Aragón
35 a 39	Hombres	Casados/as	33046	Aragón
35 a 39	Hombres	Viudos/as	122	Aragón
35 a 39	Hombres	Separados/as	1120	Aragón
35 a 39	Hombres	Divorciados/as	646	Aragón
35 a 39	Mujeres	Solteros/as	7666	Aragón
35 a 39	Mujeres	Casados/as	34714	Aragón
35 a 39	Mujeres	Viudos/as	451	Aragón
35 a 39	Mujeres	Separados/as	1511	Aragón
35 a 39	Mujeres	Divorciados/as	1019	Aragón
40 a 44	Hombres	Solteros/as	8477	Aragón
40 a 44	Hombres	Casados/as	34579	Aragón
40 a 44	Hombres	Viudos/as	202	Aragón
40 a 44	Hombres	Separados/as	1214	Aragón
40 a 44	Hombres	Divorciados/as	766	Aragón
40 a 44	Mujeres	Solteros/as	5248	Aragón
40 a 44	Mujeres	Casados/as	34774	Aragón
40 a 44	Mujeres	Viudos/as	800	Aragón
40 a 44	Mujeres	Separados/as	1571	Aragón
40 a 44	Mujeres	Divorciados/as	1260	Aragón
45 a 49	Hombres	Solteros/as	5824	Aragón
45 a 49	Hombres	Casados/as	31791	Aragón
45 a 49	Hombres	Viudos/as	250	Aragón
45 a 49	Hombres	Separados/as	1093	Aragón
45 a 49	Hombres	Divorciados/as	737	Aragón
45 a 49	Mujeres	Solteros/as	3762	Aragón
45 a 49	Mujeres	Casados/as	31167	Aragón
45 a 49	Mujeres	Viudos/as	1204	Aragón
45 a 49	Mujeres	Separados/as	1320	Aragón
45 a 49	Mujeres	Divorciados/as	1146	Aragón
50 a 54	Hombres	Solteros/as	4855	Aragón
50 a 54	Hombres	Casados/as	29965	Aragón
50 a 54	Hombres	Viudos/as	406	Aragón
50 a 54	Hombres	Separados/as	927	Aragón
50 a 54	Hombres	Divorciados/as	621	Aragón
50 a 54	Mujeres	Solteros/as	3119	Aragón
50 a 54	Mujeres	Casados/as	29444	Aragón
50 a 54	Mujeres	Viudos/as	2119	Aragón
50 a 54	Mujeres	Separados/as	976	Aragón
50 a 54	Mujeres	Divorciados/as	929	Aragón
55 a 59	Hombres	Solteros/as	4317	Aragón
55 a 59	Hombres	Casados/as	27943	Aragón
55 a 59	Hombres	Viudos/as	624	Aragón
55 a 59	Hombres	Separados/as	616	Aragón
55 a 59	Hombres	Divorciados/as	420	Aragón
55 a 59	Mujeres	Solteros/as	2581	Aragón
55 a 59	Mujeres	Casados/as	27288	Aragón
55 a 59	Mujeres	Viudos/as	3047	Aragón
55 a 59	Mujeres	Separados/as	721	Aragón
55 a 59	Mujeres	Divorciados/as	560	Aragón
60 a 64	Hombres	Solteros/as	3580	Aragón
60 a 64	Hombres	Casados/as	22436	Aragón
60 a 64	Hombres	Viudos/as	834	Aragón
60 a 64	Hombres	Separados/as	408	Aragón
60 a 64	Hombres	Divorciados/as	242	Aragón
60 a 64	Mujeres	Solteros/as	2007	Aragón
60 a 64	Mujeres	Casados/as	21824	Aragón
60 a 64	Mujeres	Viudos/as	4267	Aragón
60 a 64	Mujeres	Separados/as	404	Aragón
60 a 64	Mujeres	Divorciados/as	263	Aragón
65 a 69	Hombres	Solteros/as	4304	Aragón
65 a 69	Hombres	Casados/as	26663	Aragón
65 a 69	Hombres	Viudos/as	1809	Aragón
65 a 69	Hombres	Separados/as	330	Aragón
65 a 69	Hombres	Divorciados/as	158	Aragón
65 a 69	Mujeres	Solteros/as	2672	Aragón
65 a 69	Mujeres	Casados/as	25411	Aragón
65 a 69	Mujeres	Viudos/as	8013	Aragón
65 a 69	Mujeres	Separados/as	366	Aragón
65 a 69	Mujeres	Divorciados/as	218	Aragón
70 a 74	Hombres	Solteros/as	3502	Aragón
70 a 74	Hombres	Casados/as	24239	Aragón
70 a 74	Hombres	Viudos/as	2551	Aragón
70 a 74	Hombres	Separados/as	226	Aragón
70 a 74	Hombres	Divorciados/as	92	Aragón
70 a 74	Mujeres	Solteros/as	2774	Aragón
70 a 74	Mujeres	Casados/as	21051	Aragón
70 a 74	Mujeres	Viudos/as	11505	Aragón
70 a 74	Mujeres	Separados/as	177	Aragón
70 a 74	Mujeres	Divorciados/as	103	Aragón
75 a 79	Hombres	Solteros/as	1989	Aragón
75 a 79	Hombres	Casados/as	18260	Aragón
75 a 79	Hombres	Viudos/as	3378	Aragón
75 a 79	Hombres	Separados/as	105	Aragón
75 a 79	Hombres	Divorciados/as	52	Aragón
75 a 79	Mujeres	Solteros/as	2593	Aragón
75 a 79	Mujeres	Casados/as	13542	Aragón
75 a 79	Mujeres	Viudos/as	14103	Aragón
75 a 79	Mujeres	Separados/as	120	Aragón
75 a 79	Mujeres	Divorciados/as	43	Aragón
80 a 84	Hombres	Solteros/as	936	Aragón
80 a 84	Hombres	Casados/as	9172	Aragón
80 a 84	Hombres	Viudos/as	2872	Aragón
80 a 84	Hombres	Separados/as	56	Aragón
80 a 84	Hombres	Divorciados/as	11	Aragón
80 a 84	Mujeres	Solteros/as	1861	Aragón
80 a 84	Mujeres	Casados/as	5610	Aragón
80 a 84	Mujeres	Viudos/as	12811	Aragón
80 a 84	Mujeres	Separados/as	43	Aragón
80 a 84	Mujeres	Divorciados/as	20	Aragón
85 a 90	Hombres	Solteros/as	359	Aragón
85 a 90	Hombres	Casados/as	3588	Aragón
85 a 90	Hombres	Viudos/as	2126	Aragón
85 a 90	Hombres	Separados/as	13	Aragón
85 a 90	Hombres	Divorciados/as	7	Aragón
85 a 90	Mujeres	Solteros/as	960	Aragón
85 a 90	Mujeres	Casados/as	1534	Aragón
85 a 90	Mujeres	Viudos/as	8795	Aragón
85 a 90	Mujeres	Separados/as	11	Aragón
85 a 90	Mujeres	Divorciados/as	6	Aragón
90 ó más	Hombres	Solteros/as	131	Aragón
90 ó más	Hombres	Casados/as	953	Aragón
90 ó más	Hombres	Viudos/as	1346	Aragón
90 ó más	Hombres	Separados/as	3	Aragón
90 ó más	Hombres	Divorciados/as	5	Aragón
90 ó más	Mujeres	Solteros/as	401	Aragón
90 ó más	Mujeres	Casados/as	285	Aragón
90 ó más	Mujeres	Viudos/as	4750	Aragón
90 ó más	Mujeres	Separados/as	5	Aragón
90 ó más	Mujeres	Divorciados/as	2	Aragón
