Municipio código	Municipio nombre	Tipo hogar 1	Tipo de hogar 2	Número hogares
22053	Benabarre	1- Hogar unipersonal	1- Hogar unipersonal	129
22053	Benabarre	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	3
22053	Benabarre	2- Hogar multipersonal	3- Hogar multipersonal, una familia	281
22053	Benabarre	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	2
22054	Benasque	1- Hogar unipersonal	1- Hogar unipersonal	242
22054	Benasque	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	18
22054	Benasque	2- Hogar multipersonal	3- Hogar multipersonal, una familia	366
22054	Benasque	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	4
22055	Berbegal	1- Hogar unipersonal	1- Hogar unipersonal	56
22055	Berbegal	2- Hogar multipersonal	3- Hogar multipersonal, una familia	119
22057	Bielsa	1- Hogar unipersonal	1- Hogar unipersonal	54
22057	Bielsa	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22057	Bielsa	2- Hogar multipersonal	3- Hogar multipersonal, una familia	117
22058	Bierge	1- Hogar unipersonal	1- Hogar unipersonal	40
22058	Bierge	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22058	Bierge	2- Hogar multipersonal	3- Hogar multipersonal, una familia	55
22059	Biescas	1- Hogar unipersonal	1- Hogar unipersonal	167
22059	Biescas	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	3
22059	Biescas	2- Hogar multipersonal	3- Hogar multipersonal, una familia	315
22059	Biescas	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	2
22060	Binaced	1- Hogar unipersonal	1- Hogar unipersonal	89
22060	Binaced	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	6
22060	Binaced	2- Hogar multipersonal	3- Hogar multipersonal, una familia	412
22060	Binaced	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	5
22061	Binéfar	1- Hogar unipersonal	1- Hogar unipersonal	551
22061	Binéfar	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	30
22061	Binéfar	2- Hogar multipersonal	3- Hogar multipersonal, una familia	2348
22061	Binéfar	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	19
22062	Bisaurri	1- Hogar unipersonal	1- Hogar unipersonal	34
22062	Bisaurri	2- Hogar multipersonal	3- Hogar multipersonal, una familia	57
22063	Biscarrués	1- Hogar unipersonal	1- Hogar unipersonal	25
22063	Biscarrués	2- Hogar multipersonal	3- Hogar multipersonal, una familia	58
22064	Blecua y Torres	1- Hogar unipersonal	1- Hogar unipersonal	23
22064	Blecua y Torres	2- Hogar multipersonal	3- Hogar multipersonal, una familia	47
22066	Boltaña	1- Hogar unipersonal	1- Hogar unipersonal	109
22066	Boltaña	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	7
22066	Boltaña	2- Hogar multipersonal	3- Hogar multipersonal, una familia	204
22067	Bonansa	1- Hogar unipersonal	1- Hogar unipersonal	10
22067	Bonansa	2- Hogar multipersonal	3- Hogar multipersonal, una familia	20
22068	Borau	1- Hogar unipersonal	1- Hogar unipersonal	15
22068	Borau	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22068	Borau	2- Hogar multipersonal	3- Hogar multipersonal, una familia	17
22069	Broto	1- Hogar unipersonal	1- Hogar unipersonal	48
22069	Broto	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	2
22069	Broto	2- Hogar multipersonal	3- Hogar multipersonal, una familia	137
22069	Broto	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	1
22072	Caldearenas	1- Hogar unipersonal	1- Hogar unipersonal	39
22072	Caldearenas	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	3
22072	Caldearenas	2- Hogar multipersonal	3- Hogar multipersonal, una familia	60
22074	Campo	1- Hogar unipersonal	1- Hogar unipersonal	40
22074	Campo	2- Hogar multipersonal	3- Hogar multipersonal, una familia	88
22074	Campo	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	1
22075	Camporrells	1- Hogar unipersonal	1- Hogar unipersonal	42
22075	Camporrells	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	2
22075	Camporrells	2- Hogar multipersonal	3- Hogar multipersonal, una familia	67
22076	Canal de Berdún	1- Hogar unipersonal	1- Hogar unipersonal	61
22076	Canal de Berdún	2- Hogar multipersonal	3- Hogar multipersonal, una familia	115
22077	Candasnos	1- Hogar unipersonal	1- Hogar unipersonal	39
22077	Candasnos	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	2
22077	Candasnos	2- Hogar multipersonal	3- Hogar multipersonal, una familia	155
22078	Canfranc	1- Hogar unipersonal	1- Hogar unipersonal	95
22078	Canfranc	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	8
22078	Canfranc	2- Hogar multipersonal	3- Hogar multipersonal, una familia	132
22079	Capdesaso	1- Hogar unipersonal	1- Hogar unipersonal	21
22079	Capdesaso	2- Hogar multipersonal	3- Hogar multipersonal, una familia	44
22080	Capella	1- Hogar unipersonal	1- Hogar unipersonal	38
22080	Capella	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	2
22080	Capella	2- Hogar multipersonal	3- Hogar multipersonal, una familia	99
22081	Casbas de Huesca	1- Hogar unipersonal	1- Hogar unipersonal	31
22081	Casbas de Huesca	2- Hogar multipersonal	3- Hogar multipersonal, una familia	84
22082	Castejón del Puente	1- Hogar unipersonal	1- Hogar unipersonal	27
22082	Castejón del Puente	2- Hogar multipersonal	3- Hogar multipersonal, una familia	112
22082	Castejón del Puente	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	1
22083	Castejón de Monegros	1- Hogar unipersonal	1- Hogar unipersonal	60
22083	Castejón de Monegros	2- Hogar multipersonal	3- Hogar multipersonal, una familia	186
22084	Castejón de Sos	1- Hogar unipersonal	1- Hogar unipersonal	57
22084	Castejón de Sos	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	4
22084	Castejón de Sos	2- Hogar multipersonal	3- Hogar multipersonal, una familia	161
22084	Castejón de Sos	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	1
22085	Castelflorite	1- Hogar unipersonal	1- Hogar unipersonal	10
22085	Castelflorite	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22085	Castelflorite	2- Hogar multipersonal	3- Hogar multipersonal, una familia	37
22086	Castiello de Jaca	1- Hogar unipersonal	1- Hogar unipersonal	31
22086	Castiello de Jaca	2- Hogar multipersonal	3- Hogar multipersonal, una familia	49
22087	Castigaleu	1- Hogar unipersonal	1- Hogar unipersonal	7
22087	Castigaleu	2- Hogar multipersonal	3- Hogar multipersonal, una familia	19
22088	Castillazuelo	1- Hogar unipersonal	1- Hogar unipersonal	37
22088	Castillazuelo	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22088	Castillazuelo	2- Hogar multipersonal	3- Hogar multipersonal, una familia	58
22089	Castillonroy	1- Hogar unipersonal	1- Hogar unipersonal	35
22089	Castillonroy	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22089	Castillonroy	2- Hogar multipersonal	3- Hogar multipersonal, una familia	109
22089	Castillonroy	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	1
22090	Colungo	1- Hogar unipersonal	1- Hogar unipersonal	26
22090	Colungo	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22090	Colungo	2- Hogar multipersonal	3- Hogar multipersonal, una familia	35
22094	Chalamera	1- Hogar unipersonal	1- Hogar unipersonal	23
22094	Chalamera	2- Hogar multipersonal	3- Hogar multipersonal, una familia	41
22095	Chía	1- Hogar unipersonal	1- Hogar unipersonal	14
22095	Chía	2- Hogar multipersonal	3- Hogar multipersonal, una familia	29
22096	Chimillas	1- Hogar unipersonal	1- Hogar unipersonal	14
22096	Chimillas	2- Hogar multipersonal	3- Hogar multipersonal, una familia	63
22099	Esplús	1- Hogar unipersonal	1- Hogar unipersonal	51
22099	Esplús	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22099	Esplús	2- Hogar multipersonal	3- Hogar multipersonal, una familia	194
22099	Esplús	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	1
22102	Estada	1- Hogar unipersonal	1- Hogar unipersonal	24
22102	Estada	2- Hogar multipersonal	3- Hogar multipersonal, una familia	54
22103	Estadilla	1- Hogar unipersonal	1- Hogar unipersonal	83
22103	Estadilla	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	2
22103	Estadilla	2- Hogar multipersonal	3- Hogar multipersonal, una familia	242
22105	Estopiñán del Castillo	1- Hogar unipersonal	1- Hogar unipersonal	36
22105	Estopiñán del Castillo	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	5
22105	Estopiñán del Castillo	2- Hogar multipersonal	3- Hogar multipersonal, una familia	51
22105	Estopiñán del Castillo	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	3
22106	Fago	1- Hogar unipersonal	1- Hogar unipersonal	14
22106	Fago	2- Hogar multipersonal	3- Hogar multipersonal, una familia	7
22107	Fanlo	1- Hogar unipersonal	1- Hogar unipersonal	35
22107	Fanlo	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	3
22107	Fanlo	2- Hogar multipersonal	3- Hogar multipersonal, una familia	33
22107	Fanlo	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	1
22109	Fiscal	1- Hogar unipersonal	1- Hogar unipersonal	35
22109	Fiscal	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	4
22109	Fiscal	2- Hogar multipersonal	3- Hogar multipersonal, una familia	62
22110	Fonz	1- Hogar unipersonal	1- Hogar unipersonal	129
22110	Fonz	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22110	Fonz	2- Hogar multipersonal	3- Hogar multipersonal, una familia	308
22111	Foradada del Toscar	1- Hogar unipersonal	1- Hogar unipersonal	18
22111	Foradada del Toscar	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22111	Foradada del Toscar	2- Hogar multipersonal	3- Hogar multipersonal, una familia	57
22112	Fraga	1- Hogar unipersonal	1- Hogar unipersonal	657
22112	Fraga	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	56
22112	Fraga	2- Hogar multipersonal	3- Hogar multipersonal, una familia	3193
22112	Fraga	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	16
22113	Fueva (La)	1- Hogar unipersonal	1- Hogar unipersonal	34
22113	Fueva (La)	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	2
22113	Fueva (La)	2- Hogar multipersonal	3- Hogar multipersonal, una familia	139
22113	Fueva (La)	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	1
22114	Gistaín	1- Hogar unipersonal	1- Hogar unipersonal	20
22114	Gistaín	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22114	Gistaín	2- Hogar multipersonal	3- Hogar multipersonal, una familia	46
22115	Grado (El)	1- Hogar unipersonal	1- Hogar unipersonal	91
22115	Grado (El)	2- Hogar multipersonal	3- Hogar multipersonal, una familia	134
22116	Grañén	1- Hogar unipersonal	1- Hogar unipersonal	151
22116	Grañén	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	4
22116	Grañén	2- Hogar multipersonal	3- Hogar multipersonal, una familia	531
22116	Grañén	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	1
22117	Graus	1- Hogar unipersonal	1- Hogar unipersonal	335
22117	Graus	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	11
22117	Graus	2- Hogar multipersonal	3- Hogar multipersonal, una familia	820
22119	Gurrea de Gállego	1- Hogar unipersonal	1- Hogar unipersonal	149
22119	Gurrea de Gállego	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	4
22119	Gurrea de Gállego	2- Hogar multipersonal	3- Hogar multipersonal, una familia	501
22122	Hoz de Jaca	1- Hogar unipersonal	1- Hogar unipersonal	8
22122	Hoz de Jaca	2- Hogar multipersonal	3- Hogar multipersonal, una familia	18
22124	Huerto	1- Hogar unipersonal	1- Hogar unipersonal	32
22124	Huerto	2- Hogar multipersonal	3- Hogar multipersonal, una familia	69
22125	Huesca	1- Hogar unipersonal	1- Hogar unipersonal	3577
22125	Huesca	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	129
22125	Huesca	2- Hogar multipersonal	3- Hogar multipersonal, una familia	12731
22125	Huesca	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	33
22126	Ibieca	1- Hogar unipersonal	1- Hogar unipersonal	12
22126	Ibieca	2- Hogar multipersonal	3- Hogar multipersonal, una familia	29
22127	Igriés	1- Hogar unipersonal	1- Hogar unipersonal	16
22127	Igriés	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22127	Igriés	2- Hogar multipersonal	3- Hogar multipersonal, una familia	62
22127	Igriés	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	4
22128	Ilche	1- Hogar unipersonal	1- Hogar unipersonal	20
22128	Ilche	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	2
22128	Ilche	2- Hogar multipersonal	3- Hogar multipersonal, una familia	62
22128	Ilche	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	1
22129	Isábena	1- Hogar unipersonal	1- Hogar unipersonal	28
22129	Isábena	2- Hogar multipersonal	3- Hogar multipersonal, una familia	66
22130	Jaca	1- Hogar unipersonal	1- Hogar unipersonal	1038
22130	Jaca	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	47
22130	Jaca	2- Hogar multipersonal	3- Hogar multipersonal, una familia	3018
22130	Jaca	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	24
22131	Jasa	1- Hogar unipersonal	1- Hogar unipersonal	18
22131	Jasa	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22131	Jasa	2- Hogar multipersonal	3- Hogar multipersonal, una familia	29
22133	Labuerda	1- Hogar unipersonal	1- Hogar unipersonal	22
22133	Labuerda	2- Hogar multipersonal	3- Hogar multipersonal, una familia	44
22135	Laluenga	1- Hogar unipersonal	1- Hogar unipersonal	36
22135	Laluenga	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22135	Laluenga	2- Hogar multipersonal	3- Hogar multipersonal, una familia	63
22136	Lalueza	1- Hogar unipersonal	1- Hogar unipersonal	104
22136	Lalueza	2- Hogar multipersonal	3- Hogar multipersonal, una familia	325
22137	Lanaja	1- Hogar unipersonal	1- Hogar unipersonal	169
22137	Lanaja	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22137	Lanaja	2- Hogar multipersonal	3- Hogar multipersonal, una familia	417
22139	Laperdiguera	1- Hogar unipersonal	1- Hogar unipersonal	9
22139	Laperdiguera	2- Hogar multipersonal	3- Hogar multipersonal, una familia	26
22141	Lascellas-Ponzano	1- Hogar unipersonal	1- Hogar unipersonal	25
22141	Lascellas-Ponzano	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22141	Lascellas-Ponzano	2- Hogar multipersonal	3- Hogar multipersonal, una familia	44
22142	Lascuarre	1- Hogar unipersonal	1- Hogar unipersonal	20
22142	Lascuarre	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22142	Lascuarre	2- Hogar multipersonal	3- Hogar multipersonal, una familia	36
22143	Laspaúles	1- Hogar unipersonal	1- Hogar unipersonal	34
22143	Laspaúles	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22143	Laspaúles	2- Hogar multipersonal	3- Hogar multipersonal, una familia	67
22144	Laspuña	1- Hogar unipersonal	1- Hogar unipersonal	15
22144	Laspuña	2- Hogar multipersonal	3- Hogar multipersonal, una familia	67
22149	Loarre	1- Hogar unipersonal	1- Hogar unipersonal	52
22149	Loarre	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22149	Loarre	2- Hogar multipersonal	3- Hogar multipersonal, una familia	104
22150	Loporzano	1- Hogar unipersonal	1- Hogar unipersonal	43
22150	Loporzano	2- Hogar multipersonal	3- Hogar multipersonal, una familia	128
22151	Loscorrales	1- Hogar unipersonal	1- Hogar unipersonal	15
22151	Loscorrales	2- Hogar multipersonal	3- Hogar multipersonal, una familia	30
22155	Monesma y Cajigar	1- Hogar unipersonal	1- Hogar unipersonal	5
22155	Monesma y Cajigar	2- Hogar multipersonal	3- Hogar multipersonal, una familia	23
22156	Monflorite-Lascasas	1- Hogar unipersonal	1- Hogar unipersonal	19
22156	Monflorite-Lascasas	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	3
22156	Monflorite-Lascasas	2- Hogar multipersonal	3- Hogar multipersonal, una familia	52
22157	Montanuy	1- Hogar unipersonal	1- Hogar unipersonal	31
22157	Montanuy	2- Hogar multipersonal	3- Hogar multipersonal, una familia	76
22158	Monzón	1- Hogar unipersonal	1- Hogar unipersonal	1045
22158	Monzón	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	51
22158	Monzón	2- Hogar multipersonal	3- Hogar multipersonal, una familia	4217
22158	Monzón	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	5
22160	Naval	1- Hogar unipersonal	1- Hogar unipersonal	45
22160	Naval	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22160	Naval	2- Hogar multipersonal	3- Hogar multipersonal, una familia	74
22160	Naval	2- Hogar multipersonal	4- Hogar multipersonal, más de un familia	1
22162	Novales	1- Hogar unipersonal	1- Hogar unipersonal	19
22162	Novales	2- Hogar multipersonal	3- Hogar multipersonal, una familia	45
22163	Nueno	1- Hogar unipersonal	1- Hogar unipersonal	32
22163	Nueno	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	3
22163	Nueno	2- Hogar multipersonal	3- Hogar multipersonal, una familia	96
22164	Olvena	1- Hogar unipersonal	1- Hogar unipersonal	9
22164	Olvena	2- Hogar multipersonal	3- Hogar multipersonal, una familia	15
22165	Ontiñena	1- Hogar unipersonal	1- Hogar unipersonal	49
22165	Ontiñena	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	1
22165	Ontiñena	2- Hogar multipersonal	3- Hogar multipersonal, una familia	181
22167	Osso de Cinca	1- Hogar unipersonal	1- Hogar unipersonal	48
22167	Osso de Cinca	2- Hogar multipersonal	2- Hogar multipersonal, no forman familia	4
22167	Osso de Cinca	2- Hogar multipersonal	3- Hogar multipersonal, una familia	180
22168	Palo	1- Hogar unipersonal	1- Hogar unipersonal	6
22168	Palo	2- Hogar multipersonal	3- Hogar multipersonal, una familia	10
