Comarca código	Comarca nombre	Año	Siglas	Votos	Candidatura
05	Cinco Villas	2019	PODEMOS-IU-EQUO	1857	UNIDAS PODEMOS
05	Cinco Villas	2019	VOX	1941	VOX
05	Cinco Villas	2019	PACMA	81	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
05	Cinco Villas	2019	EB	52	ESCAÑOS EN BLANCO
05	Cinco Villas	2019	RECORTES CERO-GV	20	RECORTES CERO-GRUPO VERDE
05	Cinco Villas	2019	PUM+J	16	POR UN MUNDO MÁS JUSTO
05	Cinco Villas	2019	PYLN	28	PUYALON
05	Cinco Villas	2019	FIA	11	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
05	Cinco Villas	2019	PCPE	14	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
05	Cinco Villas	2019	PCTE	11	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
06	Hoya de Huesca / Plana de Uesca	2019	PSOE	12877	PARTIDO SOCIALISTA OBRERO ESPAÑOL
06	Hoya de Huesca / Plana de Uesca	2019	Cs	7830	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
06	Hoya de Huesca / Plana de Uesca	2019	PP	7457	PARTIDO POPULAR
06	Hoya de Huesca / Plana de Uesca	2019	PODEMOS-IU-EQUO	5354	UNIDAS PODEMOS
06	Hoya de Huesca / Plana de Uesca	2019	VOX	4491	VOX
06	Hoya de Huesca / Plana de Uesca	2019	PACMA	340	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
06	Hoya de Huesca / Plana de Uesca	2019	EB	182	ESCAÑOS EN BLANCO
06	Hoya de Huesca / Plana de Uesca	2019	RECORTES CERO-GV	112	RECORTES CERO-GRUPO VERDE
06	Hoya de Huesca / Plana de Uesca	2019	PUM+J	65	POR UN MUNDO MÁS JUSTO
06	Hoya de Huesca / Plana de Uesca	2019	PYLN	61	PUYALON
06	Hoya de Huesca / Plana de Uesca	2019	FIA	29	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
06	Hoya de Huesca / Plana de Uesca	2019	PCPE	86	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
06	Hoya de Huesca / Plana de Uesca	2019	PCTE	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
07	Somontano de Barbastro	2019	PSOE	4334	PARTIDO SOCIALISTA OBRERO ESPAÑOL
07	Somontano de Barbastro	2019	Cs	2971	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
07	Somontano de Barbastro	2019	PP	3034	PARTIDO POPULAR
07	Somontano de Barbastro	2019	PODEMOS-IU-EQUO	1623	UNIDAS PODEMOS
07	Somontano de Barbastro	2019	VOX	1615	VOX
07	Somontano de Barbastro	2019	PACMA	130	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
07	Somontano de Barbastro	2019	EB	49	ESCAÑOS EN BLANCO
07	Somontano de Barbastro	2019	RECORTES CERO-GV	32	RECORTES CERO-GRUPO VERDE
07	Somontano de Barbastro	2019	PUM+J	16	POR UN MUNDO MÁS JUSTO
07	Somontano de Barbastro	2019	PYLN	22	PUYALON
07	Somontano de Barbastro	2019	FIA	15	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
07	Somontano de Barbastro	2019	PCPE	15	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
07	Somontano de Barbastro	2019	PCTE	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
08	Cinca Medio	2019	PSOE	4300	PARTIDO SOCIALISTA OBRERO ESPAÑOL
08	Cinca Medio	2019	Cs	2546	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
08	Cinca Medio	2019	PP	2501	PARTIDO POPULAR
08	Cinca Medio	2019	PODEMOS-IU-EQUO	1686	UNIDAS PODEMOS
08	Cinca Medio	2019	VOX	1352	VOX
08	Cinca Medio	2019	PACMA	116	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
08	Cinca Medio	2019	EB	49	ESCAÑOS EN BLANCO
08	Cinca Medio	2019	RECORTES CERO-GV	23	RECORTES CERO-GRUPO VERDE
08	Cinca Medio	2019	PUM+J	15	POR UN MUNDO MÁS JUSTO
08	Cinca Medio	2019	PYLN	6	PUYALON
08	Cinca Medio	2019	FIA	12	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
08	Cinca Medio	2019	PCPE	21	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
08	Cinca Medio	2019	PCTE	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
09	La Litera / La Llitera	2019	PSOE	3365	PARTIDO SOCIALISTA OBRERO ESPAÑOL
09	La Litera / La Llitera	2019	Cs	1841	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
09	La Litera / La Llitera	2019	PP	2114	PARTIDO POPULAR
09	La Litera / La Llitera	2019	PODEMOS-IU-EQUO	1430	UNIDAS PODEMOS
09	La Litera / La Llitera	2019	VOX	1023	VOX
09	La Litera / La Llitera	2019	PACMA	74	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
09	La Litera / La Llitera	2019	EB	31	ESCAÑOS EN BLANCO
09	La Litera / La Llitera	2019	RECORTES CERO-GV	13	RECORTES CERO-GRUPO VERDE
09	La Litera / La Llitera	2019	PUM+J	7	POR UN MUNDO MÁS JUSTO
09	La Litera / La Llitera	2019	PYLN	9	PUYALON
09	La Litera / La Llitera	2019	FIA	6	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
09	La Litera / La Llitera	2019	PCPE	22	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
09	La Litera / La Llitera	2019	PCTE	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
10	Los Monegros	2019	PSOE	4140	PARTIDO SOCIALISTA OBRERO ESPAÑOL
10	Los Monegros	2019	Cs	2129	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
10	Los Monegros	2019	PP	2673	PARTIDO POPULAR
10	Los Monegros	2019	PODEMOS-IU-EQUO	989	UNIDAS PODEMOS
10	Los Monegros	2019	VOX	1240	VOX
10	Los Monegros	2019	PACMA	48	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
10	Los Monegros	2019	EB	24	ESCAÑOS EN BLANCO
10	Los Monegros	2019	RECORTES CERO-GV	13	RECORTES CERO-GRUPO VERDE
10	Los Monegros	2019	PUM+J	15	POR UN MUNDO MÁS JUSTO
10	Los Monegros	2019	PYLN	7	PUYALON
10	Los Monegros	2019	FIA	6	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
10	Los Monegros	2019	PCPE	14	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
10	Los Monegros	2019	PCTE	2	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
11	Bajo Cinca / Baix Cinca	2019	PSOE	3821	PARTIDO SOCIALISTA OBRERO ESPAÑOL
11	Bajo Cinca / Baix Cinca	2019	Cs	2611	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
11	Bajo Cinca / Baix Cinca	2019	PP	2592	PARTIDO POPULAR
11	Bajo Cinca / Baix Cinca	2019	PODEMOS-IU-EQUO	1572	UNIDAS PODEMOS
11	Bajo Cinca / Baix Cinca	2019	VOX	1438	VOX
11	Bajo Cinca / Baix Cinca	2019	PACMA	72	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
11	Bajo Cinca / Baix Cinca	2019	EB	50	ESCAÑOS EN BLANCO
11	Bajo Cinca / Baix Cinca	2019	RECORTES CERO-GV	16	RECORTES CERO-GRUPO VERDE
11	Bajo Cinca / Baix Cinca	2019	PUM+J	16	POR UN MUNDO MÁS JUSTO
11	Bajo Cinca / Baix Cinca	2019	PYLN	5	PUYALON
11	Bajo Cinca / Baix Cinca	2019	FIA	11	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
11	Bajo Cinca / Baix Cinca	2019	PCPE	10	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
11	Bajo Cinca / Baix Cinca	2019	PCTE	1	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
12	Tarazona y el Moncayo	2019	PSOE	2898	PARTIDO SOCIALISTA OBRERO ESPAÑOL
12	Tarazona y el Moncayo	2019	Cs	1428	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
12	Tarazona y el Moncayo	2019	PP	1996	PARTIDO POPULAR
12	Tarazona y el Moncayo	2019	PODEMOS-IU-EQUO	1218	UNIDAS PODEMOS
12	Tarazona y el Moncayo	2019	VOX	697	VOX
12	Tarazona y el Moncayo	2019	PACMA	47	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
12	Tarazona y el Moncayo	2019	EB	16	ESCAÑOS EN BLANCO
12	Tarazona y el Moncayo	2019	RECORTES CERO-GV	17	RECORTES CERO-GRUPO VERDE
12	Tarazona y el Moncayo	2019	PUM+J	6	POR UN MUNDO MÁS JUSTO
12	Tarazona y el Moncayo	2019	PYLN	19	PUYALON
12	Tarazona y el Moncayo	2019	FIA	4	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
12	Tarazona y el Moncayo	2019	PCPE	7	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
12	Tarazona y el Moncayo	2019	PCTE	7	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
13	Campo de Borja	2019	PSOE	3039	PARTIDO SOCIALISTA OBRERO ESPAÑOL
13	Campo de Borja	2019	Cs	1425	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
13	Campo de Borja	2019	PP	1583	PARTIDO POPULAR
13	Campo de Borja	2019	PODEMOS-IU-EQUO	887	UNIDAS PODEMOS
13	Campo de Borja	2019	VOX	802	VOX
13	Campo de Borja	2019	PACMA	56	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
13	Campo de Borja	2019	EB	32	ESCAÑOS EN BLANCO
13	Campo de Borja	2019	RECORTES CERO-GV	21	RECORTES CERO-GRUPO VERDE
13	Campo de Borja	2019	PUM+J	5	POR UN MUNDO MÁS JUSTO
13	Campo de Borja	2019	PYLN	6	PUYALON
13	Campo de Borja	2019	FIA	12	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
13	Campo de Borja	2019	PCPE	3	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
13	Campo de Borja	2019	PCTE	9	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
14	Aranda	2019	PSOE	1238	PARTIDO SOCIALISTA OBRERO ESPAÑOL
14	Aranda	2019	Cs	848	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
14	Aranda	2019	PP	1036	PARTIDO POPULAR
14	Aranda	2019	PODEMOS-IU-EQUO	281	UNIDAS PODEMOS
14	Aranda	2019	VOX	529	VOX
14	Aranda	2019	PACMA	16	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
14	Aranda	2019	EB	10	ESCAÑOS EN BLANCO
14	Aranda	2019	RECORTES CERO-GV	5	RECORTES CERO-GRUPO VERDE
14	Aranda	2019	PUM+J	0	POR UN MUNDO MÁS JUSTO
14	Aranda	2019	PYLN	2	PUYALON
14	Aranda	2019	FIA	8	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
14	Aranda	2019	PCPE	2	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
14	Aranda	2019	PCTE	6	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
15	Ribera Alta del Ebro	2019	PSOE	5812	PARTIDO SOCIALISTA OBRERO ESPAÑOL
15	Ribera Alta del Ebro	2019	Cs	2723	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
15	Ribera Alta del Ebro	2019	PP	2560	PARTIDO POPULAR
15	Ribera Alta del Ebro	2019	PODEMOS-IU-EQUO	2003	UNIDAS PODEMOS
15	Ribera Alta del Ebro	2019	VOX	1736	VOX
15	Ribera Alta del Ebro	2019	PACMA	135	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
15	Ribera Alta del Ebro	2019	EB	47	ESCAÑOS EN BLANCO
15	Ribera Alta del Ebro	2019	RECORTES CERO-GV	32	RECORTES CERO-GRUPO VERDE
15	Ribera Alta del Ebro	2019	PUM+J	13	POR UN MUNDO MÁS JUSTO
15	Ribera Alta del Ebro	2019	PYLN	9	PUYALON
15	Ribera Alta del Ebro	2019	FIA	23	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
15	Ribera Alta del Ebro	2019	PCPE	13	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
15	Ribera Alta del Ebro	2019	PCTE	15	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
16	Valdejalón	2019	PSOE	4548	PARTIDO SOCIALISTA OBRERO ESPAÑOL
16	Valdejalón	2019	Cs	2643	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
16	Valdejalón	2019	PP	2875	PARTIDO POPULAR
16	Valdejalón	2019	PODEMOS-IU-EQUO	1463	UNIDAS PODEMOS
16	Valdejalón	2019	VOX	2099	VOX
16	Valdejalón	2019	PACMA	121	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
16	Valdejalón	2019	EB	43	ESCAÑOS EN BLANCO
16	Valdejalón	2019	RECORTES CERO-GV	27	RECORTES CERO-GRUPO VERDE
16	Valdejalón	2019	PUM+J	17	POR UN MUNDO MÁS JUSTO
16	Valdejalón	2019	PYLN	22	PUYALON
16	Valdejalón	2019	FIA	10	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
16	Valdejalón	2019	PCPE	19	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
16	Valdejalón	2019	PCTE	10	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
17	Central	2019	PSOE	131368	PARTIDO SOCIALISTA OBRERO ESPAÑOL
17	Central	2019	Cs	94356	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
17	Central	2019	PP	74001	PARTIDO POPULAR
17	Central	2019	PODEMOS-IU-EQUO	64496	UNIDAS PODEMOS
17	Central	2019	VOX	56741	VOX
17	Central	2019	PACMA	4732	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
17	Central	2019	EB	2269	ESCAÑOS EN BLANCO
17	Central	2019	RECORTES CERO-GV	1180	RECORTES CERO-GRUPO VERDE
17	Central	2019	PUM+J	639	POR UN MUNDO MÁS JUSTO
17	Central	2019	PYLN	455	PUYALON
17	Central	2019	FIA	551	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
17	Central	2019	PCPE	357	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
17	Central	2019	PCTE	493	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
18	Ribera Baja del Ebro	2019	PSOE	1996	PARTIDO SOCIALISTA OBRERO ESPAÑOL
18	Ribera Baja del Ebro	2019	Cs	948	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
18	Ribera Baja del Ebro	2019	PP	1020	PARTIDO POPULAR
18	Ribera Baja del Ebro	2019	PODEMOS-IU-EQUO	446	UNIDAS PODEMOS
18	Ribera Baja del Ebro	2019	VOX	525	VOX
18	Ribera Baja del Ebro	2019	PACMA	27	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
18	Ribera Baja del Ebro	2019	EB	18	ESCAÑOS EN BLANCO
18	Ribera Baja del Ebro	2019	RECORTES CERO-GV	4	RECORTES CERO-GRUPO VERDE
18	Ribera Baja del Ebro	2019	PUM+J	3	POR UN MUNDO MÁS JUSTO
18	Ribera Baja del Ebro	2019	PYLN	3	PUYALON
18	Ribera Baja del Ebro	2019	FIA	3	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
18	Ribera Baja del Ebro	2019	PCPE	5	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
18	Ribera Baja del Ebro	2019	PCTE	4	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2019	PSOE	2518	PARTIDO SOCIALISTA OBRERO ESPAÑOL
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2019	Cs	1387	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2019	PP	1391	PARTIDO POPULAR
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2019	PODEMOS-IU-EQUO	834	UNIDAS PODEMOS
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2019	VOX	800	VOX
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2019	PACMA	51	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2019	EB	23	ESCAÑOS EN BLANCO
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2019	RECORTES CERO-GV	16	RECORTES CERO-GRUPO VERDE
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2019	PUM+J	4	POR UN MUNDO MÁS JUSTO
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2019	PYLN	9	PUYALON
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2019	FIA	7	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2019	PCPE	6	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2019	PCTE	2	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
20	Comunidad de Calatayud	2019	PSOE	7117	PARTIDO SOCIALISTA OBRERO ESPAÑOL
20	Comunidad de Calatayud	2019	Cs	3774	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
20	Comunidad de Calatayud	2019	PP	5033	PARTIDO POPULAR
20	Comunidad de Calatayud	2019	PODEMOS-IU-EQUO	1991	UNIDAS PODEMOS
20	Comunidad de Calatayud	2019	VOX	2573	VOX
20	Comunidad de Calatayud	2019	PACMA	115	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
20	Comunidad de Calatayud	2019	EB	63	ESCAÑOS EN BLANCO
20	Comunidad de Calatayud	2019	RECORTES CERO-GV	62	RECORTES CERO-GRUPO VERDE
20	Comunidad de Calatayud	2019	PUM+J	18	POR UN MUNDO MÁS JUSTO
20	Comunidad de Calatayud	2019	PYLN	23	PUYALON
20	Comunidad de Calatayud	2019	FIA	12	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
20	Comunidad de Calatayud	2019	PCPE	13	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
20	Comunidad de Calatayud	2019	PCTE	12	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
21	Campo de Cariñena	2019	PSOE	2005	PARTIDO SOCIALISTA OBRERO ESPAÑOL
21	Campo de Cariñena	2019	Cs	933	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
21	Campo de Cariñena	2019	PP	1261	PARTIDO POPULAR
21	Campo de Cariñena	2019	PODEMOS-IU-EQUO	517	UNIDAS PODEMOS
21	Campo de Cariñena	2019	VOX	706	VOX
21	Campo de Cariñena	2019	PACMA	17	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
21	Campo de Cariñena	2019	EB	14	ESCAÑOS EN BLANCO
21	Campo de Cariñena	2019	RECORTES CERO-GV	7	RECORTES CERO-GRUPO VERDE
21	Campo de Cariñena	2019	PUM+J	6	POR UN MUNDO MÁS JUSTO
21	Campo de Cariñena	2019	PYLN	8	PUYALON
21	Campo de Cariñena	2019	FIA	4	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
21	Campo de Cariñena	2019	PCPE	4	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
21	Campo de Cariñena	2019	PCTE	3	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
22	Campo de Belchite	2019	PSOE	946	PARTIDO SOCIALISTA OBRERO ESPAÑOL
22	Campo de Belchite	2019	Cs	477	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
22	Campo de Belchite	2019	PP	983	PARTIDO POPULAR
22	Campo de Belchite	2019	PODEMOS-IU-EQUO	245	UNIDAS PODEMOS
22	Campo de Belchite	2019	VOX	409	VOX
22	Campo de Belchite	2019	PACMA	5	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
22	Campo de Belchite	2019	EB	3	ESCAÑOS EN BLANCO
22	Campo de Belchite	2019	RECORTES CERO-GV	5	RECORTES CERO-GRUPO VERDE
22	Campo de Belchite	2019	PUM+J	2	POR UN MUNDO MÁS JUSTO
22	Campo de Belchite	2019	PYLN	2	PUYALON
22	Campo de Belchite	2019	FIA	3	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
22	Campo de Belchite	2019	PCPE	4	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
22	Campo de Belchite	2019	PCTE	2	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
23	Bajo Martín	2019	PSOE	1421	PARTIDO SOCIALISTA OBRERO ESPAÑOL
23	Bajo Martín	2019	Cs	526	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
23	Bajo Martín	2019	PP	950	PARTIDO POPULAR
23	Bajo Martín	2019	PODEMOS-IU-EQUO	383	UNIDAS PODEMOS
23	Bajo Martín	2019	VOX	346	VOX
23	Bajo Martín	2019	PACMA	13	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
23	Bajo Martín	2019	EB	6	ESCAÑOS EN BLANCO
23	Bajo Martín	2019	RECORTES CERO-GV	6	RECORTES CERO-GRUPO VERDE
23	Bajo Martín	2019	PUM+J	5	POR UN MUNDO MÁS JUSTO
23	Bajo Martín	2019	PYLN	4	PUYALON
23	Bajo Martín	2019	FIA	0	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
23	Bajo Martín	2019	PCPE	4	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
23	Bajo Martín	2019	PCTE	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
24	Campo de Daroca	2019	PSOE	1009	PARTIDO SOCIALISTA OBRERO ESPAÑOL
24	Campo de Daroca	2019	Cs	637	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
24	Campo de Daroca	2019	PP	1046	PARTIDO POPULAR
24	Campo de Daroca	2019	PODEMOS-IU-EQUO	257	UNIDAS PODEMOS
24	Campo de Daroca	2019	VOX	441	VOX
24	Campo de Daroca	2019	PACMA	20	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
24	Campo de Daroca	2019	EB	16	ESCAÑOS EN BLANCO
24	Campo de Daroca	2019	RECORTES CERO-GV	4	RECORTES CERO-GRUPO VERDE
24	Campo de Daroca	2019	PUM+J	2	POR UN MUNDO MÁS JUSTO
24	Campo de Daroca	2019	PYLN	4	PUYALON
24	Campo de Daroca	2019	FIA	1	FEDERACION DE LOS INDEPENDIENTES DE ARAGON
