Aragón	Tipo estudios	Edad	Sexo	Personas residentes viviendas familiares
Aragón	Artes y Humanidades	75 a 79	Hombres	66
Aragón	Artes y Humanidades	80 y más	Hombres	52
Aragón	Informática	25 a 29	Mujeres	1353
Aragón	Informática	30 a 34	Mujeres	1084
Aragón	Informática	35 a 39	Mujeres	423
Aragón	Informática	40 a 44	Mujeres	117
Aragón	Informática	45 a 49	Mujeres	41
Aragón	Informática	50 a 54	Mujeres	28
Aragón	Informática	55 a 59	Mujeres	18
Aragón	Informática	60 a 64	Mujeres	8
Aragón	Informática	65 a 69	Mujeres	6
Aragón	Informática	70 a 74	Mujeres	5
Aragón	Informática	75 a 79	Mujeres	4
Aragón	Informática	80 y más	Mujeres	3
Aragón	Informática	25 a 29	Hombres	1490
Aragón	Informática	30 a 34	Hombres	985
Aragón	Informática	35 a 39	Hombres	519
Aragón	Informática	40 a 44	Hombres	196
Aragón	Informática	45 a 49	Hombres	94
Aragón	Informática	50 a 54	Hombres	76
Aragón	Informática	55 a 59	Hombres	40
Aragón	Informática	60 a 64	Hombres	26
Aragón	Informática	65 a 69	Hombres	15
Aragón	Informática	70 a 74	Hombres	5
Aragón	Informática	75 a 79	Hombres	4
Aragón	Informática	80 y más	Hombres	4
Aragón	Ingenierías	25 a 29	Mujeres	1179
Aragón	Ingenierías	30 a 34	Mujeres	574
Aragón	Ingenierías	35 a 39	Mujeres	287
Aragón	Ingenierías	40 a 44	Mujeres	151
Aragón	Ingenierías	45 a 49	Mujeres	87
Aragón	Ingenierías	50 a 54	Mujeres	41
Aragón	Ingenierías	55 a 59	Mujeres	27
Aragón	Ingenierías	60 a 64	Mujeres	7
Aragón	Ingenierías	65 a 69	Mujeres	12
Aragón	Ingenierías	70 a 74	Mujeres	7
Aragón	Ingenierías	75 a 79	Mujeres	5
Aragón	Ingenierías	80 y más	Mujeres	1
Aragón	Ingenierías	25 a 29	Hombres	3341
Aragón	Ingenierías	30 a 34	Hombres	2460
Aragón	Ingenierías	35 a 39	Hombres	1573
Aragón	Ingenierías	40 a 44	Hombres	1212
Aragón	Ingenierías	45 a 49	Hombres	906
Aragón	Ingenierías	50 a 54	Hombres	923
Aragón	Ingenierías	55 a 59	Hombres	860
Aragón	Ingenierías	60 a 64	Hombres	454
Aragón	Ingenierías	65 a 69	Hombres	303
Aragón	Ingenierías	70 a 74	Hombres	192
Aragón	Ingenierías	75 a 79	Hombres	113
Aragón	Ingenierías	80 y más	Hombres	90
Aragón	Formación Técnica e Industrial	25 a 29	Mujeres	2027
Aragón	Formación Técnica e Industrial	30 a 34	Mujeres	2045
Aragón	Formación Técnica e Industrial	35 a 39	Mujeres	1733
Aragón	Formación Técnica e Industrial	40 a 44	Mujeres	988
Aragón	Formación Técnica e Industrial	45 a 49	Mujeres	446
Aragón	Formación Técnica e Industrial	50 a 54	Mujeres	244
Aragón	Formación Técnica e Industrial	55 a 59	Mujeres	126
Aragón	Formación Técnica e Industrial	60 a 64	Mujeres	82
Aragón	Formación Técnica e Industrial	65 a 69	Mujeres	57
Aragón	Formación Técnica e Industrial	70 a 74	Mujeres	33
Aragón	Formación Técnica e Industrial	75 a 79	Mujeres	25
Aragón	Formación Técnica e Industrial	80 y más	Mujeres	29
Aragón	Formación Técnica e Industrial	25 a 29	Hombres	7874
Aragón	Formación Técnica e Industrial	30 a 34	Hombres	7908
Aragón	Formación Técnica e Industrial	35 a 39	Hombres	6726
Aragón	Formación Técnica e Industrial	40 a 44	Hombres	4559
Aragón	Formación Técnica e Industrial	45 a 49	Hombres	3207
Aragón	Formación Técnica e Industrial	50 a 54	Hombres	2724
Aragón	Formación Técnica e Industrial	55 a 59	Hombres	1747
Aragón	Formación Técnica e Industrial	60 a 64	Hombres	777
Aragón	Formación Técnica e Industrial	65 a 69	Hombres	486
Aragón	Formación Técnica e Industrial	70 a 74	Hombres	291
Aragón	Formación Técnica e Industrial	75 a 79	Hombres	172
Aragón	Formación Técnica e Industrial	80 y más	Hombres	127
Aragón	Ciencias	25 a 29	Mujeres	1421
Aragón	Ciencias	30 a 34	Mujeres	824
Aragón	Ciencias	35 a 39	Mujeres	567
Aragón	Ciencias	40 a 44	Mujeres	478
Aragón	Ciencias	45 a 49	Mujeres	324
Aragón	Ciencias	50 a 54	Mujeres	194
Aragón	Ciencias	55 a 59	Mujeres	96
Aragón	Ciencias	60 a 64	Mujeres	48
Aragón	Ciencias	65 a 69	Mujeres	46
Aragón	Ciencias	70 a 74	Mujeres	31
Aragón	Ciencias	75 a 79	Mujeres	30
Aragón	Ciencias	80 y más	Mujeres	30
Aragón	Ciencias	25 a 29	Hombres	1135
Aragón	Ciencias	30 a 34	Hombres	906
Aragón	Ciencias	35 a 39	Hombres	603
Aragón	Ciencias	40 a 44	Hombres	566
Aragón	Ciencias	45 a 49	Hombres	541
Aragón	Ciencias	50 a 54	Hombres	481
Aragón	Ciencias	55 a 59	Hombres	277
Aragón	Ciencias	60 a 64	Hombres	117
Aragón	Ciencias	65 a 69	Hombres	89
Aragón	Ciencias	70 a 74	Hombres	116
Aragón	Ciencias	75 a 79	Hombres	65
Aragón	Ciencias	80 y más	Hombres	48
Aragón	Arquitectura o Construcción	25 a 29	Mujeres	254
Aragón	Arquitectura o Construcción	30 a 34	Mujeres	146
Aragón	Arquitectura o Construcción	35 a 39	Mujeres	109
Aragón	Arquitectura o Construcción	40 a 44	Mujeres	82
Aragón	Arquitectura o Construcción	45 a 49	Mujeres	62
Aragón	Arquitectura o Construcción	50 a 54	Mujeres	44
Aragón	Arquitectura o Construcción	55 a 59	Mujeres	22
Aragón	Arquitectura o Construcción	60 a 64	Mujeres	10
Aragón	Arquitectura o Construcción	65 a 69	Mujeres	9
Aragón	Arquitectura o Construcción	70 a 74	Mujeres	7
Aragón	Arquitectura o Construcción	75 a 79	Mujeres	6
Aragón	Arquitectura o Construcción	80 y más	Mujeres	4
Aragón	Arquitectura o Construcción	25 a 29	Hombres	309
Aragón	Arquitectura o Construcción	30 a 34	Hombres	283
Aragón	Arquitectura o Construcción	35 a 39	Hombres	364
Aragón	Arquitectura o Construcción	40 a 44	Hombres	330
Aragón	Arquitectura o Construcción	45 a 49	Hombres	284
Aragón	Arquitectura o Construcción	50 a 54	Hombres	340
Aragón	Arquitectura o Construcción	55 a 59	Hombres	206
Aragón	Arquitectura o Construcción	60 a 64	Hombres	108
Aragón	Arquitectura o Construcción	65 a 69	Hombres	54
Aragón	Arquitectura o Construcción	70 a 74	Hombres	54
Aragón	Arquitectura o Construcción	75 a 79	Hombres	37
Aragón	Arquitectura o Construcción	80 y más	Hombres	22
Aragón	Agricultura, Veterinaria,...	25 a 29	Mujeres	329
Aragón	Agricultura, Veterinaria,...	30 a 34	Mujeres	290
Aragón	Agricultura, Veterinaria,...	35 a 39	Mujeres	372
Aragón	Agricultura, Veterinaria,...	40 a 44	Mujeres	200
Aragón	Agricultura, Veterinaria,...	45 a 49	Mujeres	71
Aragón	Agricultura, Veterinaria,...	50 a 54	Mujeres	49
Aragón	Agricultura, Veterinaria,...	55 a 59	Mujeres	14
Aragón	Agricultura, Veterinaria,...	60 a 64	Mujeres	8
Aragón	Agricultura, Veterinaria,...	65 a 69	Mujeres	5
Aragón	Agricultura, Veterinaria,...	70 a 74	Mujeres	9
Aragón	Agricultura, Veterinaria,...	75 a 79	Mujeres	2
Aragón	Agricultura, Veterinaria,...	80 y más	Mujeres	4
Aragón	Agricultura, Veterinaria,...	25 a 29	Hombres	759
Aragón	Agricultura, Veterinaria,...	30 a 34	Hombres	858
Aragón	Agricultura, Veterinaria,...	35 a 39	Hombres	969
Aragón	Agricultura, Veterinaria,...	40 a 44	Hombres	716
Aragón	Agricultura, Veterinaria,...	45 a 49	Hombres	361
Aragón	Agricultura, Veterinaria,...	50 a 54	Hombres	203
Aragón	Agricultura, Veterinaria,...	55 a 59	Hombres	126
Aragón	Agricultura, Veterinaria,...	60 a 64	Hombres	67
Aragón	Agricultura, Veterinaria,...	65 a 69	Hombres	86
Aragón	Agricultura, Veterinaria,...	70 a 74	Hombres	105
Aragón	Agricultura, Veterinaria,...	75 a 79	Hombres	51
Aragón	Agricultura, Veterinaria,...	80 y más	Hombres	35
Aragón	Salud, Servicios Sociales	25 a 29	Mujeres	4352
Aragón	Salud, Servicios Sociales	30 a 34	Mujeres	3911
Aragón	Salud, Servicios Sociales	35 a 39	Mujeres	3350
Aragón	Salud, Servicios Sociales	40 a 44	Mujeres	3515
Aragón	Salud, Servicios Sociales	45 a 49	Mujeres	2821
Aragón	Salud, Servicios Sociales	50 a 54	Mujeres	1414
Aragón	Salud, Servicios Sociales	55 a 59	Mujeres	733
Aragón	Salud, Servicios Sociales	60 a 64	Mujeres	317
Aragón	Salud, Servicios Sociales	65 a 69	Mujeres	285
Aragón	Salud, Servicios Sociales	70 a 74	Mujeres	237
Aragón	Salud, Servicios Sociales	75 a 79	Mujeres	139
Aragón	Salud, Servicios Sociales	80 y más	Mujeres	133
Aragón	Salud, Servicios Sociales	25 a 29	Hombres	851
Aragón	Salud, Servicios Sociales	30 a 34	Hombres	897
Aragón	Salud, Servicios Sociales	35 a 39	Hombres	897
Aragón	Salud, Servicios Sociales	40 a 44	Hombres	1468
Aragón	Salud, Servicios Sociales	45 a 49	Hombres	1360
Aragón	Salud, Servicios Sociales	50 a 54	Hombres	773
Aragón	Salud, Servicios Sociales	55 a 59	Hombres	552
Aragón	Salud, Servicios Sociales	60 a 64	Hombres	286
Aragón	Salud, Servicios Sociales	65 a 69	Hombres	310
Aragón	Salud, Servicios Sociales	70 a 74	Hombres	239
Aragón	Salud, Servicios Sociales	75 a 79	Hombres	205
Aragón	Salud, Servicios Sociales	80 y más	Hombres	163
Aragón	Otros Servicios	25 a 29	Mujeres	1995
Aragón	Otros Servicios	30 a 34	Mujeres	1873
Aragón	Otros Servicios	35 a 39	Mujeres	1352
Aragón	Otros Servicios	40 a 44	Mujeres	795
Aragón	Otros Servicios	45 a 49	Mujeres	478
Aragón	Otros Servicios	50 a 54	Mujeres	357
Aragón	Otros Servicios	55 a 59	Mujeres	159
Aragón	Otros Servicios	60 a 64	Mujeres	57
Aragón	Otros Servicios	65 a 69	Mujeres	35
Aragón	Otros Servicios	70 a 74	Mujeres	35
Aragón	Otros Servicios	75 a 79	Mujeres	27
Aragón	Otros Servicios	80 y más	Mujeres	17
Aragón	Otros Servicios	25 a 29	Hombres	876
Aragón	Otros Servicios	30 a 34	Hombres	910
Aragón	Otros Servicios	35 a 39	Hombres	818
Aragón	Otros Servicios	40 a 44	Hombres	677
Aragón	Otros Servicios	45 a 49	Hombres	530
Aragón	Otros Servicios	50 a 54	Hombres	309
Aragón	Otros Servicios	55 a 59	Hombres	276
Aragón	Otros Servicios	60 a 64	Hombres	242
Aragón	Otros Servicios	65 a 69	Hombres	213
Aragón	Otros Servicios	70 a 74	Hombres	150
Aragón	Otros Servicios	75 a 79	Hombres	91
Aragón	Otros Servicios	80 y más	Hombres	135
