Comarca codigo	Comarca nombre	Explotaciones	Porcentaje de SAU en propiedad del titular
13	Campo de Borja	132	e) >=50% a < 75%  de la SAU en propiedad
13	Campo de Borja	75	f) >= 75% a < 90%  de la SAU en propiedad
13	Campo de Borja	1248	g) >= 90%  de la SAU en propiedad
14	Aranda	15	a) No hay SAU
14	Aranda	47	b) < 10% de la SAU en propiedad
14	Aranda	25	c) >=10% a < 25%  de la SAU en propiedad
14	Aranda	22	d) >=25% a < 50%  de la SAU en propiedad
14	Aranda	41	e) >=50% a < 75%  de la SAU en propiedad
14	Aranda	15	f) >= 75% a < 90%  de la SAU en propiedad
14	Aranda	520	g) >= 90%  de la SAU en propiedad
15	Ribera Alta del Ebro	37	a) No hay SAU
15	Ribera Alta del Ebro	165	b) < 10% de la SAU en propiedad
15	Ribera Alta del Ebro	64	c) >=10% a < 25%  de la SAU en propiedad
15	Ribera Alta del Ebro	90	d) >=25% a < 50%  de la SAU en propiedad
15	Ribera Alta del Ebro	128	e) >=50% a < 75%  de la SAU en propiedad
15	Ribera Alta del Ebro	78	f) >= 75% a < 90%  de la SAU en propiedad
15	Ribera Alta del Ebro	545	g) >= 90%  de la SAU en propiedad
16	Valdejalón	35	a) No hay SAU
16	Valdejalón	394	b) < 10% de la SAU en propiedad
16	Valdejalón	96	c) >=10% a < 25%  de la SAU en propiedad
16	Valdejalón	120	d) >=25% a < 50%  de la SAU en propiedad
16	Valdejalón	187	e) >=50% a < 75%  de la SAU en propiedad
16	Valdejalón	101	f) >= 75% a < 90%  de la SAU en propiedad
16	Valdejalón	1582	g) >= 90%  de la SAU en propiedad
17	D.C. Zaragoza	58	a) No hay SAU
17	D.C. Zaragoza	601	b) < 10% de la SAU en propiedad
17	D.C. Zaragoza	220	c) >=10% a < 25%  de la SAU en propiedad
17	D.C. Zaragoza	272	d) >=25% a < 50%  de la SAU en propiedad
17	D.C. Zaragoza	222	e) >=50% a < 75%  de la SAU en propiedad
17	D.C. Zaragoza	106	f) >= 75% a < 90%  de la SAU en propiedad
17	D.C. Zaragoza	1130	g) >= 90%  de la SAU en propiedad
18	Ribera Baja del Ebro	31	a) No hay SAU
18	Ribera Baja del Ebro	242	b) < 10% de la SAU en propiedad
18	Ribera Baja del Ebro	83	c) >=10% a < 25%  de la SAU en propiedad
18	Ribera Baja del Ebro	111	d) >=25% a < 50%  de la SAU en propiedad
18	Ribera Baja del Ebro	134	e) >=50% a < 75%  de la SAU en propiedad
18	Ribera Baja del Ebro	68	f) >= 75% a < 90%  de la SAU en propiedad
18	Ribera Baja del Ebro	410	g) >= 90%  de la SAU en propiedad
19	Bajo Aragón-Caspe / Baix Aragó-Casp	56	a) No hay SAU
19	Bajo Aragón-Caspe / Baix Aragó-Casp	146	b) < 10% de la SAU en propiedad
19	Bajo Aragón-Caspe / Baix Aragó-Casp	44	c) >=10% a < 25%  de la SAU en propiedad
19	Bajo Aragón-Caspe / Baix Aragó-Casp	77	d) >=25% a < 50%  de la SAU en propiedad
19	Bajo Aragón-Caspe / Baix Aragó-Casp	143	e) >=50% a < 75%  de la SAU en propiedad
19	Bajo Aragón-Caspe / Baix Aragó-Casp	56	f) >= 75% a < 90%  de la SAU en propiedad
19	Bajo Aragón-Caspe / Baix Aragó-Casp	1095	g) >= 90%  de la SAU en propiedad
20	Comunidad de Calatayud	55	a) No hay SAU
20	Comunidad de Calatayud	342	b) < 10% de la SAU en propiedad
20	Comunidad de Calatayud	141	c) >=10% a < 25%  de la SAU en propiedad
20	Comunidad de Calatayud	176	d) >=25% a < 50%  de la SAU en propiedad
20	Comunidad de Calatayud	241	e) >=50% a < 75%  de la SAU en propiedad
20	Comunidad de Calatayud	119	f) >= 75% a < 90%  de la SAU en propiedad
20	Comunidad de Calatayud	2281	g) >= 90%  de la SAU en propiedad
21	Campo de Cariñena	11	a) No hay SAU
21	Campo de Cariñena	122	b) < 10% de la SAU en propiedad
21	Campo de Cariñena	52	c) >=10% a < 25%  de la SAU en propiedad
21	Campo de Cariñena	82	d) >=25% a < 50%  de la SAU en propiedad
21	Campo de Cariñena	114	e) >=50% a < 75%  de la SAU en propiedad
21	Campo de Cariñena	62	f) >= 75% a < 90%  de la SAU en propiedad
21	Campo de Cariñena	1533	g) >= 90%  de la SAU en propiedad
22	Campo de Belchite	24	a) No hay SAU
22	Campo de Belchite	191	b) < 10% de la SAU en propiedad
22	Campo de Belchite	54	c) >=10% a < 25%  de la SAU en propiedad
22	Campo de Belchite	71	d) >=25% a < 50%  de la SAU en propiedad
22	Campo de Belchite	126	e) >=50% a < 75%  de la SAU en propiedad
22	Campo de Belchite	59	f) >= 75% a < 90%  de la SAU en propiedad
22	Campo de Belchite	605	g) >= 90%  de la SAU en propiedad
23	Bajo Martín	50	a) No hay SAU
23	Bajo Martín	128	b) < 10% de la SAU en propiedad
23	Bajo Martín	45	c) >=10% a < 25%  de la SAU en propiedad
23	Bajo Martín	52	d) >=25% a < 50%  de la SAU en propiedad
23	Bajo Martín	75	e) >=50% a < 75%  de la SAU en propiedad
23	Bajo Martín	40	f) >= 75% a < 90%  de la SAU en propiedad
23	Bajo Martín	466	g) >= 90%  de la SAU en propiedad
24	Campo de Daroca	12	a) No hay SAU
24	Campo de Daroca	154	b) < 10% de la SAU en propiedad
24	Campo de Daroca	58	c) >=10% a < 25%  de la SAU en propiedad
24	Campo de Daroca	100	d) >=25% a < 50%  de la SAU en propiedad
24	Campo de Daroca	144	e) >=50% a < 75%  de la SAU en propiedad
24	Campo de Daroca	74	f) >= 75% a < 90%  de la SAU en propiedad
24	Campo de Daroca	685	g) >= 90%  de la SAU en propiedad
25	Jiloca	64	a) No hay SAU
25	Jiloca	256	b) < 10% de la SAU en propiedad
25	Jiloca	101	c) >=10% a < 25%  de la SAU en propiedad
25	Jiloca	171	d) >=25% a < 50%  de la SAU en propiedad
25	Jiloca	221	e) >=50% a < 75%  de la SAU en propiedad
25	Jiloca	140	f) >= 75% a < 90%  de la SAU en propiedad
25	Jiloca	941	g) >= 90%  de la SAU en propiedad
26	Cuencas Mineras	21	a) No hay SAU
26	Cuencas Mineras	113	b) < 10% de la SAU en propiedad
26	Cuencas Mineras	49	c) >=10% a < 25%  de la SAU en propiedad
26	Cuencas Mineras	50	d) >=25% a < 50%  de la SAU en propiedad
26	Cuencas Mineras	65	e) >=50% a < 75%  de la SAU en propiedad
26	Cuencas Mineras	25	f) >= 75% a < 90%  de la SAU en propiedad
26	Cuencas Mineras	312	g) >= 90%  de la SAU en propiedad
27	Andorra-Sierra de Arcos	6	a) No hay SAU
27	Andorra-Sierra de Arcos	58	b) < 10% de la SAU en propiedad
27	Andorra-Sierra de Arcos	18	c) >=10% a < 25%  de la SAU en propiedad
27	Andorra-Sierra de Arcos	35	d) >=25% a < 50%  de la SAU en propiedad
27	Andorra-Sierra de Arcos	50	e) >=50% a < 75%  de la SAU en propiedad
27	Andorra-Sierra de Arcos	19	f) >= 75% a < 90%  de la SAU en propiedad
27	Andorra-Sierra de Arcos	571	g) >= 90%  de la SAU en propiedad
28	Bajo Aragón	82	a) No hay SAU
28	Bajo Aragón	212	b) < 10% de la SAU en propiedad
28	Bajo Aragón	85	c) >=10% a < 25%  de la SAU en propiedad
28	Bajo Aragón	92	d) >=25% a < 50%  de la SAU en propiedad
28	Bajo Aragón	152	e) >=50% a < 75%  de la SAU en propiedad
28	Bajo Aragón	84	f) >= 75% a < 90%  de la SAU en propiedad
28	Bajo Aragón	1438	g) >= 90%  de la SAU en propiedad
29	Comunidad de Teruel	45	a) No hay SAU
29	Comunidad de Teruel	380	b) < 10% de la SAU en propiedad
29	Comunidad de Teruel	156	c) >=10% a < 25%  de la SAU en propiedad
29	Comunidad de Teruel	213	d) >=25% a < 50%  de la SAU en propiedad
29	Comunidad de Teruel	294	e) >=50% a < 75%  de la SAU en propiedad
29	Comunidad de Teruel	150	f) >= 75% a < 90%  de la SAU en propiedad
29	Comunidad de Teruel	909	g) >= 90%  de la SAU en propiedad
30	Maestrazgo	30	a) No hay SAU
30	Maestrazgo	117	b) < 10% de la SAU en propiedad
30	Maestrazgo	28	c) >=10% a < 25%  de la SAU en propiedad
30	Maestrazgo	30	d) >=25% a < 50%  de la SAU en propiedad
30	Maestrazgo	48	e) >=50% a < 75%  de la SAU en propiedad
30	Maestrazgo	18	f) >= 75% a < 90%  de la SAU en propiedad
30	Maestrazgo	325	g) >= 90%  de la SAU en propiedad
31	Sierra de Albarracín	18	a) No hay SAU
31	Sierra de Albarracín	110	b) < 10% de la SAU en propiedad
31	Sierra de Albarracín	45	c) >=10% a < 25%  de la SAU en propiedad
31	Sierra de Albarracín	29	d) >=25% a < 50%  de la SAU en propiedad
31	Sierra de Albarracín	20	e) >=50% a < 75%  de la SAU en propiedad
31	Sierra de Albarracín	15	f) >= 75% a < 90%  de la SAU en propiedad
31	Sierra de Albarracín	126	g) >= 90%  de la SAU en propiedad
32	Gúdar-Javalambre	22	a) No hay SAU
32	Gúdar-Javalambre	175	b) < 10% de la SAU en propiedad
32	Gúdar-Javalambre	32	c) >=10% a < 25%  de la SAU en propiedad
32	Gúdar-Javalambre	39	d) >=25% a < 50%  de la SAU en propiedad
32	Gúdar-Javalambre	37	e) >=50% a < 75%  de la SAU en propiedad
32	Gúdar-Javalambre	21	f) >= 75% a < 90%  de la SAU en propiedad
32	Gúdar-Javalambre	472	g) >= 90%  de la SAU en propiedad
33	Matarraña / Matarranya	68	a) No hay SAU
33	Matarraña / Matarranya	132	b) < 10% de la SAU en propiedad
33	Matarraña / Matarranya	51	c) >=10% a < 25%  de la SAU en propiedad
33	Matarraña / Matarranya	56	d) >=25% a < 50%  de la SAU en propiedad
33	Matarraña / Matarranya	106	e) >=50% a < 75%  de la SAU en propiedad
33	Matarraña / Matarranya	78	f) >= 75% a < 90%  de la SAU en propiedad
33	Matarraña / Matarranya	1139	g) >= 90%  de la SAU en propiedad
