Mes (código)	Mes y año	Provincia código	Provincia nombre	Sexo	Nacionalidad	Afiliaciones en alta
201706	Junio 2017	22	Huesca	Hombres	Extranjeros no comunitarios	6563
201706	Junio 2017	22	Huesca	Mujeres	Extranjeros no comunitarios	1871
201706	Junio 2017	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	725
201706	Junio 2017	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	606
201706	Junio 2017	44	Teruel	Hombres	Españoles	26425
201706	Junio 2017	44	Teruel	Mujeres	Españoles	20737
201706	Junio 2017	44	Teruel	Hombres	No consta	4
201706	Junio 2017	44	Teruel	Hombres	Extranjeros comunitarios (UE-28)	1906
201706	Junio 2017	44	Teruel	Mujeres	Extranjeros comunitarios (UE-28)	1615
201706	Junio 2017	44	Teruel	Hombres	Extranjeros no comunitarios	1964
201706	Junio 2017	44	Teruel	Mujeres	Extranjeros no comunitarios	666
201706	Junio 2017	44	Teruel	Hombres	Extranjeros comunitarios (UE-28)	280
201706	Junio 2017	44	Teruel	Mujeres	Extranjeros comunitarios (UE-28)	172
201706	Junio 2017	50	Zaragoza	Hombres	Españoles	190986
201706	Junio 2017	50	Zaragoza	Mujeres	Españoles	161606
201706	Junio 2017	50	Zaragoza	Hombres	No consta	29
201706	Junio 2017	50	Zaragoza	Mujeres	No consta	18
201706	Junio 2017	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	12329
201706	Junio 2017	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	12770
201706	Junio 2017	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	4
201706	Junio 2017	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	6
201706	Junio 2017	50	Zaragoza	Hombres	Extranjeros no comunitarios	15248
201706	Junio 2017	50	Zaragoza	Mujeres	Extranjeros no comunitarios	10214
201706	Junio 2017	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	2273
201706	Junio 2017	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	1591
201703	Marzo 2017	22	Huesca	Hombres	Españoles	44711
201703	Marzo 2017	22	Huesca	Mujeres	Españoles	36029
201703	Marzo 2017	22	Huesca	Hombres	No consta	1
201703	Marzo 2017	22	Huesca	Mujeres	No consta	5
201703	Marzo 2017	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	2862
201703	Marzo 2017	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	2206
201703	Marzo 2017	22	Huesca	Hombres	Extranjeros no comunitarios	3229
201703	Marzo 2017	22	Huesca	Mujeres	Extranjeros no comunitarios	1456
201703	Marzo 2017	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	588
201703	Marzo 2017	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	483
201703	Marzo 2017	44	Teruel	Hombres	Españoles	25855
201703	Marzo 2017	44	Teruel	Mujeres	Españoles	20502
201703	Marzo 2017	44	Teruel	Hombres	No consta	3
201703	Marzo 2017	44	Teruel	Hombres	Extranjeros comunitarios (UE-28)	1724
201703	Marzo 2017	44	Teruel	Mujeres	Extranjeros comunitarios (UE-28)	1300
201703	Marzo 2017	44	Teruel	Hombres	Extranjeros no comunitarios	1761
201703	Marzo 2017	44	Teruel	Mujeres	Extranjeros no comunitarios	600
201703	Marzo 2017	44	Teruel	Hombres	Extranjeros comunitarios (UE-28)	282
201703	Marzo 2017	44	Teruel	Mujeres	Extranjeros comunitarios (UE-28)	159
201703	Marzo 2017	50	Zaragoza	Hombres	Españoles	187354
201703	Marzo 2017	50	Zaragoza	Mujeres	Españoles	162293
201703	Marzo 2017	50	Zaragoza	Hombres	No consta	22
201703	Marzo 2017	50	Zaragoza	Mujeres	No consta	12
201703	Marzo 2017	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	9861
201703	Marzo 2017	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	10862
201703	Marzo 2017	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	5
201703	Marzo 2017	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	7
201703	Marzo 2017	50	Zaragoza	Hombres	Extranjeros no comunitarios	11634
201703	Marzo 2017	50	Zaragoza	Mujeres	Extranjeros no comunitarios	9614
201703	Marzo 2017	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	2198
201703	Marzo 2017	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	1534
201612	Diciembre 2016	22	Huesca	Hombres	Españoles	44700
201612	Diciembre 2016	22	Huesca	Mujeres	Españoles	36250
201612	Diciembre 2016	22	Huesca	Hombres	No consta	2
201612	Diciembre 2016	22	Huesca	Mujeres	No consta	5
201612	Diciembre 2016	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	2816
201612	Diciembre 2016	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	2244
201612	Diciembre 2016	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	1
201612	Diciembre 2016	22	Huesca	Hombres	Extranjeros no comunitarios	3292
201612	Diciembre 2016	22	Huesca	Mujeres	Extranjeros no comunitarios	1497
201612	Diciembre 2016	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	593
201612	Diciembre 2016	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	492
201612	Diciembre 2016	44	Teruel	Hombres	Españoles	25516
201612	Diciembre 2016	44	Teruel	Mujeres	Españoles	20353
201612	Diciembre 2016	44	Teruel	Hombres	No consta	3
201612	Diciembre 2016	44	Teruel	Hombres	Extranjeros comunitarios (UE-28)	1637
201612	Diciembre 2016	44	Teruel	Mujeres	Extranjeros comunitarios (UE-28)	1349
201612	Diciembre 2016	44	Teruel	Hombres	Extranjeros no comunitarios	1660
201612	Diciembre 2016	44	Teruel	Mujeres	Extranjeros no comunitarios	614
201612	Diciembre 2016	44	Teruel	Hombres	Extranjeros comunitarios (UE-28)	295
201612	Diciembre 2016	44	Teruel	Mujeres	Extranjeros comunitarios (UE-28)	158
201612	Diciembre 2016	50	Zaragoza	Hombres	Españoles	184727
201612	Diciembre 2016	50	Zaragoza	Mujeres	Españoles	162538
201612	Diciembre 2016	50	Zaragoza	Hombres	No consta	23
201612	Diciembre 2016	50	Zaragoza	Mujeres	No consta	16
201612	Diciembre 2016	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	9386
201612	Diciembre 2016	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	10689
201612	Diciembre 2016	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	6
201612	Diciembre 2016	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	5
201612	Diciembre 2016	50	Zaragoza	Hombres	Extranjeros no comunitarios	11307
201612	Diciembre 2016	50	Zaragoza	Mujeres	Extranjeros no comunitarios	9601
201612	Diciembre 2016	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	2123
201612	Diciembre 2016	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	1527
201609	Septiembre 2016	22	Huesca	Hombres	Españoles	43746
201609	Septiembre 2016	22	Huesca	Mujeres	Españoles	34996
201609	Septiembre 2016	22	Huesca	Hombres	No consta	1
201609	Septiembre 2016	22	Huesca	Mujeres	No consta	8
201609	Septiembre 2016	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	2901
201609	Septiembre 2016	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	2540
201609	Septiembre 2016	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	1
201609	Septiembre 2016	22	Huesca	Hombres	Extranjeros no comunitarios	3605
201609	Septiembre 2016	22	Huesca	Mujeres	Extranjeros no comunitarios	1596
201609	Septiembre 2016	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	560
201609	Septiembre 2016	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	466
201609	Septiembre 2016	44	Teruel	Hombres	Españoles	25736
201609	Septiembre 2016	44	Teruel	Mujeres	Españoles	20186
201609	Septiembre 2016	44	Teruel	Hombres	No consta	2
201609	Septiembre 2016	44	Teruel	Mujeres	No consta	1
201609	Septiembre 2016	44	Teruel	Hombres	Extranjeros comunitarios (UE-28)	1773
201609	Septiembre 2016	44	Teruel	Mujeres	Extranjeros comunitarios (UE-28)	1542
201609	Septiembre 2016	44	Teruel	Hombres	Extranjeros no comunitarios	1853
201609	Septiembre 2016	44	Teruel	Mujeres	Extranjeros no comunitarios	637
201609	Septiembre 2016	44	Teruel	Hombres	Extranjeros comunitarios (UE-28)	315
201609	Septiembre 2016	44	Teruel	Mujeres	Extranjeros comunitarios (UE-28)	156
201609	Septiembre 2016	50	Zaragoza	Hombres	Españoles	185187
201609	Septiembre 2016	50	Zaragoza	Mujeres	Españoles	158981
201609	Septiembre 2016	50	Zaragoza	Hombres	No consta	20
201609	Septiembre 2016	50	Zaragoza	Mujeres	No consta	18
201609	Septiembre 2016	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	10262
201609	Septiembre 2016	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	11349
201609	Septiembre 2016	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	4
201609	Septiembre 2016	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	7
201609	Septiembre 2016	50	Zaragoza	Hombres	Extranjeros no comunitarios	12834
201609	Septiembre 2016	50	Zaragoza	Mujeres	Extranjeros no comunitarios	9965
201609	Septiembre 2016	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	2111
201609	Septiembre 2016	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	1500
201606	Junio 2016	22	Huesca	Hombres	Españoles	44379
201606	Junio 2016	22	Huesca	Mujeres	Españoles	35041
201606	Junio 2016	22	Huesca	Hombres	No consta	1
201606	Junio 2016	22	Huesca	Mujeres	No consta	7
201606	Junio 2016	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	4103
201606	Junio 2016	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	3644
201606	Junio 2016	22	Huesca	Hombres	Extranjeros no comunitarios	5607
201606	Junio 2016	22	Huesca	Mujeres	Extranjeros no comunitarios	1733
201606	Junio 2016	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	637
201606	Junio 2016	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	585
201606	Junio 2016	44	Teruel	Hombres	Españoles	26071
201606	Junio 2016	44	Teruel	Mujeres	Españoles	20225
201606	Junio 2016	44	Teruel	Hombres	No consta	1
201606	Junio 2016	44	Teruel	Hombres	Extranjeros comunitarios (UE-28)	1763
201606	Junio 2016	44	Teruel	Mujeres	Extranjeros comunitarios (UE-28)	1591
201606	Junio 2016	44	Teruel	Hombres	Extranjeros no comunitarios	1850
201606	Junio 2016	44	Teruel	Mujeres	Extranjeros no comunitarios	636
201606	Junio 2016	44	Teruel	Hombres	Extranjeros comunitarios (UE-28)	332
201606	Junio 2016	44	Teruel	Mujeres	Extranjeros comunitarios (UE-28)	169
201606	Junio 2016	50	Zaragoza	Hombres	Españoles	186440
201606	Junio 2016	50	Zaragoza	Mujeres	Españoles	156277
201606	Junio 2016	50	Zaragoza	Hombres	No consta	23
201606	Junio 2016	50	Zaragoza	Mujeres	No consta	19
201606	Junio 2016	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	11700
201606	Junio 2016	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	12579
201606	Junio 2016	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	2
201606	Junio 2016	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	7
201606	Junio 2016	50	Zaragoza	Hombres	Extranjeros no comunitarios	14665
201606	Junio 2016	50	Zaragoza	Mujeres	Extranjeros no comunitarios	10317
201606	Junio 2016	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	2194
201606	Junio 2016	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	1573
201603	Marzo 2016	22	Huesca	Hombres	Españoles	43691
201603	Marzo 2016	22	Huesca	Mujeres	Españoles	35053
201603	Marzo 2016	22	Huesca	Hombres	No consta	1
201603	Marzo 2016	22	Huesca	Mujeres	No consta	6
201603	Marzo 2016	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	2674
201603	Marzo 2016	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	2094
201603	Marzo 2016	22	Huesca	Hombres	Extranjeros no comunitarios	3071
201603	Marzo 2016	22	Huesca	Mujeres	Extranjeros no comunitarios	1426
201603	Marzo 2016	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	575
201603	Marzo 2016	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	480
201603	Marzo 2016	44	Teruel	Hombres	Españoles	25522
201603	Marzo 2016	44	Teruel	Mujeres	Españoles	20090
201603	Marzo 2016	44	Teruel	Hombres	No consta	1
201603	Marzo 2016	44	Teruel	Hombres	Extranjeros comunitarios (UE-28)	1582
201603	Marzo 2016	44	Teruel	Mujeres	Extranjeros comunitarios (UE-28)	1303
201603	Marzo 2016	44	Teruel	Hombres	Extranjeros no comunitarios	1644
201603	Marzo 2016	44	Teruel	Mujeres	Extranjeros no comunitarios	605
201603	Marzo 2016	44	Teruel	Hombres	Extranjeros comunitarios (UE-28)	304
201603	Marzo 2016	44	Teruel	Mujeres	Extranjeros comunitarios (UE-28)	155
201603	Marzo 2016	50	Zaragoza	Hombres	Españoles	182610
201603	Marzo 2016	50	Zaragoza	Mujeres	Españoles	157932
201603	Marzo 2016	50	Zaragoza	Hombres	No consta	17
201603	Marzo 2016	50	Zaragoza	Mujeres	No consta	21
201603	Marzo 2016	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	8848
201603	Marzo 2016	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	10284
201603	Marzo 2016	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	5
201603	Marzo 2016	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	6
201603	Marzo 2016	50	Zaragoza	Hombres	Extranjeros no comunitarios	10576
201603	Marzo 2016	50	Zaragoza	Mujeres	Extranjeros no comunitarios	9788
201603	Marzo 2016	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	2058
201603	Marzo 2016	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	1481
201512	Diciembre 2015	22	Huesca	Hombres	Españoles	43587
201512	Diciembre 2015	22	Huesca	Mujeres	Españoles	35170
201512	Diciembre 2015	22	Huesca	Hombres	No consta	2
201512	Diciembre 2015	22	Huesca	Mujeres	No consta	4
201512	Diciembre 2015	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	2636
201512	Diciembre 2015	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	2097
201512	Diciembre 2015	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	1
201512	Diciembre 2015	22	Huesca	Hombres	Extranjeros no comunitarios	3153
201512	Diciembre 2015	22	Huesca	Mujeres	Extranjeros no comunitarios	1462
201512	Diciembre 2015	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	543
201512	Diciembre 2015	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	456
201512	Diciembre 2015	44	Teruel	Hombres	Españoles	25422
201512	Diciembre 2015	44	Teruel	Mujeres	Españoles	19931
201512	Diciembre 2015	44	Teruel	Hombres	No consta	1
201512	Diciembre 2015	44	Teruel	Hombres	Extranjeros comunitarios (UE-28)	1506
201512	Diciembre 2015	44	Teruel	Mujeres	Extranjeros comunitarios (UE-28)	1314
201512	Diciembre 2015	44	Teruel	Hombres	Extranjeros no comunitarios	1583
201512	Diciembre 2015	44	Teruel	Mujeres	Extranjeros no comunitarios	617
201512	Diciembre 2015	44	Teruel	Hombres	Extranjeros comunitarios (UE-28)	283
201512	Diciembre 2015	44	Teruel	Mujeres	Extranjeros comunitarios (UE-28)	161
201512	Diciembre 2015	50	Zaragoza	Hombres	Españoles	180544
201512	Diciembre 2015	50	Zaragoza	Mujeres	Españoles	158247
201512	Diciembre 2015	50	Zaragoza	Hombres	No consta	19
201512	Diciembre 2015	50	Zaragoza	Mujeres	No consta	20
201512	Diciembre 2015	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	8636
201512	Diciembre 2015	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	10196
201512	Diciembre 2015	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	6
201512	Diciembre 2015	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	5
201512	Diciembre 2015	50	Zaragoza	Hombres	Extranjeros no comunitarios	10741
201512	Diciembre 2015	50	Zaragoza	Mujeres	Extranjeros no comunitarios	9802
201512	Diciembre 2015	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	1977
201512	Diciembre 2015	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	1454
201509	Septiembre 2015	22	Huesca	Hombres	Españoles	43026
201509	Septiembre 2015	22	Huesca	Mujeres	Españoles	34102
201509	Septiembre 2015	22	Huesca	Hombres	No consta	2
201509	Septiembre 2015	22	Huesca	Mujeres	No consta	4
201509	Septiembre 2015	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	2630
201509	Septiembre 2015	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	2228
201509	Septiembre 2015	22	Huesca	Hombres	Extranjeros no comunitarios	3266
201509	Septiembre 2015	22	Huesca	Mujeres	Extranjeros no comunitarios	1520
201509	Septiembre 2015	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	556
201509	Septiembre 2015	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	439
201509	Septiembre 2015	44	Teruel	Hombres	Españoles	25762
201509	Septiembre 2015	44	Teruel	Mujeres	Españoles	19752
201509	Septiembre 2015	44	Teruel	Hombres	No consta	1
201509	Septiembre 2015	44	Teruel	Mujeres	No consta	1
201509	Septiembre 2015	44	Teruel	Hombres	Extranjeros comunitarios (UE-28)	1608
201509	Septiembre 2015	44	Teruel	Mujeres	Extranjeros comunitarios (UE-28)	1523
201509	Septiembre 2015	44	Teruel	Hombres	Extranjeros no comunitarios	1792
201509	Septiembre 2015	44	Teruel	Mujeres	Extranjeros no comunitarios	642
201509	Septiembre 2015	44	Teruel	Hombres	Extranjeros comunitarios (UE-28)	300
201509	Septiembre 2015	44	Teruel	Mujeres	Extranjeros comunitarios (UE-28)	171
201509	Septiembre 2015	50	Zaragoza	Hombres	Españoles	181785
201509	Septiembre 2015	50	Zaragoza	Mujeres	Españoles	154459
201509	Septiembre 2015	50	Zaragoza	Hombres	No consta	22
201509	Septiembre 2015	50	Zaragoza	Mujeres	No consta	24
201509	Septiembre 2015	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	9511
201509	Septiembre 2015	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	11039
201509	Septiembre 2015	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	8
201509	Septiembre 2015	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	5
201509	Septiembre 2015	50	Zaragoza	Hombres	Extranjeros no comunitarios	12097
201509	Septiembre 2015	50	Zaragoza	Mujeres	Extranjeros no comunitarios	9861
201509	Septiembre 2015	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	1984
201509	Septiembre 2015	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	1446
201506	Junio 2015	22	Huesca	Hombres	Españoles	43701
201506	Junio 2015	22	Huesca	Mujeres	Españoles	34120
201506	Junio 2015	22	Huesca	Hombres	No consta	4
201506	Junio 2015	22	Huesca	Mujeres	No consta	8
201506	Junio 2015	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	3960
201506	Junio 2015	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	3699
201506	Junio 2015	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	1
201506	Junio 2015	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	1
201506	Junio 2015	22	Huesca	Hombres	Extranjeros no comunitarios	5644
201506	Junio 2015	22	Huesca	Mujeres	Extranjeros no comunitarios	1699
201506	Junio 2015	22	Huesca	Hombres	Extranjeros comunitarios (UE-28)	614
201506	Junio 2015	22	Huesca	Mujeres	Extranjeros comunitarios (UE-28)	623
201506	Junio 2015	44	Teruel	Hombres	Españoles	25715
201506	Junio 2015	44	Teruel	Mujeres	Españoles	19616
201506	Junio 2015	44	Teruel	Hombres	No consta	1
201506	Junio 2015	44	Teruel	Hombres	Extranjeros comunitarios (UE-28)	1588
201506	Junio 2015	44	Teruel	Mujeres	Extranjeros comunitarios (UE-28)	1612
201506	Junio 2015	44	Teruel	Hombres	Extranjeros no comunitarios	1765
201506	Junio 2015	44	Teruel	Mujeres	Extranjeros no comunitarios	621
201506	Junio 2015	44	Teruel	Hombres	Extranjeros comunitarios (UE-28)	309
201506	Junio 2015	44	Teruel	Mujeres	Extranjeros comunitarios (UE-28)	163
201506	Junio 2015	50	Zaragoza	Hombres	Españoles	182466
201506	Junio 2015	50	Zaragoza	Mujeres	Españoles	152868
201506	Junio 2015	50	Zaragoza	Hombres	No consta	25
201506	Junio 2015	50	Zaragoza	Mujeres	No consta	25
201506	Junio 2015	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	10418
201506	Junio 2015	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	12008
201506	Junio 2015	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	4
201506	Junio 2015	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	5
201506	Junio 2015	50	Zaragoza	Hombres	Extranjeros no comunitarios	13061
201506	Junio 2015	50	Zaragoza	Mujeres	Extranjeros no comunitarios	9880
201506	Junio 2015	50	Zaragoza	Hombres	Extranjeros comunitarios (UE-28)	2013
201506	Junio 2015	50	Zaragoza	Mujeres	Extranjeros comunitarios (UE-28)	1543
201503	Marzo 2015	22	Huesca	Hombres	Españoles	43128
201503	Marzo 2015	22	Huesca	Mujeres	Españoles	34487
201503	Marzo 2015	22	Huesca	Hombres	No consta	1
201503	Marzo 2015	22	Huesca	Mujeres	No consta	3
