Mes y año	Comarca código	Comarca nombre	Sector de actividad	Afiliaciones en alta	Sexo
Mayo 2021	05	Cinco Villas	Servicios	708	Hombres
Mayo 2021	05	Cinco Villas	Servicios	651	Mujeres
Mayo 2021	06	Hoya de Huesca / Plana de Uesca	Agricultura, ganadería y pesca	850	Hombres
Mayo 2021	06	Hoya de Huesca / Plana de Uesca	Agricultura, ganadería y pesca	184	Mujeres
Mayo 2021	06	Hoya de Huesca / Plana de Uesca	Industria y energía	220	Hombres
Mayo 2021	06	Hoya de Huesca / Plana de Uesca	Industria y energía	54	Mujeres
Mayo 2021	06	Hoya de Huesca / Plana de Uesca	Construcción	577	Hombres
Mayo 2021	06	Hoya de Huesca / Plana de Uesca	Construcción	59	Mujeres
Mayo 2021	06	Hoya de Huesca / Plana de Uesca	Servicios	1882	Hombres
Mayo 2021	06	Hoya de Huesca / Plana de Uesca	Servicios	1334	Mujeres
Mayo 2021	07	Somontano de Barbastro	Agricultura, ganadería y pesca	493	Hombres
Mayo 2021	07	Somontano de Barbastro	Agricultura, ganadería y pesca	141	Mujeres
Mayo 2021	07	Somontano de Barbastro	Industria y energía	132	Hombres
Mayo 2021	07	Somontano de Barbastro	Industria y energía	50	Mujeres
Mayo 2021	07	Somontano de Barbastro	Construcción	213	Hombres
Mayo 2021	07	Somontano de Barbastro	Construcción	22	Mujeres
Mayo 2021	07	Somontano de Barbastro	Servicios	643	Hombres
Mayo 2021	07	Somontano de Barbastro	Servicios	502	Mujeres
Mayo 2021	08	Cinca Medio	Agricultura, ganadería y pesca	482	Hombres
Mayo 2021	08	Cinca Medio	Agricultura, ganadería y pesca	165	Mujeres
Mayo 2021	08	Cinca Medio	Industria y energía	88	Hombres
Mayo 2021	08	Cinca Medio	Industria y energía	130	Mujeres
Mayo 2021	08	Cinca Medio	Construcción	206	Hombres
Mayo 2021	08	Cinca Medio	Construcción	27	Mujeres
Mayo 2021	08	Cinca Medio	Servicios	517	Hombres
Mayo 2021	08	Cinca Medio	Servicios	522	Mujeres
Mayo 2021	09	La Litera / La Llitera	Agricultura, ganadería y pesca	619	Hombres
Mayo 2021	09	La Litera / La Llitera	Agricultura, ganadería y pesca	178	Mujeres
Mayo 2021	09	La Litera / La Llitera	Industria y energía	107	Hombres
Mayo 2021	09	La Litera / La Llitera	Industria y energía	53	Mujeres
Mayo 2021	09	La Litera / La Llitera	Construcción	208	Hombres
Mayo 2021	09	La Litera / La Llitera	Construcción	28	Mujeres
Mayo 2021	09	La Litera / La Llitera	Servicios	453	Hombres
Mayo 2021	09	La Litera / La Llitera	Servicios	400	Mujeres
Mayo 2021	10	Los Monegros	Agricultura, ganadería y pesca	1189	Hombres
Mayo 2021	10	Los Monegros	Agricultura, ganadería y pesca	425	Mujeres
Mayo 2021	10	Los Monegros	Industria y energía	75	Hombres
Mayo 2021	10	Los Monegros	Industria y energía	29	Mujeres
Mayo 2021	10	Los Monegros	Construcción	192	Hombres
Mayo 2021	10	Los Monegros	Construcción	17	Mujeres
Mayo 2021	10	Los Monegros	Servicios	363	Hombres
Mayo 2021	10	Los Monegros	Servicios	310	Mujeres
Mayo 2021	11	Bajo Cinca / Baix Cinca	Agricultura, ganadería y pesca	865	Hombres
Mayo 2021	11	Bajo Cinca / Baix Cinca	Agricultura, ganadería y pesca	307	Mujeres
Mayo 2021	11	Bajo Cinca / Baix Cinca	Industria y energía	98	Hombres
Mayo 2021	11	Bajo Cinca / Baix Cinca	Industria y energía	36	Mujeres
Mayo 2021	11	Bajo Cinca / Baix Cinca	Construcción	214	Hombres
Mayo 2021	11	Bajo Cinca / Baix Cinca	Construcción	21	Mujeres
Mayo 2021	11	Bajo Cinca / Baix Cinca	Servicios	564	Hombres
Mayo 2021	11	Bajo Cinca / Baix Cinca	Servicios	461	Mujeres
Mayo 2021	12	Tarazona y el Moncayo	Agricultura, ganadería y pesca	112	Hombres
Mayo 2021	12	Tarazona y el Moncayo	Agricultura, ganadería y pesca	22	Mujeres
Mayo 2021	12	Tarazona y el Moncayo	Industria y energía	71	Hombres
Mayo 2021	12	Tarazona y el Moncayo	Industria y energía	33	Mujeres
Mayo 2021	12	Tarazona y el Moncayo	Construcción	111	Hombres
Mayo 2021	12	Tarazona y el Moncayo	Construcción	8	Mujeres
Mayo 2021	12	Tarazona y el Moncayo	Servicios	299	Hombres
Mayo 2021	12	Tarazona y el Moncayo	Servicios	291	Mujeres
Mayo 2021	13	Campo de Borja	Agricultura, ganadería y pesca	404	Hombres
Mayo 2021	13	Campo de Borja	Agricultura, ganadería y pesca	112	Mujeres
Mayo 2021	13	Campo de Borja	Industria y energía	57	Hombres
Mayo 2021	13	Campo de Borja	Industria y energía	19	Mujeres
Mayo 2021	13	Campo de Borja	Construcción	159	Hombres
Mayo 2021	13	Campo de Borja	Construcción	5	Mujeres
Mayo 2021	13	Campo de Borja	Servicios	270	Hombres
Mayo 2021	13	Campo de Borja	Servicios	285	Mujeres
Mayo 2021	14	Aranda	Agricultura, ganadería y pesca	79	Hombres
Mayo 2021	14	Aranda	Agricultura, ganadería y pesca	21	Mujeres
Mayo 2021	14	Aranda	Industria y energía	87	Hombres
Mayo 2021	14	Aranda	Industria y energía	21	Mujeres
Mayo 2021	14	Aranda	Construcción	80	Hombres
Mayo 2021	14	Aranda	Construcción	4	Mujeres
Mayo 2021	14	Aranda	Servicios	133	Hombres
Mayo 2021	14	Aranda	Servicios	112	Mujeres
Mayo 2021	15	Ribera Alta del Ebro	Agricultura, ganadería y pesca	201	Hombres
Mayo 2021	15	Ribera Alta del Ebro	Agricultura, ganadería y pesca	91	Mujeres
Mayo 2021	15	Ribera Alta del Ebro	Industria y energía	109	Hombres
Mayo 2021	15	Ribera Alta del Ebro	Industria y energía	53	Mujeres
Mayo 2021	15	Ribera Alta del Ebro	Construcción	247	Hombres
Mayo 2021	15	Ribera Alta del Ebro	Construcción	28	Mujeres
Mayo 2021	15	Ribera Alta del Ebro	Servicios	544	Hombres
Mayo 2021	15	Ribera Alta del Ebro	Servicios	475	Mujeres
Mayo 2021	16	Valdejalón	Agricultura, ganadería y pesca	491	Hombres
Mayo 2021	16	Valdejalón	Agricultura, ganadería y pesca	143	Mujeres
Mayo 2021	16	Valdejalón	Industria y energía	167	Hombres
Mayo 2021	16	Valdejalón	Industria y energía	35	Mujeres
Mayo 2021	16	Valdejalón	Construcción	274	Hombres
Mayo 2021	16	Valdejalón	Construcción	34	Mujeres
Mayo 2021	16	Valdejalón	Servicios	655	Hombres
Mayo 2021	16	Valdejalón	Servicios	458	Mujeres
Mayo 2021	17	Central	Agricultura, ganadería y pesca	877	Hombres
Mayo 2021	17	Central	Agricultura, ganadería y pesca	327	Mujeres
Mayo 2021	17	Central	Industria y energía	2226	Hombres
Mayo 2021	17	Central	Industria y energía	825	Mujeres
Mayo 2021	17	Central	Construcción	4820	Hombres
Mayo 2021	17	Central	Construcción	597	Mujeres
Mayo 2021	17	Central	Servicios	22129	Hombres
Mayo 2021	17	Central	Servicios	15595	Mujeres
Mayo 2021	18	Ribera Baja del Ebro	Agricultura, ganadería y pesca	211	Hombres
Mayo 2021	18	Ribera Baja del Ebro	Agricultura, ganadería y pesca	111	Mujeres
Mayo 2021	18	Ribera Baja del Ebro	Industria y energía	49	Hombres
Mayo 2021	18	Ribera Baja del Ebro	Industria y energía	15	Mujeres
Mayo 2021	18	Ribera Baja del Ebro	Construcción	88	Hombres
Mayo 2021	18	Ribera Baja del Ebro	Construcción	9	Mujeres
Mayo 2021	18	Ribera Baja del Ebro	Servicios	136	Hombres
Mayo 2021	18	Ribera Baja del Ebro	Servicios	164	Mujeres
Mayo 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Agricultura, ganadería y pesca	491	Hombres
Mayo 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Agricultura, ganadería y pesca	167	Mujeres
Mayo 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Industria y energía	80	Hombres
Mayo 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Industria y energía	37	Mujeres
Mayo 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Construcción	122	Hombres
Mayo 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Construcción	14	Mujeres
Mayo 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Servicios	314	Hombres
Mayo 2021	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Servicios	284	Mujeres
Mayo 2021	20	Comunidad de Calatayud	Agricultura, ganadería y pesca	678	Hombres
Mayo 2021	20	Comunidad de Calatayud	Agricultura, ganadería y pesca	190	Mujeres
Mayo 2021	20	Comunidad de Calatayud	Industria y energía	133	Hombres
Mayo 2021	20	Comunidad de Calatayud	Industria y energía	49	Mujeres
Mayo 2021	20	Comunidad de Calatayud	Construcción	312	Hombres
Mayo 2021	20	Comunidad de Calatayud	Construcción	26	Mujeres
Mayo 2021	20	Comunidad de Calatayud	Servicios	878	Hombres
Mayo 2021	20	Comunidad de Calatayud	Servicios	641	Mujeres
Mayo 2021	21	Campo de Cariñena	Agricultura, ganadería y pesca	342	Hombres
Mayo 2021	21	Campo de Cariñena	Agricultura, ganadería y pesca	105	Mujeres
Mayo 2021	21	Campo de Cariñena	Industria y energía	43	Hombres
Mayo 2021	21	Campo de Cariñena	Industria y energía	17	Mujeres
Mayo 2021	21	Campo de Cariñena	Construcción	100	Hombres
Mayo 2021	21	Campo de Cariñena	Construcción	2	Mujeres
Mayo 2021	21	Campo de Cariñena	Servicios	174	Hombres
Mayo 2021	21	Campo de Cariñena	Servicios	173	Mujeres
Mayo 2021	22	Campo de Belchite	Agricultura, ganadería y pesca	208	Hombres
Mayo 2021	22	Campo de Belchite	Agricultura, ganadería y pesca	65	Mujeres
Mayo 2021	22	Campo de Belchite	Industria y energía	21	Hombres
Mayo 2021	22	Campo de Belchite	Industria y energía	10	Mujeres
Mayo 2021	22	Campo de Belchite	Construcción	51	Hombres
Mayo 2021	22	Campo de Belchite	Construcción	5	Mujeres
Mayo 2021	22	Campo de Belchite	Servicios	84	Hombres
Mayo 2021	22	Campo de Belchite	Servicios	86	Mujeres
Mayo 2021	23	Bajo Martín	Agricultura, ganadería y pesca	170	Hombres
Mayo 2021	23	Bajo Martín	Agricultura, ganadería y pesca	61	Mujeres
Mayo 2021	23	Bajo Martín	Industria y energía	34	Hombres
Mayo 2021	23	Bajo Martín	Industria y energía	16	Mujeres
Mayo 2021	23	Bajo Martín	Construcción	58	Hombres
Mayo 2021	23	Bajo Martín	Construcción	8	Mujeres
Mayo 2021	23	Bajo Martín	Servicios	114	Hombres
Mayo 2021	23	Bajo Martín	Servicios	107	Mujeres
Mayo 2021	24	Campo de Daroca	Agricultura, ganadería y pesca	277	Hombres
Mayo 2021	24	Campo de Daroca	Agricultura, ganadería y pesca	76	Mujeres
Mayo 2021	24	Campo de Daroca	Industria y energía	18	Hombres
Mayo 2021	24	Campo de Daroca	Industria y energía	6	Mujeres
Mayo 2021	24	Campo de Daroca	Construcción	61	Hombres
Mayo 2021	24	Campo de Daroca	Construcción	2	Mujeres
Mayo 2021	24	Campo de Daroca	Servicios	102	Hombres
Mayo 2021	24	Campo de Daroca	Servicios	88	Mujeres
Mayo 2021	25	Jiloca	Agricultura, ganadería y pesca	473	Hombres
Mayo 2021	25	Jiloca	Agricultura, ganadería y pesca	173	Mujeres
Mayo 2021	25	Jiloca	Industria y energía	57	Hombres
Mayo 2021	25	Jiloca	Industria y energía	21	Mujeres
Mayo 2021	25	Jiloca	Construcción	149	Hombres
Mayo 2021	25	Jiloca	Construcción	9	Mujeres
Mayo 2021	25	Jiloca	Servicios	283	Hombres
Mayo 2021	25	Jiloca	Servicios	240	Mujeres
Mayo 2021	26	Cuencas Mineras	Agricultura, ganadería y pesca	115	Hombres
Mayo 2021	26	Cuencas Mineras	Agricultura, ganadería y pesca	38	Mujeres
Mayo 2021	26	Cuencas Mineras	Industria y energía	28	Hombres
Mayo 2021	26	Cuencas Mineras	Industria y energía	6	Mujeres
Mayo 2021	26	Cuencas Mineras	Construcción	79	Hombres
Mayo 2021	26	Cuencas Mineras	Construcción	2	Mujeres
Mayo 2021	26	Cuencas Mineras	Servicios	125	Hombres
Mayo 2021	26	Cuencas Mineras	Servicios	132	Mujeres
Mayo 2021	27	Andorra-Sierra de Arcos	Agricultura, ganadería y pesca	87	Hombres
Mayo 2021	27	Andorra-Sierra de Arcos	Agricultura, ganadería y pesca	24	Mujeres
Mayo 2021	27	Andorra-Sierra de Arcos	Industria y energía	33	Hombres
Mayo 2021	27	Andorra-Sierra de Arcos	Industria y energía	10	Mujeres
Mayo 2021	27	Andorra-Sierra de Arcos	Construcción	101	Hombres
Mayo 2021	27	Andorra-Sierra de Arcos	Construcción	7	Mujeres
Mayo 2021	27	Andorra-Sierra de Arcos	Servicios	232	Hombres
Mayo 2021	27	Andorra-Sierra de Arcos	Servicios	200	Mujeres
Mayo 2021	28	Bajo Aragón	Agricultura, ganadería y pesca	557	Hombres
Mayo 2021	28	Bajo Aragón	Agricultura, ganadería y pesca	225	Mujeres
Mayo 2021	28	Bajo Aragón	Industria y energía	128	Hombres
Mayo 2021	28	Bajo Aragón	Industria y energía	61	Mujeres
Mayo 2021	28	Bajo Aragón	Construcción	349	Hombres
Mayo 2021	28	Bajo Aragón	Construcción	31	Mujeres
Mayo 2021	28	Bajo Aragón	Servicios	781	Hombres
Mayo 2021	28	Bajo Aragón	Servicios	675	Mujeres
Mayo 2021	29	Comunidad de Teruel	Agricultura, ganadería y pesca	470	Hombres
Mayo 2021	29	Comunidad de Teruel	Agricultura, ganadería y pesca	199	Mujeres
Mayo 2021	29	Comunidad de Teruel	Industria y energía	156	Hombres
Mayo 2021	29	Comunidad de Teruel	Industria y energía	53	Mujeres
Mayo 2021	29	Comunidad de Teruel	Construcción	430	Hombres
Mayo 2021	29	Comunidad de Teruel	Construcción	28	Mujeres
Mayo 2021	29	Comunidad de Teruel	Servicios	1282	Hombres
Mayo 2021	29	Comunidad de Teruel	Servicios	935	Mujeres
Mayo 2021	30	Maestrazgo	Agricultura, ganadería y pesca	169	Hombres
Mayo 2021	30	Maestrazgo	Agricultura, ganadería y pesca	69	Mujeres
Mayo 2021	30	Maestrazgo	Industria y energía	27	Hombres
Mayo 2021	30	Maestrazgo	Industria y energía	9	Mujeres
Mayo 2021	30	Maestrazgo	Construcción	61	Hombres
Mayo 2021	30	Maestrazgo	Construcción	1	Mujeres
Mayo 2021	30	Maestrazgo	Servicios	79	Hombres
Mayo 2021	30	Maestrazgo	Servicios	92	Mujeres
Mayo 2021	31	Sierra de Albarracín	Agricultura, ganadería y pesca	113	Hombres
Mayo 2021	31	Sierra de Albarracín	Agricultura, ganadería y pesca	51	Mujeres
Mayo 2021	31	Sierra de Albarracín	Industria y energía	29	Hombres
Mayo 2021	31	Sierra de Albarracín	Industria y energía	7	Mujeres
Mayo 2021	31	Sierra de Albarracín	Construcción	79	Hombres
Mayo 2021	31	Sierra de Albarracín	Construcción	2	Mujeres
Mayo 2021	31	Sierra de Albarracín	Servicios	121	Hombres
Mayo 2021	31	Sierra de Albarracín	Servicios	116	Mujeres
Mayo 2021	32	Gúdar-Javalambre	Agricultura, ganadería y pesca	238	Hombres
Mayo 2021	32	Gúdar-Javalambre	Agricultura, ganadería y pesca	94	Mujeres
Mayo 2021	32	Gúdar-Javalambre	Industria y energía	72	Hombres
Mayo 2021	32	Gúdar-Javalambre	Industria y energía	12	Mujeres
Mayo 2021	32	Gúdar-Javalambre	Construcción	135	Hombres
Mayo 2021	32	Gúdar-Javalambre	Construcción	6	Mujeres
Mayo 2021	32	Gúdar-Javalambre	Servicios	201	Hombres
Mayo 2021	32	Gúdar-Javalambre	Servicios	229	Mujeres
Mayo 2021	33	Matarraña / Matarranya	Agricultura, ganadería y pesca	451	Hombres
Mayo 2021	33	Matarraña / Matarranya	Agricultura, ganadería y pesca	202	Mujeres
Mayo 2021	33	Matarraña / Matarranya	Industria y energía	69	Hombres
Mayo 2021	33	Matarraña / Matarranya	Industria y energía	33	Mujeres
Mayo 2021	33	Matarraña / Matarranya	Construcción	136	Hombres
Mayo 2021	33	Matarraña / Matarranya	Construcción	9	Mujeres
Mayo 2021	33	Matarraña / Matarranya	Servicios	210	Hombres
Mayo 2021	33	Matarraña / Matarranya	Servicios	243	Mujeres
Abril 2021	01	La Jacetania	Agricultura, ganadería y pesca	249	Hombres
Abril 2021	01	La Jacetania	Agricultura, ganadería y pesca	45	Mujeres
Abril 2021	01	La Jacetania	Industria y energía	68	Hombres
Abril 2021	01	La Jacetania	Industria y energía	20	Mujeres
Abril 2021	01	La Jacetania	Construcción	221	Hombres
Abril 2021	01	La Jacetania	Construcción	13	Mujeres
Abril 2021	01	La Jacetania	Servicios	553	Hombres
Abril 2021	01	La Jacetania	Servicios	584	Mujeres
Abril 2021	02	Alto Gállego	Agricultura, ganadería y pesca	93	Hombres
Abril 2021	02	Alto Gállego	Agricultura, ganadería y pesca	31	Mujeres
Abril 2021	02	Alto Gállego	Industria y energía	39	Hombres
Abril 2021	02	Alto Gállego	Industria y energía	18	Mujeres
Abril 2021	02	Alto Gállego	Construcción	161	Hombres
Abril 2021	02	Alto Gállego	Construcción	19	Mujeres
Abril 2021	02	Alto Gállego	Servicios	441	Hombres
Abril 2021	02	Alto Gállego	Servicios	384	Mujeres
Abril 2021	03	Sobrarbe	Agricultura, ganadería y pesca	242	Hombres
Abril 2021	03	Sobrarbe	Agricultura, ganadería y pesca	50	Mujeres
Abril 2021	03	Sobrarbe	Industria y energía	32	Hombres
Abril 2021	03	Sobrarbe	Industria y energía	12	Mujeres
Abril 2021	03	Sobrarbe	Construcción	163	Hombres
Abril 2021	03	Sobrarbe	Construcción	8	Mujeres
Abril 2021	03	Sobrarbe	Servicios	311	Hombres
Abril 2021	03	Sobrarbe	Servicios	284	Mujeres
Abril 2021	04	La Ribagorza	Agricultura, ganadería y pesca	402	Hombres
Abril 2021	04	La Ribagorza	Agricultura, ganadería y pesca	106	Mujeres
Abril 2021	04	La Ribagorza	Industria y energía	53	Hombres
Abril 2021	04	La Ribagorza	Industria y energía	23	Mujeres
Abril 2021	04	La Ribagorza	Construcción	191	Hombres
Abril 2021	04	La Ribagorza	Construcción	14	Mujeres
Abril 2021	04	La Ribagorza	Servicios	379	Hombres
Abril 2021	04	La Ribagorza	Servicios	382	Mujeres
Abril 2021	05	Cinco Villas	Agricultura, ganadería y pesca	1161	Hombres
Abril 2021	05	Cinco Villas	Agricultura, ganadería y pesca	333	Mujeres
Abril 2021	05	Cinco Villas	Industria y energía	145	Hombres
Abril 2021	05	Cinco Villas	Industria y energía	134	Mujeres
Abril 2021	05	Cinco Villas	Construcción	288	Hombres
Abril 2021	05	Cinco Villas	Construcción	40	Mujeres
Abril 2021	05	Cinco Villas	Servicios	712	Hombres
Abril 2021	05	Cinco Villas	Servicios	646	Mujeres
Abril 2021	06	Hoya de Huesca / Plana de Uesca	Agricultura, ganadería y pesca	844	Hombres
Abril 2021	06	Hoya de Huesca / Plana de Uesca	Agricultura, ganadería y pesca	184	Mujeres
Abril 2021	06	Hoya de Huesca / Plana de Uesca	Industria y energía	214	Hombres
Abril 2021	06	Hoya de Huesca / Plana de Uesca	Industria y energía	54	Mujeres
Abril 2021	06	Hoya de Huesca / Plana de Uesca	Construcción	579	Hombres
Abril 2021	06	Hoya de Huesca / Plana de Uesca	Construcción	59	Mujeres
Abril 2021	06	Hoya de Huesca / Plana de Uesca	Servicios	1875	Hombres
Abril 2021	06	Hoya de Huesca / Plana de Uesca	Servicios	1339	Mujeres
Abril 2021	07	Somontano de Barbastro	Agricultura, ganadería y pesca	495	Hombres
Abril 2021	07	Somontano de Barbastro	Agricultura, ganadería y pesca	141	Mujeres
Abril 2021	07	Somontano de Barbastro	Industria y energía	129	Hombres
Abril 2021	07	Somontano de Barbastro	Industria y energía	50	Mujeres
Abril 2021	07	Somontano de Barbastro	Construcción	211	Hombres
Abril 2021	07	Somontano de Barbastro	Construcción	22	Mujeres
Abril 2021	07	Somontano de Barbastro	Servicios	640	Hombres
Abril 2021	07	Somontano de Barbastro	Servicios	503	Mujeres
Abril 2021	08	Cinca Medio	Agricultura, ganadería y pesca	480	Hombres
Abril 2021	08	Cinca Medio	Agricultura, ganadería y pesca	166	Mujeres
Abril 2021	08	Cinca Medio	Industria y energía	89	Hombres
Abril 2021	08	Cinca Medio	Industria y energía	130	Mujeres
Abril 2021	08	Cinca Medio	Construcción	209	Hombres
Abril 2021	08	Cinca Medio	Construcción	26	Mujeres
Abril 2021	08	Cinca Medio	Servicios	515	Hombres
Abril 2021	08	Cinca Medio	Servicios	520	Mujeres
Abril 2021	09	La Litera / La Llitera	Agricultura, ganadería y pesca	621	Hombres
Abril 2021	09	La Litera / La Llitera	Agricultura, ganadería y pesca	178	Mujeres
Abril 2021	09	La Litera / La Llitera	Industria y energía	108	Hombres
Abril 2021	09	La Litera / La Llitera	Industria y energía	53	Mujeres
Abril 2021	09	La Litera / La Llitera	Construcción	203	Hombres
Abril 2021	09	La Litera / La Llitera	Construcción	28	Mujeres
Abril 2021	09	La Litera / La Llitera	Servicios	453	Hombres
Abril 2021	09	La Litera / La Llitera	Servicios	402	Mujeres
Abril 2021	10	Los Monegros	Agricultura, ganadería y pesca	1187	Hombres
Abril 2021	10	Los Monegros	Agricultura, ganadería y pesca	426	Mujeres
Abril 2021	10	Los Monegros	Industria y energía	75	Hombres
Abril 2021	10	Los Monegros	Industria y energía	29	Mujeres
Abril 2021	10	Los Monegros	Construcción	191	Hombres
Abril 2021	10	Los Monegros	Construcción	17	Mujeres
Abril 2021	10	Los Monegros	Servicios	362	Hombres
Abril 2021	10	Los Monegros	Servicios	307	Mujeres
Abril 2021	11	Bajo Cinca / Baix Cinca	Agricultura, ganadería y pesca	867	Hombres
Abril 2021	11	Bajo Cinca / Baix Cinca	Agricultura, ganadería y pesca	307	Mujeres
Abril 2021	11	Bajo Cinca / Baix Cinca	Industria y energía	98	Hombres
Abril 2021	11	Bajo Cinca / Baix Cinca	Industria y energía	36	Mujeres
Abril 2021	11	Bajo Cinca / Baix Cinca	Construcción	213	Hombres
Abril 2021	11	Bajo Cinca / Baix Cinca	Construcción	21	Mujeres
Abril 2021	11	Bajo Cinca / Baix Cinca	Servicios	561	Hombres
Abril 2021	11	Bajo Cinca / Baix Cinca	Servicios	459	Mujeres
Abril 2021	12	Tarazona y el Moncayo	Agricultura, ganadería y pesca	112	Hombres
Abril 2021	12	Tarazona y el Moncayo	Agricultura, ganadería y pesca	22	Mujeres
Abril 2021	12	Tarazona y el Moncayo	Industria y energía	71	Hombres
Abril 2021	12	Tarazona y el Moncayo	Industria y energía	33	Mujeres
Abril 2021	12	Tarazona y el Moncayo	Construcción	112	Hombres
Abril 2021	12	Tarazona y el Moncayo	Construcción	7	Mujeres
Abril 2021	12	Tarazona y el Moncayo	Servicios	299	Hombres
Abril 2021	12	Tarazona y el Moncayo	Servicios	291	Mujeres
Abril 2021	13	Campo de Borja	Agricultura, ganadería y pesca	406	Hombres
Abril 2021	13	Campo de Borja	Agricultura, ganadería y pesca	112	Mujeres
Abril 2021	13	Campo de Borja	Industria y energía	56	Hombres
Abril 2021	13	Campo de Borja	Industria y energía	19	Mujeres
Abril 2021	13	Campo de Borja	Construcción	157	Hombres
Abril 2021	13	Campo de Borja	Construcción	5	Mujeres
Abril 2021	13	Campo de Borja	Servicios	269	Hombres
Abril 2021	13	Campo de Borja	Servicios	280	Mujeres
Abril 2021	14	Aranda	Agricultura, ganadería y pesca	80	Hombres
Abril 2021	14	Aranda	Agricultura, ganadería y pesca	21	Mujeres
Abril 2021	14	Aranda	Industria y energía	88	Hombres
Abril 2021	14	Aranda	Industria y energía	20	Mujeres
Abril 2021	14	Aranda	Construcción	80	Hombres
Abril 2021	14	Aranda	Construcción	4	Mujeres
Abril 2021	14	Aranda	Servicios	131	Hombres
Abril 2021	14	Aranda	Servicios	110	Mujeres
Abril 2021	15	Ribera Alta del Ebro	Agricultura, ganadería y pesca	200	Hombres
Abril 2021	15	Ribera Alta del Ebro	Agricultura, ganadería y pesca	91	Mujeres
Abril 2021	15	Ribera Alta del Ebro	Industria y energía	108	Hombres
Abril 2021	15	Ribera Alta del Ebro	Industria y energía	53	Mujeres
Abril 2021	15	Ribera Alta del Ebro	Construcción	245	Hombres
Abril 2021	15	Ribera Alta del Ebro	Construcción	26	Mujeres
Abril 2021	15	Ribera Alta del Ebro	Servicios	542	Hombres
Abril 2021	15	Ribera Alta del Ebro	Servicios	473	Mujeres
Abril 2021	16	Valdejalón	Agricultura, ganadería y pesca	486	Hombres
Abril 2021	16	Valdejalón	Agricultura, ganadería y pesca	139	Mujeres
Abril 2021	16	Valdejalón	Industria y energía	165	Hombres
Abril 2021	16	Valdejalón	Industria y energía	34	Mujeres
Abril 2021	16	Valdejalón	Construcción	273	Hombres
Abril 2021	16	Valdejalón	Construcción	34	Mujeres
Abril 2021	16	Valdejalón	Servicios	649	Hombres
Abril 2021	16	Valdejalón	Servicios	451	Mujeres
