Año	Comarca código	Comarca nombre	Edificios nueva planta, total	Superficie nueva planta, total	Viviendas nueva planta
2018	27	Andorra-Sierra de Arcos	6	1125	2
2018	28	Bajo Aragón	49	18844	18
2018	29	Comunidad de Teruel	45	34186	78
2018	30	Maestrazgo	4	1074	3
2018	31	Sierra de Albarracín	5	2691	4
2018	32	Gúdar-Javalambre	28	9077	19
2018	33	Matarraña / Matarranya	26	5256	6
2017	01	La Jacetania	21	29722	35
2017	02	Alto Gállego	4	1255	5
2017	03	Sobrarbe	16	5680	10
2017	04	La Ribagorza	47	29105	31
2017	05	Cinco Villas	29	25297	26
2017	06	Hoya de Huesca / Plana de Uesca	79	73634	56
2017	07	Somontano de Barbastro	38	29525	40
2017	08	Cinca Medio	58	39521	8
2017	09	La Litera / La Llitera	35	75984	35
2017	10	Los Monegros	131	137680	7
2017	11	Bajo Cinca / Baix Cinca	65	53504	47
2017	12	Tarazona y el Moncayo	5	8344	32
2017	13	Campo de Borja	12	6432	6
2017	14	Aranda	1	305	1
2017	15	Ribera Alta del Ebro	21	9442	15
2017	16	Valdejalón	94	32152	134
2017	17	Central	197	492090	1696
2017	18	Ribera Baja del Ebro	5	3533	2
2017	19	Bajo Aragón-Caspe / Baix Aragó-Casp	30	16841	9
2017	20	Comunidad de Calatayud	17	6589	10
2017	21	Campo de Cariñena	10	23401	2
2017	22	Campo de Belchite	2	2015	0
2017	23	Bajo Martín	26	24511	5
2017	24	Campo de Daroca	6	4350	0
2017	25	Jiloca	59	35226	8
2017	26	Cuencas Mineras	5	1655	3
2017	27	Andorra-Sierra de Arcos	5	1359	4
2017	28	Bajo Aragón	31	19103	26
2017	29	Comunidad de Teruel	44	54834	70
2017	30	Maestrazgo	2	577	1
2017	31	Sierra de Albarracín	14	2918	7
2017	32	Gúdar-Javalambre	30	7805	20
2017	33	Matarraña / Matarranya	29	8351	8
2016	01	La Jacetania	20	16112	52
2016	02	Alto Gállego	12	4400	21
2016	03	Sobrarbe	21	7827	7
2016	04	La Ribagorza	25	15350	8
2016	05	Cinco Villas	30	17929	11
2016	06	Hoya de Huesca / Plana de Uesca	80	74883	87
2016	07	Somontano de Barbastro	47	38207	25
2016	08	Cinca Medio	51	25760	13
2016	09	La Litera / La Llitera	35	22863	18
2016	10	Los Monegros	100	64998	13
2016	11	Bajo Cinca / Baix Cinca	55	45042	7
2016	12	Tarazona y el Moncayo	1	276	2
2016	13	Campo de Borja	20	7324	11
2016	14	Aranda	6	2270	2
2016	15	Ribera Alta del Ebro	23	23621	9
2016	16	Valdejalón	21	9560	11
2016	17	Central	303	422338	1626
2016	18	Ribera Baja del Ebro	8	6420	2
2016	19	Bajo Aragón-Caspe / Baix Aragó-Casp	23	8035	6
2016	20	Comunidad de Calatayud	8	4643	5
2016	21	Campo de Cariñena	10	13523	4
2016	22	Campo de Belchite	4	950	2
2016	23	Bajo Martín	15	9950	6
2016	24	Campo de Daroca	2	605	2
2016	25	Jiloca	44	38676	3
2016	26	Cuencas Mineras	2	473	1
2016	27	Andorra-Sierra de Arcos	10	868	1
2016	28	Bajo Aragón	33	11396	18
2016	29	Comunidad de Teruel	31	46483	94
2016	30	Maestrazgo	3	512	0
2016	31	Sierra de Albarracín	2	614	1
2016	32	Gúdar-Javalambre	26	7604	21
2016	33	Matarraña / Matarranya	31	12141	1
2015	01	La Jacetania	16	8286	5
2015	02	Alto Gállego	10	6446	6
2015	03	Sobrarbe	13	9396	4
2015	04	La Ribagorza	25	26324	5
2015	05	Cinco Villas	19	11304	5
2015	06	Hoya de Huesca / Plana de Uesca	67	43496	11
2015	07	Somontano de Barbastro	49	45623	21
2015	08	Cinca Medio	20	15785	4
2015	09	La Litera / La Llitera	55	34943	7
2015	10	Los Monegros	81	75991	7
2015	11	Bajo Cinca / Baix Cinca	28	16188	2
2015	12	Tarazona y el Moncayo	8	3314	2
2015	13	Campo de Borja	14	12838	4
2015	14	Aranda	2	200	1
2015	15	Ribera Alta del Ebro	17	8614	10
2015	16	Valdejalón	16	3666	8
2015	17	Central	167	376696	1021
2015	18	Ribera Baja del Ebro	9	6260	3
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	23	7882	6
2015	20	Comunidad de Calatayud	14	4734	6
2015	21	Campo de Cariñena	3	670	3
2015	22	Campo de Belchite	9	3067	4
2015	23	Bajo Martín	10	2711	2
2015	24	Campo de Daroca	7	3783	3
2015	25	Jiloca	41	33828	7
2015	26	Cuencas Mineras	8	2260	4
2015	27	Andorra-Sierra de Arcos	11	3085	1
2015	28	Bajo Aragón	37	17627	38
2015	29	Comunidad de Teruel	30	18765	41
2015	30	Maestrazgo	4	1078	1
2015	31	Sierra de Albarracín	7	2342	6
2015	32	Gúdar-Javalambre	19	4996	9
2015	33	Matarraña / Matarranya	25	9653	6
2014	01	La Jacetania	6	1368	4
2014	02	Alto Gállego	10	10003	47
2014	03	Sobrarbe	13	5481	6
2014	04	La Ribagorza	37	15949	6
2014	05	Cinco Villas	24	18590	9
2014	06	Hoya de Huesca / Plana de Uesca	52	46724	60
2014	07	Somontano de Barbastro	36	36021	7
2014	08	Cinca Medio	38	22701	9
2014	09	La Litera / La Llitera	17	20385	2
2014	10	Los Monegros	80	62695	10
2014	11	Bajo Cinca / Baix Cinca	26	22641	6
2014	12	Tarazona y el Moncayo	7	2064	3
2014	13	Campo de Borja	17	12074	5
2014	14	Aranda	5	763	4
2014	15	Ribera Alta del Ebro	12	2603	7
2014	16	Valdejalón	20	6101	9
2014	17	Central	161	242242	723
2014	18	Ribera Baja del Ebro	9	5230	3
2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	33	10701	5
2014	20	Comunidad de Calatayud	15	6761	5
2014	21	Campo de Cariñena	3	1416	2
2014	22	Campo de Belchite	6	23053	1
2014	23	Bajo Martín	6	4625	1
2014	24	Campo de Daroca	3	3400	0
2014	25	Jiloca	36	21431	11
2014	26	Cuencas Mineras	5	978	2
2014	27	Andorra-Sierra de Arcos	6	2584	0
2014	28	Bajo Aragón	27	8979	21
2014	29	Comunidad de Teruel	26	21981	9
2014	30	Maestrazgo	4	749	3
2014	31	Sierra de Albarracín	4	470	2
2014	32	Gúdar-Javalambre	15	3742	11
2014	33	Matarraña / Matarranya	27	10172	14
2013	01	La Jacetania	7	2625	2
2013	02	Alto Gállego	6	4309	11
2013	03	Sobrarbe	12	4818	7
2013	04	La Ribagorza	43	18418	11
2013	05	Cinco Villas	16	26267	5
2013	06	Hoya de Huesca / Plana de Uesca	57	66788	9
2013	07	Somontano de Barbastro	18	13081	4
2013	08	Cinca Medio	36	22667	7
2013	09	La Litera / La Llitera	21	9620	8
2013	10	Los Monegros	67	48746	9
2013	11	Bajo Cinca / Baix Cinca	38	19415	10
2013	12	Tarazona y el Moncayo	6	2413	3
2013	13	Campo de Borja	8	1546	4
2013	14	Aranda	6	737	2
2013	15	Ribera Alta del Ebro	16	5083	8
2013	16	Valdejalón	20	11501	1
2013	17	Central	209	344829	1600
2013	18	Ribera Baja del Ebro	7	2551	4
2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	27	7247	3
2013	20	Comunidad de Calatayud	18	6144	6
2013	21	Campo de Cariñena	8	1823	7
2013	22	Campo de Belchite	5	1483	3
2013	23	Bajo Martín	1	30	0
2013	24	Campo de Daroca	8	3515	4
2013	25	Jiloca	20	6257	8
2013	26	Cuencas Mineras	3	494	3
2013	27	Andorra-Sierra de Arcos	11	1980	2
2013	28	Bajo Aragón	44	11626	11
2013	29	Comunidad de Teruel	27	11965	16
2013	30	Maestrazgo	4	790	3
2013	31	Sierra de Albarracín	3	752	1
2013	32	Gúdar-Javalambre	17	4733	11
2013	33	Matarraña / Matarranya	11	2752	3
2012	01	La Jacetania	12	5708	9
2012	02	Alto Gállego	7	3575	7
2012	03	Sobrarbe	21	7093	17
2012	04	La Ribagorza	29	13102	4
2012	05	Cinco Villas	25	10707	16
2012	06	Hoya de Huesca / Plana de Uesca	45	20640	24
2012	07	Somontano de Barbastro	26	12440	17
2012	08	Cinca Medio	20	8350	5
2012	09	La Litera / La Llitera	23	8106	8
2012	10	Los Monegros	71	49748	18
2012	11	Bajo Cinca / Baix Cinca	21	5797	28
2012	12	Tarazona y el Moncayo	6	1036	7
2012	13	Campo de Borja	14	5203	7
2012	14	Aranda	3	211	0
2012	15	Ribera Alta del Ebro	12	3605	7
2012	16	Valdejalón	36	12156	16
2012	17	Central	226	290490	959
2012	18	Ribera Baja del Ebro	15	4918	8
2012	19	Bajo Aragón-Caspe / Baix Aragó-Casp	31	12282	15
2012	20	Comunidad de Calatayud	30	6318	9
2012	21	Campo de Cariñena	16	3620	10
2012	22	Campo de Belchite	11	14413	2
2012	23	Bajo Martín	13	2492	3
2012	24	Campo de Daroca	10	1621	2
2012	25	Jiloca	23	6255	14
2012	26	Cuencas Mineras	9	5252	4
2012	27	Andorra-Sierra de Arcos	3	1721	1
2012	28	Bajo Aragón	34	10182	20
2012	29	Comunidad de Teruel	21	66760	22
2012	30	Maestrazgo	6	1152	4
2012	31	Sierra de Albarracín	11	2233	8
2012	32	Gúdar-Javalambre	27	6937	22
2012	33	Matarraña / Matarranya	35	12503	7
2011	01	La Jacetania	20	11232	47
2011	02	Alto Gállego	16	4104	20
2011	03	Sobrarbe	19	4728	9
2011	04	La Ribagorza	34	16577	18
2011	05	Cinco Villas	29	20500	25
2011	06	Hoya de Huesca / Plana de Uesca	49	26728	19
2011	07	Somontano de Barbastro	22	10949	10
2011	08	Cinca Medio	23	16517	6
2011	09	La Litera / La Llitera	30	10428	10
2011	10	Los Monegros	40	18484	23
2011	11	Bajo Cinca / Baix Cinca	28	13924	11
2011	12	Tarazona y el Moncayo	8	1604	6
2011	13	Campo de Borja	18	4383	6
2011	14	Aranda	2	509	1
2011	15	Ribera Alta del Ebro	26	4106	16
2011	16	Valdejalón	41	31947	52
2011	17	Central	389	591640	2006
2011	18	Ribera Baja del Ebro	17	5115	9
2011	19	Bajo Aragón-Caspe / Baix Aragó-Casp	29	12892	25
2011	20	Comunidad de Calatayud	40	10400	30
2011	21	Campo de Cariñena	5	1834	3
2011	22	Campo de Belchite	5	1234	1
2011	23	Bajo Martín	15	17764	19
2011	24	Campo de Daroca	6	832	2
2011	25	Jiloca	23	10064	15
2011	26	Cuencas Mineras	3	650	2
2011	27	Andorra-Sierra de Arcos	14	6188	5
2011	28	Bajo Aragón	54	17029	42
2011	29	Comunidad de Teruel	27	21806	96
2011	30	Maestrazgo	5	1322	7
2011	31	Sierra de Albarracín	8	1887	10
2011	32	Gúdar-Javalambre	46	11518	44
2011	33	Matarraña / Matarranya	26	11174	28
2010	01	La Jacetania	20	15963	27
2010	02	Alto Gállego	20	10895	72
2010	03	Sobrarbe	16	7351	13
2010	04	La Ribagorza	38	21069	34
2010	05	Cinco Villas	28	11368	24
2010	06	Hoya de Huesca / Plana de Uesca	47	53895	144
2010	07	Somontano de Barbastro	44	16598	52
2010	08	Cinca Medio	17	10963	37
2010	09	La Litera / La Llitera	30	9592	16
2010	10	Los Monegros	60	39390	20
2010	11	Bajo Cinca / Baix Cinca	44	15795	38
2010	12	Tarazona y el Moncayo	10	4069	33
2010	13	Campo de Borja	40	13539	21
2010	14	Aranda			
2010	15	Ribera Alta del Ebro	48	18114	49
2010	16	Valdejalón	35	19534	35
2010	17	Central	298	652841	2078
2010	18	Ribera Baja del Ebro	17	6198	11
2010	19	Bajo Aragón-Caspe / Baix Aragó-Casp	28	10149	10
2010	20	Comunidad de Calatayud	21	8383	13
2010	21	Campo de Cariñena	23	4299	22
2010	22	Campo de Belchite	6	4768	11
2010	23	Bajo Martín	15	5743	24
2010	24	Campo de Daroca	11	2527	8
2010	25	Jiloca	21	7476	11
2010	26	Cuencas Mineras	6	1617	5
2010	27	Andorra-Sierra de Arcos	17	4232	10
2010	28	Bajo Aragón	60	30225	151
2010	29	Comunidad de Teruel	26	15379	32
2010	30	Maestrazgo			
2010	31	Sierra de Albarracín	6	1237	4
2010	32	Gúdar-Javalambre	55	18959	51
2010	33	Matarraña / Matarranya	24	4072	14
2009	01	La Jacetania	38	22530	58
2009	02	Alto Gállego	14	8228	26
2009	03	Sobrarbe	20	11056	51
2009	04	La Ribagorza	55	40652	229
2009	05	Cinco Villas	40	16634	55
2009	06	Hoya de Huesca / Plana de Uesca	42	48519	200
2009	07	Somontano de Barbastro	47	26238	39
2009	08	Cinca Medio	29	24940	78
2009	09	La Litera / La Llitera	51	33087	47
2009	10	Los Monegros	68	53673	94
2009	11	Bajo Cinca / Baix Cinca	29	15489	14
2009	12	Tarazona y el Moncayo	20	11964	17
2009	13	Campo de Borja	29	15612	21
2009	14	Aranda	6	1377	5
2009	15	Ribera Alta del Ebro	30	17362	19
2009	16	Valdejalón	42	31274	32
2009	17	Central	503	1032473	3697
2009	18	Ribera Baja del Ebro	19	5942	20
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19	8426	36
2009	20	Comunidad de Calatayud	22	9308	24
2009	21	Campo de Cariñena	10	2514	14
2009	22	Campo de Belchite	11	3303	7
2009	23	Bajo Martín	12	4861	12
2009	24	Campo de Daroca	12	10065	13
2009	25	Jiloca	39	13668	34
2009	26	Cuencas Mineras	17	5930	16
2009	27	Andorra-Sierra de Arcos	24	16424	86
2009	28	Bajo Aragón	82	31519	59
2009	29	Comunidad de Teruel	50	22189	79
2009	30	Maestrazgo	23	4948	19
2009	31	Sierra de Albarracín	18	3724	17
2009	32	Gúdar-Javalambre	77	24035	83
2009	33	Matarraña / Matarranya	36	9875	19
2008	01	La Jacetania	30	27579	205
2008	02	Alto Gállego	22	14074	74
2008	03	Sobrarbe	15	5120	18
2008	04	La Ribagorza	73	26401	132
2008	05	Cinco Villas	71	56619	82
2008	06	Hoya de Huesca / Plana de Uesca	128	86220	297
2008	07	Somontano de Barbastro	92	54058	131
2008	08	Cinca Medio	51	30414	107
2008	09	La Litera / La Llitera	88	62804	95
2008	10	Los Monegros	115	43721	98
2008	11	Bajo Cinca / Baix Cinca	64	44747	132
2008	12	Tarazona y el Moncayo	41	21042	76
2008	13	Campo de Borja	31	12866	26
2008	14	Aranda	5	2056	3
2008	15	Ribera Alta del Ebro	181	94711	384
2008	16	Valdejalón	160	102578	374
2008	17	Central	1349	1883713	4841
2008	18	Ribera Baja del Ebro	24	14203	57
2008	19	Bajo Aragón-Caspe / Baix Aragó-Casp	34	10629	36
2008	20	Comunidad de Calatayud	37	49873	268
2008	21	Campo de Cariñena	19	19061	17
2008	22	Campo de Belchite	5	2638	3
2008	23	Bajo Martín	37	10587	35
2008	24	Campo de Daroca	6	1788	7
2008	25	Jiloca	65	45856	96
2008	26	Cuencas Mineras	6	2333	5
2008	27	Andorra-Sierra de Arcos	48	17315	72
2008	28	Bajo Aragón	95	34634	125
2008	29	Comunidad de Teruel	73	48468	219
2008	30	Maestrazgo	25	14594	78
2008	31	Sierra de Albarracín	33	18682	65
2008	32	Gúdar-Javalambre	152	56752	351
2008	33	Matarraña / Matarranya	42	14173	59
2007	01	La Jacetania	116	66368	354
2007	02	Alto Gállego	94	92174	610
2007	03	Sobrarbe	32	19689	132
2007	04	La Ribagorza	195	129665	727
2007	05	Cinco Villas	94	65842	305
2007	06	Hoya de Huesca / Plana de Uesca	222	128590	501
2007	07	Somontano de Barbastro	100	56646	216
2007	08	Cinca Medio	108	61215	331
2007	09	La Litera / La Llitera	171	125614	610
2007	10	Los Monegros	118	54841	174
2007	11	Bajo Cinca / Baix Cinca	91	57637	226
2007	12	Tarazona y el Moncayo	48	40857	262
2007	13	Campo de Borja	68	35912	93
2007	14	Aranda	5	2004	3
2007	15	Ribera Alta del Ebro	461	181366	887
2007	16	Valdejalón	838	326117	1642
2007	17	Central	2895	2728960	8862
2007	18	Ribera Baja del Ebro	41	21002	100
2007	19	Bajo Aragón-Caspe / Baix Aragó-Casp	59	26045	77
2007	20	Comunidad de Calatayud	79	50286	260
2007	21	Campo de Cariñena	66	47696	265
2007	22	Campo de Belchite	5	1445	4
2007	23	Bajo Martín	26	9633	32
2007	24	Campo de Daroca	1	585	1
2007	25	Jiloca	105	79952	291
2007	26	Cuencas Mineras	12	4513	19
2007	27	Andorra-Sierra de Arcos	44	18240	58
2007	28	Bajo Aragón	132	85964	326
2007	29	Comunidad de Teruel	98	51659	234
2007	30	Maestrazgo	25	8789	32
2007	31	Sierra de Albarracín	36	10308	63
2007	32	Gúdar-Javalambre	130	76274	486
2007	33	Matarraña / Matarranya	56	41589	241
2006	01	La Jacetania	119	81057	594
2006	02	Alto Gállego	143	96341	711
2006	03	Sobrarbe	90	44085	347
2006	04	La Ribagorza	112	53084	250
2006	05	Cinco Villas	107	57576	240
2006	06	Hoya de Huesca / Plana de Uesca	243	154423	686
2006	07	Somontano de Barbastro	113	115391	509
2006	08	Cinca Medio	100	53333	201
2006	09	La Litera / La Llitera	96	63416	255
2006	10	Los Monegros	179	96351	139
2006	11	Bajo Cinca / Baix Cinca	117	89546	365
2006	12	Tarazona y el Moncayo	42	21269	102
2006	13	Campo de Borja	127	78963	422
2006	14	Aranda	4	3092	9
2006	15	Ribera Alta del Ebro	452	149387	790
2006	16	Valdejalón	565	376302	1033
2006	17	Central	2562	2751269	11840
2006	18	Ribera Baja del Ebro	50	24492	44
2006	19	Bajo Aragón-Caspe / Baix Aragó-Casp	48	27508	114
2006	20	Comunidad de Calatayud	73	37404	143
2006	21	Campo de Cariñena	103	33612	189
2006	22	Campo de Belchite	5	2240	3
2006	23	Bajo Martín	22	7410	33
2006	24	Campo de Daroca	22	7333	30
2006	25	Jiloca	73	30186	117
2006	26	Cuencas Mineras	22	5733	25
2006	27	Andorra-Sierra de Arcos	27	8896	18
2006	28	Bajo Aragón	153	102623	457
2006	29	Comunidad de Teruel	153	87512	371
2006	30	Maestrazgo	16	7001	19
2006	31	Sierra de Albarracín	12	3439	11
2006	32	Gúdar-Javalambre	136	49979	282
2006	33	Matarraña / Matarranya	55	32790	94
2005	01	La Jacetania	150	52668	347
2005	02	Alto Gállego	164	131115	1184
2005	03	Sobrarbe	90	44698	324
2005	04	La Ribagorza	111	54289	300
2005	05	Cinco Villas	133	75785	243
2005	06	Hoya de Huesca / Plana de Uesca	232	142375	458
2005	07	Somontano de Barbastro	127	101579	255
2005	08	Cinca Medio	77	71332	238
2005	09	La Litera / La Llitera	93	62322	268
2005	10	Los Monegros	170	92592	109
2005	11	Bajo Cinca / Baix Cinca	72	47831	224
2005	12	Tarazona y el Moncayo	49	25369	142
2005	13	Campo de Borja	80	39271	172
2005	14	Aranda	7	2883	5
2005	15	Ribera Alta del Ebro	269	89336	410
2005	16	Valdejalón	276	173221	622
2005	17	Central	1945	2189834	7323
2005	18	Ribera Baja del Ebro	39	12172	51
2005	19	Bajo Aragón-Caspe / Baix Aragó-Casp	47	30308	80
2005	20	Comunidad de Calatayud	63	43710	194
2005	21	Campo de Cariñena	87	31401	128
2005	22	Campo de Belchite	6	1498	4
2005	23	Bajo Martín	20	6132	17
2005	24	Campo de Daroca	9	3890	6
2005	25	Jiloca	102	41420	148
2005	26	Cuencas Mineras	24	7905	25
2005	27	Andorra-Sierra de Arcos	91	27201	90
2005	28	Bajo Aragón	154	100590	347
2005	29	Comunidad de Teruel	105	70205	276
2005	30	Maestrazgo	31	9475	33
2005	31	Sierra de Albarracín	51	14586	103
2005	32	Gúdar-Javalambre	125	49765	269
2005	33	Matarraña / Matarranya	43	19881	49
2004	01	La Jacetania	151	88419	500
2004	02	Alto Gállego	51	62716	473
2004	03	Sobrarbe	44	33689	224
2004	04	La Ribagorza	147	96947	411
2004	05	Cinco Villas	138	77380	127
2004	06	Hoya de Huesca / Plana de Uesca	269	226152	896
2004	07	Somontano de Barbastro	91	93218	365
2004	08	Cinca Medio	80	46652	107
2004	09	La Litera / La Llitera	80	48803	152
2004	10	Los Monegros	218	86934	136
2004	11	Bajo Cinca / Baix Cinca	56	33494	96
2004	12	Tarazona y el Moncayo	71	16863	87
2004	13	Campo de Borja	77	33765	136
2004	14	Aranda	8	2366	8
2004	15	Ribera Alta del Ebro	281	79883	286
2004	16	Valdejalón	291	139951	356
2004	17	Central	2130	1654719	7395
2004	18	Ribera Baja del Ebro	58	14119	62
2004	19	Bajo Aragón-Caspe / Baix Aragó-Casp	52	34606	94
2004	20	Comunidad de Calatayud	67	46932	241
2004	21	Campo de Cariñena	56	25036	104
2004	22	Campo de Belchite	9	2373	5
2004	23	Bajo Martín	28	7468	19
2004	24	Campo de Daroca	9	4568	8
2004	25	Jiloca	74	34313	61
2004	26	Cuencas Mineras	21	11894	43
2004	27	Andorra-Sierra de Arcos	42	12584	32
2004	28	Bajo Aragón	177	97687	381
2004	29	Comunidad de Teruel	57	29753	80
2004	30	Maestrazgo	9	2455	7
2004	31	Sierra de Albarracín	21	9266	50
2004	32	Gúdar-Javalambre	111	35541	218
2004	33	Matarraña / Matarranya	23	7542	24
2003	01	La Jacetania	221	184310	872
2003	02	Alto Gállego	64	72054	496
2003	03	Sobrarbe	40	26068	105
2003	04	La Ribagorza	90	52556	233
2003	05	Cinco Villas	204	121536	288
2003	06	Hoya de Huesca / Plana de Uesca	223	116968	315
2003	07	Somontano de Barbastro	112	84261	287
2003	08	Cinca Medio	75	74199	187
2003	09	La Litera / La Llitera	141	77784	228
2003	10	Los Monegros	162	97955	80
2003	11	Bajo Cinca / Baix Cinca	81	56102	165
2003	12	Tarazona y el Moncayo	18	8556	38
2003	13	Campo de Borja	147	49369	158
2003	14	Aranda	5	1726	7
2003	15	Ribera Alta del Ebro	263	104244	408
2003	16	Valdejalón	224	123381	276
2003	17	Central	1401	1346735	5963
2003	18	Ribera Baja del Ebro	32	8329	29
2003	19	Bajo Aragón-Caspe / Baix Aragó-Casp	116	35198	123
2003	20	Comunidad de Calatayud	68	32872	115
2003	21	Campo de Cariñena	88	28343	89
2003	22	Campo de Belchite	11	4196	8
2003	23	Bajo Martín	53	22624	44
2003	24	Campo de Daroca	15	5080	15
2003	25	Jiloca	64	49767	167
2003	26	Cuencas Mineras	22	13411	61
2003	27	Andorra-Sierra de Arcos	29	8473	26
2003	28	Bajo Aragón	178	80875	205
2003	29	Comunidad de Teruel	76	43065	76
2003	30	Maestrazgo	27	10561	14
2003	31	Sierra de Albarracín	25	8929	44
2003	32	Gúdar-Javalambre	58	29989	170
2003	33	Matarraña / Matarranya	30	12045	22
2002	01	La Jacetania	179	104183	648
2002	02	Alto Gállego	128	73005	460
2002	03	Sobrarbe	23	10009	32
2002	04	La Ribagorza	67	46969	218
2002	05	Cinco Villas	183	94801	209
2002	06	Hoya de Huesca / Plana de Uesca	248	128826	559
2002	07	Somontano de Barbastro	93	65656	195
2002	08	Cinca Medio	95	88189	286
2002	09	La Litera / La Llitera	66	32728	80
2002	10	Los Monegros	112	58506	90
2002	11	Bajo Cinca / Baix Cinca	53	36486	113
2002	12	Tarazona y el Moncayo	91	25665	117
2002	13	Campo de Borja	41	23931	129
2002	14	Aranda	32	11933	36
2002	15	Ribera Alta del Ebro	261	79495	313
2002	16	Valdejalón	216	106341	212
2002	17	Central	1623	1653965	7665
2002	18	Ribera Baja del Ebro	31	14595	38
2002	19	Bajo Aragón-Caspe / Baix Aragó-Casp	37	24164	72
2002	20	Comunidad de Calatayud	170	82924	355
2002	21	Campo de Cariñena	60	21123	101
2002	22	Campo de Belchite	21	10012	30
2002	23	Bajo Martín	26	8362	18
2002	24	Campo de Daroca	17	6743	23
2002	25	Jiloca	56	26138	72
2002	26	Cuencas Mineras	27	10321	38
2002	27	Andorra-Sierra de Arcos	26	7884	27
2002	28	Bajo Aragón	110	122813	313
2002	29	Comunidad de Teruel	62	66912	191
2002	30	Maestrazgo	17	6592	18
2002	31	Sierra de Albarracín	24	10201	18
2002	32	Gúdar-Javalambre	82	23514	130
2002	33	Matarraña / Matarranya	28	11131	23
2001	01	La Jacetania	109	85836	631
2001	02	Alto Gállego	145	96008	645
2001	03	Sobrarbe	38	25974	142
2001	04	La Ribagorza	81	47411	236
2001	05	Cinco Villas	123	99085	278
2001	06	Hoya de Huesca / Plana de Uesca	125	75401	278
2001	07	Somontano de Barbastro	95	66836	161
2001	08	Cinca Medio	100	42932	146
2001	09	La Litera / La Llitera	93	67347	251
2001	10	Los Monegros	123	51166	151
2001	11	Bajo Cinca / Baix Cinca	74	77119	163
2001	12	Tarazona y el Moncayo	50	32613	94
2001	13	Campo de Borja	89	36399	112
2001	14	Aranda	40	12016	39
2001	15	Ribera Alta del Ebro	250	89283	304
2001	16	Valdejalón	209	163054	167
2001	17	Central	1531	1287678	6274
2001	18	Ribera Baja del Ebro	44	18332	52
2001	19	Bajo Aragón-Caspe / Baix Aragó-Casp	44	22499	69
2001	20	Comunidad de Calatayud	132	93945	313
2001	21	Campo de Cariñena	48	17143	52
2001	22	Campo de Belchite	21	9756	25
2001	23	Bajo Martín	16	5359	15
2001	24	Campo de Daroca	27	14083	48
2001	25	Jiloca	52	39600	80
2001	26	Cuencas Mineras	24	14818	62
2001	27	Andorra-Sierra de Arcos	17	11483	12
