Año	Kg recogidos envases	Comarca código	Comarca nombre	Contenedores de envases
2010	72000,01	23	Bajo Martín	114
2010	42599,97	24	Campo de Daroca	81
2010	105320,02	25	Jiloca	200
2010	58030,17	26	Cuencas Mineras	61
2010	112220	27	Andorra-Sierra de Arcos	170
2010	382960	28	Bajo Aragón	273
2010	365759,97	29	Comunidad de Teruel	222
2010	23665,34	30	Maestrazgo	30
2010	31103,05	31	Sierra de Albarracín	36
2010	53641,44	32	Gúdar-Javalambre	100
2010	96579,98	33	Matarraña / Matarranya	84
2011	290188,3	01	La Jacetania	206
2011	325887,91	02	Alto Gállego	351
2011	80304	03	Sobrarbe	231
2011	158465	04	La Ribagorza	276
2011	348180,01	05	Cinco Villas	363
2011	1492184,8	06	Hoya de Huesca / Plana de Uesca	620
2011	376117	07	Somontano de Barbastro	318
2011	348322,01	08	Cinca Medio	285
2011	282170	09	La Litera / La Llitera	143
2011	250780	10	Los Monegros	373
2011	355020	11	Bajo Cinca / Baix Cinca	213
2011	202929,98	12	Tarazona y el Moncayo	151
2011	250579,99	13	Campo de Borja	223
2011	64520	14	Aranda	90
2011	318900	15	Ribera Alta del Ebro	301
2011	256060,01	16	Valdejalón	278
2011	9429279,99	17	Central	2688
2011	94840	18	Ribera Baja del Ebro	125
2011	162719,99	19	Bajo Aragón-Caspe / Baix Aragó-Casp	140
2011	474280,05	20	Comunidad de Calatayud	412
2011	88940	21	Campo de Cariñena	112
2011	0	22	Campo de Belchite	0
2011	69304,85	23	Bajo Martín	118
2011	49459,97	24	Campo de Daroca	81
2011	86020	25	Jiloca	200
2011	72610,57	26	Cuencas Mineras	61
2011	128600	27	Andorra-Sierra de Arcos	170
2011	422055,14	28	Bajo Aragón	283
2011	374925,79	29	Comunidad de Teruel	225
2011	29398,77	30	Maestrazgo	30
2011	39363,35	31	Sierra de Albarracín	36
2011	66981,53	32	Gúdar-Javalambre	101
2011	74499,99	33	Matarraña / Matarranya	84
2012	293969,74	01	La Jacetania	206
2012	325847,51	02	Alto Gállego	338
2012	83445,01	03	Sobrarbe	234
2012	212439,99	04	La Ribagorza	316
2012	336159,99	05	Cinco Villas	363
2012	1505752,77	06	Hoya de Huesca / Plana de Uesca	620
2012	364903,97	07	Somontano de Barbastro	318
2012	351817,01	08	Cinca Medio	285
2012	315540	09	La Litera / La Llitera	143
2012	257739,99	10	Los Monegros	375
2012	346720,01	11	Bajo Cinca / Baix Cinca	213
2012	188360,01	12	Tarazona y el Moncayo	151
2012	262619,98	13	Campo de Borja	223
2012	65500,01	14	Aranda	90
2012	334780	15	Ribera Alta del Ebro	307
2012	258760	16	Valdejalón	283
2012	9491980	17	Central	2668
2012	91460	18	Ribera Baja del Ebro	125
2012	173000	19	Bajo Aragón-Caspe / Baix Aragó-Casp	143
2012	457920	20	Comunidad de Calatayud	441
2012	109200,01	21	Campo de Cariñena	112
2012	0	22	Campo de Belchite	0
2012	75420,01	23	Bajo Martín	118
2012	62759,99	24	Campo de Daroca	81
2012	68419,98	25	Jiloca	164
2012	67849,84	26	Cuencas Mineras	61
2012	124839,99	27	Andorra-Sierra de Arcos	170
2012	358420	28	Bajo Aragón	283
2012	351501,6	29	Comunidad de Teruel	227
2012	27536,08	30	Maestrazgo	30
2012	37372,55	31	Sierra de Albarracín	38
2012	61899,94	32	Gúdar-Javalambre	104
2012	100400,02	33	Matarraña / Matarranya	84
2013	280214,82	01	La Jacetania	208
2013	306148,36	02	Alto Gállego	340
2013	84249,98	03	Sobrarbe	239
2013	187771,99	04	La Ribagorza	354
2013	329052,99	05	Cinco Villas	363
2013	1425792,82	06	Hoya de Huesca / Plana de Uesca	629
2013	353814,98	07	Somontano de Barbastro	322
2013	373075	08	Cinca Medio	285
2013	321905,01	09	La Litera / La Llitera	143
2013	230739,99	10	Los Monegros	417
2013	332160,01	11	Bajo Cinca / Baix Cinca	230
2013	195600	12	Tarazona y el Moncayo	153
2013	260920,01	13	Campo de Borja	223
2013	66960	14	Aranda	90
2013	324519,99	15	Ribera Alta del Ebro	307
2013	268979,99	16	Valdejalón	291
2013	9171459,99	17	Central	2705
2013	88600	18	Ribera Baja del Ebro	125
2013	167260	19	Bajo Aragón-Caspe / Baix Aragó-Casp	143
2013	453040,02	20	Comunidad de Calatayud	449
2013	118980,01	21	Campo de Cariñena	112
2013	0	22	Campo de Belchite	0
2013	68300	23	Bajo Martín	121
2013	57020	24	Campo de Daroca	81
2013	106410	25	Jiloca	164
2013	64978,25	26	Cuencas Mineras	61
2013	126760	27	Andorra-Sierra de Arcos	170
2013	357880,01	28	Bajo Aragón	312
2013	345004,36	29	Comunidad de Teruel	227
2013	26315,68	30	Maestrazgo	30
2013	36017,87	31	Sierra de Albarracín	38
2013	59783,78	32	Gúdar-Javalambre	106
2013	116940,01	33	Matarraña / Matarranya	84
2014	276400,89	01	La Jacetania	203
2014	299972,21	02	Alto Gállego	364
2014	89386,01	03	Sobrarbe	238
2014	211005,02	04	La Ribagorza	354
2014	339460,03	05	Cinco Villas	408
2014	1417740,92	06	Hoya de Huesca / Plana de Uesca	665
2014	362924,99	07	Somontano de Barbastro	336
2014	386405,99	08	Cinca Medio	297
2014	330090,01	09	La Litera / La Llitera	201
2014	247940,02	10	Los Monegros	424
2014	330140,01	11	Bajo Cinca / Baix Cinca	230
2014	199259,99	12	Tarazona y el Moncayo	153
2014	262960	13	Campo de Borja	230
2014	65920,01	14	Aranda	90
2014	325120	15	Ribera Alta del Ebro	341
2014	285759,98	16	Valdejalón	294
2014	9237400	17	Central	2988
2014	92240	18	Ribera Baja del Ebro	125
2014	170580	19	Bajo Aragón-Caspe / Baix Aragó-Casp	143
2014	466059,97	20	Comunidad de Calatayud	465
2014	115200,01	21	Campo de Cariñena	112
2014	0	22	Campo de Belchite	0
2014	69300,01	23	Bajo Martín	117
2014	52660,02	24	Campo de Daroca	81
2014	130340,02	25	Jiloca	241
2014	67077,2	26	Cuencas Mineras	61
2014	126140,01	27	Andorra-Sierra de Arcos	170
2014	363480,02	28	Bajo Aragón	311
2014	358238,58	29	Comunidad de Teruel	223
2014	26299,41	30	Maestrazgo	31
2014	36313,57	31	Sierra de Albarracín	43
2014	60411,24	32	Gúdar-Javalambre	104
2014	131390,01	33	Matarraña / Matarranya	139
2015	278369	01	La Jacetania	203
2015	298643	02	Alto Gállego	361
2015	90896	03	Sobrarbe	239
2015	212064	04	La Ribagorza	354
2015	356657	05	Cinco Villas	408
2015	1442339	06	Hoya de Huesca / Plana de Uesca	674
2015	343281	07	Somontano de Barbastro	345
2015	366816	08	Cinca Medio	320
2015	307676	09	La Litera / La Llitera	290
2015	253059	10	Los Monegros	430
2015	334999	11	Bajo Cinca / Baix Cinca	230
2015	216200	12	Tarazona y el Moncayo	153
2015	237141	13	Campo de Borja	323
2015	64321	14	Aranda	90
2015	323100	15	Ribera Alta del Ebro	341
2015	266385	16	Valdejalón	286
2015	9434939	17	Central	2997
2015	88300	18	Ribera Baja del Ebro	125
2015	175679	19	Bajo Aragón-Caspe / Baix Aragó-Casp	143
2015	495061	20	Comunidad de Calatayud	482
2015	132860	21	Campo de Cariñena	118
2015	5977	22	Campo de Belchite	8
2015	69679	23	Bajo Martín	121
2015	44677	24	Campo de Daroca	81
2015	147540	25	Jiloca	246
2015	62080	26	Cuencas Mineras	61
2015	129351	27	Andorra-Sierra de Arcos	170
2015	391440	28	Bajo Aragón	311
2015	382498	29	Comunidad de Teruel	222
2015	24274	30	Maestrazgo	32
2015	33460	31	Sierra de Albarracín	43
2015	55508	32	Gúdar-Javalambre	103
2015	141140	33	Matarraña / Matarranya	141
2016	310411	01	La Jacetania	200
2016	317432	02	Alto Gállego	374
2016	102912	03	Sobrarbe	232
2016	210868	04	La Ribagorza	354
2016	364358	05	Cinco Villas	408
2016	1563585	06	Hoya de Huesca / Plana de Uesca	685
2016	337129	07	Somontano de Barbastro	345
2016	393810	08	Cinca Medio	320
2016	268586	09	La Litera / La Llitera	309
2016	254820	10	Los Monegros	434
2016	344921	11	Bajo Cinca / Baix Cinca	242
2016	213559	12	Tarazona y el Moncayo	153
2016	253284	13	Campo de Borja	323
2016	62300	14	Aranda	90
2016	336539	15	Ribera Alta del Ebro	364
2016	292279	16	Valdejalón	293
2016	9740802	17	Central	3008
2016	95240	18	Ribera Baja del Ebro	125
2016	179481	19	Bajo Aragón-Caspe / Baix Aragó-Casp	143
2016	514242	20	Comunidad de Calatayud	495
2016	154638	21	Campo de Cariñena	118
2016	17960	22	Campo de Belchite	69
2016	78661	23	Bajo Martín	121
2016	51843	24	Campo de Daroca	106
2016	148317	25	Jiloca	248
2016	62536	26	Cuencas Mineras	62
2016	131999	27	Andorra-Sierra de Arcos	170
2016	401339	28	Bajo Aragón	328
2016	392603	29	Comunidad de Teruel	220
2016	24262	30	Maestrazgo	35
2016	33865	31	Sierra de Albarracín	43
2016	55834	32	Gúdar-Javalambre	104
2016	156600	33	Matarraña / Matarranya	153
2017	495842	01	La Jacetania	202
2017	423722	02	Alto Gállego	335
2017	201981	03	Sobrarbe	86
2017	403632	04	La Ribagorza	407
2017	369859	05	Cinco Villas	146
2017	2251803	06	Hoya de Huesca / Plana de Uesca	670
2017	271761	07	Somontano de Barbastro	89
2017	332778	08	Cinca Medio	147
2017	426113	09	La Litera / La Llitera	283
2017	437880	10	Los Monegros	514
2017	403400	11	Bajo Cinca / Baix Cinca	127
2017	255744	12	Tarazona y el Moncayo	127
2017	328430	13	Campo de Borja	339
2017	56861	14	Aranda	66
2017	482681	15	Ribera Alta del Ebro	399
2017	236841	16	Valdejalón	185
2017	12518435	17	Central	2289
2017	91540	18	Ribera Baja del Ebro	50
2017	115996	19	Bajo Aragón-Caspe / Baix Aragó-Casp	55
2017	428446	20	Comunidad de Calatayud	201
2017	161301	21	Campo de Cariñena	105
2017	48676	22	Campo de Belchite	96
2017	134687	23	Bajo Martín	120
2017	88282	24	Campo de Daroca	67
2017	107540	25	Jiloca	66
2017	92799	26	Cuencas Mineras	67
2017	143669	27	Andorra-Sierra de Arcos	127
2017	438341	28	Bajo Aragón	233
2017	495131	29	Comunidad de Teruel	192
2017	36037	30	Maestrazgo	54
2017	50378	31	Sierra de Albarracín	46
2017	82613	32	Gúdar-Javalambre	97
2017	243189	33	Matarraña / Matarranya	178
